Date,Open,High,Low,Close,Adj Close,Volume
2021-03-11 05:00:00+00:00,9.9,9.9,9.83,9.83,9.83,300.0
2021-03-12 05:00:00+00:00,9.82,9.82,9.82,9.82,9.82,172.0
2021-03-15 04:00:00+00:00,9.85,9.85,9.85,9.85,9.85,400.0
2021-03-17 04:00:00+00:00,9.9,9.99,9.87,9.87,9.87,1137.0
2021-03-22 04:00:00+00:00,9.75,9.75,9.75,9.75,9.75,100.0
2021-03-23 04:00:00+00:00,9.7,9.7,9.7,9.7,9.7,585.0
2021-03-29 04:00:00+00:00,9.725,9.725,9.71,9.71,9.71,3700.0
2021-03-30 04:00:00+00:00,9.75,9.75,9.725,9.75,9.75,19000.0
2021-04-07 04:00:00+00:00,9.73,9.73,9.73,9.73,9.73,200.0
2021-04-08 04:00:00+00:00,9.76,9.76,9.76,9.76,9.76,1000.0
2021-04-09 04:00:00+00:00,9.85,9.875,9.85,9.875,9.875,4460.0
2021-04-12 04:00:00+00:00,9.84,9.84,9.84,9.84,9.84,300.0
2021-04-13 04:00:00+00:00,9.77,9.77,9.77,9.77,9.77,196.0
2021-04-14 04:00:00+00:00,9.77,9.83,9.77,9.83,9.83,500.0
2021-04-15 04:00:00+00:00,9.81,9.81,9.81,9.81,9.81,14400.0
2021-04-16 04:00:00+00:00,9.81,9.81,9.81,9.81,9.81,100.0
2021-04-21 04:00:00+00:00,9.76,9.76,9.76,9.76,9.76,100.0
2021-04-23 04:00:00+00:00,9.78,9.81,9.78,9.81,9.81,500.0
2021-04-27 04:00:00+00:00,9.76,9.76,9.76,9.76,9.76,212.0
2021-04-29 04:00:00+00:00,9.74,9.75,9.72,9.72,9.72,382.0
2021-04-30 04:00:00+00:00,9.73,9.74,9.73,9.74,9.74,300.0
2021-05-03 04:00:00+00:00,9.75,9.75,9.75,9.75,9.75,100.0
2021-05-04 04:00:00+00:00,9.75,9.75,9.75,9.75,9.75,400.0
2021-05-10 04:00:00+00:00,9.715,9.725,9.715,9.725,9.725,22100.0
2021-05-12 04:00:00+00:00,9.7,9.7,9.7,9.7,9.7,500.0
2021-05-18 04:00:00+00:00,9.67,9.67,9.67,9.67,9.67,121.0
2021-05-19 04:00:00+00:00,9.67,9.67,9.66,9.66,9.66,200.0
2021-05-20 04:00:00+00:00,9.635,9.635,9.635,9.635,9.635,100.0
2021-05-25 04:00:00+00:00,9.73,9.73,9.73,9.73,9.73,681.0
2021-05-26 04:00:00+00:00,9.78,9.78,9.72,9.72,9.72,200.0
2021-05-27 04:00:00+00:00,9.67,9.67,9.67,9.67,9.67,200.0
2021-05-28 04:00:00+00:00,9.67,9.67,9.67,9.67,9.67,200.0
2021-06-02 04:00:00+00:00,9.66,9.66,9.66,9.66,9.66,300.0
2021-06-16 04:00:00+00:00,9.73,9.73,9.72,9.72,9.72,1360.0
2021-06-29 04:00:00+00:00,9.68,9.68,9.68,9.68,9.68,200.0
2021-07-09 04:00:00+00:00,9.67,9.67,9.67,9.67,9.67,100.0
2021-07-12 04:00:00+00:00,9.67,9.67,9.67,9.67,9.67,300.0
2021-07-13 04:00:00+00:00,9.7,9.71,9.7,9.71,9.71,700.0
2021-07-15 04:00:00+00:00,9.7,9.71,9.7,9.71,9.71,1000.0
2021-07-16 04:00:00+00:00,9.71,9.71,9.71,9.71,9.71,600.0
2021-07-19 04:00:00+00:00,9.75,9.75,9.75,9.75,9.75,2000.0
2021-07-20 04:00:00+00:00,9.76,9.79,9.76,9.79,9.79,4100.0
2021-07-21 04:00:00+00:00,9.745,9.79,9.745,9.79,9.79,1700.0
2021-07-22 04:00:00+00:00,9.73,9.73,9.73,9.73,9.73,100.0
2021-08-04 04:00:00+00:00,9.76,9.76,9.76,9.76,9.76,600.0
2021-08-09 04:00:00+00:00,9.75,9.75,9.75,9.75,9.75,100.0
2021-08-11 04:00:00+00:00,9.89,9.89,9.83,9.83,9.83,7719.0
2021-08-12 04:00:00+00:00,9.83,9.83,9.83,9.83,9.83,2774.0
2021-08-16 04:00:00+00:00,9.83,9.83,9.83,9.83,9.83,4000.0
2021-08-17 04:00:00+00:00,9.87,9.9,9.83,9.9,9.9,5800.0
2021-08-24 04:00:00+00:00,9.85,9.85,9.85,9.85,9.85,800.0
2021-08-27 04:00:00+00:00,9.85,9.85,9.85,9.85,9.85,600.0
2021-09-01 04:00:00+00:00,9.88,9.88,9.88,9.88,9.88,300.0
2021-09-02 04:00:00+00:00,9.9,9.9,9.875,9.88,9.88,22300.0
2021-09-13 04:00:00+00:00,9.9,9.9,9.9,9.9,9.9,300.0
2021-09-15 04:00:00+00:00,9.89,9.89,9.89,9.89,9.89,185.0
2021-09-17 04:00:00+00:00,9.85,9.85,9.85,9.85,9.85,100.0
2021-09-27 04:00:00+00:00,9.9,9.9,9.9,9.9,9.9,4818.0
2021-09-29 04:00:00+00:00,9.9,9.9,9.9,9.9,9.9,258.0
2021-09-30 04:00:00+00:00,9.9,9.9,9.9,9.9,9.9,759.0
2021-10-04 04:00:00+00:00,9.905,9.91,9.9,9.91,9.91,720.0
2021-10-21 04:00:00+00:00,9.93,9.93,9.92,9.92,9.92,13257.0
2021-10-22 04:00:00+00:00,9.97,9.97,9.97,9.97,9.97,100.0
2021-10-25 04:00:00+00:00,10.0,10.0,9.99,9.99,9.99,406.0
2021-10-26 04:00:00+00:00,9.98,9.98,9.98,9.98,9.98,262.0
2021-10-29 04:00:00+00:00,10.01,10.01,10.01,10.01,10.01,2000.0
2021-11-01 04:00:00+00:00,10.0,10.0,10.0,10.0,10.0,1500.0
2021-11-03 04:00:00+00:00,9.96,9.96,9.96,9.96,9.96,100.0
