Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,39.34,39.39,39.17,39.28,39.28,760.0
2020-07-28 04:00:00+00:00,39.32,39.32,39.0,39.03,39.03,2301.0
2020-07-29 04:00:00+00:00,39.16,39.16,38.94,39.12,39.12,1010.0
2020-07-30 04:00:00+00:00,38.85,38.85,37.74,37.79,37.79,1785.0
2020-07-31 04:00:00+00:00,37.7,37.98,37.33,37.87,37.87,2290.0
2020-08-03 04:00:00+00:00,38.49,38.49,38.24,38.32,38.32,673.0
2020-08-04 04:00:00+00:00,38.2,38.62,38.2,38.53,38.53,2413.0
2020-08-05 04:00:00+00:00,38.51,38.64,38.22,38.62,38.62,1534.0
2020-08-06 04:00:00+00:00,39.02,39.02,38.74,38.74,38.74,879.0
2020-08-07 04:00:00+00:00,39.14,39.6,39.14,39.43,39.43,935.0
2020-08-10 04:00:00+00:00,40.0,40.17,39.86,39.88,39.88,2216.0
2020-08-11 04:00:00+00:00,40.35,40.53,40.21,40.21,40.21,660.0
2020-08-12 04:00:00+00:00,40.47,40.48,39.51,39.51,39.51,1749.0
2020-08-13 04:00:00+00:00,39.23,39.23,39.05,39.2,39.2,1820.0
2020-08-14 04:00:00+00:00,39.27,39.43,38.66,39.06,39.06,2003.0
2020-08-17 04:00:00+00:00,39.26,39.26,38.9,38.9,38.9,991.0
2020-08-18 04:00:00+00:00,38.28,38.35,38.28,38.35,38.35,934.0
2020-08-19 04:00:00+00:00,38.52,38.52,38.17,38.17,38.17,689.0
2020-08-20 04:00:00+00:00,37.67,37.82,37.29,37.64,37.64,1644.0
2020-08-21 04:00:00+00:00,36.98,37.13,36.79,36.95,36.95,1264.0
2020-08-24 04:00:00+00:00,37.56,37.9,37.56,37.8,37.8,1601.0
2020-08-25 04:00:00+00:00,37.23,37.64,37.23,37.62,37.62,1520.0
2020-08-26 04:00:00+00:00,37.47,37.49,37.4,37.4,37.4,3943.0
2020-08-27 04:00:00+00:00,37.78,37.92,37.46,37.85,37.85,1425.0
2020-08-28 04:00:00+00:00,37.61,37.9,37.61,37.9,37.9,1759.0
2020-08-31 04:00:00+00:00,37.68,37.68,37.38,37.38,37.38,1242.0
2020-09-01 04:00:00+00:00,37.2,37.77,37.2,37.76,37.76,2518.0
2020-09-02 04:00:00+00:00,38.34,38.51,38.09,38.41,38.41,1543.0
2020-09-03 04:00:00+00:00,38.51,38.51,37.68,37.68,37.68,1688.0
2020-09-04 04:00:00+00:00,37.79,37.79,37.0,37.49,37.49,1892.0
2020-09-08 04:00:00+00:00,36.39,37.12,36.39,36.61,36.61,2285.0
2020-09-09 04:00:00+00:00,36.62,37.47,36.62,36.93,36.93,1932.0
2020-09-10 04:00:00+00:00,39.48,39.48,38.19,38.26,38.26,5941.0
2020-09-11 04:00:00+00:00,38.23,38.45,37.23,37.39,37.39,2665.0
2020-09-14 04:00:00+00:00,38.21,39.25,38.21,39.25,39.25,3986.0
2020-09-15 04:00:00+00:00,38.93,40.49,38.93,40.3,40.3,7131.0
2020-09-16 04:00:00+00:00,40.77,42.05,40.77,41.7,41.7,2851.0
2020-09-17 04:00:00+00:00,41.72,41.72,40.5,40.55,40.55,2712.0
2020-09-18 04:00:00+00:00,40.63,40.91,39.33,39.64,39.64,5426.0
2020-09-21 04:00:00+00:00,37.88,37.88,37.13,37.8,37.8,2556.0
2020-09-22 04:00:00+00:00,38.72,38.72,37.79,37.87,37.87,2559.0
2020-09-23 04:00:00+00:00,37.45,37.84,37.45,37.78,37.78,2293.0
2020-09-24 04:00:00+00:00,36.53,37.08,36.47,37.07,37.07,4149.0
2020-09-25 04:00:00+00:00,36.93,37.02,36.76,36.76,36.76,2046.0
2020-09-28 04:00:00+00:00,37.16,37.71,37.16,37.64,37.64,2210.0
2020-09-29 04:00:00+00:00,36.85,36.97,36.63,36.97,36.97,1538.0
2020-09-30 04:00:00+00:00,36.94,37.34,36.71,37.06,37.06,2418.0
2020-10-01 04:00:00+00:00,37.11,37.15,36.82,36.97,36.97,6117.0
2020-10-02 04:00:00+00:00,36.85,37.42,36.47,37.21,37.21,5309.0
2020-10-05 04:00:00+00:00,38.05,39.13,38.05,39.02,39.02,9460.0
