Date,Open,High,Low,Close,Adj Close,Volume
2024-07-01 04:00:00+00:00,25.83,25.87,25.785,25.84,25.84,22409.0
2024-07-02 04:00:00+00:00,25.85,25.88,25.82,25.88,25.88,3500.0
2024-07-03 04:00:00+00:00,25.875,25.875,25.875,25.875,25.875,2300.0
2024-07-05 04:00:00+00:00,25.95,26.0,25.95,26.0,26.0,800.0
2024-07-08 04:00:00+00:00,26.01,26.02,26.01,26.02,26.02,7100.0
2024-07-09 04:00:00+00:00,26.02,26.03,26.02,26.03,26.03,3594.0
2024-07-10 04:00:00+00:00,26.05,26.09,26.05,26.09,26.09,200.0
2024-07-11 04:00:00+00:00,26.13,26.13,26.13,26.13,26.13,1100.0
2024-07-12 04:00:00+00:00,26.13,26.13,26.13,26.13,26.13,0.0
2024-07-15 04:00:00+00:00,26.23,26.23,26.18,26.18,26.18,1127.0
2024-07-16 04:00:00+00:00,26.2,26.22,26.2,26.21,26.21,900.0
2024-07-17 04:00:00+00:00,26.14,26.14,26.14,26.14,26.14,128.0
2024-07-18 04:00:00+00:00,26.14,26.14,26.14,26.14,26.14,0.0
2024-07-19 04:00:00+00:00,26.14,26.14,26.14,26.14,26.14,0.0
2024-07-22 04:00:00+00:00,26.07,26.08,26.07,26.08,26.08,308.0
2024-07-23 04:00:00+00:00,26.08,26.08,26.08,26.08,26.08,0.0
2024-07-24 04:00:00+00:00,25.95,25.95,25.92,25.92,25.92,200.0
2024-07-25 04:00:00+00:00,25.9,25.9,25.9,25.9,25.9,266.0
2024-07-26 04:00:00+00:00,25.93,25.93,25.93,25.93,25.93,100.0
2024-07-29 04:00:00+00:00,25.93,25.93,25.93,25.93,25.93,0.0
2024-07-30 04:00:00+00:00,25.92,25.92,25.92,25.92,25.92,192.0
2024-07-31 04:00:00+00:00,26.07,26.07,26.07,26.07,26.07,100.0
2024-08-01 04:00:00+00:00,26.07,26.07,26.07,26.07,26.07,0.0
2024-08-02 04:00:00+00:00,25.92,25.92,25.92,25.92,25.92,1520.0
2024-08-05 04:00:00+00:00,25.95,25.95,25.77,25.82,25.82,3100.0
2024-08-06 04:00:00+00:00,25.8,25.94,25.8,25.94,25.94,1200.0
2024-08-07 04:00:00+00:00,25.91,25.91,25.84,25.84,25.84,1000.0
2024-08-08 04:00:00+00:00,25.8,25.92,25.8,25.92,25.92,1300.0
2024-08-09 04:00:00+00:00,25.96,25.96,25.96,25.96,25.96,131.0
2024-08-12 04:00:00+00:00,25.98,25.98,25.98,25.98,25.98,100.0
2024-08-13 04:00:00+00:00,26.07,26.13,26.07,26.13,26.13,500.0
2024-08-14 04:00:00+00:00,26.16,26.19,26.16,26.18,26.18,856.0
2024-08-15 04:00:00+00:00,26.22,26.26,26.16,26.26,26.26,1000.0
2024-08-16 04:00:00+00:00,26.26,26.26,26.26,26.26,26.26,0.0
2024-08-19 04:00:00+00:00,26.34,26.39,26.34,26.39,26.39,300.0
2024-08-20 04:00:00+00:00,26.4,26.42,26.4,26.41,26.41,300.0
2024-08-21 04:00:00+00:00,26.43,26.48,26.43,26.48,26.48,701.0
2024-08-22 04:00:00+00:00,26.48,26.48,26.39,26.39,26.39,202.0
2024-08-23 04:00:00+00:00,26.46,26.49,26.46,26.49,26.49,200.0
2024-08-26 04:00:00+00:00,26.49,26.49,26.49,26.49,26.49,0.0
2024-08-27 04:00:00+00:00,26.46,26.52,26.46,26.51,26.51,1000.0
2024-08-28 04:00:00+00:00,26.42,26.47,26.42,26.47,26.47,300.0
2024-08-29 04:00:00+00:00,26.48,26.48,26.45,26.45,26.45,700.0
2024-08-30 04:00:00+00:00,26.48,26.48,26.48,26.48,26.48,100.0
2024-09-03 04:00:00+00:00,26.41,26.41,26.41,26.41,26.41,100.0
2024-09-04 04:00:00+00:00,26.43,26.44,26.42,26.43,26.43,3100.0
2024-09-05 04:00:00+00:00,26.35,26.38,26.35,26.37,26.37,670.0
2024-09-06 04:00:00+00:00,26.38,26.38,26.26,26.28,26.28,400.0
2024-09-09 04:00:00+00:00,26.28,26.28,26.28,26.28,26.28,0.0
2024-09-10 04:00:00+00:00,26.41,26.41,26.41,26.41,26.41,210.0
2024-09-11 04:00:00+00:00,26.41,26.41,26.41,26.41,26.41,0.0
2024-09-12 04:00:00+00:00,26.41,26.41,26.41,26.41,26.41,0.0
2024-09-13 04:00:00+00:00,26.64,26.64,26.64,26.64,26.64,200.0
2024-09-16 04:00:00+00:00,26.67,26.67,26.67,26.67,26.67,260.0
2024-09-17 04:00:00+00:00,26.67,26.67,26.67,26.67,26.67,0.0
2024-09-18 04:00:00+00:00,26.67,26.67,26.67,26.67,26.67,0.0
2024-09-19 04:00:00+00:00,26.8,26.84,26.8,26.84,26.84,424.0
2024-09-20 04:00:00+00:00,26.76,26.78,26.76,26.78,26.78,400.0
2024-09-23 04:00:00+00:00,26.78,26.78,26.78,26.78,26.78,0.0
2024-09-24 04:00:00+00:00,26.88,26.89,26.88,26.88,26.88,582.0
2024-09-25 04:00:00+00:00,26.88,26.88,26.88,26.88,26.88,100.0
2024-09-26 04:00:00+00:00,26.88,26.88,26.88,26.88,26.88,0.0
2024-09-27 04:00:00+00:00,26.88,26.88,26.88,26.88,26.88,0.0
2024-09-30 04:00:00+00:00,26.86,26.89,26.86,26.89,26.89,200.0
2024-10-01 04:00:00+00:00,26.89,26.89,26.89,26.89,26.89,0.0
2024-10-02 04:00:00+00:00,26.84,26.85,26.84,26.85,26.85,200.0
2024-10-03 04:00:00+00:00,26.81,26.82,26.81,26.81,26.81,400.0
2024-10-04 04:00:00+00:00,26.74,26.74,26.74,26.74,26.74,754.0
2024-10-07 04:00:00+00:00,26.74,26.74,26.74,26.74,26.74,0.0
2024-10-08 04:00:00+00:00,26.74,26.74,26.74,26.74,26.74,0.0
2024-10-09 04:00:00+00:00,26.8,26.83,26.8,26.83,26.83,400.0
2024-10-10 04:00:00+00:00,26.83,26.83,26.77,26.77,26.77,600.0
2024-10-11 04:00:00+00:00,26.85,26.85,26.85,26.85,26.85,200.0
2024-10-14 04:00:00+00:00,26.93,26.93,26.92,26.93,26.93,600.0
