Date,Open,High,Low,Close,Adj Close,Volume
2021-09-22 04:00:00+00:00,114.12,130.44,112.8,119.04,119.04,23459.0
2021-09-23 04:00:00+00:00,117.96,118.8,114.0,116.4,116.4,2471.0
2021-09-24 04:00:00+00:00,117.9,123.6,114.72,120.48,120.48,7874.0
2021-09-27 04:00:00+00:00,118.8,121.68,114.6,119.34,119.34,7410.0
2021-09-28 04:00:00+00:00,118.5,118.8,112.8,114.18,114.18,5359.0
2021-09-29 04:00:00+00:00,112.8,113.76,107.16,107.76,107.76,1667.0
2021-09-30 04:00:00+00:00,110.04,110.04,101.76,103.32,103.32,917.0
2021-10-01 04:00:00+00:00,101.64,105.12,96.6,103.2,103.2,2519.0
2021-10-04 04:00:00+00:00,100.08,102.0,96.12,101.64,101.64,1311.0
2021-10-05 04:00:00+00:00,104.4,104.4,100.8,101.52,101.52,302.0
2021-10-06 04:00:00+00:00,97.92,98.82,96.6,98.52,98.52,124.0
2021-10-07 04:00:00+00:00,99.48,99.54,95.16,98.34,98.34,616.0
2021-10-08 04:00:00+00:00,100.08,101.28,97.8,98.82,98.82,274.0
2021-10-11 04:00:00+00:00,100.44,102.84,99.48,99.84,99.84,268.0
2021-10-12 04:00:00+00:00,101.64,101.64,100.02,100.8,100.8,1369.0
2021-10-13 04:00:00+00:00,100.8,102.72,99.84,100.68,100.68,905.0
2021-10-14 04:00:00+00:00,101.28,102.12,100.2,101.04,101.04,462.0
2021-10-15 04:00:00+00:00,101.4,103.56,100.92,101.64,101.64,1081.0
2021-10-18 04:00:00+00:00,104.4,106.8,103.2,106.8,106.8,2208.0
2021-10-19 04:00:00+00:00,110.04,118.2,109.2,117.42,117.42,1359.0
2021-10-20 04:00:00+00:00,118.98,126.66,118.2,125.94,125.94,1831.0
2021-10-21 04:00:00+00:00,122.64,128.4,119.88,128.4,128.4,316.0
2021-10-22 04:00:00+00:00,128.52,128.52,123.84,124.26,124.26,758.0
2021-10-26 04:00:00+00:00,117.9,120.84,117.48,117.48,117.48,1998.0
2021-10-27 04:00:00+00:00,118.56,122.94,118.02,120.06,120.06,1772.0
2021-10-28 04:00:00+00:00,118.92,120.36,118.8,118.92,118.92,961.0
2021-10-29 04:00:00+00:00,118.08,120.66,118.08,120.48,120.48,506.0
2021-11-01 04:00:00+00:00,121.8,123.9,121.08,121.08,121.08,549.0
2021-11-02 04:00:00+00:00,124.08,129.36,124.08,129.06,129.06,968.0
2021-11-03 04:00:00+00:00,133.86,138.6,133.68,137.64,137.64,374.0
