Date,Open,High,Low,Close,Adj Close,Volume
2020-02-27 05:00:00+00:00,17.35,17.35,17.35,17.35,17.35,100.0
2020-07-27 04:00:00+00:00,23.995,24.335,23.995,24.255,24.255,6564.0
2020-07-28 04:00:00+00:00,24.08,24.205,23.855,23.86,23.86,6465.0
2020-07-29 04:00:00+00:00,23.88,24.19,23.71,24.135,24.135,8393.0
2020-07-30 04:00:00+00:00,23.9,24.26,23.85,24.2,24.2,13633.0
2020-07-31 04:00:00+00:00,24.17,24.285,23.97,24.25,24.25,18207.0
2020-08-03 04:00:00+00:00,24.745,25.09,24.485,24.995,24.995,18074.0
2020-08-04 04:00:00+00:00,25.115,25.58,25.01,25.365,25.365,17609.0
2020-08-05 04:00:00+00:00,25.675,26.295,25.25,26.23,26.23,9449.0
2020-08-06 04:00:00+00:00,26.58,27.06,24.655,25.265,25.265,26549.0
2020-08-07 04:00:00+00:00,25.52,26.23,25.52,26.12,26.12,25333.0
2020-08-10 04:00:00+00:00,26.635,27.06,26.635,26.92,26.92,17147.0
2020-08-11 04:00:00+00:00,27.38,28.175,27.31,28.045,28.045,25937.0
2020-08-12 04:00:00+00:00,28.55,28.58,27.495,27.585,27.585,25927.0
2020-08-13 04:00:00+00:00,27.49,27.77,27.255,27.27,27.27,7809.0
2020-08-14 04:00:00+00:00,27.08,27.15,26.885,26.89,26.89,7773.0
2020-08-17 04:00:00+00:00,26.71,26.71,26.13,26.13,26.13,6406.0
2020-08-18 04:00:00+00:00,25.95,26.1,25.625,25.81,25.81,6255.0
2020-08-19 04:00:00+00:00,26.3,26.33,25.68,25.73,25.73,6483.0
2020-08-20 04:00:00+00:00,25.54,25.85,25.54,25.7,25.7,4720.0
2020-08-21 04:00:00+00:00,25.545,25.8,25.39,25.8,25.8,2898.0
2020-08-24 04:00:00+00:00,25.86,25.9,25.68,25.8,25.8,5224.0
2020-08-25 04:00:00+00:00,25.91,26.08,25.83,25.865,25.865,4874.0
2020-08-26 04:00:00+00:00,26.06,26.06,25.48,25.51,25.51,2964.0
2020-08-27 04:00:00+00:00,25.695,25.715,25.25,25.65,25.65,6861.0
2020-08-28 04:00:00+00:00,26.0,26.03,25.84,26.0,26.0,5821.0
2020-08-31 04:00:00+00:00,25.845,25.845,25.36,25.49,25.49,9065.0
2020-09-01 04:00:00+00:00,25.04,25.785,25.04,25.76,25.76,6472.0
2020-09-02 04:00:00+00:00,25.62,25.67,25.085,25.64,25.64,8161.0
2020-09-03 04:00:00+00:00,25.52,25.7,24.68,24.975,24.975,10221.0
2020-09-04 04:00:00+00:00,25.15,25.39,24.54,25.065,25.065,6292.0
2020-09-08 04:00:00+00:00,24.525,25.08,24.34,24.55,24.55,5707.0
2020-09-09 04:00:00+00:00,24.78,24.865,24.395,24.835,24.835,20690.0
2020-09-10 04:00:00+00:00,25.055,25.155,24.26,24.47,24.47,6523.0
2020-09-11 04:00:00+00:00,24.63,24.63,24.06,24.47,24.47,9932.0
2020-09-14 04:00:00+00:00,24.89,24.95,24.28,24.585,24.585,8685.0
2020-09-15 04:00:00+00:00,24.54,24.935,24.54,24.68,24.68,4284.0
2020-09-16 04:00:00+00:00,25.1,25.41,24.96,25.245,25.245,9103.0
2020-09-17 04:00:00+00:00,24.87,25.28,24.61,25.24,25.24,7343.0
2020-09-18 04:00:00+00:00,25.24,25.55,24.94,25.09,25.09,8781.0
2020-09-21 04:00:00+00:00,24.38,24.54,23.97,24.51,24.51,6168.0
2020-09-22 04:00:00+00:00,24.39,24.76,24.34,24.75,24.75,5899.0
2020-09-23 04:00:00+00:00,24.915,25.5,24.915,25.005,25.005,20470.0
2020-09-24 04:00:00+00:00,24.645,25.26,24.61,25.08,25.08,13536.0
2020-09-25 04:00:00+00:00,24.91,25.03,24.69,24.705,24.705,13247.0
2020-09-28 04:00:00+00:00,25.245,25.71,25.125,25.5,25.5,28238.0
2020-09-29 04:00:00+00:00,25.415,25.495,25.1,25.335,25.335,7410.0
2020-09-30 04:00:00+00:00,25.54,25.6,25.015,25.075,25.075,8574.0
2020-10-01 04:00:00+00:00,25.17,25.465,24.98,25.315,25.315,18361.0
2020-10-02 04:00:00+00:00,25.1,25.59,25.1,25.495,25.495,5474.0
2020-10-05 04:00:00+00:00,25.76,26.285,25.55,26.275,26.275,19236.0
2020-10-06 04:00:00+00:00,26.32,26.47,25.73,25.87,25.87,35118.0
2020-10-07 04:00:00+00:00,26.28,26.44,25.92,26.39,26.39,23826.0
2020-10-08 04:00:00+00:00,26.49,26.68,26.25,26.36,26.36,12885.0
2020-10-09 04:00:00+00:00,26.545,26.58,26.25,26.56,26.56,7952.0
2020-10-12 04:00:00+00:00,27.155,27.635,27.08,27.42,27.42,31066.0
2020-10-13 04:00:00+00:00,27.3,27.595,26.82,26.975,26.975,11145.0
2020-10-14 04:00:00+00:00,27.12,27.12,26.49,26.79,26.79,8793.0
2020-10-15 04:00:00+00:00,26.62,27.61,26.34,27.61,27.61,26675.0
2020-10-16 04:00:00+00:00,27.425,27.615,27.425,27.505,27.505,19387.0
2020-10-19 04:00:00+00:00,28.03,28.15,27.65,27.855,27.855,36016.0
2020-10-20 04:00:00+00:00,27.99,29.06,27.835,28.88,28.88,66046.0
2020-10-21 04:00:00+00:00,29.345,29.725,29.24,29.57,29.57,56396.0
2020-10-22 04:00:00+00:00,29.56,30.04,29.26,29.32,29.32,38781.0
2020-10-23 04:00:00+00:00,29.32,30.08,28.99,29.9,29.9,85158.0
2020-10-26 04:00:00+00:00,29.85,29.97,29.44,29.65,29.65,37163.0
2020-10-27 04:00:00+00:00,29.575,29.85,29.45,29.59,29.59,28744.0
2020-10-28 04:00:00+00:00,28.98,28.98,27.92,28.11,28.11,89587.0
2020-10-29 04:00:00+00:00,28.12,29.2,27.87,28.86,28.86,37670.0
2020-10-30 04:00:00+00:00,28.74,29.18,27.64,28.06,28.06,82987.0
2020-11-02 05:00:00+00:00,28.52,28.68,28.02,28.31,28.31,45166.0
2020-11-03 05:00:00+00:00,28.45,28.845,28.22,28.23,28.23,18753.0
2020-11-04 05:00:00+00:00,28.26,28.69,27.84,27.92,27.92,24760.0
2020-11-05 05:00:00+00:00,28.31,29.1,28.31,28.73,28.73,16705.0
2020-11-06 05:00:00+00:00,28.675,28.805,28.27,28.51,28.51,12409.0
2020-11-09 05:00:00+00:00,30.34,30.75,27.36,27.38,27.38,64634.0
2020-11-10 05:00:00+00:00,27.67,27.78,26.87,27.53,27.53,48178.0
2020-11-11 05:00:00+00:00,27.75,28.3,27.53,28.135,28.135,32728.0
2020-11-12 05:00:00+00:00,27.86,28.16,27.67,27.74,27.74,10051.0
2020-11-13 05:00:00+00:00,28.33,28.67,28.07,28.63,28.63,24972.0
2020-11-16 05:00:00+00:00,29.43,30.14,28.88,30.1,30.1,34369.0
2020-11-17 05:00:00+00:00,29.57,30.45,29.26,30.42,30.42,28690.0
2020-11-18 05:00:00+00:00,30.495,31.2,30.495,30.6,30.6,27303.0
2020-11-19 05:00:00+00:00,29.95,30.19,29.39,29.91,29.91,24830.0
2020-11-20 05:00:00+00:00,29.83,29.83,29.19,29.47,29.47,12359.0
2020-11-23 05:00:00+00:00,29.76,30.08,29.715,29.78,29.78,11108.0
2020-11-24 05:00:00+00:00,30.225,31.2,30.225,31.16,31.16,13947.0
