Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,19.51,19.67,19.23,19.33,19.33,9404.0
2020-07-28 04:00:00+00:00,19.7,19.78,19.5,19.62,19.62,12780.0
2020-07-29 04:00:00+00:00,19.56,20.03,19.21,19.99,19.99,14023.0
2020-07-30 04:00:00+00:00,19.51,19.51,19.26,19.41,19.41,5665.0
2020-07-31 04:00:00+00:00,19.22,19.22,18.69,19.07,19.07,11089.0
2020-08-03 04:00:00+00:00,19.21,19.47,19.15,19.23,19.23,11881.0
2020-08-04 04:00:00+00:00,18.98,19.21,18.91,19.12,19.12,12022.0
2020-08-05 04:00:00+00:00,19.44,19.53,19.36,19.53,19.53,21456.0
2020-08-06 04:00:00+00:00,19.42,19.76,19.42,19.66,19.66,3549.0
2020-08-07 04:00:00+00:00,19.42,20.86,19.42,20.86,20.86,9544.0
2020-08-10 04:00:00+00:00,20.89,21.99,20.89,21.62,21.62,6850.0
2020-08-11 04:00:00+00:00,21.63,22.61,21.63,21.97,21.97,13260.0
2020-08-12 04:00:00+00:00,22.28,22.29,21.45,21.84,21.84,10403.0
2020-08-13 04:00:00+00:00,21.64,21.71,21.45,21.55,21.55,10137.0
2020-08-14 04:00:00+00:00,21.43,22.25,21.43,21.99,21.99,6320.0
2020-08-17 04:00:00+00:00,21.83,21.89,21.34,21.49,21.49,7566.0
2020-08-18 04:00:00+00:00,21.09,21.13,20.77,20.78,20.78,6148.0
2020-08-19 04:00:00+00:00,20.96,21.18,20.75,20.88,20.88,5444.0
2020-08-20 04:00:00+00:00,20.63,20.63,20.26,20.3,20.3,7128.0
2020-08-21 04:00:00+00:00,20.17,20.28,19.87,19.91,19.91,3608.0
2020-08-24 04:00:00+00:00,20.16,21.01,20.15,20.89,20.89,7106.0
2020-08-25 04:00:00+00:00,21.19,21.19,20.71,20.97,20.97,6192.0
2020-08-26 04:00:00+00:00,20.37,20.54,20.32,20.41,20.41,8084.0
2020-08-27 04:00:00+00:00,20.62,21.0,20.54,20.77,20.77,5156.0
2020-08-28 04:00:00+00:00,20.49,20.51,20.22,20.34,20.34,3593.0
2020-08-31 04:00:00+00:00,20.08,20.42,19.91,19.92,19.92,2431.0
2020-09-01 04:00:00+00:00,19.78,20.18,19.78,20.12,20.12,8251.0
2020-09-02 04:00:00+00:00,20.14,20.17,20.01,20.13,20.13,6702.0
2020-09-03 04:00:00+00:00,20.88,20.88,20.37,20.37,20.37,1862.0
2020-09-04 04:00:00+00:00,21.02,21.03,20.53,20.9,20.9,7154.0
2020-09-08 04:00:00+00:00,20.49,20.54,19.5,19.67,19.67,9290.0
2020-09-09 04:00:00+00:00,19.44,19.52,19.13,19.34,19.34,8205.0
2020-09-10 04:00:00+00:00,19.16,19.28,19.11,19.11,19.11,5510.0
2020-09-11 04:00:00+00:00,18.76,18.94,18.74,18.87,18.87,3306.0
2020-09-14 04:00:00+00:00,19.05,19.37,19.03,19.26,19.26,8903.0
2020-09-15 04:00:00+00:00,19.56,19.56,18.93,19.09,19.09,17918.0
2020-09-16 04:00:00+00:00,19.02,19.57,18.94,19.29,19.29,9892.0
2020-09-17 04:00:00+00:00,19.02,19.34,18.96,19.27,19.27,16984.0
2020-09-18 04:00:00+00:00,19.3,19.48,19.07,19.19,19.19,6777.0
2020-09-21 04:00:00+00:00,18.79,18.79,17.69,17.8,17.8,4807.0
2020-09-22 04:00:00+00:00,17.74,17.74,17.42,17.61,17.61,7356.0
2020-09-23 04:00:00+00:00,17.76,17.83,17.12,17.12,17.12,5932.0
2020-09-24 04:00:00+00:00,16.87,17.71,16.87,17.33,17.33,10810.0
2020-09-25 04:00:00+00:00,17.32,17.62,17.32,17.5,17.5,5340.0
2020-09-28 04:00:00+00:00,18.19,18.3,18.05,18.12,18.12,9888.0
2020-09-29 04:00:00+00:00,17.98,18.02,17.51,18.02,18.02,4102.0
2020-09-30 04:00:00+00:00,18.37,18.43,18.07,18.33,18.33,20863.0
2020-10-01 04:00:00+00:00,18.53,18.55,18.06,18.55,18.55,15891.0
2020-10-02 04:00:00+00:00,18.48,19.4,18.48,19.35,19.35,13985.0
2020-10-05 04:00:00+00:00,19.82,20.45,19.74,20.43,20.43,18856.0
2020-10-06 04:00:00+00:00,20.2,21.31,20.2,20.61,20.61,19585.0
2020-10-07 04:00:00+00:00,20.97,21.41,20.89,21.12,21.12,9223.0
2020-10-08 04:00:00+00:00,21.19,21.61,21.19,21.36,21.36,6896.0
2020-10-09 04:00:00+00:00,21.53,21.53,20.84,20.87,20.87,4859.0
2020-10-12 04:00:00+00:00,20.77,21.4,20.77,21.34,21.34,8227.0
2020-10-13 04:00:00+00:00,20.85,20.85,20.39,20.66,20.66,7722.0
2020-10-14 04:00:00+00:00,20.91,20.91,20.38,20.38,20.38,11939.0
2020-10-15 04:00:00+00:00,20.46,21.08,20.46,20.85,20.85,13024.0
2020-10-16 04:00:00+00:00,20.78,21.02,20.41,20.9,20.9,27566.0
2020-10-19 04:00:00+00:00,21.03,21.32,20.72,20.76,20.76,6769.0
