Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29 04:00:00+00:00,45.67,45.67,45.67,45.67,45.67,800.0
2020-07-31 04:00:00+00:00,45.04,45.04,45.04,45.04,45.04,192.0
2020-08-05 04:00:00+00:00,46.5,46.5,46.5,46.5,46.5,200.0
2020-08-25 04:00:00+00:00,46.86,46.86,46.86,46.86,46.86,320.0
2020-08-31 04:00:00+00:00,46.28,46.28,46.28,46.28,46.28,110.0
2020-09-01 04:00:00+00:00,46.79,46.87,46.79,46.87,46.87,200.0
2020-09-03 04:00:00+00:00,46.34,46.34,46.34,46.34,46.34,200.0
2020-09-04 04:00:00+00:00,45.97,45.97,45.97,45.97,45.97,100.0
2020-09-09 04:00:00+00:00,45.95,46.2,45.95,46.2,46.2,500.0
2020-09-14 04:00:00+00:00,46.45,46.45,46.45,46.45,46.45,100.0
2020-09-16 04:00:00+00:00,47.17,47.17,47.17,47.17,47.17,100.0
2020-09-17 04:00:00+00:00,46.83,46.83,46.83,46.83,46.83,100.0
2020-09-18 04:00:00+00:00,46.63,46.63,46.63,46.63,46.63,100.0
2020-09-21 04:00:00+00:00,45.84,45.84,45.84,45.84,45.84,100.0
2020-09-22 04:00:00+00:00,45.52,45.52,45.52,45.52,45.52,100.0
2020-09-23 04:00:00+00:00,45.15,45.15,45.0,45.0,45.0,200.0
2020-10-01 04:00:00+00:00,45.95,45.96,45.94,45.94,45.94,1400.0
2020-10-06 04:00:00+00:00,46.26,46.26,46.09,46.09,46.09,400.0
2020-10-08 04:00:00+00:00,47.11,47.11,47.11,47.11,47.11,205.0
2020-10-14 04:00:00+00:00,47.49,47.49,47.49,47.49,47.49,100.0
2020-10-21 04:00:00+00:00,47.72,47.72,47.61,47.61,47.61,200.0
2020-10-23 04:00:00+00:00,47.62,47.62,47.62,47.62,47.62,300.0
2020-10-28 04:00:00+00:00,46.23,46.23,46.17,46.23,46.23,800.0
2020-11-03 05:00:00+00:00,46.97,46.97,46.95,46.95,46.95,795.0
2020-11-04 05:00:00+00:00,48.16,48.16,48.16,48.16,48.16,400.0
2020-11-05 05:00:00+00:00,48.91,48.91,48.76,48.76,48.76,300.0
2020-11-09 05:00:00+00:00,50.05,50.05,50.05,50.05,50.05,100.0
2020-11-10 05:00:00+00:00,49.61,49.62,49.61,49.62,49.62,500.0
2020-11-20 05:00:00+00:00,51.08,51.08,51.02,51.03,51.03,1000.0
2020-11-23 05:00:00+00:00,51.4,51.4,51.2,51.35,51.35,2500.0
2020-11-25 05:00:00+00:00,51.39,51.39,51.39,51.39,51.39,300.0
2020-11-30 05:00:00+00:00,51.4,51.4,51.12,51.13,51.13,503.0
2020-12-09 05:00:00+00:00,53.09,53.09,52.76,52.76,52.76,600.0
2020-12-10 05:00:00+00:00,53.22,53.22,53.22,53.22,53.22,100.0
2020-12-11 05:00:00+00:00,53.04,53.06,53.04,53.06,53.06,200.0
2020-12-14 05:00:00+00:00,53.06,53.06,53.02,53.02,53.02,400.0
2020-12-15 05:00:00+00:00,53.18,53.44,53.18,53.44,53.44,300.0
2020-12-16 05:00:00+00:00,53.63,53.69,53.63,53.69,53.69,200.0
2020-12-18 05:00:00+00:00,54.05,54.05,54.05,54.05,54.05,300.0
2020-12-21 05:00:00+00:00,53.41,53.41,53.36,53.36,53.36,1573.0
2020-12-22 05:00:00+00:00,52.9,52.9,52.86,52.86,52.86,1500.0
2020-12-23 05:00:00+00:00,53.47,53.47,53.47,53.47,53.47,100.0
2020-12-24 05:00:00+00:00,53.52,53.52,53.46,53.46,53.46,1014.0
2020-12-28 05:00:00+00:00,53.87,53.87,53.87,53.87,53.87,300.0
2020-12-29 05:00:00+00:00,54.31,54.42,54.31,54.42,54.42,200.0
2020-12-31 05:00:00+00:00,54.9,54.9,54.9,54.9,54.9,165.0
