Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,4.722,4.722,4.641,4.641,4.641,2595.0
2020-07-28 04:00:00+00:00,4.654,4.722,4.654,4.719,4.719,317.0
2020-07-29 04:00:00+00:00,4.691,4.704,4.691,4.704,4.704,701.0
2020-07-30 04:00:00+00:00,4.71,4.71,4.71,4.71,4.71,101.0
2020-07-31 04:00:00+00:00,4.729,4.747,4.716,4.747,4.747,1103.0
2020-08-03 04:00:00+00:00,4.791,4.872,4.763,4.847,4.847,6921.0
2020-08-04 04:00:00+00:00,4.788,4.841,4.788,4.81,4.81,3964.0
2020-08-05 04:00:00+00:00,4.897,4.966,4.897,4.966,4.966,212.0
2020-08-06 04:00:00+00:00,5.035,5.088,5.035,5.072,5.072,1371.0
2020-08-07 04:00:00+00:00,5.097,5.141,5.097,5.141,5.141,1716.0
2020-08-10 04:00:00+00:00,5.253,5.253,5.203,5.203,5.203,281.0
2020-08-11 04:00:00+00:00,5.06,5.216,5.028,5.172,5.172,12157.0
2020-08-12 04:00:00+00:00,5.185,5.185,5.122,5.122,5.122,1851.0
2020-08-13 04:00:00+00:00,5.147,5.216,5.147,5.203,5.203,12297.0
2020-08-14 04:00:00+00:00,5.194,5.194,5.147,5.163,5.163,1006.0
2020-08-17 04:00:00+00:00,5.178,5.185,5.166,5.185,5.185,3920.0
2020-08-18 04:00:00+00:00,5.297,5.378,5.266,5.284,5.284,1724.0
2020-08-19 04:00:00+00:00,5.235,5.235,5.235,5.235,5.235,321.0
2020-08-20 04:00:00+00:00,5.228,5.231,5.128,5.166,5.166,4483.0
2020-08-21 04:00:00+00:00,5.141,5.141,5.11,5.138,5.138,920.0
2020-08-24 04:00:00+00:00,5.231,5.231,5.113,5.122,5.122,1452.0
2020-08-25 04:00:00+00:00,5.185,5.21,5.185,5.203,5.203,1029.0
2020-08-27 04:00:00+00:00,5.191,5.206,5.166,5.166,5.166,616.0
2020-08-28 04:00:00+00:00,5.191,5.284,5.178,5.235,5.235,28100.0
2020-08-31 04:00:00+00:00,5.147,5.147,5.147,5.147,5.147,137.0
2020-09-01 04:00:00+00:00,5.085,5.122,5.085,5.122,5.122,410.0
2020-09-04 04:00:00+00:00,5.072,5.116,5.069,5.116,5.116,931.0
2020-09-08 04:00:00+00:00,5.185,5.185,5.185,5.185,5.185,710.0
2020-09-09 04:00:00+00:00,5.204,5.217,5.204,5.217,5.217,540.0
2020-09-10 04:00:00+00:00,5.162,5.162,5.118,5.121,5.121,2802.0
2020-09-14 04:00:00+00:00,5.083,5.105,5.032,5.041,5.041,4300.0
2020-09-15 04:00:00+00:00,5.064,5.08,5.032,5.035,5.035,5330.0
2020-09-16 04:00:00+00:00,5.086,5.108,5.086,5.108,5.108,397.0
2020-09-17 04:00:00+00:00,5.07,5.14,5.057,5.115,5.115,2077.0
2020-09-18 04:00:00+00:00,5.134,5.134,5.089,5.102,5.102,1200.0
2020-09-21 04:00:00+00:00,5.054,5.162,5.026,5.026,5.026,1026.0
2020-09-22 04:00:00+00:00,5.102,5.198,5.102,5.188,5.188,2459.0
2020-09-23 04:00:00+00:00,5.198,5.223,5.013,5.013,5.013,3129.0
2020-09-24 04:00:00+00:00,4.968,4.968,4.949,4.949,4.949,413.0
2020-09-25 04:00:00+00:00,4.965,5.064,4.965,5.064,5.064,611.0
2020-09-28 04:00:00+00:00,5.121,5.178,5.121,5.147,5.147,1626.0
2020-09-29 04:00:00+00:00,5.083,5.083,5.083,5.083,5.083,111.0
2020-09-30 04:00:00+00:00,5.096,5.096,5.073,5.073,5.073,326.0
2020-10-01 04:00:00+00:00,5.102,5.223,5.096,5.223,5.223,2656.0
2020-10-02 04:00:00+00:00,5.223,5.255,5.223,5.255,5.255,2916.0
2020-10-05 04:00:00+00:00,5.229,5.229,5.147,5.147,5.147,3050.0
2020-10-06 04:00:00+00:00,5.147,5.21,5.147,5.147,5.147,2701.0
2020-10-07 04:00:00+00:00,5.159,5.162,5.147,5.162,5.162,1100.0
2020-10-08 04:00:00+00:00,5.198,5.198,5.159,5.185,5.185,3186.0
2020-10-09 04:00:00+00:00,5.166,5.217,5.147,5.198,5.198,9097.0
2020-10-12 04:00:00+00:00,5.147,5.166,5.083,5.147,5.147,4606.0
2020-10-13 04:00:00+00:00,5.159,5.191,5.134,5.159,5.159,2497.0
2020-10-14 04:00:00+00:00,5.159,5.204,5.159,5.178,5.178,1537.0
2020-10-15 04:00:00+00:00,5.159,5.178,5.159,5.172,5.172,2877.0
2020-10-16 04:00:00+00:00,5.159,5.191,5.159,5.182,5.182,3277.0
2020-10-19 04:00:00+00:00,5.191,5.229,5.159,5.21,5.21,6638.0
2020-10-20 04:00:00+00:00,5.229,5.312,5.229,5.274,5.274,6764.0
2020-10-21 04:00:00+00:00,5.242,5.242,5.166,5.185,5.185,9061.0
2020-10-22 04:00:00+00:00,5.178,5.178,5.159,5.166,5.166,4025.0
2020-10-23 04:00:00+00:00,5.229,5.229,5.127,5.153,5.153,8896.0
2020-10-26 04:00:00+00:00,5.096,5.118,5.057,5.064,5.064,3118.0
2020-10-27 04:00:00+00:00,5.102,5.102,5.038,5.038,5.038,2433.0
2020-10-28 04:00:00+00:00,4.981,4.981,4.822,4.834,4.834,11760.0
2020-10-29 04:00:00+00:00,4.822,4.981,4.822,4.949,4.949,6817.0
2020-10-30 04:00:00+00:00,4.885,4.885,4.733,4.777,4.777,4843.0
2020-11-02 05:00:00+00:00,4.803,4.879,4.777,4.841,4.841,5934.0
2020-11-03 05:00:00+00:00,4.873,4.885,4.854,4.854,4.854,5842.0
2020-11-04 05:00:00+00:00,4.936,5.032,4.885,4.955,4.955,4959.0
2020-11-05 05:00:00+00:00,5.013,5.115,5.013,5.07,5.07,4541.0
2020-11-06 05:00:00+00:00,5.089,5.102,5.032,5.035,5.035,3676.0
2020-11-09 05:00:00+00:00,5.261,5.261,5.096,5.147,5.147,8568.0
2020-11-10 05:00:00+00:00,5.28,5.465,5.226,5.319,5.319,14539.0
2020-11-11 05:00:00+00:00,5.382,5.491,5.373,5.376,5.376,17548.0
2020-11-12 05:00:00+00:00,5.338,5.338,5.236,5.28,5.28,4261.0
2020-11-13 05:00:00+00:00,5.363,5.37,5.325,5.334,5.334,9065.0
2020-11-16 05:00:00+00:00,5.427,5.459,5.357,5.376,5.376,8462.0
2020-11-17 05:00:00+00:00,5.382,5.395,5.299,5.312,5.312,5517.0
2020-11-18 05:00:00+00:00,5.37,5.478,5.37,5.382,5.382,7765.0
2020-11-19 05:00:00+00:00,5.414,5.541,5.363,5.535,5.535,11592.0
2020-11-20 05:00:00+00:00,5.491,5.554,5.491,5.554,5.554,3216.0
2020-11-23 05:00:00+00:00,5.592,5.65,5.567,5.624,5.624,8712.0
2020-11-24 05:00:00+00:00,5.643,5.747,5.617,5.656,5.656,3354.0
2020-11-25 05:00:00+00:00,5.672,5.727,5.662,5.662,5.662,1877.0
2020-11-27 05:00:00+00:00,5.63,5.675,5.607,5.675,5.675,1165.0
2020-11-30 05:00:00+00:00,5.666,5.708,5.63,5.63,5.63,4247.0
2020-12-01 05:00:00+00:00,5.701,5.701,5.643,5.685,5.685,2149.0
2020-12-02 05:00:00+00:00,5.701,5.773,5.701,5.727,5.727,3153.0
2020-12-03 05:00:00+00:00,5.753,5.851,5.714,5.734,5.734,15014.0
2020-12-04 05:00:00+00:00,5.828,5.89,5.799,5.857,5.857,8262.0
2020-12-07 05:00:00+00:00,5.805,5.909,5.76,5.838,5.838,14008.0
2020-12-08 05:00:00+00:00,5.812,5.987,5.812,5.971,5.971,10350.0
2020-12-09 05:00:00+00:00,6.013,6.036,5.981,6.013,6.013,12039.0
2020-12-10 05:00:00+00:00,6.007,6.065,5.987,5.987,5.987,9590.0
2020-12-11 05:00:00+00:00,5.987,6.039,5.87,5.99,5.99,2868.0
2020-12-14 05:00:00+00:00,5.977,5.994,5.909,5.994,5.994,1848.0
2020-12-15 05:00:00+00:00,6.058,6.058,5.948,5.968,5.968,2406.0
2020-12-16 05:00:00+00:00,5.958,5.994,5.909,5.909,5.909,1475.0
2020-12-17 05:00:00+00:00,5.925,5.948,5.922,5.935,5.935,1843.0
2020-12-18 05:00:00+00:00,5.919,5.977,5.916,5.964,5.964,2547.0
2020-12-21 05:00:00+00:00,5.909,5.951,5.877,5.932,5.932,2277.0
2020-12-22 05:00:00+00:00,5.955,6.039,5.87,5.877,5.877,8976.0
2020-12-23 05:00:00+00:00,5.929,6.065,5.929,5.984,5.984,16252.0
2020-12-24 05:00:00+00:00,6.046,6.046,5.906,5.909,5.909,1978.0
2020-12-28 05:00:00+00:00,5.948,5.955,5.825,5.838,5.838,4225.0
2020-12-29 05:00:00+00:00,5.864,5.994,5.857,5.961,5.961,5280.0
2020-12-30 05:00:00+00:00,5.935,6.026,5.89,5.955,5.955,4322.0
2020-12-31 05:00:00+00:00,5.974,5.994,5.968,5.984,5.984,35216.0
2021-01-04 05:00:00+00:00,5.974,5.981,5.942,5.958,5.958,3494.0
2021-01-05 05:00:00+00:00,5.961,5.974,5.948,5.974,5.974,3190.0
2021-01-06 05:00:00+00:00,5.987,5.994,5.844,5.893,5.893,5587.0
2021-01-07 05:00:00+00:00,5.909,5.909,5.841,5.851,5.851,5744.0
2021-01-08 05:00:00+00:00,5.844,5.87,5.818,5.838,5.838,5968.0
2021-01-11 05:00:00+00:00,5.831,5.893,5.825,5.883,5.883,9808.0
2021-01-12 05:00:00+00:00,5.896,5.922,5.844,5.87,5.87,8123.0
2021-01-13 05:00:00+00:00,5.909,5.961,5.877,5.903,5.903,8109.0
2021-01-14 05:00:00+00:00,5.909,5.935,5.893,5.922,5.922,5703.0
2021-01-15 05:00:00+00:00,5.919,5.955,5.896,5.935,5.935,7801.0
2021-01-19 05:00:00+00:00,5.935,5.99,5.893,5.909,5.909,12871.0
2021-01-20 05:00:00+00:00,5.89,5.919,5.883,5.886,5.886,3952.0
2021-01-21 05:00:00+00:00,5.987,6.149,5.961,5.968,5.968,43507.0
2021-01-22 05:00:00+00:00,5.964,5.99,5.903,5.945,5.945,15723.0
2021-01-25 05:00:00+00:00,5.916,5.922,5.831,5.857,5.857,12435.0
2021-01-26 05:00:00+00:00,5.877,5.997,5.877,5.974,5.974,16556.0
2021-01-27 05:00:00+00:00,5.942,5.942,5.825,5.831,5.831,8750.0
2021-01-28 05:00:00+00:00,5.818,5.867,5.773,5.821,5.821,9596.0
2021-01-29 05:00:00+00:00,5.76,5.831,5.734,5.74,5.74,17612.0
2021-02-01 05:00:00+00:00,5.763,5.867,5.763,5.841,5.841,13577.0
2021-02-02 05:00:00+00:00,5.844,6.0,5.844,5.919,5.919,24372.0
2021-02-03 05:00:00+00:00,5.922,5.974,5.896,5.968,5.968,13893.0
2021-02-04 05:00:00+00:00,5.981,6.033,5.961,5.968,5.968,19071.0
2021-02-05 05:00:00+00:00,5.987,6.0,5.925,5.968,5.968,52406.0
2021-02-08 05:00:00+00:00,5.987,6.0,5.942,5.968,5.968,17825.0
2021-02-09 05:00:00+00:00,6.149,6.208,6.123,6.136,6.136,41208.0
2021-02-10 05:00:00+00:00,6.179,6.195,6.136,6.162,6.162,21630.0
2021-02-11 05:00:00+00:00,6.146,6.146,6.075,6.101,6.101,14684.0
2021-02-12 05:00:00+00:00,6.071,6.12,6.007,6.101,6.101,9162.0
2021-02-16 05:00:00+00:00,6.156,6.162,6.062,6.071,6.071,8663.0
2021-02-17 05:00:00+00:00,6.055,6.081,6.036,6.062,6.062,15575.0
2021-02-18 05:00:00+00:00,6.091,6.097,6.036,6.046,6.046,11080.0
2021-02-19 05:00:00+00:00,6.046,6.065,6.039,6.052,6.052,3516.0
2021-02-22 05:00:00+00:00,6.097,6.162,6.091,6.11,6.11,6612.0
2021-02-23 05:00:00+00:00,6.078,6.182,6.078,6.149,6.149,9065.0
2021-02-24 05:00:00+00:00,6.195,6.279,6.182,6.24,6.24,12052.0
2021-02-25 05:00:00+00:00,6.273,6.325,6.247,6.279,6.279,17902.0
2021-02-26 05:00:00+00:00,6.312,6.347,6.292,6.299,6.299,11825.0
2021-03-01 05:00:00+00:00,6.484,6.5,6.422,6.455,6.455,7511.0
2021-03-02 05:00:00+00:00,6.464,6.552,6.461,6.507,6.507,16621.0
2021-03-03 05:00:00+00:00,6.52,6.597,6.494,6.591,6.591,18200.0
2021-03-04 05:00:00+00:00,6.643,6.643,6.513,6.623,6.623,23290.0
2021-03-05 05:00:00+00:00,6.565,6.565,6.448,6.455,6.455,9452.0
2021-03-08 05:00:00+00:00,6.494,6.594,6.494,6.591,6.591,9211.0
2021-03-09 05:00:00+00:00,6.566,6.592,6.526,6.533,6.533,10694.0
2021-03-10 05:00:00+00:00,6.559,6.572,6.447,6.5,6.5,5366.0
2021-03-11 05:00:00+00:00,6.453,6.529,6.44,6.516,6.516,5816.0
2021-03-12 05:00:00+00:00,6.572,6.658,6.553,6.652,6.652,8402.0
2021-03-15 04:00:00+00:00,6.658,6.797,6.652,6.744,6.744,51107.0
2021-03-16 04:00:00+00:00,6.811,6.811,6.652,6.665,6.665,9048.0
2021-03-17 04:00:00+00:00,6.685,6.725,6.605,6.612,6.612,11279.0
2021-03-18 04:00:00+00:00,6.629,6.652,6.493,6.526,6.526,8719.0
2021-03-19 04:00:00+00:00,6.526,6.658,6.519,6.572,6.572,20964.0
2021-03-22 04:00:00+00:00,6.559,6.589,6.529,6.553,6.553,5757.0
2021-03-23 04:00:00+00:00,6.553,6.596,6.493,6.519,6.519,10196.0
2021-03-24 04:00:00+00:00,6.725,6.771,6.533,6.539,6.539,15817.0
2021-03-25 04:00:00+00:00,6.543,6.599,6.453,6.579,6.579,27284.0
2021-03-26 04:00:00+00:00,6.632,6.632,6.539,6.619,6.619,15857.0
2021-03-29 04:00:00+00:00,6.639,6.645,6.559,6.599,6.599,14021.0
2021-03-30 04:00:00+00:00,6.586,6.632,6.586,6.619,6.619,5094.0
2021-03-31 04:00:00+00:00,6.639,6.665,6.592,6.605,6.605,9030.0
2021-04-01 04:00:00+00:00,6.619,6.725,6.612,6.725,6.725,15794.0
2021-04-05 04:00:00+00:00,6.725,6.768,6.718,6.738,6.738,6753.0
2021-04-06 04:00:00+00:00,6.764,6.817,6.751,6.784,6.784,10430.0
2021-04-07 04:00:00+00:00,6.791,6.791,6.725,6.764,6.764,16389.0
2021-04-08 04:00:00+00:00,6.744,6.837,6.744,6.811,6.811,9280.0
2021-04-09 04:00:00+00:00,6.864,6.87,6.778,6.778,6.778,4745.0
2021-04-12 04:00:00+00:00,6.817,6.817,6.764,6.804,6.804,11868.0
2021-04-13 04:00:00+00:00,6.791,6.824,6.784,6.804,6.804,5497.0
2021-04-14 04:00:00+00:00,6.771,6.804,6.771,6.784,6.784,5621.0
2021-04-15 04:00:00+00:00,6.778,6.837,6.778,6.837,6.837,2841.0
2021-04-16 04:00:00+00:00,6.797,6.837,6.797,6.837,6.837,3631.0
2021-04-20 04:00:00+00:00,6.791,6.837,6.791,6.821,6.821,4725.0
2021-04-21 04:00:00+00:00,6.791,6.85,6.791,6.85,6.85,4108.0
2021-04-22 04:00:00+00:00,6.85,6.857,6.784,6.811,6.811,9860.0
2021-04-23 04:00:00+00:00,6.797,6.85,6.758,6.797,6.797,10545.0
2021-04-26 04:00:00+00:00,6.824,6.824,6.784,6.797,6.797,5814.0
2021-04-27 04:00:00+00:00,6.834,6.837,6.801,6.824,6.824,1894.0
2021-04-28 04:00:00+00:00,6.791,6.883,6.791,6.87,6.87,7645.0
2021-04-29 04:00:00+00:00,6.883,6.923,6.883,6.91,6.91,4081.0
2021-04-30 04:00:00+00:00,6.883,6.91,6.857,6.87,6.87,8851.0
2021-05-03 04:00:00+00:00,6.88,6.9,6.87,6.88,6.88,1738.0
2021-05-04 04:00:00+00:00,6.844,6.844,6.784,6.844,6.844,17359.0
2021-05-05 04:00:00+00:00,6.764,6.85,6.764,6.83,6.83,15748.0
2021-05-06 04:00:00+00:00,6.824,6.976,6.824,6.956,6.956,7704.0
2021-05-07 04:00:00+00:00,6.864,6.976,6.864,6.95,6.95,12884.0
2021-05-10 04:00:00+00:00,6.963,6.989,6.907,6.91,6.91,11162.0
2021-05-11 04:00:00+00:00,6.85,6.89,6.804,6.89,6.89,8134.0
2021-05-12 04:00:00+00:00,6.83,6.864,6.811,6.837,6.837,14763.0
2021-05-13 04:00:00+00:00,6.883,6.93,6.804,6.917,6.917,6436.0
2021-05-14 04:00:00+00:00,6.897,6.963,6.844,6.936,6.936,8490.0
2021-05-17 04:00:00+00:00,6.923,6.983,6.92,6.936,6.936,13594.0
2021-05-18 04:00:00+00:00,6.963,7.062,6.963,7.042,7.042,9771.0
2021-05-19 04:00:00+00:00,7.016,7.128,6.983,7.128,7.128,6128.0
2021-05-20 04:00:00+00:00,7.122,7.122,7.056,7.056,7.056,5900.0
2021-05-21 04:00:00+00:00,7.069,7.069,7.003,7.042,7.042,3400.0
2021-05-24 04:00:00+00:00,7.056,7.062,7.029,7.036,7.036,4092.0
2021-05-25 04:00:00+00:00,7.016,7.049,6.969,6.976,6.976,5390.0
2021-05-26 04:00:00+00:00,6.95,6.969,6.943,6.969,6.969,5565.0
2021-05-27 04:00:00+00:00,6.996,7.009,6.917,6.926,6.926,7103.0
2021-05-28 04:00:00+00:00,6.956,6.983,6.936,6.936,6.936,1315.0
2021-06-01 04:00:00+00:00,6.983,7.075,6.976,7.009,7.009,9399.0
2021-06-02 04:00:00+00:00,7.052,7.062,7.016,7.022,7.022,4702.0
2021-06-03 04:00:00+00:00,7.046,7.082,7.046,7.069,7.069,5309.0
2021-06-04 04:00:00+00:00,7.082,7.108,7.056,7.069,7.069,3245.0
2021-06-07 04:00:00+00:00,7.062,7.128,7.062,7.112,7.112,6548.0
2021-06-08 04:00:00+00:00,7.137,7.137,7.029,7.059,7.059,3567.0
2021-06-09 04:00:00+00:00,7.049,7.116,7.042,7.083,7.083,3803.0
2021-06-10 04:00:00+00:00,7.002,7.11,7.002,7.083,7.083,5120.0
2021-06-11 04:00:00+00:00,7.164,7.164,7.116,7.147,7.147,3400.0
2021-06-14 04:00:00+00:00,7.157,7.157,7.049,7.076,7.076,6784.0
2021-06-15 04:00:00+00:00,7.086,7.086,6.968,7.012,7.012,5789.0
2021-06-16 04:00:00+00:00,6.988,7.035,6.988,7.019,7.019,5274.0
2021-06-17 04:00:00+00:00,6.988,7.056,6.965,7.022,7.022,10164.0
2021-06-18 04:00:00+00:00,7.015,7.015,6.86,6.954,6.954,13805.0
2021-06-21 04:00:00+00:00,6.941,7.012,6.941,6.992,6.992,10805.0
2021-06-22 04:00:00+00:00,7.022,7.022,6.961,6.985,6.985,2324.0
2021-06-23 04:00:00+00:00,7.022,7.069,7.002,7.029,7.029,3232.0
2021-06-24 04:00:00+00:00,7.083,7.083,7.005,7.076,7.076,2714.0
2021-06-25 04:00:00+00:00,7.231,7.305,7.14,7.143,7.143,15938.0
2021-06-28 04:00:00+00:00,7.288,7.288,7.17,7.265,7.265,21015.0
2021-06-29 04:00:00+00:00,7.285,7.319,7.184,7.231,7.231,5322.0
2021-06-30 04:00:00+00:00,7.224,7.224,7.052,7.116,7.116,8448.0
2021-07-01 04:00:00+00:00,7.103,7.184,7.103,7.184,7.184,6336.0
2021-07-02 04:00:00+00:00,7.224,7.238,7.164,7.234,7.234,3492.0
2021-07-06 04:00:00+00:00,7.245,7.245,7.167,7.245,7.245,4302.0
2021-07-07 04:00:00+00:00,7.177,7.197,7.157,7.197,7.197,2044.0
2021-07-08 04:00:00+00:00,7.13,7.15,6.995,7.089,7.089,15620.0
2021-07-09 04:00:00+00:00,7.11,7.224,7.083,7.218,7.218,9761.0
2021-07-12 04:00:00+00:00,7.191,7.265,7.191,7.258,7.258,4042.0
2021-07-13 04:00:00+00:00,7.231,7.251,7.157,7.248,7.248,5864.0
2021-07-14 04:00:00+00:00,7.251,7.251,7.153,7.17,7.17,1409.0
2021-07-15 04:00:00+00:00,7.167,7.238,7.16,7.174,7.174,2302.0
2021-07-16 04:00:00+00:00,7.17,7.17,7.062,7.096,7.096,2864.0
2021-07-19 04:00:00+00:00,7.008,7.008,6.86,6.988,6.988,12289.0
2021-07-20 04:00:00+00:00,7.049,7.083,7.042,7.049,7.049,4071.0
2021-07-21 04:00:00+00:00,7.11,7.11,7.069,7.069,7.069,5568.0
2021-07-22 04:00:00+00:00,7.046,7.079,7.046,7.079,7.079,1954.0
2021-07-23 04:00:00+00:00,7.177,7.201,7.116,7.116,7.116,7619.0
2021-07-26 04:00:00+00:00,7.137,7.137,7.076,7.116,7.116,5716.0
2021-07-27 04:00:00+00:00,7.11,7.11,7.089,7.11,7.11,1636.0
2021-07-28 04:00:00+00:00,7.137,7.137,7.022,7.113,7.113,7972.0
2021-07-29 04:00:00+00:00,7.103,7.218,7.076,7.137,7.137,6250.0
2021-07-30 04:00:00+00:00,7.164,7.238,7.164,7.234,7.234,3632.0
2021-08-02 04:00:00+00:00,7.251,7.251,7.147,7.147,7.147,2672.0
2021-08-03 04:00:00+00:00,7.103,7.211,7.103,7.17,7.17,5598.0
2021-08-04 04:00:00+00:00,7.143,7.184,7.13,7.17,7.17,2716.0
2021-08-05 04:00:00+00:00,7.211,7.231,7.184,7.211,7.211,2888.0
2021-08-06 04:00:00+00:00,7.231,7.386,7.231,7.386,7.386,4744.0
2021-08-09 04:00:00+00:00,7.379,7.413,7.352,7.386,7.386,2806.0
2021-08-10 04:00:00+00:00,7.4,7.406,7.369,7.386,7.386,3848.0
2021-08-11 04:00:00+00:00,7.393,7.433,7.393,7.42,7.42,2227.0
2021-08-12 04:00:00+00:00,7.437,7.437,7.433,7.433,7.433,2076.0
2021-08-13 04:00:00+00:00,7.447,7.447,7.433,7.433,7.433,5937.0
2021-08-16 04:00:00+00:00,7.413,7.454,7.413,7.454,7.454,772.0
2021-08-17 04:00:00+00:00,7.386,7.474,7.386,7.474,7.474,7566.0
2021-08-18 04:00:00+00:00,7.467,7.481,7.406,7.406,7.406,7600.0
2021-08-19 04:00:00+00:00,7.319,7.319,7.197,7.245,7.245,6887.0
2021-08-20 04:00:00+00:00,7.278,7.366,7.272,7.312,7.312,3848.0
2021-08-23 04:00:00+00:00,7.315,7.329,7.231,7.298,7.298,6459.0
