Date,Open,High,Low,Close,Adj Close,Volume
2020-08-10 04:00:00+00:00,1.749,1.847,1.749,1.768,1.768,900.0
2020-08-19 04:00:00+00:00,1.634,1.634,1.634,1.634,1.634,100.0
2020-08-24 04:00:00+00:00,1.643,1.643,1.643,1.643,1.643,141.0
2020-08-26 04:00:00+00:00,1.569,1.569,1.569,1.569,1.569,139.0
2020-08-27 04:00:00+00:00,1.638,1.773,1.638,1.763,1.763,1000.0
2020-09-01 04:00:00+00:00,1.805,1.805,1.805,1.805,1.805,200.0
2020-09-03 04:00:00+00:00,1.751,1.751,1.751,1.751,1.751,100.0
2020-09-09 04:00:00+00:00,1.779,1.779,1.779,1.779,1.779,100.0
2020-09-16 04:00:00+00:00,1.691,1.691,1.691,1.691,1.691,100.0
2020-09-17 04:00:00+00:00,1.686,1.686,1.686,1.686,1.686,100.0
2020-11-27 05:00:00+00:00,1.934,1.934,1.934,1.934,1.934,100.0
2020-12-03 05:00:00+00:00,2.047,2.047,2.047,2.047,2.047,100.0
2020-12-08 05:00:00+00:00,2.033,2.033,2.024,2.033,2.033,600.0
2020-12-09 05:00:00+00:00,2.024,2.024,2.024,2.024,2.024,100.0
2020-12-14 05:00:00+00:00,2.135,2.135,2.128,2.128,2.128,300.0
2020-12-17 05:00:00+00:00,2.247,2.247,2.242,2.242,2.242,220.0
2020-12-21 05:00:00+00:00,2.112,2.112,2.112,2.112,2.112,100.0
2021-01-06 05:00:00+00:00,2.113,2.113,2.109,2.109,2.109,474.0
2021-01-14 05:00:00+00:00,2.174,2.174,2.174,2.174,2.174,100.0
2021-01-20 05:00:00+00:00,1.996,2.008,1.996,2.008,2.008,1600.0
2021-01-25 05:00:00+00:00,1.9,1.923,1.9,1.923,1.923,300.0
2021-01-27 05:00:00+00:00,1.874,1.874,1.874,1.874,1.874,100.0
2021-01-29 05:00:00+00:00,1.874,1.874,1.874,1.874,1.874,200.0
2021-02-05 05:00:00+00:00,1.969,1.969,1.969,1.969,1.969,100.0
2021-02-11 05:00:00+00:00,1.964,1.964,1.964,1.964,1.964,2176.0
2021-02-17 05:00:00+00:00,1.943,1.943,1.943,1.943,1.943,202.0
2021-02-18 05:00:00+00:00,1.907,1.914,1.907,1.914,1.914,800.0
2021-02-19 05:00:00+00:00,1.954,1.968,1.919,1.942,1.942,800.0
2021-02-22 05:00:00+00:00,1.822,1.867,1.822,1.867,1.867,496.0
2021-02-23 05:00:00+00:00,1.832,1.881,1.827,1.881,1.881,604.0
2021-02-25 05:00:00+00:00,1.836,1.836,1.794,1.794,1.794,200.0
2021-02-26 05:00:00+00:00,1.763,1.766,1.759,1.766,1.766,1000.0
2021-03-02 05:00:00+00:00,1.653,1.653,1.653,1.653,1.653,155.0
2021-03-03 05:00:00+00:00,1.754,1.754,1.754,1.754,1.754,200.0
2021-03-15 04:00:00+00:00,1.879,1.879,1.879,1.879,1.879,3184.0
2021-03-19 04:00:00+00:00,2.006,2.006,2.006,2.006,2.006,100.0
2021-03-29 04:00:00+00:00,1.954,1.954,1.954,1.954,1.954,100.0
2021-04-05 04:00:00+00:00,1.923,1.923,1.923,1.923,1.923,220.0
2021-04-15 04:00:00+00:00,1.909,1.909,1.894,1.904,1.904,800.0
2021-04-20 04:00:00+00:00,2.275,2.275,2.269,2.269,2.269,500.0
2021-04-21 04:00:00+00:00,2.308,2.308,2.299,2.299,2.299,740.0
2021-04-23 04:00:00+00:00,2.336,2.336,2.336,2.336,2.336,159.0
2021-04-27 04:00:00+00:00,2.33,2.33,2.33,2.33,2.33,126.0
2021-05-05 04:00:00+00:00,2.371,2.371,2.362,2.362,2.362,300.0
2021-05-06 04:00:00+00:00,2.392,2.408,2.38,2.38,2.38,2328.0
2021-05-07 04:00:00+00:00,2.423,2.423,2.423,2.423,2.423,100.0
2021-05-13 04:00:00+00:00,2.426,2.426,2.426,2.426,2.426,102.0
2021-05-14 04:00:00+00:00,2.45,2.45,2.45,2.45,2.45,101.0
2021-05-21 04:00:00+00:00,2.517,2.517,2.502,2.502,2.502,300.0
2021-05-27 04:00:00+00:00,2.612,2.612,2.612,2.612,2.612,1600.0
2021-06-02 04:00:00+00:00,2.832,2.838,2.832,2.832,2.832,1900.0
2021-06-03 04:00:00+00:00,2.803,2.803,2.803,2.803,2.803,100.0
2021-06-04 04:00:00+00:00,2.87,2.87,2.87,2.87,2.87,100.0
2021-06-07 04:00:00+00:00,2.882,2.895,2.882,2.895,2.895,900.0
2021-06-11 04:00:00+00:00,2.834,2.834,2.834,2.834,2.834,100.0
2021-06-28 04:00:00+00:00,2.699,2.699,2.699,2.699,2.699,100.0
2021-07-01 04:00:00+00:00,2.644,2.656,2.602,2.602,2.602,656.0
2021-07-02 04:00:00+00:00,2.664,2.664,2.664,2.664,2.664,600.0
2021-07-15 04:00:00+00:00,2.621,2.621,2.559,2.559,2.559,5338.0
2021-07-29 04:00:00+00:00,2.593,2.593,2.593,2.593,2.593,102.0
2021-08-06 04:00:00+00:00,2.43,2.43,2.43,2.43,2.43,400.0
2021-08-09 04:00:00+00:00,2.436,2.436,2.436,2.436,2.436,100.0
2021-08-17 04:00:00+00:00,2.355,2.355,2.305,2.305,2.305,4305.0
2021-08-18 04:00:00+00:00,2.312,2.312,2.312,2.312,2.312,2399.0
2021-08-23 04:00:00+00:00,2.293,2.293,2.281,2.281,2.281,305.0
2021-09-07 04:00:00+00:00,2.4,2.41,2.4,2.41,2.41,1889.0
2021-09-08 04:00:00+00:00,2.201,2.201,2.192,2.192,2.192,603.0
2021-09-09 04:00:00+00:00,2.164,2.201,2.164,2.201,2.201,400.0
2021-09-20 04:00:00+00:00,1.965,1.965,1.965,1.965,1.965,100.0
2021-09-22 04:00:00+00:00,2.065,2.065,2.061,2.061,2.061,600.0
