Date,Open,High,Low,Close,Adj Close,Volume
2020-08-13 04:00:00+00:00,18.11,18.11,18.11,18.11,18.11,149.0
2020-08-17 04:00:00+00:00,18.46,18.46,18.46,18.46,18.46,112.0
2020-09-04 04:00:00+00:00,18.71,18.71,18.71,18.71,18.71,100.0
2020-10-22 04:00:00+00:00,19.05,19.05,19.04,19.04,19.04,200.0
2020-11-24 05:00:00+00:00,19.41,19.59,19.41,19.59,19.59,500.0
2020-11-27 05:00:00+00:00,19.41,19.41,19.41,19.41,19.41,100.0
2020-11-30 05:00:00+00:00,19.42,19.42,19.41,19.42,19.42,363.0
2020-12-02 05:00:00+00:00,19.44,19.44,19.44,19.44,19.44,100.0
2020-12-07 05:00:00+00:00,19.43,19.43,19.43,19.43,19.43,500.0
2020-12-15 05:00:00+00:00,19.85,19.85,19.85,19.85,19.85,130.0
2020-12-17 05:00:00+00:00,20.17,20.17,20.17,20.17,20.17,335.0
2020-12-18 05:00:00+00:00,20.25,20.26,20.25,20.26,20.26,1000.0
2020-12-28 05:00:00+00:00,20.26,20.28,20.26,20.26,20.26,300.0
2020-12-29 05:00:00+00:00,20.09,20.09,20.09,20.09,20.09,101.0
2020-12-31 05:00:00+00:00,20.38,20.46,20.38,20.46,20.46,307.0
2021-01-04 05:00:00+00:00,20.68,20.68,20.57,20.57,20.57,502.0
2021-01-05 05:00:00+00:00,20.88,21.04,20.88,21.04,21.04,640.0
2021-01-06 05:00:00+00:00,21.01,21.01,21.01,21.01,21.01,173.0
2021-01-07 05:00:00+00:00,21.02,21.02,21.01,21.01,21.01,200.0
2021-01-08 05:00:00+00:00,20.88,20.88,20.88,20.88,20.88,200.0
2021-01-12 05:00:00+00:00,20.96,20.96,20.96,20.96,20.96,191.0
2021-01-14 05:00:00+00:00,21.09,21.26,21.09,21.26,21.26,300.0
2021-01-15 05:00:00+00:00,21.06,21.06,21.06,21.06,21.06,102.0
2021-01-20 05:00:00+00:00,20.97,21.05,20.97,21.05,21.05,744.0
2021-01-25 05:00:00+00:00,20.84,20.88,20.84,20.88,20.88,332.0
2021-01-27 05:00:00+00:00,20.99,20.99,20.99,20.99,20.99,100.0
2021-01-28 05:00:00+00:00,20.94,20.96,20.94,20.96,20.96,301.0
2021-01-29 05:00:00+00:00,21.04,21.04,21.03,21.03,21.03,239.0
2021-02-01 05:00:00+00:00,21.17,21.17,21.07,21.12,21.12,1181.0
2021-02-02 05:00:00+00:00,21.19,21.19,21.14,21.14,21.14,792.0
2021-02-04 05:00:00+00:00,21.43,21.43,21.43,21.43,21.43,100.0
2021-02-05 05:00:00+00:00,21.6,21.6,21.57,21.57,21.57,241.0
2021-02-08 05:00:00+00:00,21.69,21.74,21.69,21.74,21.74,1436.0
2021-02-10 05:00:00+00:00,21.75,21.75,21.75,21.75,21.75,100.0
2021-02-11 05:00:00+00:00,21.81,21.85,21.68,21.68,21.68,1221.0
2021-02-12 05:00:00+00:00,21.71,21.76,21.71,21.75,21.75,526.0
2021-02-16 05:00:00+00:00,22.01,22.02,22.01,22.02,22.02,407.0
2021-02-22 05:00:00+00:00,22.33,22.43,22.33,22.43,22.43,690.0
2021-02-23 05:00:00+00:00,22.48,22.56,22.48,22.56,22.56,907.0
2021-02-24 05:00:00+00:00,22.61,22.76,22.61,22.76,22.76,1383.0
2021-02-26 05:00:00+00:00,22.27,22.27,22.27,22.27,22.27,493.0
2021-03-04 05:00:00+00:00,22.04,22.04,22.04,22.04,22.04,300.0
2021-03-11 05:00:00+00:00,22.4,22.48,22.4,22.48,22.48,242.0
2021-03-16 04:00:00+00:00,22.35,22.35,22.35,22.35,22.35,100.0
2021-03-23 04:00:00+00:00,21.51,21.51,21.51,21.51,21.51,100.0
2021-03-30 04:00:00+00:00,21.6,21.6,21.6,21.6,21.6,200.0
2021-03-31 04:00:00+00:00,21.85,21.87,21.85,21.87,21.87,265.0
2021-04-06 04:00:00+00:00,22.05,22.09,22.05,22.09,22.09,502.0
2021-04-07 04:00:00+00:00,22.01,22.01,22.01,22.01,22.01,122.0
2021-04-08 04:00:00+00:00,22.15,22.15,22.15,22.15,22.15,100.0
2021-04-13 04:00:00+00:00,22.04,22.04,22.04,22.04,22.04,108.0
2021-04-15 04:00:00+00:00,22.64,22.66,22.64,22.66,22.66,300.0
2021-04-16 04:00:00+00:00,22.7,22.7,22.69,22.69,22.69,201.0
2021-04-19 04:00:00+00:00,22.74,22.74,22.72,22.73,22.73,530.0
2021-04-20 04:00:00+00:00,22.88,22.88,22.77,22.77,22.77,255.0
2021-04-21 04:00:00+00:00,22.85,22.85,22.85,22.85,22.85,100.0
2021-04-23 04:00:00+00:00,23.01,23.06,23.01,23.06,23.06,300.0
2021-04-26 04:00:00+00:00,23.07,23.32,23.07,23.32,23.32,691.0
2021-04-27 04:00:00+00:00,23.5,23.5,23.5,23.5,23.5,100.0
2021-04-28 04:00:00+00:00,23.43,23.43,23.43,23.43,23.43,100.0
2021-05-03 04:00:00+00:00,23.65,23.65,23.65,23.65,23.65,100.0
2021-05-04 04:00:00+00:00,23.86,23.86,23.86,23.86,23.86,805.0
2021-05-05 04:00:00+00:00,23.98,23.98,23.98,23.98,23.98,100.0
2021-05-06 04:00:00+00:00,24.21,24.29,24.21,24.29,24.29,381.0
2021-05-07 04:00:00+00:00,24.49,24.49,24.49,24.49,24.49,200.0
2021-05-10 04:00:00+00:00,24.29,24.29,24.22,24.27,24.27,973.0
2021-05-11 04:00:00+00:00,24.43,24.51,24.43,24.51,24.51,679.0
2021-05-13 04:00:00+00:00,24.32,24.32,23.9,23.9,23.9,1484.0
2021-05-14 04:00:00+00:00,24.12,24.12,24.06,24.08,24.08,784.0
2021-05-17 04:00:00+00:00,24.22,24.31,24.22,24.3,24.3,627.0
2021-05-18 04:00:00+00:00,24.38,24.38,24.29,24.29,24.29,219.0
2021-05-19 04:00:00+00:00,23.83,23.89,23.76,23.89,23.89,430.0
2021-05-21 04:00:00+00:00,23.75,23.79,23.71,23.74,23.74,404.0
2021-05-24 04:00:00+00:00,23.84,23.84,23.84,23.84,23.84,125.0
2021-05-25 04:00:00+00:00,23.95,23.95,23.86,23.89,23.89,300.0
2021-05-27 04:00:00+00:00,24.24,24.24,24.24,24.24,24.24,101.0
2021-05-28 04:00:00+00:00,24.32,24.35,24.32,24.35,24.35,207.0
2021-06-01 04:00:00+00:00,24.76,24.76,24.56,24.65,24.65,847.0
2021-06-02 04:00:00+00:00,24.74,24.74,24.65,24.74,24.74,1020.0
2021-06-03 04:00:00+00:00,24.42,24.45,24.4,24.45,24.45,300.0
