Date,Open,High,Low,Close,Adj Close,Volume
2023-09-19 04:00:00+00:00,23.78,23.78,23.78,23.78,23.78,500.0
2023-09-20 04:00:00+00:00,23.73,23.73,23.73,23.73,23.73,100.0
2023-09-21 04:00:00+00:00,23.42,23.43,23.35,23.35,23.35,600.0
2023-09-22 04:00:00+00:00,23.4,23.43,23.4,23.43,23.43,1265.0
2023-09-25 04:00:00+00:00,23.11,23.14,23.11,23.14,23.14,2100.0
2023-09-26 04:00:00+00:00,23.16,23.16,23.16,23.16,23.16,1200.0
2023-09-27 04:00:00+00:00,23.1,23.1,23.02,23.04,23.04,1000.0
2023-09-28 04:00:00+00:00,23.08,23.13,23.08,23.1,23.1,1137.0
2023-09-29 04:00:00+00:00,23.1,23.1,23.1,23.1,23.1,0.0
2023-10-02 04:00:00+00:00,23.1,23.1,23.1,23.1,23.1,0.0
2023-10-03 04:00:00+00:00,22.65,22.65,22.46,22.47,22.47,517.0
2023-10-04 04:00:00+00:00,22.4,22.57,22.4,22.57,22.57,4228.0
2023-10-05 04:00:00+00:00,22.43,22.43,22.43,22.43,22.43,293.0
2023-10-06 04:00:00+00:00,22.27,22.47,22.27,22.47,22.47,1762.0
2023-10-09 04:00:00+00:00,22.47,22.47,22.47,22.47,22.47,0.0
2023-10-10 04:00:00+00:00,22.92,22.95,22.92,22.94,22.94,2201.0
2023-10-11 04:00:00+00:00,22.93,22.98,22.82,22.98,22.98,5608.0
2023-10-12 04:00:00+00:00,22.98,22.98,22.98,22.98,22.98,0.0
2023-10-13 04:00:00+00:00,22.98,22.98,22.98,22.98,22.98,0.0
2023-10-16 04:00:00+00:00,23.06,23.06,23.06,23.06,23.06,100.0
2023-10-17 04:00:00+00:00,23.06,23.06,23.06,23.06,23.06,0.0
2023-10-18 04:00:00+00:00,23.06,23.06,23.06,23.06,23.06,0.0
2023-10-19 04:00:00+00:00,23.06,23.06,23.06,23.06,23.06,0.0
2023-10-20 04:00:00+00:00,22.69,22.69,22.69,22.69,22.69,100.0
2023-10-23 04:00:00+00:00,22.69,22.69,22.69,22.69,22.69,0.0
2023-10-24 04:00:00+00:00,22.69,22.69,22.69,22.69,22.69,0.0
2023-10-25 04:00:00+00:00,22.69,22.69,22.69,22.69,22.69,0.0
2023-10-26 04:00:00+00:00,22.69,22.69,22.69,22.69,22.69,0.0
2023-10-27 04:00:00+00:00,22.23,22.23,22.23,22.23,22.23,476.0
2023-10-30 04:00:00+00:00,22.23,22.23,22.23,22.23,22.23,0.0
2023-10-31 04:00:00+00:00,22.28,22.35,22.28,22.35,22.35,380.0
2023-11-01 04:00:00+00:00,22.35,22.35,22.35,22.35,22.35,0.0
2023-11-02 04:00:00+00:00,22.35,22.35,22.35,22.35,22.35,0.0
2023-11-03 04:00:00+00:00,22.35,22.35,22.35,22.35,22.35,0.0
2023-11-06 05:00:00+00:00,22.35,22.35,22.35,22.35,22.35,0.0
2023-11-07 05:00:00+00:00,22.35,22.35,22.35,22.35,22.35,0.0
2023-11-08 05:00:00+00:00,22.96,22.96,22.96,22.96,22.96,100.0
2023-11-09 05:00:00+00:00,22.96,22.96,22.84,22.84,22.84,849.0
2023-11-10 05:00:00+00:00,22.84,22.84,22.84,22.84,22.84,0.0
2023-11-13 05:00:00+00:00,23.08,23.09,23.07,23.07,23.07,2801.0
2023-11-14 05:00:00+00:00,23.07,23.07,23.07,23.07,23.07,0.0
2023-11-15 05:00:00+00:00,23.07,23.07,23.07,23.07,23.07,0.0
2023-11-16 05:00:00+00:00,23.52,23.54,23.52,23.54,23.54,500.0
2023-11-17 05:00:00+00:00,23.57,23.57,23.57,23.57,23.57,475.0
2023-11-20 05:00:00+00:00,23.67,23.67,23.67,23.67,23.67,270.0
2023-11-21 05:00:00+00:00,23.67,23.67,23.67,23.67,23.67,0.0
2023-11-22 05:00:00+00:00,23.66,23.66,23.66,23.66,23.66,700.0
2023-11-24 05:00:00+00:00,23.66,23.66,23.66,23.66,23.66,0.0
2023-11-27 05:00:00+00:00,23.66,23.66,23.66,23.66,23.66,0.0
2023-11-28 05:00:00+00:00,23.71,23.71,23.71,23.71,23.71,0.0
2023-11-29 05:00:00+00:00,23.71,23.71,23.71,23.71,23.71,0.0
2023-11-30 05:00:00+00:00,23.71,23.71,23.71,23.71,23.71,0.0
2023-12-01 05:00:00+00:00,23.71,23.71,23.71,23.71,23.71,0.0
2023-12-04 05:00:00+00:00,23.71,23.71,23.71,23.71,23.71,0.0
2023-12-05 05:00:00+00:00,23.9,23.9,23.9,23.9,23.9,101.0
2023-12-06 05:00:00+00:00,23.88,23.88,23.88,23.88,23.88,300.0
2023-12-07 05:00:00+00:00,23.91,23.94,23.88,23.94,23.94,2101.0
2023-12-08 05:00:00+00:00,23.98,23.98,23.98,23.98,23.98,712.0
2023-12-11 05:00:00+00:00,23.98,23.98,23.98,23.98,23.98,0.0
2023-12-12 05:00:00+00:00,23.98,23.98,23.98,23.98,23.98,0.0
2023-12-13 05:00:00+00:00,23.98,23.98,23.98,23.98,23.98,0.0
2023-12-14 05:00:00+00:00,23.98,23.98,23.98,23.98,23.98,0.0
2023-12-15 05:00:00+00:00,23.98,23.98,23.98,23.98,23.98,0.0
2023-12-18 05:00:00+00:00,24.84,24.88,24.84,24.88,24.88,1200.0
2023-12-19 05:00:00+00:00,24.88,24.88,24.88,24.88,24.88,0.0
2023-12-20 05:00:00+00:00,24.88,24.88,24.88,24.88,24.88,0.0
2023-12-21 05:00:00+00:00,24.88,24.88,24.88,24.88,24.88,0.0
2023-12-22 05:00:00+00:00,24.88,24.88,24.88,24.88,24.88,0.0
