Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,4.03,4.111,4.03,4.092,4.092,7086.0
2020-07-28 04:00:00+00:00,4.605,4.69,4.477,4.477,4.477,13153.0
2020-07-29 04:00:00+00:00,4.461,4.636,4.461,4.53,4.53,7704.0
2020-07-30 04:00:00+00:00,4.399,4.521,4.399,4.449,4.449,5877.0
2020-07-31 04:00:00+00:00,4.367,4.411,4.364,4.399,4.399,2199.0
2020-08-03 04:00:00+00:00,4.424,4.577,4.424,4.561,4.561,4525.0
2020-08-04 04:00:00+00:00,4.518,4.543,4.511,4.536,4.536,503.0
2020-08-05 04:00:00+00:00,4.558,4.611,4.493,4.533,4.533,3701.0
2020-08-06 04:00:00+00:00,4.486,4.624,4.486,4.624,4.624,1630.0
2020-08-07 04:00:00+00:00,4.524,4.646,4.524,4.602,4.602,1197.0
2020-08-10 04:00:00+00:00,4.561,4.733,4.555,4.724,4.724,21769.0
2020-08-11 04:00:00+00:00,4.855,4.855,4.63,4.63,4.63,7945.0
2020-08-12 04:00:00+00:00,4.611,4.655,4.549,4.646,4.646,3100.0
2020-08-13 04:00:00+00:00,4.638,4.638,4.535,4.58,4.58,6478.0
2020-08-14 04:00:00+00:00,4.638,4.654,4.58,4.654,4.654,1800.0
2020-08-17 04:00:00+00:00,4.644,4.644,4.599,4.606,4.606,3460.0
2020-08-18 04:00:00+00:00,4.58,4.692,4.548,4.593,4.593,5507.0
2020-08-19 04:00:00+00:00,4.548,4.548,4.535,4.535,4.535,200.0
2020-08-20 04:00:00+00:00,4.497,4.497,4.408,4.414,4.414,8239.0
2020-08-21 04:00:00+00:00,4.42,4.42,4.357,4.411,4.411,4610.0
2020-08-24 04:00:00+00:00,4.462,4.65,4.449,4.503,4.503,5804.0
2020-08-25 04:00:00+00:00,4.548,4.561,4.535,4.535,4.535,530.0
2020-08-26 04:00:00+00:00,4.449,4.452,4.446,4.452,4.452,1300.0
2020-08-27 04:00:00+00:00,4.465,4.465,4.433,4.433,4.433,400.0
2020-08-28 04:00:00+00:00,4.472,4.526,4.472,4.503,4.503,4255.0
2020-08-31 04:00:00+00:00,4.456,4.475,4.456,4.468,4.468,1600.0
2020-09-01 04:00:00+00:00,4.475,4.475,4.462,4.468,4.468,17000.0
2020-09-02 04:00:00+00:00,4.408,4.408,4.312,4.312,4.312,700.0
2020-09-03 04:00:00+00:00,4.299,4.299,4.184,4.219,4.219,2710.0
2020-09-04 04:00:00+00:00,4.203,4.206,4.075,4.2,4.2,14080.0
2020-09-08 04:00:00+00:00,4.005,4.079,3.973,4.018,4.018,10211.0
2020-09-09 04:00:00+00:00,3.999,4.127,3.999,4.047,4.047,10601.0
2020-09-10 04:00:00+00:00,4.028,4.028,3.855,3.868,3.868,20715.0
2020-09-11 04:00:00+00:00,3.941,3.941,3.868,3.932,3.932,3010.0
2020-09-14 04:00:00+00:00,3.929,4.091,3.925,4.053,4.053,6343.0
2020-09-15 04:00:00+00:00,4.171,4.171,3.999,3.999,3.999,10976.0
2020-09-16 04:00:00+00:00,4.05,4.194,4.05,4.114,4.114,6312.0
2020-09-17 04:00:00+00:00,4.114,4.165,4.079,4.079,4.079,2000.0
2020-09-18 04:00:00+00:00,4.056,4.139,4.056,4.056,4.056,2900.0
2020-09-21 04:00:00+00:00,3.948,3.948,3.842,3.842,3.842,1400.0
2020-09-22 04:00:00+00:00,3.954,3.954,3.801,3.839,3.839,10192.0
2020-09-23 04:00:00+00:00,3.833,3.852,3.778,3.778,3.778,765.0
2020-09-24 04:00:00+00:00,3.772,3.846,3.747,3.772,3.772,1634.0
2020-09-25 04:00:00+00:00,3.794,3.794,3.711,3.737,3.737,15653.0
2020-09-28 04:00:00+00:00,3.9,3.989,3.871,3.948,3.948,5700.0
2020-09-29 04:00:00+00:00,3.839,3.945,3.839,3.932,3.932,4600.0
2020-09-30 04:00:00+00:00,3.957,3.961,3.877,3.919,3.919,2900.0
2020-10-01 04:00:00+00:00,3.903,3.903,3.785,3.82,3.82,4833.0
2020-10-02 04:00:00+00:00,3.788,3.887,3.788,3.836,3.836,8147.0
2020-10-05 04:00:00+00:00,3.877,3.999,3.833,3.996,3.996,6771.0
2020-10-06 04:00:00+00:00,4.031,4.031,3.897,3.919,3.919,6810.0
2020-10-07 04:00:00+00:00,3.948,3.948,3.887,3.903,3.903,4653.0
2020-10-08 04:00:00+00:00,3.999,4.075,3.929,4.056,4.056,8910.0
2020-10-09 04:00:00+00:00,4.012,4.034,3.964,4.028,4.028,12423.0
2020-10-12 04:00:00+00:00,4.05,4.168,4.024,4.146,4.146,18986.0
2020-10-13 04:00:00+00:00,4.095,4.139,4.04,4.088,4.088,23613.0
2020-10-14 04:00:00+00:00,4.146,4.171,4.005,4.028,4.028,12160.0
2020-10-15 04:00:00+00:00,3.945,4.133,3.909,4.111,4.111,33074.0
2020-10-16 04:00:00+00:00,4.053,4.095,3.98,3.999,3.999,14452.0
2020-10-19 04:00:00+00:00,3.945,3.98,3.881,3.89,3.89,13241.0
2020-10-20 04:00:00+00:00,3.922,3.97,3.839,3.961,3.961,6280.0
2020-10-21 04:00:00+00:00,4.056,4.114,3.929,4.005,4.005,29399.0
2020-10-22 04:00:00+00:00,4.015,4.133,3.941,4.088,4.088,24766.0
2020-10-23 04:00:00+00:00,4.101,4.107,3.983,3.983,3.983,21548.0
2020-10-26 04:00:00+00:00,3.941,4.012,3.922,3.989,3.989,34281.0
2020-10-27 04:00:00+00:00,3.948,3.961,3.871,3.897,3.897,10636.0
2020-10-28 04:00:00+00:00,3.833,3.954,3.699,3.929,3.929,28399.0
2020-10-29 04:00:00+00:00,3.839,3.957,3.782,3.948,3.948,35405.0
2020-10-30 04:00:00+00:00,3.884,3.929,3.807,3.877,3.877,18091.0
2020-11-02 05:00:00+00:00,3.903,3.957,3.877,3.945,3.945,35456.0
2020-11-03 05:00:00+00:00,3.954,3.967,3.82,3.858,3.858,28276.0
2020-11-04 05:00:00+00:00,3.826,4.005,3.826,3.999,3.999,18994.0
2020-11-05 05:00:00+00:00,3.999,4.226,3.973,4.226,4.226,35254.0
2020-11-06 05:00:00+00:00,4.184,4.222,4.12,4.206,4.206,22162.0
2020-11-09 05:00:00+00:00,4.433,4.535,4.395,4.417,4.417,52054.0
2020-11-10 05:00:00+00:00,4.388,4.634,4.388,4.628,4.628,56357.0
2020-11-11 05:00:00+00:00,4.644,4.65,4.542,4.609,4.609,8543.0
2020-11-12 05:00:00+00:00,4.615,4.615,4.445,4.465,4.465,6372.0
2020-11-13 05:00:00+00:00,4.504,4.68,4.504,4.615,4.615,38502.0
2020-11-16 05:00:00+00:00,4.674,4.811,4.628,4.719,4.719,38414.0
2020-11-17 05:00:00+00:00,4.687,4.847,4.687,4.824,4.824,27918.0
2020-11-18 05:00:00+00:00,4.843,4.974,4.798,4.824,4.824,24209.0
2020-11-19 05:00:00+00:00,4.827,4.827,4.765,4.785,4.785,9825.0
2020-11-20 05:00:00+00:00,4.785,4.882,4.778,4.863,4.863,6677.0
2020-11-23 05:00:00+00:00,4.817,4.931,4.817,4.931,4.931,20292.0
2020-11-24 05:00:00+00:00,5.0,5.039,4.896,4.935,4.935,9604.0
2020-11-25 05:00:00+00:00,4.954,4.954,4.804,4.83,4.83,6178.0
2020-11-27 05:00:00+00:00,4.83,4.83,4.785,4.817,4.817,1501.0
2020-11-30 05:00:00+00:00,4.758,4.772,4.553,4.576,4.576,7703.0
2020-12-01 05:00:00+00:00,4.654,4.674,4.53,4.569,4.569,2366.0
2020-12-02 05:00:00+00:00,4.661,4.837,4.661,4.713,4.713,5448.0
2020-12-03 05:00:00+00:00,4.732,4.745,4.693,4.693,4.693,3845.0
2020-12-04 05:00:00+00:00,4.824,4.912,4.791,4.807,4.807,7717.0
2020-12-07 05:00:00+00:00,4.785,4.85,4.683,4.765,4.765,14621.0
2020-12-08 05:00:00+00:00,4.778,4.811,4.772,4.791,4.791,3300.0
2020-12-09 05:00:00+00:00,4.837,4.843,4.732,4.732,4.732,1887.0
2020-12-10 05:00:00+00:00,4.791,4.889,4.791,4.811,4.811,10618.0
2020-12-11 05:00:00+00:00,4.785,4.785,4.758,4.762,4.762,500.0
2020-12-14 05:00:00+00:00,4.745,4.745,4.621,4.634,4.634,10394.0
2020-12-15 05:00:00+00:00,4.634,4.641,4.582,4.605,4.605,6728.0
2020-12-16 05:00:00+00:00,4.589,4.654,4.563,4.566,4.566,8051.0
2020-12-17 05:00:00+00:00,4.648,4.648,4.556,4.566,4.566,21193.0
2020-12-18 05:00:00+00:00,4.569,4.569,4.517,4.569,4.569,4474.0
2020-12-21 05:00:00+00:00,4.439,4.582,4.439,4.546,4.546,7748.0
2020-12-22 05:00:00+00:00,4.55,4.563,4.448,4.471,4.471,3116.0
2020-12-23 05:00:00+00:00,4.523,4.602,4.523,4.556,4.556,3116.0
2020-12-24 05:00:00+00:00,4.582,4.589,4.497,4.497,4.497,4301.0
