Date,Open,High,Low,Close,Adj Close,Volume
2022-05-27 04:00:00+00:00,10.01,10.01,6.31,6.33,6.33,1557.0
2022-05-31 04:00:00+00:00,6.32,6.65,6.32,6.65,6.65,2747.0
2022-06-01 04:00:00+00:00,5.71,6.21,5.465,5.465,5.465,4894.0
2022-06-02 04:00:00+00:00,5.27,5.48,5.27,5.395,5.395,12083.0
2022-06-03 04:00:00+00:00,5.94,7.19,4.89,5.9,5.9,21894.0
2022-06-06 04:00:00+00:00,5.6,5.71,4.195,4.61,4.61,3529.0
2022-06-07 04:00:00+00:00,4.6,4.73,4.24,4.55,4.55,3016.0
2022-06-10 04:00:00+00:00,4.365,4.365,4.365,4.365,4.365,199.0
2022-06-13 04:00:00+00:00,4.8,4.8,3.925,3.925,3.925,1088.0
2022-06-14 04:00:00+00:00,4.06,6.31,4.015,5.085,5.085,13380.0
2022-06-15 04:00:00+00:00,4.325,4.72,4.325,4.51,4.51,1949.0
2022-06-16 04:00:00+00:00,4.79,4.79,4.41,4.415,4.415,5964.0
2022-06-21 04:00:00+00:00,4.5,4.55,3.9,3.92,3.92,6022.0
2022-06-22 04:00:00+00:00,3.62,3.7,3.62,3.67,3.67,1203.0
2022-06-23 04:00:00+00:00,3.49,3.49,3.26,3.26,3.26,708.0
2022-06-24 04:00:00+00:00,3.395,3.465,3.395,3.46,3.46,501.0
2022-06-27 04:00:00+00:00,3.32,3.535,3.22,3.5,3.5,1892.0
2022-06-28 04:00:00+00:00,3.34,3.64,3.285,3.545,3.545,1692.0
2022-06-29 04:00:00+00:00,3.575,3.605,3.5,3.5,3.5,700.0
2022-06-30 04:00:00+00:00,3.63,3.69,3.63,3.69,3.69,483.0
2022-07-01 04:00:00+00:00,3.88,3.88,3.88,3.88,3.88,1358.0
2022-07-05 04:00:00+00:00,4.09,4.09,4.08,4.08,4.08,230.0
2022-07-06 04:00:00+00:00,4.15,4.15,4.13,4.13,4.13,335.0
2022-07-07 04:00:00+00:00,4.24,4.25,3.94,4.25,4.25,1701.0
2022-07-08 04:00:00+00:00,4.35,4.68,4.35,4.64,4.64,606.0
2022-07-11 04:00:00+00:00,4.41,4.41,4.33,4.33,4.33,404.0
2022-07-12 04:00:00+00:00,4.37,4.6,4.37,4.6,4.6,515.0
2022-07-13 04:00:00+00:00,4.31,4.855,4.31,4.84,4.84,1051.0
2022-07-14 04:00:00+00:00,4.84,4.84,4.84,4.84,4.84,0.0
2022-07-15 04:00:00+00:00,4.63,4.63,4.63,4.63,4.63,200.0
2022-07-18 04:00:00+00:00,4.95,5.005,4.88,4.88,4.88,834.0
2022-07-19 04:00:00+00:00,4.9,4.9,3.64,3.76,3.76,2106.0
2022-07-20 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-07-21 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-07-22 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-07-25 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-07-26 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-07-27 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-07-28 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-07-29 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-01 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-02 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-03 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-04 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-05 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-08 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-09 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-10 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-11 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-12 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-15 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-16 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-17 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-18 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-19 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-22 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-23 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-24 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-25 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-26 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-29 04:00:00+00:00,3.76,3.76,3.76,3.76,3.76,0.0
2022-08-30 04:00:00+00:00,4.25,4.3,4.25,4.25,4.25,645.0
2022-08-31 04:00:00+00:00,4.44,4.44,4.44,4.44,4.44,100.0
2022-09-01 04:00:00+00:00,4.84,5.18,4.32,4.47,4.47,5615.0
2022-09-02 04:00:00+00:00,4.29,4.415,4.24,4.415,4.415,2051.0
2022-09-06 04:00:00+00:00,4.21,4.23,4.07,4.15,4.15,2176.0
2022-09-07 04:00:00+00:00,4.15,4.15,4.15,4.15,4.15,0.0
2022-09-08 04:00:00+00:00,4.15,4.29,4.15,4.29,4.29,402.0
2022-09-09 04:00:00+00:00,4.31,4.31,4.26,4.26,4.26,781.0
2022-09-12 04:00:00+00:00,4.255,4.255,4.255,4.255,4.255,564.0
2022-09-13 04:00:00+00:00,4.12,4.12,4.12,4.12,4.12,100.0
2022-09-14 04:00:00+00:00,4.12,4.12,4.12,4.12,4.12,0.0
2022-09-15 04:00:00+00:00,4.07,4.07,4.07,4.07,4.07,207.0
2022-09-16 04:00:00+00:00,4.07,4.07,4.07,4.07,4.07,0.0
2022-09-19 04:00:00+00:00,4.06,4.06,4.06,4.06,4.06,100.0
2022-09-20 04:00:00+00:00,3.96,4.07,3.96,4.0,4.0,950.0
2022-09-21 04:00:00+00:00,3.95,3.99,3.905,3.905,3.905,2230.0
2022-09-22 04:00:00+00:00,3.935,3.935,3.78,3.87,3.87,1589.0
2022-09-23 04:00:00+00:00,3.96,3.97,3.96,3.97,3.97,325.0
2022-09-26 04:00:00+00:00,4.0,4.35,4.0,4.14,4.14,3524.0
2022-09-27 04:00:00+00:00,4.18,4.185,4.18,4.185,4.185,305.0
2022-09-28 04:00:00+00:00,4.185,4.185,4.185,4.185,4.185,0.0
2022-09-29 04:00:00+00:00,4.185,4.185,4.185,4.185,4.185,0.0
2022-09-30 04:00:00+00:00,4.185,4.185,4.185,4.185,4.185,0.0
2022-10-03 04:00:00+00:00,4.185,4.185,4.185,4.185,4.185,0.0
2022-10-04 04:00:00+00:00,4.35,4.55,4.22,4.23,4.23,853.0
2022-10-05 04:00:00+00:00,4.16,4.32,4.16,4.25,4.25,1022.0
2022-10-06 04:00:00+00:00,4.23,4.25,4.16,4.21,4.21,4194.0
2022-10-07 04:00:00+00:00,4.21,4.21,4.21,4.21,4.21,0.0
2022-10-10 04:00:00+00:00,4.21,4.21,4.21,4.21,4.21,0.0
2022-10-11 04:00:00+00:00,4.225,4.225,4.225,4.225,4.225,100.0
2022-10-12 04:00:00+00:00,4.35,4.35,4.35,4.35,4.35,600.0
2022-10-13 04:00:00+00:00,4.35,4.475,4.35,4.475,4.475,610.0
2022-10-14 04:00:00+00:00,4.65,4.65,4.65,4.65,4.65,867.0
2022-10-17 04:00:00+00:00,4.52,4.52,4.41,4.41,4.41,436.0
2022-10-18 04:00:00+00:00,4.41,4.41,4.41,4.41,4.41,0.0
2022-10-19 04:00:00+00:00,4.41,4.41,4.41,4.41,4.41,0.0
2022-10-20 04:00:00+00:00,4.41,4.41,4.41,4.41,4.41,0.0
2022-10-21 04:00:00+00:00,4.41,4.41,4.41,4.41,4.41,0.0
2022-10-24 04:00:00+00:00,4.41,4.41,4.41,4.41,4.41,0.0
2022-10-25 04:00:00+00:00,4.41,4.41,4.41,4.41,4.41,0.0
2022-10-26 04:00:00+00:00,4.41,4.41,4.41,4.41,4.41,0.0
2022-10-27 04:00:00+00:00,4.47,4.47,4.47,4.47,4.47,100.0
2022-10-28 04:00:00+00:00,4.47,4.47,4.47,4.47,4.47,0.0
2022-10-31 04:00:00+00:00,4.49,4.5,4.49,4.5,4.5,500.0
2022-11-01 04:00:00+00:00,4.37,4.37,4.37,4.37,4.37,100.0
2022-11-02 04:00:00+00:00,4.3,4.3,4.25,4.25,4.25,1102.0
2022-11-03 04:00:00+00:00,4.25,4.25,4.25,4.25,4.25,0.0
2022-11-04 04:00:00+00:00,4.21,4.25,4.21,4.25,4.25,660.0
2022-11-07 05:00:00+00:00,4.3,4.3,3.95,3.95,3.95,2142.0
2022-11-08 05:00:00+00:00,3.95,3.95,3.95,3.95,3.95,0.0
2022-11-09 05:00:00+00:00,3.95,3.95,3.95,3.95,3.95,0.0
