Date,Open,High,Low,Close,Adj Close,Volume
2024-12-11 05:00:00+00:00,9.97,9.98,9.97,9.98,9.98,4704.0
2024-12-12 05:00:00+00:00,10.02,10.04,10.02,10.04,10.04,200.0
2024-12-13 05:00:00+00:00,10.04,10.04,10.04,10.04,10.04,0.0
2024-12-16 05:00:00+00:00,10.04,10.04,10.04,10.04,10.04,0.0
2024-12-17 05:00:00+00:00,10.04,10.04,10.04,10.04,10.04,0.0
2024-12-18 05:00:00+00:00,10.04,10.04,10.04,10.04,10.04,0.0
2024-12-19 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,148.0
2024-12-20 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2024-12-23 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2024-12-24 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2024-12-26 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2024-12-27 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2024-12-30 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2024-12-31 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2025-01-02 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2025-01-03 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2025-01-06 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,300.0
2025-01-07 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2025-01-08 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2025-01-10 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,0.0
2025-01-13 05:00:00+00:00,10.03,10.07,10.03,10.065,10.065,19059.0
2025-01-14 05:00:00+00:00,10.09,10.12,10.09,10.12,10.12,6900.0
2025-01-15 05:00:00+00:00,10.225,10.225,10.2,10.2,10.2,3100.0
2025-01-16 05:00:00+00:00,10.2,10.2,10.2,10.2,10.2,0.0
2025-01-17 05:00:00+00:00,10.22,10.22,10.2,10.2,10.2,900.0
2025-01-21 05:00:00+00:00,10.265,10.34,10.265,10.31,10.31,2400.0
2025-01-22 05:00:00+00:00,10.285,10.31,10.285,10.3,10.3,2987.0
2025-01-23 05:00:00+00:00,10.3,10.3,10.3,10.3,10.3,0.0
2025-01-24 05:00:00+00:00,10.33,10.5,10.33,10.5,10.5,300.0
2025-01-27 05:00:00+00:00,10.5,10.5,10.5,10.5,10.5,0.0
2025-01-28 05:00:00+00:00,10.325,10.325,10.325,10.325,10.325,221.0
2025-01-29 05:00:00+00:00,10.325,10.325,10.325,10.325,10.325,0.0
2025-01-30 05:00:00+00:00,10.31,10.33,10.31,10.32,10.32,1700.0
2025-01-31 05:00:00+00:00,10.34,10.34,10.34,10.34,10.34,300.0
2025-02-03 05:00:00+00:00,10.34,10.34,10.34,10.34,10.34,300.0
2025-02-04 05:00:00+00:00,10.34,10.35,10.34,10.35,10.35,5109.0
2025-02-05 05:00:00+00:00,10.36,10.36,10.345,10.345,10.345,1039.0
2025-02-06 05:00:00+00:00,10.35,10.575,10.35,10.5,10.5,5462.0
2025-02-07 05:00:00+00:00,10.785,10.96,10.785,10.94,10.94,28829.0
2025-02-10 05:00:00+00:00,11.07,11.21,10.995,11.1,11.1,18380.0
2025-02-11 05:00:00+00:00,11.12,11.12,11.0,11.01,11.01,4231.0
2025-02-12 05:00:00+00:00,11.05,11.19,10.97,11.03,11.03,12436.0
2025-02-13 05:00:00+00:00,11.035,11.345,11.035,11.29,11.29,38307.0
2025-02-14 05:00:00+00:00,11.5,11.74,11.325,11.37,11.37,113257.0
2025-02-18 05:00:00+00:00,11.46,11.495,11.25,11.265,11.265,9413.0
2025-02-19 05:00:00+00:00,11.13,11.13,10.92,10.94,10.94,6999.0
2025-02-20 05:00:00+00:00,10.975,11.14,10.865,10.94,10.94,5385.0
2025-02-21 05:00:00+00:00,11.115,11.115,10.92,11.11,11.11,1681.0
2025-02-24 05:00:00+00:00,11.21,11.29,11.14,11.22,11.22,6575.0
2025-02-25 05:00:00+00:00,11.3,11.3,11.2,11.24,11.24,7384.0
2025-02-26 05:00:00+00:00,11.325,11.4,11.31,11.4,11.4,8035.0
2025-02-27 05:00:00+00:00,11.63,11.745,11.4,11.4,11.4,20698.0
2025-02-28 05:00:00+00:00,11.605,11.74,10.88,11.05,11.05,50341.0
2025-03-03 05:00:00+00:00,11.34,11.38,10.7,10.91,10.91,26576.0
2025-03-04 05:00:00+00:00,10.76,11.22,10.7,11.09,11.09,14086.0
2025-03-05 05:00:00+00:00,11.23,11.35,11.2,11.29,11.29,28264.0
2025-03-06 05:00:00+00:00,11.425,11.5,11.36,11.415,11.415,19532.0
2025-03-07 05:00:00+00:00,11.37,11.6,11.35,11.51,11.51,20275.0
2025-03-10 04:00:00+00:00,11.56,11.59,11.295,11.54,11.54,24363.0
2025-03-11 04:00:00+00:00,11.17,11.65,11.04,11.58,11.58,47998.0
2025-03-12 04:00:00+00:00,11.625,11.645,11.54,11.625,11.625,13883.0
2025-03-13 04:00:00+00:00,11.62,11.635,11.42,11.58,11.58,11406.0
2025-03-14 04:00:00+00:00,11.61,11.64,11.29,11.53,11.53,10651.0
2025-03-17 04:00:00+00:00,11.62,11.64,11.52,11.52,11.52,10961.0
2025-03-18 04:00:00+00:00,11.83,12.455,11.69,12.07,12.07,186200.0
2025-03-19 04:00:00+00:00,12.26,12.35,12.16,12.24,12.24,43364.0
2025-03-20 04:00:00+00:00,12.375,12.41,12.16,12.26,12.26,17979.0
2025-03-21 04:00:00+00:00,12.29,12.45,12.22,12.43,12.43,12171.0
2025-03-24 04:00:00+00:00,12.54,12.785,12.54,12.64,12.64,15910.0
2025-03-25 04:00:00+00:00,12.71,12.79,12.46,12.64,12.64,11105.0
2025-03-26 04:00:00+00:00,12.74,12.765,12.355,12.55,12.55,5456.0
2025-03-27 04:00:00+00:00,12.625,12.715,12.47,12.47,12.47,5643.0
2025-03-28 04:00:00+00:00,12.3,12.3,11.47,11.88,11.88,30377.0
2025-03-31 04:00:00+00:00,11.53,11.69,11.17,11.2,11.2,19798.0
2025-04-01 04:00:00+00:00,11.27,11.28,11.18,11.18,11.18,20605.0
2025-04-02 04:00:00+00:00,11.55,11.61,11.43,11.53,11.53,4515.0
2025-04-03 04:00:00+00:00,11.17,11.385,10.9,11.1,11.1,68945.0
2025-04-04 04:00:00+00:00,10.71,10.91,10.6,10.74,10.74,24926.0
