Date,Open,High,Low,Close,Adj Close,Volume
2020-09-03 04:00:00+00:00,18.71,18.71,18.71,18.71,18.71,100.0
2020-09-21 04:00:00+00:00,18.36,18.36,18.36,18.36,18.36,100.0
2020-09-24 04:00:00+00:00,18.24,18.24,18.24,18.24,18.24,100.0
2020-09-28 04:00:00+00:00,18.27,18.27,18.27,18.27,18.27,100.0
2020-09-29 04:00:00+00:00,18.28,18.28,18.28,18.28,18.28,100.0
2020-10-05 04:00:00+00:00,18.24,18.24,18.24,18.24,18.24,100.0
2020-10-13 04:00:00+00:00,18.36,18.42,18.36,18.42,18.42,200.0
2020-10-15 04:00:00+00:00,18.3,18.3,18.29,18.29,18.29,200.0
2020-10-21 04:00:00+00:00,18.33,18.33,18.29,18.29,18.29,300.0
2020-10-22 04:00:00+00:00,18.39,18.39,18.39,18.39,18.39,100.0
2020-10-23 04:00:00+00:00,18.39,18.39,18.29,18.29,18.29,200.0
2020-10-26 04:00:00+00:00,18.18,18.18,18.18,18.18,18.18,100.0
2020-10-27 04:00:00+00:00,18.11,18.11,18.11,18.11,18.11,500.0
2020-10-28 04:00:00+00:00,18.35,18.35,18.35,18.35,18.35,110.0
2020-10-29 04:00:00+00:00,18.2,18.35,18.2,18.35,18.35,300.0
2020-11-02 05:00:00+00:00,18.42,18.42,18.42,18.42,18.42,100.0
2020-11-05 05:00:00+00:00,18.37,18.37,18.37,18.37,18.37,100.0
2020-11-06 05:00:00+00:00,18.53,18.53,18.53,18.53,18.53,191.0
2020-11-09 05:00:00+00:00,18.5,18.5,18.45,18.45,18.45,400.0
2020-11-11 05:00:00+00:00,18.58,18.58,18.58,18.58,18.58,200.0
2020-11-12 05:00:00+00:00,18.58,18.58,18.58,18.58,18.58,100.0
2020-11-13 05:00:00+00:00,18.65,18.65,18.65,18.65,18.65,200.0
2020-11-18 05:00:00+00:00,18.94,18.94,18.92,18.92,18.92,1100.0
2020-11-19 05:00:00+00:00,18.92,18.92,18.91,18.92,18.92,700.0
2020-11-20 05:00:00+00:00,18.89,18.92,18.89,18.92,18.92,800.0
2020-11-23 05:00:00+00:00,18.91,18.91,18.91,18.91,18.91,100.0
2020-11-24 05:00:00+00:00,18.91,18.92,18.91,18.92,18.92,600.0
2020-11-25 05:00:00+00:00,18.92,18.92,18.92,18.92,18.92,300.0
2020-11-27 05:00:00+00:00,18.94,18.94,18.94,18.94,18.94,100.0
2020-11-30 05:00:00+00:00,18.89,18.95,18.89,18.95,18.95,580.0
2020-12-07 05:00:00+00:00,18.86,18.86,18.86,18.86,18.86,100.0
2020-12-08 05:00:00+00:00,18.89,18.89,18.85,18.85,18.85,206.0
2020-12-09 05:00:00+00:00,18.84,18.84,18.84,18.84,18.84,200.0
2020-12-14 05:00:00+00:00,18.96,18.96,18.89,18.89,18.89,300.0
2020-12-16 05:00:00+00:00,18.85,18.85,18.78,18.78,18.78,600.0
2020-12-18 05:00:00+00:00,18.8,18.8,18.8,18.8,18.8,100.0
2020-12-21 05:00:00+00:00,18.94,18.94,18.78,18.78,18.78,400.0
2020-12-22 05:00:00+00:00,18.94,18.94,18.94,18.94,18.94,300.0
2020-12-23 05:00:00+00:00,18.8,18.81,18.8,18.81,18.81,200.0
2020-12-29 05:00:00+00:00,19.03,19.03,19.03,19.03,19.03,300.0
