Date,Open,High,Low,Close,Adj Close,Volume
2022-03-08 05:00:00+00:00,23.1,23.1,23.1,23.1,23.1,100.0
2022-03-16 04:00:00+00:00,23.85,23.85,23.85,23.85,23.85,116.0
2022-03-17 04:00:00+00:00,24.13,24.17,24.13,24.17,24.17,200.0
2022-03-18 04:00:00+00:00,24.39,24.39,24.39,24.39,24.39,100.0
2022-03-24 04:00:00+00:00,24.76,24.76,24.76,24.76,24.76,259.0
2022-03-28 04:00:00+00:00,24.91,24.96,24.87,24.96,24.96,400.0
2022-03-29 04:00:00+00:00,25.16,25.16,25.16,25.16,25.16,400.0
2022-04-06 04:00:00+00:00,24.52,24.52,24.52,24.52,24.52,100.0
2022-04-07 04:00:00+00:00,24.44,24.68,24.44,24.68,24.68,200.0
2022-04-11 04:00:00+00:00,24.29,24.29,24.29,24.29,24.29,170.0
2022-04-21 04:00:00+00:00,24.06,24.1,24.06,24.1,24.1,700.0
2022-04-27 04:00:00+00:00,23.05,23.05,23.05,23.05,23.05,100.0
2022-04-28 04:00:00+00:00,22.99,23.36,22.99,23.36,23.36,3700.0
2022-04-29 04:00:00+00:00,23.07,23.07,22.59,22.59,22.59,1308.0
2022-05-04 04:00:00+00:00,22.67,22.86,22.67,22.86,22.86,300.0
2022-05-05 04:00:00+00:00,22.69,22.69,22.59,22.59,22.59,333.0
2022-05-06 04:00:00+00:00,22.68,22.68,22.33,22.44,22.44,6400.0
2022-05-09 04:00:00+00:00,21.94,21.94,21.86,21.86,21.86,860.0
2022-05-10 04:00:00+00:00,22.0,22.0,21.7,21.7,21.7,454.0
2022-05-11 04:00:00+00:00,21.87,21.87,21.79,21.79,21.79,200.0
2022-05-12 04:00:00+00:00,21.58,21.58,21.58,21.58,21.58,167.0
2022-05-16 04:00:00+00:00,22.12,22.26,22.09,22.23,22.23,2700.0
2022-05-17 04:00:00+00:00,22.45,22.54,22.45,22.54,22.54,3000.0
2022-05-18 04:00:00+00:00,22.31,22.31,21.75,21.75,21.75,1807.0
2022-05-19 04:00:00+00:00,21.61,21.61,21.61,21.61,21.61,100.0
2022-05-20 04:00:00+00:00,21.89,21.89,21.4,21.4,21.4,1300.0
2022-05-23 04:00:00+00:00,22.07,22.07,22.02,22.02,22.02,250.0
2022-05-24 04:00:00+00:00,21.6,21.76,21.6,21.76,21.76,1620.0
2022-05-25 04:00:00+00:00,22.03,22.13,22.03,22.13,22.13,493.0
2022-05-26 04:00:00+00:00,22.37,22.48,22.37,22.48,22.48,700.0
2022-05-27 04:00:00+00:00,22.84,22.84,22.84,22.84,22.84,200.0
2022-05-31 04:00:00+00:00,22.85,22.99,22.85,22.99,22.99,585.0
2022-06-01 04:00:00+00:00,22.99,22.99,22.64,22.71,22.71,700.0
2022-06-02 04:00:00+00:00,22.73,22.95,22.73,22.95,22.95,700.0
2022-06-03 04:00:00+00:00,22.87,22.87,22.83,22.83,22.83,400.0
2022-06-06 04:00:00+00:00,22.98,22.98,22.9,22.9,22.9,300.0
2022-06-07 04:00:00+00:00,22.74,22.74,22.74,22.74,22.74,100.0
2022-06-08 04:00:00+00:00,22.97,23.05,22.83,22.83,22.83,1153.0
2022-06-09 04:00:00+00:00,22.77,22.77,22.47,22.47,22.47,5355.0
2022-06-10 04:00:00+00:00,21.79,21.79,21.74,21.78,21.78,749.0
2022-06-13 04:00:00+00:00,21.02,21.02,20.85,20.85,20.85,827.0
2022-06-14 04:00:00+00:00,20.9,20.9,20.79,20.82,20.82,1722.0
2022-06-15 04:00:00+00:00,21.02,21.11,21.0,21.11,21.11,900.0
2022-06-16 04:00:00+00:00,20.45,20.46,20.45,20.46,20.46,200.0
2022-06-17 04:00:00+00:00,20.45,20.49,20.45,20.49,20.49,500.0
2022-06-21 04:00:00+00:00,20.75,20.88,20.75,20.88,20.88,1666.0
2022-06-22 04:00:00+00:00,20.69,20.97,20.69,20.85,20.85,2530.0
2022-06-23 04:00:00+00:00,20.88,20.91,20.72,20.91,20.91,900.0
2022-06-27 04:00:00+00:00,21.6,21.6,21.6,21.6,21.6,100.0
2022-06-28 04:00:00+00:00,21.23,21.23,21.23,21.23,21.23,100.0
2022-06-29 04:00:00+00:00,21.13,21.13,21.13,21.13,21.13,250.0
2022-06-30 04:00:00+00:00,20.85,21.0,20.85,21.0,21.0,200.0
2022-07-01 04:00:00+00:00,21.14,21.14,21.14,21.14,21.14,277.0
2022-07-06 04:00:00+00:00,20.98,21.14,20.98,21.14,21.14,400.0
2022-07-07 04:00:00+00:00,21.36,21.36,21.36,21.36,21.36,1500.0
2022-07-08 04:00:00+00:00,21.25,21.36,21.25,21.36,21.36,900.0
2022-07-11 04:00:00+00:00,21.36,21.36,21.36,21.36,21.36,0.0
2022-07-12 04:00:00+00:00,21.13,21.13,20.92,20.92,20.92,600.0
2022-07-13 04:00:00+00:00,20.69,20.8,20.65,20.8,20.8,300.0
2022-07-14 04:00:00+00:00,20.43,20.43,20.43,20.43,20.43,105.0
2022-07-15 04:00:00+00:00,20.93,21.01,20.93,21.01,21.01,323.0
2022-07-18 04:00:00+00:00,21.01,21.01,21.01,21.01,21.01,0.0
2022-07-19 04:00:00+00:00,21.38,21.44,21.38,21.44,21.44,400.0
2022-07-20 04:00:00+00:00,21.64,21.64,21.58,21.62,21.62,1560.0
2022-07-21 04:00:00+00:00,21.56,21.67,21.56,21.67,21.67,426.0
2022-07-22 04:00:00+00:00,21.84,21.84,21.49,21.57,21.57,8695.0
2022-07-25 04:00:00+00:00,21.65,21.65,21.58,21.61,21.61,800.0
2022-07-26 04:00:00+00:00,21.57,21.57,21.43,21.43,21.43,743.0
2022-07-27 04:00:00+00:00,21.68,21.93,21.68,21.93,21.93,700.0
2022-07-28 04:00:00+00:00,21.88,22.12,21.88,22.12,22.12,577.0
2022-07-29 04:00:00+00:00,22.23,22.37,22.22,22.37,22.37,600.0
