Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,18.29,18.29,18.23,18.23,18.23,2198.0
2020-07-28 04:00:00+00:00,18.27,18.33,18.27,18.33,18.33,500.0
2020-07-29 04:00:00+00:00,18.36,18.43,18.36,18.43,18.43,800.0
2020-08-03 04:00:00+00:00,18.54,18.54,18.47,18.51,18.51,664.0
2020-08-04 04:00:00+00:00,18.46,18.46,18.46,18.46,18.46,100.0
2020-08-05 04:00:00+00:00,18.52,18.55,18.5,18.55,18.55,600.0
2020-08-06 04:00:00+00:00,18.51,18.51,18.49,18.49,18.49,300.0
2020-08-07 04:00:00+00:00,18.47,18.51,18.47,18.49,18.49,600.0
2020-08-10 04:00:00+00:00,18.68,18.68,18.68,18.68,18.68,400.0
2020-08-14 04:00:00+00:00,19.35,19.35,19.35,19.35,19.35,414.0
2020-08-18 04:00:00+00:00,19.32,19.35,19.29,19.32,19.32,557.0
2020-08-19 04:00:00+00:00,19.31,19.31,19.31,19.31,19.31,100.0
2020-08-26 04:00:00+00:00,19.64,19.66,19.64,19.65,19.65,781.0
2020-08-27 04:00:00+00:00,19.65,19.7,19.65,19.7,19.7,344.0
2020-08-28 04:00:00+00:00,19.77,19.77,19.77,19.77,19.77,100.0
2020-08-31 04:00:00+00:00,19.52,19.52,19.52,19.52,19.52,100.0
2020-09-02 04:00:00+00:00,19.18,19.18,19.15,19.15,19.15,200.0
2020-09-03 04:00:00+00:00,19.15,19.15,19.15,19.15,19.15,619.0
2020-09-04 04:00:00+00:00,19.11,19.11,19.09,19.09,19.09,355.0
2020-09-08 04:00:00+00:00,18.88,18.88,18.88,18.88,18.88,829.0
2020-09-09 04:00:00+00:00,19.2,19.2,19.2,19.2,19.2,400.0
2020-09-10 04:00:00+00:00,19.28,19.68,19.28,19.68,19.68,400.0
2020-09-11 04:00:00+00:00,19.56,19.56,19.56,19.56,19.56,115.0
2020-09-14 04:00:00+00:00,19.76,19.76,19.76,19.76,19.76,300.0
2020-09-16 04:00:00+00:00,19.91,19.91,19.88,19.91,19.91,948.0
2020-09-18 04:00:00+00:00,19.77,19.94,19.76,19.92,19.92,600.0
2020-09-21 04:00:00+00:00,19.69,19.69,19.69,19.69,19.69,566.0
2020-09-22 04:00:00+00:00,19.98,19.98,19.98,19.98,19.98,285.0
2020-09-23 04:00:00+00:00,19.81,19.95,19.44,19.44,19.44,6100.0
2020-09-28 04:00:00+00:00,19.58,19.68,19.58,19.67,19.67,459.0
2020-09-29 04:00:00+00:00,19.65,19.7,19.65,19.7,19.7,300.0
2020-09-30 04:00:00+00:00,19.77,19.88,19.77,19.78,19.78,300.0
2020-10-01 04:00:00+00:00,19.75,19.82,19.75,19.82,19.82,300.0
2020-10-02 04:00:00+00:00,19.56,19.56,19.56,19.56,19.56,377.0
2020-10-05 04:00:00+00:00,19.83,19.91,19.83,19.91,19.91,1200.0
2020-10-06 04:00:00+00:00,20.05,20.07,20.05,20.06,20.06,300.0
2020-10-07 04:00:00+00:00,20.24,20.29,20.24,20.26,20.26,1124.0
2020-10-08 04:00:00+00:00,20.42,20.42,20.42,20.42,20.42,212.0
2020-10-09 04:00:00+00:00,20.43,20.43,20.27,20.27,20.27,453.0
2020-10-12 04:00:00+00:00,20.18,20.18,19.82,20.12,20.12,500.0
2020-10-16 04:00:00+00:00,20.15,20.15,19.95,19.95,19.95,3007.0
2020-10-20 04:00:00+00:00,20.08,20.08,20.04,20.04,20.04,200.0
2020-10-21 04:00:00+00:00,19.89,19.89,19.88,19.88,19.88,200.0
2020-10-22 04:00:00+00:00,20.02,20.02,20.02,20.02,20.02,600.0
2020-10-26 04:00:00+00:00,20.07,20.07,20.07,20.07,20.07,315.0
2020-10-27 04:00:00+00:00,19.89,19.89,19.89,19.89,19.89,100.0
2020-10-29 04:00:00+00:00,19.44,19.54,19.41,19.54,19.54,891.0
2020-10-30 04:00:00+00:00,19.64,19.64,19.64,19.64,19.64,100.0
2020-11-04 05:00:00+00:00,20.29,20.29,20.29,20.29,20.29,380.0
2020-11-05 05:00:00+00:00,20.56,20.56,20.56,20.56,20.56,460.0
2020-11-06 05:00:00+00:00,20.36,20.36,20.35,20.36,20.36,500.0
2020-11-09 05:00:00+00:00,20.56,20.57,20.56,20.57,20.57,504.0
2020-11-10 05:00:00+00:00,20.48,20.48,20.47,20.47,20.47,357.0
2020-11-12 05:00:00+00:00,20.45,20.45,20.45,20.45,20.45,108.0
2020-11-13 05:00:00+00:00,20.48,20.48,20.48,20.48,20.48,100.0
2020-11-16 05:00:00+00:00,20.26,20.35,20.15,20.32,20.32,700.0
2020-11-18 05:00:00+00:00,20.37,20.37,20.36,20.37,20.37,318.0
2020-11-19 05:00:00+00:00,20.19,20.38,20.15,20.15,20.15,1293.0
2020-11-20 05:00:00+00:00,20.22,20.22,20.22,20.22,20.22,100.0
2020-11-25 05:00:00+00:00,20.4,20.48,20.4,20.48,20.48,608.0
2020-11-30 05:00:00+00:00,20.26,20.35,20.26,20.35,20.35,457.0
2020-12-01 05:00:00+00:00,20.5,20.5,20.5,20.5,20.5,295.0
2020-12-02 05:00:00+00:00,20.52,20.52,20.52,20.52,20.52,100.0
2020-12-03 05:00:00+00:00,20.65,20.65,20.64,20.64,20.64,400.0
2020-12-10 05:00:00+00:00,20.88,20.88,20.88,20.88,20.88,110.0
2020-12-11 05:00:00+00:00,20.93,20.93,20.93,20.93,20.93,100.0
2020-12-14 05:00:00+00:00,20.93,20.93,20.93,20.93,20.93,610.0
2020-12-16 05:00:00+00:00,21.1,21.1,21.1,21.1,21.1,143.0
2020-12-18 05:00:00+00:00,21.04,21.04,21.03,21.03,21.03,200.0
2020-12-23 05:00:00+00:00,20.72,21.09,20.72,21.09,21.09,575.0
2020-12-29 05:00:00+00:00,21.09,21.1,21.09,21.1,21.1,340.0
2020-12-30 05:00:00+00:00,21.01,21.01,21.01,21.01,21.01,100.0
2020-12-31 05:00:00+00:00,21.18,21.18,21.09,21.09,21.09,600.0
2021-01-04 05:00:00+00:00,20.74,20.92,20.74,20.92,20.92,200.0
2021-01-06 05:00:00+00:00,20.88,20.88,20.88,20.88,20.88,100.0
2021-01-07 05:00:00+00:00,20.85,20.87,20.85,20.87,20.87,871.0
2021-01-08 05:00:00+00:00,20.85,20.85,20.85,20.85,20.85,100.0
2021-01-11 05:00:00+00:00,20.68,20.68,20.6,20.67,20.67,914.0
2021-01-12 05:00:00+00:00,20.58,20.58,20.26,20.32,20.32,971.0
2021-01-13 05:00:00+00:00,20.48,20.48,20.47,20.47,20.47,287.0
2021-01-14 05:00:00+00:00,20.87,20.87,20.87,20.87,20.87,101.0
2021-01-20 05:00:00+00:00,20.94,21.21,20.93,21.21,21.21,433.0
2021-01-21 05:00:00+00:00,21.16,21.21,21.16,21.21,21.21,300.0
2021-01-25 05:00:00+00:00,21.28,21.28,21.17,21.17,21.17,700.0
2021-01-27 05:00:00+00:00,20.92,20.92,20.68,20.68,20.68,2160.0
2021-01-28 05:00:00+00:00,20.83,20.83,20.83,20.83,20.83,110.0
2021-01-29 05:00:00+00:00,20.83,20.85,20.82,20.84,20.84,1830.0
2021-02-02 05:00:00+00:00,21.03,21.03,21.03,21.03,21.03,200.0
2021-02-03 05:00:00+00:00,20.96,21.01,20.76,20.76,20.76,1302.0
2021-02-04 05:00:00+00:00,20.83,20.91,20.83,20.91,20.91,208.0
2021-02-05 05:00:00+00:00,21.03,21.03,21.03,21.03,21.03,494.0
2021-02-11 05:00:00+00:00,20.81,20.81,20.72,20.72,20.72,925.0
2021-02-12 05:00:00+00:00,20.58,20.58,20.48,20.51,20.51,480.0
2021-02-16 05:00:00+00:00,20.49,20.49,20.4,20.4,20.4,410.0
2021-02-17 05:00:00+00:00,20.43,20.43,20.43,20.43,20.43,200.0
2021-02-18 05:00:00+00:00,20.49,20.49,20.49,20.49,20.49,100.0
2021-02-19 05:00:00+00:00,20.22,20.22,20.22,20.22,20.22,200.0
2021-02-22 05:00:00+00:00,20.24,20.24,20.16,20.16,20.16,718.0
2021-02-23 05:00:00+00:00,20.17,20.42,20.17,20.42,20.42,305.0
2021-02-24 05:00:00+00:00,20.23,20.23,20.23,20.23,20.23,100.0
2021-02-25 05:00:00+00:00,20.33,20.33,20.31,20.31,20.31,282.0
2021-02-26 05:00:00+00:00,20.47,20.47,20.47,20.47,20.47,163.0
2021-03-01 05:00:00+00:00,20.41,20.41,20.41,20.41,20.41,300.0
2021-03-02 05:00:00+00:00,20.73,20.73,20.73,20.73,20.73,192.0
2021-03-04 05:00:00+00:00,20.83,20.87,20.83,20.87,20.87,200.0
2021-03-05 05:00:00+00:00,21.06,21.06,21.06,21.06,21.06,270.0
2021-03-08 05:00:00+00:00,21.22,21.22,21.22,21.22,21.22,300.0
2021-03-09 05:00:00+00:00,21.25,21.25,21.25,21.25,21.25,630.0
2021-03-15 04:00:00+00:00,21.1,21.1,21.1,21.1,21.1,392.0
2021-03-17 04:00:00+00:00,21.45,21.45,21.45,21.45,21.45,200.0
2021-03-18 04:00:00+00:00,21.2,21.21,21.15,21.21,21.21,300.0
2021-03-22 04:00:00+00:00,21.2,21.2,21.2,21.2,21.2,104.0
2021-03-23 04:00:00+00:00,21.23,21.23,21.19,21.19,21.19,300.0
2021-03-24 04:00:00+00:00,21.27,21.51,21.27,21.51,21.51,400.0
2021-03-25 04:00:00+00:00,21.35,21.35,21.35,21.35,21.35,100.0
2021-03-26 04:00:00+00:00,21.24,21.24,21.24,21.24,21.24,200.0
2021-03-29 04:00:00+00:00,21.11,21.24,21.11,21.24,21.24,561.0
2021-03-31 04:00:00+00:00,21.31,21.34,21.18,21.31,21.31,2411.0
2021-04-01 04:00:00+00:00,21.23,21.47,21.21,21.47,21.47,1390.0
2021-04-05 04:00:00+00:00,21.32,21.47,21.31,21.31,21.31,3325.0
2021-04-06 04:00:00+00:00,21.44,21.58,21.44,21.58,21.58,1834.0
2021-04-07 04:00:00+00:00,21.51,21.51,21.49,21.49,21.49,200.0
2021-04-08 04:00:00+00:00,21.42,21.56,21.42,21.56,21.56,542.0
2021-04-12 04:00:00+00:00,21.42,21.42,21.42,21.42,21.42,150.0
2021-04-13 04:00:00+00:00,21.55,21.55,21.55,21.55,21.55,300.0
2021-04-14 04:00:00+00:00,21.4,21.4,21.37,21.37,21.37,900.0
2021-04-15 04:00:00+00:00,21.54,21.56,21.5,21.5,21.5,1191.0
2021-04-16 04:00:00+00:00,21.62,21.62,21.56,21.56,21.56,808.0
2021-04-19 04:00:00+00:00,21.5,21.59,21.5,21.54,21.54,429.0
2021-04-20 04:00:00+00:00,21.44,21.44,21.44,21.44,21.44,200.0
2021-04-21 04:00:00+00:00,21.53,21.55,21.51,21.55,21.55,928.0
