Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,32.73,32.73,32.63,32.67,32.67,1311.0
2020-07-28 04:00:00+00:00,32.81,32.83,32.62,32.62,32.62,4671.0
2020-07-29 04:00:00+00:00,32.86,32.89,32.57,32.62,32.62,4184.0
2020-07-30 04:00:00+00:00,32.57,32.9,32.46,32.73,32.73,4163.0
2020-07-31 04:00:00+00:00,32.85,33.01,32.69,32.8,32.8,7319.0
2020-08-03 04:00:00+00:00,32.72,32.73,32.4,32.4,32.4,3096.0
2020-08-04 04:00:00+00:00,32.65,32.68,32.52,32.56,32.56,5736.0
2020-08-05 04:00:00+00:00,32.79,32.79,32.49,32.54,32.54,6654.0
2020-08-06 04:00:00+00:00,32.62,32.65,32.45,32.57,32.57,7304.0
2020-08-07 04:00:00+00:00,32.71,32.82,32.7,32.8,32.8,3403.0
2020-08-10 04:00:00+00:00,32.6,32.7,32.51,32.57,32.57,4822.0
2020-08-11 04:00:00+00:00,32.66,32.76,32.61,32.69,32.69,1911.0
2020-08-12 04:00:00+00:00,32.87,32.91,32.77,32.8,32.8,2936.0
2020-08-13 04:00:00+00:00,32.9,33.01,32.89,32.9,32.9,5795.0
2020-08-14 04:00:00+00:00,32.76,32.86,32.76,32.81,32.81,763.0
2020-08-17 04:00:00+00:00,32.81,32.87,32.76,32.87,32.87,4976.0
2020-08-18 04:00:00+00:00,32.81,32.81,32.73,32.74,32.74,1996.0
2020-08-19 04:00:00+00:00,32.76,32.9,32.69,32.69,32.69,4452.0
2020-08-20 04:00:00+00:00,32.62,32.76,32.62,32.73,32.73,3834.0
2020-08-21 04:00:00+00:00,32.81,32.88,32.77,32.86,32.86,4410.0
2020-08-24 04:00:00+00:00,32.81,32.94,32.81,32.94,32.94,1321.0
2020-08-25 04:00:00+00:00,33.02,33.06,33.02,33.06,33.06,632.0
2020-08-26 04:00:00+00:00,33.07,33.21,33.07,33.21,33.21,649.0
2020-08-27 04:00:00+00:00,33.16,33.21,33.09,33.13,33.13,10738.0
2020-08-28 04:00:00+00:00,32.95,33.04,32.94,33.04,33.04,5110.0
2020-08-31 04:00:00+00:00,32.85,32.87,32.76,32.83,32.83,3671.0
2020-09-01 04:00:00+00:00,32.8,32.8,32.49,32.54,32.54,2337.0
2020-09-02 04:00:00+00:00,32.63,32.77,32.41,32.58,32.58,12572.0
2020-09-03 04:00:00+00:00,32.66,32.75,32.33,32.38,32.38,16005.0
2020-09-04 04:00:00+00:00,32.47,32.49,32.33,32.49,32.49,22414.0
2020-09-08 04:00:00+00:00,32.61,32.97,32.5,32.71,32.71,11148.0
2020-09-09 04:00:00+00:00,32.77,32.81,32.59,32.61,32.61,2582.0
2020-09-10 04:00:00+00:00,32.56,32.64,32.52,32.59,32.59,5158.0
2020-09-11 04:00:00+00:00,32.87,32.87,32.65,32.76,32.76,4308.0
2020-09-14 04:00:00+00:00,33.06,33.06,32.93,32.94,32.94,3547.0
2020-09-15 04:00:00+00:00,33.14,33.18,33.0,33.0,33.0,3545.0
2020-09-16 04:00:00+00:00,33.01,33.01,32.87,32.87,32.87,1974.0
2020-09-17 04:00:00+00:00,33.05,33.07,32.95,33.01,33.01,3461.0
2020-09-18 04:00:00+00:00,33.14,33.18,32.78,32.9,32.9,9570.0
2020-09-21 04:00:00+00:00,32.83,32.92,32.8,32.92,32.92,6612.0
2020-09-22 04:00:00+00:00,32.89,32.96,32.81,32.95,32.95,1850.0
2020-09-23 04:00:00+00:00,32.52,32.53,32.44,32.53,32.53,4776.0
2020-09-24 04:00:00+00:00,32.33,32.34,32.17,32.23,32.23,7929.0
2020-09-25 04:00:00+00:00,32.41,32.53,32.37,32.52,32.52,8752.0
2020-09-28 04:00:00+00:00,32.79,32.83,32.65,32.69,32.69,4733.0
2020-09-29 04:00:00+00:00,32.79,32.89,32.79,32.88,32.88,20400.0
2020-09-30 04:00:00+00:00,32.66,32.7,32.24,32.24,32.24,25940.0
2020-10-01 04:00:00+00:00,32.41,32.42,32.31,32.4,32.4,13873.0
2020-10-02 04:00:00+00:00,32.31,32.47,32.27,32.39,32.39,6342.0
2020-10-05 04:00:00+00:00,32.85,32.87,32.74,32.79,32.79,12923.0
2020-10-06 04:00:00+00:00,32.88,33.03,32.86,32.89,32.89,24339.0
2020-10-07 04:00:00+00:00,32.73,32.81,32.68,32.77,32.77,15449.0
2020-10-08 04:00:00+00:00,33.0,33.0,32.77,32.79,32.79,7278.0
2020-10-09 04:00:00+00:00,32.85,32.97,32.8,32.91,32.91,10348.0
2020-10-12 04:00:00+00:00,32.9,32.97,32.81,32.95,32.95,8492.0
2020-10-13 04:00:00+00:00,32.95,33.08,32.89,32.93,32.93,11420.0
2020-10-14 04:00:00+00:00,32.97,33.09,32.77,32.9,32.9,23573.0
2020-10-15 04:00:00+00:00,32.74,32.75,32.55,32.65,32.65,7222.0
2020-10-16 04:00:00+00:00,32.66,32.77,32.65,32.68,32.68,5095.0
2020-10-19 04:00:00+00:00,32.94,32.94,32.72,32.73,32.73,5715.0
2020-10-20 04:00:00+00:00,32.89,32.91,32.79,32.81,32.81,9031.0
2020-10-21 04:00:00+00:00,32.92,33.12,32.92,32.95,32.95,12797.0
2020-10-22 04:00:00+00:00,33.05,33.16,33.02,33.16,33.16,6495.0
2020-10-23 04:00:00+00:00,33.31,33.44,33.31,33.38,33.38,4152.0
2020-10-26 04:00:00+00:00,33.54,33.55,33.45,33.52,33.52,8178.0
2020-10-27 04:00:00+00:00,33.7,33.82,33.66,33.78,33.78,6476.0
2020-10-28 04:00:00+00:00,33.52,33.54,33.38,33.38,33.38,8892.0
2020-10-29 04:00:00+00:00,33.23,33.34,33.22,33.31,33.31,3498.0
2020-10-30 04:00:00+00:00,33.25,33.67,33.22,33.62,33.62,5693.0
2020-11-02 05:00:00+00:00,33.96,34.1,33.96,34.03,34.03,2677.0
2020-11-03 05:00:00+00:00,34.08,34.17,34.05,34.13,34.13,6010.0
2020-11-04 05:00:00+00:00,34.07,34.18,34.0,34.0,34.0,1510.0
2020-11-05 05:00:00+00:00,34.15,34.38,34.15,34.36,34.36,3741.0
2020-11-06 05:00:00+00:00,34.27,34.37,34.18,34.32,34.32,3334.0
2020-11-09 05:00:00+00:00,34.51,34.51,34.39,34.4,34.4,2736.0
2020-11-10 05:00:00+00:00,34.34,34.43,34.11,34.17,34.17,6057.0
2020-11-11 05:00:00+00:00,34.46,34.5,34.28,34.3,34.3,9415.0
2020-11-12 05:00:00+00:00,34.18,34.23,34.11,34.11,34.11,1001.0
2020-11-13 05:00:00+00:00,34.15,34.21,34.15,34.16,34.16,3393.0
2020-11-16 05:00:00+00:00,33.9,33.93,33.76,33.84,33.84,2062.0
2020-11-17 05:00:00+00:00,34.0,34.0,33.88,33.91,33.91,5821.0
