Date,Open,High,Low,Close,Adj Close,Volume
2020-11-24 05:00:00+00:00,9.365,9.441,9.365,9.441,9.441,300.0
2020-11-30 05:00:00+00:00,9.47,9.475,9.47,9.47,9.47,1747.0
2020-12-11 05:00:00+00:00,9.728,9.728,9.728,9.728,9.728,100.0
2020-12-14 05:00:00+00:00,9.709,9.709,9.666,9.666,9.666,300.0
2020-12-15 05:00:00+00:00,9.738,9.738,9.662,9.662,9.662,3900.0
2020-12-24 05:00:00+00:00,9.671,9.671,9.671,9.671,9.671,100.0
2020-12-28 05:00:00+00:00,9.757,9.757,9.757,9.757,9.757,100.0
2020-12-29 05:00:00+00:00,9.767,9.767,9.767,9.767,9.767,100.0
2020-12-30 05:00:00+00:00,9.738,9.738,9.738,9.738,9.738,101.0
2021-01-06 05:00:00+00:00,9.815,9.815,9.786,9.786,9.786,900.0
2021-01-07 05:00:00+00:00,9.767,9.767,9.757,9.757,9.757,500.0
2021-01-08 05:00:00+00:00,9.853,9.853,9.853,9.853,9.853,1049.0
2021-01-12 05:00:00+00:00,9.977,9.977,9.977,9.977,9.977,200.0
2021-01-13 05:00:00+00:00,9.958,9.996,9.948,9.996,9.996,5200.0
2021-01-14 05:00:00+00:00,10.04,10.08,10.04,10.08,10.08,200.0
2021-01-15 05:00:00+00:00,10.07,10.07,9.968,9.977,9.977,1482.0
2021-01-19 05:00:00+00:00,9.939,10.04,9.939,10.04,10.04,500.0
2021-01-20 05:00:00+00:00,9.948,9.968,9.929,9.944,9.944,700.0
2021-01-21 05:00:00+00:00,10.03,10.03,10.03,10.03,10.03,100.0
2021-01-25 05:00:00+00:00,10.07,10.24,10.07,10.24,10.24,4035.0
2021-01-27 05:00:00+00:00,10.04,10.04,9.748,9.748,9.748,1924.0
2021-01-28 05:00:00+00:00,9.786,9.824,9.786,9.824,9.824,900.0
2021-02-01 05:00:00+00:00,9.987,9.996,9.91,9.91,9.91,1031.0
2021-02-02 05:00:00+00:00,9.963,9.963,9.91,9.91,9.91,800.0
2021-02-03 05:00:00+00:00,9.948,9.948,9.948,9.948,9.948,111.0
2021-02-04 05:00:00+00:00,9.996,9.996,9.996,9.996,9.996,1000.0
