Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,18.66,18.71,18.66,18.71,18.71,300.0
2020-07-28 04:00:00+00:00,18.66,18.66,18.66,18.66,18.66,100.0
2020-07-29 04:00:00+00:00,18.75,18.75,18.75,18.75,18.75,500.0
2020-07-30 04:00:00+00:00,18.79,18.84,18.77,18.77,18.77,450.0
2020-07-31 04:00:00+00:00,18.91,19.02,18.89,19.02,19.02,1111.0
2020-08-03 04:00:00+00:00,19.02,19.03,19.02,19.03,19.03,712.0
2020-08-04 04:00:00+00:00,18.94,18.94,18.93,18.93,18.93,700.0
2020-08-05 04:00:00+00:00,18.9,18.95,18.9,18.95,18.95,2380.0
2020-08-06 04:00:00+00:00,18.97,19.0,18.97,19.0,19.0,282.0
2020-08-07 04:00:00+00:00,18.92,18.92,18.92,18.92,18.92,100.0
2020-08-10 04:00:00+00:00,19.04,19.04,19.04,19.04,19.04,150.0
2020-08-11 04:00:00+00:00,19.06,19.06,19.02,19.02,19.02,718.0
2020-08-12 04:00:00+00:00,19.03,19.06,19.02,19.04,19.04,1731.0
2020-08-13 04:00:00+00:00,19.09,19.09,19.06,19.06,19.06,1072.0
2020-08-14 04:00:00+00:00,19.13,19.16,19.09,19.16,19.16,500.0
2020-08-17 04:00:00+00:00,19.26,19.26,19.26,19.26,19.26,100.0
2020-08-18 04:00:00+00:00,19.25,19.37,19.25,19.33,19.33,4800.0
2020-08-19 04:00:00+00:00,19.44,19.44,19.44,19.44,19.44,738.0
2020-08-21 04:00:00+00:00,19.43,19.43,19.42,19.42,19.42,1200.0
2020-08-24 04:00:00+00:00,19.41,19.42,19.41,19.41,19.41,2530.0
2020-08-25 04:00:00+00:00,19.4,19.46,19.4,19.46,19.46,3053.0
2020-08-26 04:00:00+00:00,19.5,19.52,19.45,19.45,19.45,2460.0
2020-08-27 04:00:00+00:00,19.45,19.48,19.45,19.48,19.48,2197.0
2020-08-28 04:00:00+00:00,19.48,19.5,19.48,19.5,19.5,300.0
2020-08-31 04:00:00+00:00,19.46,19.52,19.46,19.46,19.46,1981.0
2020-09-01 04:00:00+00:00,19.52,19.55,19.52,19.55,19.55,600.0
2020-09-02 04:00:00+00:00,19.57,19.63,19.48,19.59,19.59,2607.0
2020-09-03 04:00:00+00:00,19.48,19.52,19.46,19.48,19.48,1576.0
2020-09-04 04:00:00+00:00,19.5,19.5,19.32,19.43,19.43,1753.0
2020-09-08 04:00:00+00:00,19.33,19.33,19.13,19.13,19.13,1554.0
2020-09-09 04:00:00+00:00,19.23,19.33,19.23,19.33,19.33,3032.0
2020-09-10 04:00:00+00:00,19.38,19.51,19.38,19.47,19.47,1462.0
2020-09-11 04:00:00+00:00,19.51,19.56,19.51,19.56,19.56,601.0
2020-09-15 04:00:00+00:00,19.53,19.53,19.5,19.5,19.5,315.0
2020-09-16 04:00:00+00:00,19.57,19.57,19.57,19.57,19.57,357.0
2020-09-17 04:00:00+00:00,19.51,19.56,19.51,19.56,19.56,1480.0
2020-09-18 04:00:00+00:00,19.47,19.47,19.47,19.47,19.47,407.0
2020-09-21 04:00:00+00:00,19.23,19.32,19.15,19.16,19.16,18610.0
2020-09-22 04:00:00+00:00,19.23,19.45,19.23,19.43,19.43,1576.0
2020-09-23 04:00:00+00:00,19.4,19.4,19.15,19.18,19.18,5500.0
2020-09-24 04:00:00+00:00,19.15,19.27,19.11,19.26,19.26,2641.0
2020-09-25 04:00:00+00:00,19.3,19.36,19.3,19.32,19.32,1000.0
2020-09-28 04:00:00+00:00,19.44,19.54,19.44,19.54,19.54,900.0
2020-09-29 04:00:00+00:00,19.52,19.53,19.42,19.45,19.45,1409.0
2020-09-30 04:00:00+00:00,19.52,19.53,19.52,19.52,19.52,360.0
2020-10-01 04:00:00+00:00,19.34,19.45,19.34,19.44,19.44,1665.0
2020-10-02 04:00:00+00:00,19.46,19.46,19.46,19.46,19.46,209.0
2020-10-05 04:00:00+00:00,19.57,19.73,19.57,19.73,19.73,6000.0
2020-10-06 04:00:00+00:00,19.7,19.84,19.7,19.81,19.81,700.0
2020-10-07 04:00:00+00:00,19.65,19.65,19.65,19.65,19.65,100.0
2020-10-08 04:00:00+00:00,19.63,19.65,19.5,19.58,19.58,3775.0
2020-10-09 04:00:00+00:00,19.58,19.58,19.55,19.58,19.58,525.0
2020-10-12 04:00:00+00:00,19.55,19.61,19.52,19.52,19.52,1570.0
2020-10-13 04:00:00+00:00,19.57,19.83,19.57,19.83,19.83,3520.0
2020-10-14 04:00:00+00:00,19.77,19.8,19.75,19.8,19.8,1400.0
2020-10-15 04:00:00+00:00,19.77,19.77,19.77,19.77,19.77,300.0
2020-10-16 04:00:00+00:00,19.7,19.73,19.7,19.73,19.73,225.0
2020-10-19 04:00:00+00:00,19.65,19.65,19.65,19.65,19.65,100.0
2020-10-21 04:00:00+00:00,19.71,19.71,19.71,19.71,19.71,400.0
2020-10-22 04:00:00+00:00,19.63,19.67,19.63,19.63,19.63,1144.0
2020-10-23 04:00:00+00:00,19.63,19.8,19.63,19.75,19.75,813.0
2020-10-26 04:00:00+00:00,19.71,19.74,19.64,19.7,19.7,2772.0
2020-10-27 04:00:00+00:00,19.62,19.62,19.61,19.62,19.62,500.0
2020-10-28 04:00:00+00:00,19.54,19.54,19.4,19.4,19.4,949.0
2020-10-29 04:00:00+00:00,19.39,19.41,19.33,19.36,19.36,1260.0
2020-10-30 04:00:00+00:00,19.28,19.37,19.28,19.37,19.37,649.0
2020-11-02 05:00:00+00:00,19.41,19.5,19.38,19.5,19.5,3759.0
2020-11-03 05:00:00+00:00,19.45,19.46,19.36,19.36,19.36,4697.0
2020-11-04 05:00:00+00:00,19.46,19.55,19.45,19.55,19.55,3801.0
2020-11-05 05:00:00+00:00,19.67,19.68,19.65,19.67,19.67,4078.0
2020-11-09 05:00:00+00:00,19.67,19.88,19.67,19.84,19.84,7015.0
2020-11-10 05:00:00+00:00,19.88,19.88,19.73,19.73,19.73,4647.0
2020-11-11 05:00:00+00:00,19.82,19.87,19.82,19.83,19.83,500.0
2020-11-12 05:00:00+00:00,19.84,19.84,19.84,19.84,19.84,600.0
2020-11-13 05:00:00+00:00,19.93,19.93,19.92,19.93,19.93,963.0
2020-11-16 05:00:00+00:00,19.89,19.99,19.89,19.98,19.98,5107.0
2020-11-17 05:00:00+00:00,19.94,20.04,19.94,20.04,20.04,500.0
2020-11-18 05:00:00+00:00,20.04,20.11,20.04,20.05,20.05,798.0
2020-11-19 05:00:00+00:00,20.06,20.07,20.06,20.07,20.07,4095.0
2020-11-20 05:00:00+00:00,20.03,20.07,20.03,20.07,20.07,600.0
2020-11-23 05:00:00+00:00,20.06,20.07,20.02,20.02,20.02,1158.0
2020-11-24 05:00:00+00:00,20.09,20.09,20.09,20.09,20.09,640.0
2020-11-25 05:00:00+00:00,20.2,20.2,20.13,20.13,20.13,500.0
2020-11-27 05:00:00+00:00,20.13,20.13,20.13,20.13,20.13,200.0
2020-11-30 05:00:00+00:00,20.09,20.2,20.09,20.18,20.18,3231.0
2020-12-01 05:00:00+00:00,20.2,20.34,20.2,20.32,20.32,3680.0
2020-12-02 05:00:00+00:00,20.32,20.33,20.32,20.33,20.33,2600.0
2020-12-03 05:00:00+00:00,20.31,20.33,20.29,20.32,20.32,2342.0
2020-12-04 05:00:00+00:00,20.34,20.34,20.27,20.32,20.32,1551.0
2020-12-07 05:00:00+00:00,20.31,20.34,20.3,20.31,20.31,848.0
2020-12-08 05:00:00+00:00,20.31,20.35,20.31,20.34,20.34,6955.0
2020-12-09 05:00:00+00:00,20.36,20.37,20.35,20.37,20.37,5643.0
2020-12-10 05:00:00+00:00,20.33,20.34,20.33,20.34,20.34,800.0
2020-12-11 05:00:00+00:00,20.37,20.38,20.37,20.37,20.37,500.0
2020-12-14 05:00:00+00:00,20.39,20.4,20.38,20.4,20.4,9837.0
2020-12-15 05:00:00+00:00,20.44,20.55,20.41,20.55,20.55,900.0
2020-12-16 05:00:00+00:00,20.49,20.52,20.47,20.52,20.52,2701.0
2020-12-17 05:00:00+00:00,20.53,20.56,20.53,20.56,20.56,792.0
2020-12-18 05:00:00+00:00,20.52,20.56,20.52,20.55,20.55,2360.0
2020-12-21 05:00:00+00:00,20.63,20.68,20.6,20.68,20.68,6957.0
2020-12-22 05:00:00+00:00,20.63,20.65,20.55,20.55,20.55,3160.0
2020-12-23 05:00:00+00:00,20.58,20.58,20.58,20.58,20.58,359.0
2020-12-24 05:00:00+00:00,20.57,20.62,20.57,20.58,20.58,330.0
2020-12-28 05:00:00+00:00,20.56,20.59,20.52,20.54,20.54,2100.0
2020-12-29 05:00:00+00:00,20.57,20.57,20.57,20.57,20.57,300.0
2020-12-30 05:00:00+00:00,20.64,20.69,20.64,20.68,20.68,9454.0
2020-12-31 05:00:00+00:00,20.73,20.87,20.73,20.83,20.83,3973.0
2021-01-04 05:00:00+00:00,20.75,20.75,20.47,20.58,20.58,2297.0
2021-01-05 05:00:00+00:00,20.55,20.55,20.44,20.47,20.47,621.0
2021-01-06 05:00:00+00:00,20.28,20.28,20.14,20.14,20.14,920.0
2021-01-07 05:00:00+00:00,20.12,20.16,19.85,20.14,20.14,3046.0
2021-01-08 05:00:00+00:00,20.18,20.41,20.18,20.3,20.3,834.0
2021-01-11 05:00:00+00:00,20.19,20.19,19.98,19.98,19.98,588.0
2021-01-12 05:00:00+00:00,20.04,20.04,19.84,19.97,19.97,8590.0
2021-01-13 05:00:00+00:00,20.13,20.34,20.13,20.32,20.32,775.0
2021-01-14 05:00:00+00:00,20.32,20.43,20.32,20.41,20.41,1270.0
2021-01-15 05:00:00+00:00,20.44,20.44,20.44,20.44,20.44,225.0
2021-01-19 05:00:00+00:00,20.55,20.68,20.52,20.68,20.68,3000.0
2021-01-20 05:00:00+00:00,20.68,20.77,20.68,20.77,20.77,800.0
2021-01-21 05:00:00+00:00,20.72,20.72,20.72,20.72,20.72,300.0
2021-01-22 05:00:00+00:00,20.76,20.76,20.74,20.76,20.76,800.0
2021-01-25 05:00:00+00:00,20.76,20.76,20.66,20.66,20.66,240.0
2021-01-26 05:00:00+00:00,20.64,20.64,20.57,20.57,20.57,1864.0
2021-01-27 05:00:00+00:00,20.52,20.52,20.4,20.46,20.46,6700.0
2021-01-28 05:00:00+00:00,20.41,20.48,20.3,20.37,20.37,1129.0
2021-01-29 05:00:00+00:00,20.26,20.38,20.26,20.38,20.38,600.0
2021-02-01 05:00:00+00:00,20.51,20.51,20.44,20.44,20.44,631.0
2021-02-02 05:00:00+00:00,20.54,20.54,20.48,20.48,20.48,1083.0
2021-02-03 05:00:00+00:00,20.46,20.49,20.4,20.4,20.4,2698.0
2021-02-04 05:00:00+00:00,20.3,20.41,20.29,20.34,20.34,2870.0
2021-02-05 05:00:00+00:00,20.47,20.54,20.46,20.46,20.46,600.0
2021-02-08 05:00:00+00:00,20.47,20.47,20.47,20.47,20.47,100.0
