Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,16.23,16.23,15.72,16.06,16.06,14282.0
2020-07-28 04:00:00+00:00,16.34,16.83,16.27,16.3,16.3,17200.0
2020-07-29 04:00:00+00:00,17.18,19.62,17.18,19.48,19.48,58022.0
2020-07-30 04:00:00+00:00,19.04,19.93,18.85,19.76,19.76,28228.0
2020-07-31 04:00:00+00:00,20.65,22.77,20.64,22.22,22.22,81949.0
2020-08-03 04:00:00+00:00,22.17,23.79,22.1,23.09,23.09,55146.0
2020-08-04 04:00:00+00:00,23.09,23.57,22.02,22.07,22.07,40765.0
2020-08-05 04:00:00+00:00,22.33,22.44,21.78,22.35,22.35,25182.0
2020-08-06 04:00:00+00:00,22.14,22.53,22.14,22.27,22.27,22612.0
2020-08-07 04:00:00+00:00,22.23,22.76,21.87,22.76,22.76,35528.0
2020-08-10 04:00:00+00:00,23.24,24.18,23.24,23.95,23.95,32875.0
2020-08-11 04:00:00+00:00,24.5,25.23,23.83,23.91,23.91,14065.0
2020-08-12 04:00:00+00:00,24.16,24.36,23.64,24.34,24.34,13442.0
2020-08-13 04:00:00+00:00,24.25,24.25,23.36,23.53,23.53,13664.0
2020-08-14 04:00:00+00:00,23.28,24.21,23.28,24.03,24.03,16935.0
2020-08-17 04:00:00+00:00,23.81,24.0,23.38,23.87,23.87,13170.0
2020-08-18 04:00:00+00:00,23.67,23.9,23.25,23.36,23.36,24254.0
2020-08-19 04:00:00+00:00,23.45,24.03,23.45,23.68,23.68,20494.0
2020-08-20 04:00:00+00:00,23.58,23.6,23.28,23.32,23.32,8826.0
2020-08-21 04:00:00+00:00,22.92,23.17,22.68,22.82,22.82,5995.0
2020-08-24 04:00:00+00:00,23.02,23.56,22.87,23.42,23.42,23380.0
2020-08-25 04:00:00+00:00,23.51,23.63,22.91,23.63,23.63,7432.0
2020-08-26 04:00:00+00:00,23.56,23.63,23.06,23.06,23.06,5572.0
2020-08-27 04:00:00+00:00,23.34,23.56,23.29,23.44,23.44,7071.0
2020-08-28 04:00:00+00:00,23.44,23.57,22.89,23.27,23.27,4206.0
2020-08-31 04:00:00+00:00,22.66,22.74,22.43,22.54,22.54,8324.0
2020-09-01 04:00:00+00:00,22.35,22.67,22.05,22.14,22.14,6311.0
2020-09-02 04:00:00+00:00,22.18,23.02,22.08,22.94,22.94,6024.0
2020-09-03 04:00:00+00:00,23.4,23.52,21.98,22.12,22.12,12012.0
