Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,9.358,9.358,9.319,9.325,9.325,415.0
2020-07-28 04:00:00+00:00,9.319,9.452,9.319,9.446,9.446,1021.0
2020-07-29 04:00:00+00:00,9.467,9.597,9.467,9.585,9.585,12363.0
2020-07-30 04:00:00+00:00,9.524,9.554,9.476,9.512,9.512,3804.0
2020-07-31 04:00:00+00:00,9.609,9.609,9.452,9.452,9.452,1050.0
2020-08-03 04:00:00+00:00,9.518,9.585,9.503,9.558,9.558,3310.0
2020-08-04 04:00:00+00:00,9.518,9.627,9.509,9.627,9.627,665.0
2020-08-05 04:00:00+00:00,9.739,9.884,9.739,9.857,9.857,2953.0
2020-08-06 04:00:00+00:00,9.887,9.887,9.827,9.869,9.869,3362.0
2020-08-07 04:00:00+00:00,9.893,9.911,9.881,9.893,9.893,5043.0
2020-08-10 04:00:00+00:00,9.987,10.04,9.978,10.04,10.04,2242.0
2020-08-11 04:00:00+00:00,9.99,9.99,9.975,9.975,9.975,200.0
2020-08-12 04:00:00+00:00,9.96,9.96,9.914,9.914,9.914,3258.0
2020-08-13 04:00:00+00:00,10.02,10.09,10.02,10.09,10.09,1772.0
2020-08-14 04:00:00+00:00,10.01,10.01,9.997,10.0,10.0,2407.0
2020-08-17 04:00:00+00:00,10.02,10.02,10.02,10.02,10.02,300.0
2020-08-18 04:00:00+00:00,9.936,9.948,9.911,9.911,9.911,420.0
2020-08-19 04:00:00+00:00,9.923,9.93,9.896,9.905,9.905,1300.0
2020-08-20 04:00:00+00:00,9.89,9.902,9.89,9.902,9.902,500.0
2020-08-21 04:00:00+00:00,9.841,9.841,9.832,9.841,9.841,1566.0
2020-08-24 04:00:00+00:00,9.887,9.887,9.844,9.844,9.844,500.0
2020-08-25 04:00:00+00:00,9.838,9.838,9.753,9.753,9.753,1200.0
2020-08-26 04:00:00+00:00,9.753,9.753,9.753,9.753,9.753,100.0
2020-08-27 04:00:00+00:00,9.835,9.85,9.783,9.783,9.783,1911.0
2020-08-28 04:00:00+00:00,9.838,9.853,9.838,9.847,9.847,779.0
2020-08-31 04:00:00+00:00,9.868,9.899,9.759,9.759,9.759,2109.0
2020-09-01 04:00:00+00:00,9.972,9.991,9.893,9.893,9.893,1229.0
2020-09-02 04:00:00+00:00,9.981,10.03,9.981,10.03,10.03,574.0
2020-09-03 04:00:00+00:00,10.06,10.06,10.06,10.06,10.06,100.0
2020-09-04 04:00:00+00:00,9.887,9.887,9.887,9.887,9.887,300.0
2020-09-08 04:00:00+00:00,9.841,9.841,9.807,9.807,9.807,1600.0
2020-09-09 04:00:00+00:00,9.899,9.951,9.89,9.902,9.902,3634.0
2020-09-10 04:00:00+00:00,10.04,10.04,10.01,10.01,10.01,1300.0
2020-09-11 04:00:00+00:00,10.06,10.06,10.06,10.06,10.06,100.0
