Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,21.52,21.56,21.52,21.56,21.56,2590.0
2020-07-28 04:00:00+00:00,21.47,21.47,21.45,21.45,21.45,800.0
2020-07-29 04:00:00+00:00,21.5,21.51,21.5,21.51,21.51,1066.0
2020-07-30 04:00:00+00:00,21.46,21.46,21.44,21.44,21.44,1454.0
2020-07-31 04:00:00+00:00,21.46,21.47,21.42,21.42,21.42,576.0
2020-08-03 04:00:00+00:00,21.36,21.4,21.36,21.4,21.4,1154.0
2020-08-04 04:00:00+00:00,21.36,21.39,21.36,21.39,21.39,1255.0
2020-08-05 04:00:00+00:00,21.48,21.49,21.48,21.48,21.48,2300.0
2020-08-06 04:00:00+00:00,21.38,21.41,21.38,21.41,21.41,1695.0
2020-08-07 04:00:00+00:00,21.3,21.3,21.27,21.28,21.28,2140.0
2020-08-10 04:00:00+00:00,21.33,21.33,21.24,21.24,21.24,4805.0
2020-08-11 04:00:00+00:00,21.3,21.33,21.29,21.32,21.32,2692.0
2020-08-12 04:00:00+00:00,21.24,21.26,21.24,21.25,21.25,1112.0
2020-08-13 04:00:00+00:00,21.28,21.29,21.27,21.27,21.27,2838.0
2020-08-14 04:00:00+00:00,21.3,21.3,21.26,21.26,21.26,1798.0
2020-08-17 04:00:00+00:00,21.25,21.26,21.25,21.26,21.26,1984.0
2020-08-18 04:00:00+00:00,21.31,21.32,21.29,21.32,21.32,1502.0
2020-08-19 04:00:00+00:00,21.39,21.39,21.39,21.39,21.39,700.0
2020-08-20 04:00:00+00:00,21.22,21.26,21.22,21.26,21.26,5831.0
2020-08-21 04:00:00+00:00,21.22,21.23,21.2,21.23,21.23,1217.0
2020-08-24 04:00:00+00:00,21.26,21.26,21.25,21.25,21.25,1556.0
2020-08-25 04:00:00+00:00,21.25,21.25,21.22,21.22,21.22,5300.0
2020-08-26 04:00:00+00:00,21.24,21.24,21.21,21.21,21.21,1200.0
2020-08-27 04:00:00+00:00,21.22,21.22,21.2,21.22,21.22,1300.0
2020-08-28 04:00:00+00:00,21.37,21.46,21.3,21.46,21.46,5637.0
2020-08-31 04:00:00+00:00,21.4,21.41,21.38,21.41,21.41,3900.0
2020-09-01 04:00:00+00:00,21.53,21.53,21.5,21.5,21.5,1200.0
2020-09-02 04:00:00+00:00,21.38,21.41,21.36,21.39,21.39,901.0
2020-09-03 04:00:00+00:00,21.44,21.44,21.36,21.39,21.39,6817.0
2020-09-04 04:00:00+00:00,21.3,21.32,21.3,21.32,21.32,900.0
2020-09-08 04:00:00+00:00,21.24,21.3,21.24,21.27,21.27,1250.0
2020-09-09 04:00:00+00:00,21.37,21.4,21.37,21.4,21.4,3944.0
2020-09-10 04:00:00+00:00,21.4,21.4,21.34,21.34,21.34,3904.0
2020-09-11 04:00:00+00:00,21.35,21.36,21.34,21.35,21.35,1508.0
2020-09-14 04:00:00+00:00,21.47,21.48,21.44,21.44,21.44,1696.0
2020-09-15 04:00:00+00:00,21.49,21.5,21.48,21.5,21.5,2401.0
2020-09-16 04:00:00+00:00,21.51,21.56,21.51,21.53,21.53,4097.0
2020-09-17 04:00:00+00:00,21.5,21.51,21.49,21.49,21.49,816.0
2020-09-18 04:00:00+00:00,21.53,21.54,21.47,21.47,21.47,2676.0
2020-09-21 04:00:00+00:00,21.31,21.31,21.24,21.27,21.27,1700.0
2020-09-22 04:00:00+00:00,21.32,21.32,21.19,21.19,21.19,6400.0
2020-09-23 04:00:00+00:00,21.09,21.09,21.0,21.0,21.0,1183.0
2020-09-24 04:00:00+00:00,20.93,21.04,20.93,21.04,21.04,905.0
2020-09-25 04:00:00+00:00,20.91,20.91,20.91,20.91,20.91,500.0
2020-09-28 04:00:00+00:00,20.95,20.95,20.88,20.91,20.91,2836.0
2020-09-29 04:00:00+00:00,21.02,21.02,20.96,21.02,21.02,3093.0
2020-09-30 04:00:00+00:00,21.11,21.12,21.09,21.12,21.12,1018.0
2020-10-01 04:00:00+00:00,21.19,21.21,21.19,21.21,21.21,1300.0
2020-10-02 04:00:00+00:00,21.16,21.17,21.16,21.17,21.17,1703.0
2020-10-05 04:00:00+00:00,21.21,21.25,21.21,21.24,21.24,5771.0
2020-10-06 04:00:00+00:00,21.26,21.26,21.17,21.17,21.17,1875.0
2020-10-07 04:00:00+00:00,21.21,21.21,21.17,21.18,21.18,1588.0
2020-10-08 04:00:00+00:00,21.25,21.29,21.24,21.29,21.29,7898.0
2020-10-09 04:00:00+00:00,21.42,21.45,21.42,21.45,21.45,1838.0
2020-10-12 04:00:00+00:00,21.35,21.37,21.35,21.37,21.37,2391.0
2020-10-13 04:00:00+00:00,21.29,21.29,21.26,21.26,21.26,5649.0
2020-10-14 04:00:00+00:00,21.34,21.34,21.3,21.3,21.3,4536.0
2020-10-15 04:00:00+00:00,21.23,21.23,21.23,21.23,21.23,2108.0
2020-10-16 04:00:00+00:00,21.3,21.3,21.3,21.3,21.3,400.0
2020-10-19 04:00:00+00:00,21.34,21.37,21.3,21.3,21.3,3577.0
2020-10-20 04:00:00+00:00,21.33,21.39,21.33,21.38,21.38,565.0
2020-10-21 04:00:00+00:00,21.46,21.46,21.46,21.46,21.46,601.0
2020-10-22 04:00:00+00:00,21.42,21.42,21.35,21.35,21.35,3630.0
2020-10-23 04:00:00+00:00,21.43,21.43,21.43,21.43,21.43,300.0
2020-10-26 04:00:00+00:00,21.39,21.39,21.35,21.35,21.35,700.0
2020-10-27 04:00:00+00:00,21.46,21.46,21.4,21.44,21.44,1290.0
2020-10-28 04:00:00+00:00,21.21,21.21,21.21,21.21,21.21,1500.0
2020-10-29 04:00:00+00:00,21.15,21.24,21.15,21.24,21.24,3281.0
2020-10-30 04:00:00+00:00,21.17,21.17,21.17,21.17,21.17,1723.0
2020-11-02 05:00:00+00:00,21.17,21.17,21.17,21.17,21.17,1100.0
2020-11-03 05:00:00+00:00,21.33,21.33,21.31,21.31,21.31,1938.0
2020-11-04 05:00:00+00:00,21.41,21.41,21.41,21.41,21.41,100.0
2020-11-05 05:00:00+00:00,21.64,21.7,21.64,21.69,21.69,6574.0
2020-11-06 05:00:00+00:00,21.8,21.84,21.8,21.84,21.84,1835.0
2020-11-09 05:00:00+00:00,22.04,22.04,21.94,21.95,21.95,3307.0
2020-11-10 05:00:00+00:00,21.9,21.96,21.88,21.91,21.91,6410.0
2020-11-11 05:00:00+00:00,21.91,21.93,21.91,21.93,21.93,2502.0
2020-11-12 05:00:00+00:00,21.97,22.0,21.92,21.92,21.92,1100.0
2020-11-13 05:00:00+00:00,21.96,21.96,21.95,21.95,21.95,1380.0
2020-11-16 05:00:00+00:00,22.01,22.02,22.01,22.02,22.02,3009.0
2020-11-17 05:00:00+00:00,22.01,22.09,22.01,22.06,22.06,6000.0
2020-11-18 05:00:00+00:00,22.12,22.13,22.12,22.12,22.12,4292.0
2020-11-19 05:00:00+00:00,22.05,22.12,22.05,22.12,22.12,14481.0
2020-11-20 05:00:00+00:00,22.11,22.13,22.11,22.13,22.13,2755.0
2020-11-23 05:00:00+00:00,22.01,22.01,22.01,22.01,22.01,1747.0
2020-11-24 05:00:00+00:00,22.11,22.11,22.11,22.11,22.11,4337.0
2020-11-25 05:00:00+00:00,22.16,22.19,22.16,22.19,22.19,4247.0
2020-11-27 05:00:00+00:00,22.15,22.16,22.15,22.16,22.16,2840.0
2020-11-30 05:00:00+00:00,22.14,22.14,22.14,22.14,22.14,316.0
2020-12-01 05:00:00+00:00,22.25,22.3,22.25,22.28,22.28,2912.0
2020-12-02 05:00:00+00:00,22.28,22.29,22.28,22.29,22.29,1600.0
2020-12-03 05:00:00+00:00,22.44,22.44,22.44,22.44,22.44,3300.0
2020-12-04 05:00:00+00:00,22.47,22.47,22.46,22.47,22.47,1157.0
2020-12-07 05:00:00+00:00,22.52,22.52,22.52,22.52,22.52,3133.0
2020-12-08 05:00:00+00:00,22.55,22.56,22.51,22.51,22.51,4317.0
2020-12-09 05:00:00+00:00,22.54,22.54,22.47,22.47,22.47,1841.0
2020-12-10 05:00:00+00:00,22.58,22.6,22.58,22.6,22.6,4000.0
2020-12-11 05:00:00+00:00,22.55,22.56,22.55,22.56,22.56,1200.0
2020-12-14 05:00:00+00:00,22.56,22.57,22.56,22.57,22.57,2704.0
2020-12-15 05:00:00+00:00,22.62,22.62,22.62,22.62,22.62,546.0
2020-12-16 05:00:00+00:00,22.66,22.7,22.66,22.7,22.7,4138.0
2020-12-17 05:00:00+00:00,22.79,22.8,22.79,22.79,22.79,2132.0
2020-12-18 05:00:00+00:00,22.76,22.76,22.74,22.75,22.75,4452.0
2020-12-21 05:00:00+00:00,22.57,22.63,22.57,22.63,22.63,1799.0
2020-12-22 05:00:00+00:00,22.59,22.6,22.57,22.57,22.57,7404.0
2020-12-23 05:00:00+00:00,22.6,22.6,22.59,22.59,22.59,365.0
2020-12-24 05:00:00+00:00,22.67,22.68,22.67,22.68,22.68,2374.0
2020-12-28 05:00:00+00:00,22.68,22.7,22.68,22.7,22.7,1108.0
2020-12-29 05:00:00+00:00,22.76,22.76,22.74,22.76,22.76,27877.0
2020-12-30 05:00:00+00:00,22.79,22.81,22.79,22.81,22.81,2988.0
2020-12-31 05:00:00+00:00,22.83,22.83,22.81,22.81,22.81,5771.0
2021-01-04 05:00:00+00:00,22.85,22.85,22.85,22.85,22.85,2457.0
2021-01-05 05:00:00+00:00,22.83,22.92,22.83,22.92,22.92,5224.0
2021-01-06 05:00:00+00:00,22.85,22.87,22.85,22.87,22.87,2331.0
2021-01-07 05:00:00+00:00,22.72,22.72,22.67,22.68,22.68,4023.0
2021-01-08 05:00:00+00:00,22.76,22.76,22.64,22.66,22.66,5221.0
2021-01-11 05:00:00+00:00,22.5,22.5,22.47,22.49,22.49,2660.0
2021-01-12 05:00:00+00:00,22.52,22.63,22.51,22.63,22.63,4300.0
2021-01-13 05:00:00+00:00,22.64,22.66,22.63,22.64,22.64,5352.0
2021-01-14 05:00:00+00:00,22.67,22.7,22.67,22.69,22.69,2245.0
2021-01-15 05:00:00+00:00,22.57,22.57,22.57,22.57,22.57,3400.0
2021-01-19 05:00:00+00:00,22.61,22.63,22.6,22.62,22.62,4319.0
2021-01-20 05:00:00+00:00,22.64,22.67,22.64,22.66,22.66,2622.0
2021-01-21 05:00:00+00:00,22.7,22.7,22.66,22.66,22.66,4082.0
2021-01-22 05:00:00+00:00,22.57,22.57,22.56,22.56,22.56,334.0
2021-01-25 05:00:00+00:00,22.46,22.47,22.46,22.47,22.47,1076.0
2021-01-26 05:00:00+00:00,22.55,22.57,22.55,22.56,22.56,3309.0
2021-01-27 05:00:00+00:00,22.42,22.46,22.42,22.44,22.44,2715.0
2021-01-28 05:00:00+00:00,22.46,22.5,22.46,22.49,22.49,7690.0
2021-01-29 05:00:00+00:00,22.5,22.51,22.49,22.5,22.5,10443.0
2021-02-01 05:00:00+00:00,22.49,22.53,22.49,22.5,22.5,15083.0
2021-02-02 05:00:00+00:00,22.53,22.57,22.53,22.56,22.56,2158.0
2021-02-03 05:00:00+00:00,22.59,22.59,22.56,22.56,22.56,6184.0
2021-02-04 05:00:00+00:00,22.43,22.44,22.43,22.44,22.44,1650.0
2021-02-05 05:00:00+00:00,22.55,22.56,22.51,22.52,22.52,4331.0
2021-02-08 05:00:00+00:00,22.51,22.53,22.5,22.53,22.53,8072.0
2021-02-09 05:00:00+00:00,22.55,22.6,22.55,22.59,22.59,77023.0
2021-02-10 05:00:00+00:00,22.64,22.65,22.64,22.65,22.65,3606.0
2021-02-11 05:00:00+00:00,22.68,22.69,22.65,22.68,22.68,3850.0
2021-02-12 05:00:00+00:00,22.61,22.66,22.61,22.61,22.61,14272.0
2021-02-16 05:00:00+00:00,22.54,22.54,22.5,22.5,22.5,5972.0
2021-02-17 05:00:00+00:00,22.45,22.45,22.44,22.44,22.44,604.0
2021-02-18 05:00:00+00:00,22.42,22.42,22.38,22.4,22.4,1388.0
2021-02-19 05:00:00+00:00,22.39,22.4,22.38,22.38,22.38,1753.0
