Date,Open,High,Low,Close,Adj Close,Volume
2022-10-14 04:00:00+00:00,4.596,4.635,4.508,4.61,4.61,2526.0
2022-10-17 04:00:00+00:00,4.683,4.722,4.606,4.62,4.62,33080.0
2022-10-18 04:00:00+00:00,4.64,4.64,4.606,4.625,4.625,6886.0
2022-10-19 04:00:00+00:00,4.654,4.669,4.576,4.596,4.596,46798.0
2022-10-20 04:00:00+00:00,4.654,4.654,4.518,4.528,4.528,1675.0
2022-10-21 04:00:00+00:00,4.557,4.615,4.557,4.615,4.615,350.0
2022-10-24 04:00:00+00:00,4.499,4.518,4.489,4.489,4.489,1640.0
2022-10-25 04:00:00+00:00,4.596,4.635,4.596,4.625,4.625,1259.0
2022-10-26 04:00:00+00:00,4.868,4.887,4.868,4.887,4.887,1101.0
2022-10-27 04:00:00+00:00,4.98,4.994,4.955,4.975,4.975,2394.0
2022-10-28 04:00:00+00:00,4.926,4.994,4.926,4.994,4.994,700.0
2022-10-31 04:00:00+00:00,4.965,5.023,4.941,5.014,5.014,1337.0
2022-11-01 04:00:00+00:00,5.106,5.227,5.072,5.179,5.179,4154.0
2022-11-02 04:00:00+00:00,5.189,5.305,5.189,5.271,5.271,2295.0
2022-11-03 04:00:00+00:00,5.155,5.368,5.155,5.368,5.368,3447.0
2022-11-04 04:00:00+00:00,5.558,5.577,5.47,5.509,5.509,1336.0
2022-11-07 05:00:00+00:00,5.558,5.587,5.558,5.587,5.587,1032.0
2022-11-08 05:00:00+00:00,5.567,5.587,5.48,5.48,5.48,1259.0
2022-11-09 05:00:00+00:00,5.383,5.417,5.189,5.189,5.189,4197.0
2022-11-10 05:00:00+00:00,5.499,5.587,5.402,5.451,5.451,3500.0
2022-11-11 05:00:00+00:00,5.626,5.733,5.626,5.689,5.689,710.0
2022-11-14 05:00:00+00:00,5.703,5.703,5.616,5.616,5.616,412.0
2022-11-15 05:00:00+00:00,5.616,5.616,5.616,5.616,5.616,0.0
2022-11-16 05:00:00+00:00,5.699,5.703,5.694,5.703,5.703,378.0
2022-11-17 05:00:00+00:00,5.626,5.703,5.616,5.703,5.703,405.0
2022-11-18 05:00:00+00:00,5.985,6.165,5.966,6.16,6.16,4967.0
2022-11-21 05:00:00+00:00,6.063,6.097,5.874,5.995,5.995,4900.0
2022-11-22 05:00:00+00:00,6.112,6.335,6.073,6.33,6.33,1041.0
2022-11-23 05:00:00+00:00,6.393,6.393,6.393,6.393,6.393,100.0
2022-11-25 05:00:00+00:00,6.364,6.364,6.364,6.364,6.364,300.0
2022-11-28 05:00:00+00:00,6.344,6.344,6.169,6.169,6.169,300.0
2022-11-29 05:00:00+00:00,6.208,6.208,6.13,6.188,6.188,1327.0
2022-11-30 05:00:00+00:00,6.198,6.432,6.198,6.422,6.422,2063.0
2022-12-01 05:00:00+00:00,6.656,6.656,6.48,6.48,6.48,655.0
2022-12-02 05:00:00+00:00,6.364,6.412,6.364,6.412,6.412,3940.0
2022-12-05 05:00:00+00:00,6.247,6.247,6.086,6.096,6.096,1326.0
2022-12-06 05:00:00+00:00,6.081,6.081,5.915,5.915,5.915,1045.0
2022-12-07 05:00:00+00:00,5.945,5.945,5.945,5.945,5.945,300.0
2022-12-08 05:00:00+00:00,5.974,5.974,5.925,5.925,5.925,403.0
2022-12-09 05:00:00+00:00,5.974,5.974,5.857,5.857,5.857,600.0
2022-12-12 05:00:00+00:00,5.896,5.964,5.896,5.964,5.964,410.0
2022-12-13 05:00:00+00:00,6.12,6.12,6.022,6.022,6.022,9332.0
2022-12-14 05:00:00+00:00,6.091,6.247,6.071,6.247,6.247,531.0
2022-12-15 05:00:00+00:00,6.003,6.003,6.003,6.003,6.003,200.0
2022-12-16 05:00:00+00:00,5.915,5.915,5.867,5.867,5.867,220.0
