Date,Open,High,Low,Close,Adj Close,Volume
2020-07-28 04:00:00+00:00,26.27,26.37,26.1,26.1,26.1,300.0
2020-08-04 04:00:00+00:00,25.5,25.5,25.49,25.49,25.49,300.0
2020-08-11 04:00:00+00:00,25.73,25.73,25.67,25.67,25.67,300.0
2020-08-12 04:00:00+00:00,25.59,25.59,25.58,25.58,25.58,520.0
2020-08-14 04:00:00+00:00,25.63,25.63,25.62,25.62,25.62,200.0
2020-08-17 04:00:00+00:00,25.71,25.71,25.27,25.27,25.27,1386.0
2020-08-21 04:00:00+00:00,25.42,25.42,25.42,25.42,25.42,100.0
2020-08-25 04:00:00+00:00,25.56,25.56,25.56,25.56,25.56,200.0
2020-08-26 04:00:00+00:00,25.47,25.47,25.47,25.47,25.47,227.0
2020-08-31 04:00:00+00:00,25.9,25.9,25.9,25.9,25.9,100.0
2020-09-04 04:00:00+00:00,25.82,25.82,25.8,25.8,25.8,500.0
2020-09-08 04:00:00+00:00,25.77,25.77,25.77,25.77,25.77,100.0
2020-09-09 04:00:00+00:00,25.9,25.9,25.9,25.9,25.9,100.0
2020-09-16 04:00:00+00:00,26.12,26.12,26.12,26.12,26.12,100.0
2020-09-21 04:00:00+00:00,25.65,25.65,25.65,25.65,25.65,100.0
2020-09-22 04:00:00+00:00,25.66,25.66,25.66,25.66,25.66,100.0
2020-09-28 04:00:00+00:00,25.17,25.17,24.97,24.99,24.99,3712.0
2020-10-01 04:00:00+00:00,25.45,25.45,25.45,25.45,25.45,100.0
2020-10-02 04:00:00+00:00,25.28,25.28,25.21,25.23,25.23,456.0
2020-10-13 04:00:00+00:00,25.5,25.5,25.47,25.47,25.47,400.0
2020-10-19 04:00:00+00:00,25.5,25.56,25.5,25.56,25.56,200.0
2020-11-02 05:00:00+00:00,25.43,25.43,25.43,25.43,25.43,106.0
2020-11-04 05:00:00+00:00,25.64,25.75,25.64,25.75,25.75,400.0
2020-11-05 05:00:00+00:00,26.25,26.25,26.24,26.25,26.25,300.0
2020-11-06 05:00:00+00:00,26.5,26.5,26.5,26.5,26.5,400.0
2020-11-10 05:00:00+00:00,26.62,26.75,26.62,26.75,26.75,200.0
2020-11-13 05:00:00+00:00,26.71,26.71,26.71,26.71,26.71,101.0
2020-11-18 05:00:00+00:00,26.98,26.98,26.98,26.98,26.98,100.0
2020-11-19 05:00:00+00:00,26.71,26.71,26.7,26.7,26.7,200.0
2020-11-25 05:00:00+00:00,26.95,26.95,26.94,26.94,26.94,300.0
2020-12-08 05:00:00+00:00,27.5,27.5,27.5,27.5,27.5,100.0
2020-12-09 05:00:00+00:00,27.63,27.63,27.5,27.5,27.5,380.0
2020-12-11 05:00:00+00:00,27.67,27.67,27.67,27.67,27.67,200.0
2020-12-17 05:00:00+00:00,27.84,28.0,27.84,28.0,28.0,400.0
2020-12-21 05:00:00+00:00,27.81,27.81,27.81,27.81,27.81,180.0
2020-12-22 05:00:00+00:00,27.63,27.64,27.52,27.52,27.52,881.0
2020-12-24 05:00:00+00:00,27.83,27.83,27.83,27.83,27.83,100.0
2021-01-07 05:00:00+00:00,27.83,27.83,27.83,27.83,27.83,100.0
2021-01-08 05:00:00+00:00,27.75,27.75,27.75,27.75,27.75,100.0
