Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16 04:00:00+00:00,14.7,18.6,14.7,17.33,17.33,127495.0
2021-07-19 04:00:00+00:00,16.52,18.29,15.955,17.47,17.47,37981.0
2021-07-20 04:00:00+00:00,19.0,19.735,18.45,19.345,19.345,8933.0
2021-07-21 04:00:00+00:00,19.55,20.07,18.71,19.93,19.93,31193.0
2021-07-22 04:00:00+00:00,19.56,20.27,18.935,19.81,19.81,41300.0
2021-07-23 04:00:00+00:00,19.36,20.18,18.88,19.19,19.19,13383.0
2021-07-26 04:00:00+00:00,19.3,19.3,18.195,18.9,18.9,8256.0
2021-07-27 04:00:00+00:00,18.89,19.23,18.2,18.97,18.97,13252.0
2021-07-28 04:00:00+00:00,19.55,20.25,18.7,20.25,20.25,7890.0
2021-07-29 04:00:00+00:00,19.48,21.14,19.48,20.98,20.98,9212.0
2021-07-30 04:00:00+00:00,20.74,21.205,20.74,20.99,20.99,15895.0
2021-08-02 04:00:00+00:00,21.0,21.0,19.07,19.34,19.34,11792.0
2021-08-03 04:00:00+00:00,19.87,20.72,19.87,20.07,20.07,17760.0
2021-08-04 04:00:00+00:00,20.04,20.67,20.02,20.67,20.67,16094.0
2021-08-05 04:00:00+00:00,20.8,21.51,20.31,20.76,20.76,19462.0
2021-08-06 04:00:00+00:00,20.675,21.21,20.605,20.945,20.945,9567.0
2021-08-09 04:00:00+00:00,20.93,21.24,20.93,21.11,21.11,15370.0
2021-08-10 04:00:00+00:00,21.415,22.485,20.07,20.33,20.33,27833.0
2021-08-11 04:00:00+00:00,20.955,21.26,20.365,21.03,21.03,22055.0
2021-08-12 04:00:00+00:00,21.21,21.21,19.41,19.41,19.41,6660.0
2021-08-13 04:00:00+00:00,19.605,20.13,19.02,20.13,20.13,10954.0
2021-08-16 04:00:00+00:00,19.89,20.08,19.39,19.43,19.43,37948.0
2021-08-17 04:00:00+00:00,19.68,20.365,19.4,19.705,19.705,19998.0
2021-08-18 04:00:00+00:00,20.275,20.28,19.31,19.31,19.31,10162.0
2021-08-19 04:00:00+00:00,19.78,20.1,18.9,20.01,20.01,13016.0
2021-08-20 04:00:00+00:00,20.67,21.04,20.25,20.97,20.97,9324.0
2021-08-23 04:00:00+00:00,21.415,21.42,20.76,20.78,20.78,18927.0
2021-08-24 04:00:00+00:00,21.22,21.26,20.885,20.91,20.91,10675.0
2021-08-25 04:00:00+00:00,20.7,22.245,20.7,21.99,21.99,8596.0
2021-08-26 04:00:00+00:00,22.39,23.035,22.25,22.285,22.285,23273.0
2021-08-27 04:00:00+00:00,22.17,23.565,22.17,23.1,23.1,6225.0
2021-08-30 04:00:00+00:00,23.575,23.73,23.35,23.385,23.385,37969.0
2021-08-31 04:00:00+00:00,23.52,23.98,23.51,23.93,23.93,6846.0
2021-09-01 04:00:00+00:00,24.03,24.28,22.86,22.92,22.92,11647.0
2021-09-02 04:00:00+00:00,22.87,24.34,22.87,24.28,24.28,53796.0
2021-09-03 04:00:00+00:00,24.01,24.34,23.65,23.84,23.84,23822.0
2021-09-07 04:00:00+00:00,23.96,24.335,22.59,22.695,22.695,40185.0
2021-09-08 04:00:00+00:00,22.49,22.49,20.01,20.29,20.29,33444.0
2021-09-09 04:00:00+00:00,20.66,21.25,20.52,20.955,20.955,37419.0
2021-09-10 04:00:00+00:00,21.1,21.25,20.765,20.98,20.98,20414.0
2021-09-13 04:00:00+00:00,21.23,21.68,20.26,20.35,20.35,25858.0
2021-09-14 04:00:00+00:00,21.0,21.81,20.51,20.83,20.83,40346.0
2021-09-15 04:00:00+00:00,21.19,21.6,20.935,20.99,20.99,10716.0
2021-09-16 04:00:00+00:00,21.71,21.71,19.88,20.62,20.62,18420.0
2021-09-17 04:00:00+00:00,20.845,21.0,19.3,19.53,19.53,53572.0
2021-09-20 04:00:00+00:00,19.34,19.77,19.22,19.69,19.69,11432.0
2021-09-21 04:00:00+00:00,20.06,21.17,19.93,21.1,21.1,25130.0
2021-09-22 04:00:00+00:00,20.845,21.095,20.73,21.04,21.04,20818.0
2021-09-23 04:00:00+00:00,20.87,20.87,19.92,19.92,19.92,4615.0
2021-09-24 04:00:00+00:00,19.55,20.3,19.23,19.27,19.27,28925.0
2021-09-27 04:00:00+00:00,19.27,20.87,18.85,20.335,20.335,33918.0
2021-09-28 04:00:00+00:00,19.865,20.505,19.6,20.18,20.18,13370.0
2021-09-29 04:00:00+00:00,19.9,20.32,19.66,19.78,19.78,4769.0
2021-09-30 04:00:00+00:00,19.95,21.23,19.915,21.21,21.21,8986.0
2021-10-01 04:00:00+00:00,20.75,21.65,20.75,21.5,21.5,29998.0
2021-10-04 04:00:00+00:00,21.67,22.7,21.4,22.1,22.1,16461.0
2021-10-05 04:00:00+00:00,21.62,22.745,21.59,22.7,22.7,22141.0
2021-10-06 04:00:00+00:00,22.93,22.93,18.625,19.085,19.085,33753.0
2021-10-07 04:00:00+00:00,19.22,19.61,18.06,18.12,18.12,21688.0
2021-10-08 04:00:00+00:00,18.16,18.16,16.71,17.31,17.31,6791.0
2021-10-11 04:00:00+00:00,17.36,18.72,17.03,18.465,18.465,27945.0
2021-10-12 04:00:00+00:00,18.49,18.49,17.02,17.14,17.14,23490.0
2021-10-13 04:00:00+00:00,17.385,18.735,17.12,18.0,18.0,30497.0
