Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29 04:00:00+00:00,15.13,15.13,15.1,15.1,15.1,200.0
2020-07-30 04:00:00+00:00,15.17,15.17,15.04,15.04,15.04,236.0
2020-07-31 04:00:00+00:00,15.07,15.07,15.07,15.07,15.07,207.0
2020-08-03 04:00:00+00:00,15.25,15.25,15.25,15.25,15.25,200.0
2020-08-04 04:00:00+00:00,15.61,15.61,15.61,15.61,15.61,100.0
2020-08-05 04:00:00+00:00,15.65,15.76,15.46,15.47,15.47,2765.0
2020-08-07 04:00:00+00:00,15.79,16.2,15.79,16.2,16.2,1290.0
2020-08-11 04:00:00+00:00,16.59,16.59,16.59,16.59,16.59,4096.0
2020-08-12 04:00:00+00:00,16.79,16.79,16.79,16.79,16.79,1080.0
2020-08-13 04:00:00+00:00,16.02,16.02,16.02,16.02,16.02,234.0
2020-08-14 04:00:00+00:00,16.73,16.82,16.73,16.82,16.82,268.0
2020-08-17 04:00:00+00:00,16.72,16.72,16.72,16.72,16.72,127.0
2020-08-18 04:00:00+00:00,16.64,16.88,16.64,16.88,16.88,650.0
2020-08-20 04:00:00+00:00,16.71,16.71,16.34,16.34,16.34,440.0
2020-08-21 04:00:00+00:00,16.42,16.42,16.42,16.42,16.42,297.0
2020-08-26 04:00:00+00:00,16.14,16.14,15.76,15.76,15.76,736.0
2020-08-27 04:00:00+00:00,15.69,16.22,15.69,16.11,16.11,401.0
2020-09-01 04:00:00+00:00,16.35,16.35,16.35,16.35,16.35,451.0
2020-09-02 04:00:00+00:00,16.08,16.08,16.01,16.04,16.04,3888.0
2020-09-03 04:00:00+00:00,15.78,15.8,15.78,15.8,15.8,480.0
2020-09-04 04:00:00+00:00,15.81,15.81,15.8,15.8,15.8,1178.0
2020-09-09 04:00:00+00:00,15.87,15.87,15.87,15.87,15.87,252.0
2020-09-11 04:00:00+00:00,15.63,15.82,15.59,15.7,15.7,4469.0
2020-09-14 04:00:00+00:00,15.68,15.76,15.54,15.54,15.54,602.0
2020-09-16 04:00:00+00:00,15.94,15.94,15.94,15.94,15.94,146.0
2020-09-17 04:00:00+00:00,15.52,15.52,15.51,15.51,15.51,316.0
2020-09-21 04:00:00+00:00,15.19,15.19,15.03,15.03,15.03,406.0
2020-09-22 04:00:00+00:00,15.17,15.28,15.17,15.28,15.28,361.0
