Date,Open,High,Low,Close,Adj Close,Volume
2022-07-08 04:00:00+00:00,6.41,6.41,6.41,6.41,6.41,300.0
2022-07-11 04:00:00+00:00,6.25,6.38,6.25,6.38,6.38,333.0
2022-07-12 04:00:00+00:00,6.05,6.05,6.05,6.05,6.05,100.0
2022-07-13 04:00:00+00:00,6.15,6.15,6.15,6.15,6.15,200.0
2022-07-14 04:00:00+00:00,6.15,6.15,6.15,6.15,6.15,0.0
2022-07-15 04:00:00+00:00,5.49,5.49,5.49,5.49,5.49,100.0
2022-07-18 04:00:00+00:00,5.49,5.49,5.49,5.49,5.49,0.0
2022-07-19 04:00:00+00:00,5.49,5.49,5.49,5.49,5.49,0.0
2022-07-20 04:00:00+00:00,4.77,4.77,4.76,4.76,4.76,302.0
2022-07-21 04:00:00+00:00,4.675,4.675,4.62,4.62,4.62,200.0
2022-07-22 04:00:00+00:00,4.63,4.63,4.21,4.21,4.21,850.0
2022-07-25 04:00:00+00:00,4.15,4.15,4.15,4.15,4.15,100.0
2022-07-26 04:00:00+00:00,4.035,4.035,4.035,4.035,4.035,101.0
2022-07-27 04:00:00+00:00,4.52,4.67,4.09,4.59,4.59,1603.0
2022-07-28 04:00:00+00:00,4.67,4.82,4.55,4.82,4.82,552.0
2022-07-29 04:00:00+00:00,4.54,4.81,4.54,4.81,4.81,398.0
2022-08-01 04:00:00+00:00,5.31,5.4,5.17,5.19,5.19,4141.0
2022-08-02 04:00:00+00:00,5.43,6.225,5.21,6.205,6.205,1947.0
2022-08-03 04:00:00+00:00,5.9,5.9,5.87,5.87,5.87,937.0
2022-08-04 04:00:00+00:00,5.65,5.78,5.58,5.58,5.58,460.0
2022-08-05 04:00:00+00:00,5.64,5.64,5.39,5.445,5.445,699.0
2022-08-08 04:00:00+00:00,5.24,5.29,5.21,5.21,5.21,400.0
2022-08-09 04:00:00+00:00,5.09,5.26,5.09,5.26,5.26,614.0
2022-08-10 04:00:00+00:00,5.43,5.44,5.43,5.44,5.44,1200.0
2022-08-11 04:00:00+00:00,5.365,5.585,5.365,5.585,5.585,1210.0
2022-08-12 04:00:00+00:00,5.32,5.48,5.3,5.3,5.3,531.0
2022-08-15 04:00:00+00:00,5.42,5.42,5.045,5.045,5.045,601.0
2022-08-16 04:00:00+00:00,4.86,4.86,4.59,4.755,4.755,1146.0
2022-08-17 04:00:00+00:00,4.66,4.66,4.52,4.52,4.52,201.0
2022-08-18 04:00:00+00:00,4.64,4.64,4.64,4.64,4.64,200.0
2022-08-19 04:00:00+00:00,4.5,4.52,4.48,4.5,4.5,440.0
2022-08-22 04:00:00+00:00,4.62,4.62,4.57,4.59,4.59,1014.0
2022-08-23 04:00:00+00:00,4.5,4.54,4.32,4.355,4.355,750.0
2022-08-24 04:00:00+00:00,4.43,4.43,4.315,4.405,4.405,301.0
2022-08-25 04:00:00+00:00,4.405,4.405,4.405,4.405,4.405,0.0
2022-08-26 04:00:00+00:00,4.4,4.4,4.4,4.4,4.4,424.0
2022-08-29 04:00:00+00:00,4.26,4.26,4.25,4.25,4.25,310.0
2022-08-30 04:00:00+00:00,3.9,3.9,3.89,3.89,3.89,218.0
2022-08-31 04:00:00+00:00,3.79,3.79,3.79,3.79,3.79,100.0
2022-09-01 04:00:00+00:00,3.71,3.75,3.37,3.37,3.37,814.0
2022-09-02 04:00:00+00:00,3.8,4.245,3.8,4.245,4.245,789.0
2022-09-06 04:00:00+00:00,4.67,4.96,4.35,4.875,4.875,9476.0
2022-09-07 04:00:00+00:00,5.19,5.19,5.06,5.06,5.06,6814.0
2022-09-08 04:00:00+00:00,5.055,5.355,4.98,5.355,5.355,6118.0
2022-09-09 04:00:00+00:00,5.24,5.3,5.175,5.21,5.21,7870.0
2022-09-12 04:00:00+00:00,5.23,5.57,5.23,5.25,5.25,5778.0
2022-09-13 04:00:00+00:00,5.1,5.3,5.03,5.04,5.04,4147.0
2022-09-14 04:00:00+00:00,5.07,5.125,5.055,5.06,5.06,2837.0
2022-09-15 04:00:00+00:00,5.02,5.2,4.9,5.2,5.2,7343.0
2022-09-16 04:00:00+00:00,5.04,5.08,4.82,4.98,4.98,9846.0
2022-09-19 04:00:00+00:00,4.82,4.94,4.82,4.91,4.91,1973.0
2022-09-20 04:00:00+00:00,4.87,5.035,4.87,5.035,5.035,1221.0
2022-09-21 04:00:00+00:00,5.06,5.06,5.05,5.05,5.05,320.0
2022-09-22 04:00:00+00:00,4.72,4.745,4.71,4.71,4.71,684.0
2022-09-23 04:00:00+00:00,4.46,4.47,4.435,4.435,4.435,770.0
2022-09-26 04:00:00+00:00,4.4,4.44,4.385,4.385,4.385,7026.0
2022-09-27 04:00:00+00:00,4.42,4.75,4.35,4.75,4.75,3538.0
2022-09-28 04:00:00+00:00,4.51,4.55,4.51,4.55,4.55,553.0
2022-09-29 04:00:00+00:00,4.59,4.59,4.59,4.59,4.59,200.0
2022-09-30 04:00:00+00:00,4.48,4.515,4.48,4.5,4.5,981.0
2022-10-03 04:00:00+00:00,4.445,4.445,4.445,4.445,4.445,522.0
2022-10-04 04:00:00+00:00,4.445,4.445,4.445,4.445,4.445,0.0
2022-10-05 04:00:00+00:00,4.23,4.245,4.21,4.24,4.24,1014.0
2022-10-06 04:00:00+00:00,4.24,4.24,4.24,4.24,4.24,0.0
2022-10-07 04:00:00+00:00,3.84,4.11,3.72,4.105,4.105,1375.0
2022-10-10 04:00:00+00:00,3.92,3.97,3.92,3.97,3.97,300.0
2022-10-11 04:00:00+00:00,3.89,3.89,3.78,3.78,3.78,647.0
2022-10-12 04:00:00+00:00,3.31,3.31,3.245,3.245,3.245,330.0
2022-10-13 04:00:00+00:00,3.33,3.33,3.25,3.29,3.29,448.0
2022-10-14 04:00:00+00:00,3.48,3.48,3.48,3.48,3.48,250.0
2022-10-17 04:00:00+00:00,3.39,3.39,3.39,3.39,3.39,269.0
2022-10-18 04:00:00+00:00,3.31,3.34,3.31,3.34,3.34,248.0
2022-10-19 04:00:00+00:00,3.305,3.45,3.305,3.45,3.45,349.0
2022-10-20 04:00:00+00:00,3.45,3.45,3.45,3.45,3.45,0.0
2022-10-21 04:00:00+00:00,3.45,3.45,3.45,3.45,3.45,0.0
2022-10-24 04:00:00+00:00,3.39,3.39,3.11,3.13,3.13,710.0
2022-10-25 04:00:00+00:00,3.28,3.41,3.28,3.4,3.4,319.0
2022-10-26 04:00:00+00:00,3.38,3.47,3.355,3.355,3.355,445.0
2022-10-27 04:00:00+00:00,3.34,3.34,3.34,3.34,3.34,236.0
2022-10-28 04:00:00+00:00,3.51,3.51,3.51,3.51,3.51,262.0
2022-10-31 04:00:00+00:00,3.51,3.51,3.51,3.51,3.51,0.0
2022-11-01 04:00:00+00:00,3.51,3.51,3.51,3.51,3.51,0.0
2022-11-02 04:00:00+00:00,3.51,3.51,3.51,3.51,3.51,0.0
2022-11-03 04:00:00+00:00,3.51,3.51,3.51,3.51,3.51,0.0
2022-11-04 04:00:00+00:00,3.51,3.51,3.51,3.51,3.51,0.0
2022-11-07 05:00:00+00:00,3.51,3.51,3.51,3.51,3.51,0.0
2022-11-08 05:00:00+00:00,3.51,3.51,3.51,3.51,3.51,0.0
2022-11-09 05:00:00+00:00,3.51,3.51,3.51,3.51,3.51,0.0
2022-11-10 05:00:00+00:00,3.51,3.51,3.51,3.51,3.51,0.0
2022-11-11 05:00:00+00:00,3.03,3.03,3.03,3.03,3.03,200.0
2022-11-14 05:00:00+00:00,3.03,3.03,3.03,3.03,3.03,0.0
2022-11-15 05:00:00+00:00,3.06,3.06,3.06,3.06,3.06,100.0
2022-11-16 05:00:00+00:00,3.06,3.06,3.06,3.06,3.06,0.0
2022-11-17 05:00:00+00:00,3.06,3.06,3.06,3.06,3.06,0.0
2022-11-18 05:00:00+00:00,3.04,3.04,3.04,3.04,3.04,110.0
2022-11-21 05:00:00+00:00,2.9,2.9,2.73,2.73,2.73,200.0
2022-11-22 05:00:00+00:00,2.73,2.73,2.73,2.73,2.73,0.0
2022-11-23 05:00:00+00:00,2.73,2.73,2.73,2.73,2.73,0.0
2022-11-25 05:00:00+00:00,2.73,2.73,2.73,2.73,2.73,0.0
2022-11-28 05:00:00+00:00,2.73,2.73,2.73,2.73,2.73,0.0
2022-11-29 05:00:00+00:00,2.73,2.73,2.73,2.73,2.73,0.0
2022-11-30 05:00:00+00:00,2.73,2.73,2.73,2.73,2.73,0.0
2022-12-01 05:00:00+00:00,2.73,2.73,2.73,2.73,2.73,0.0
2022-12-02 05:00:00+00:00,2.73,2.73,2.73,2.73,2.73,0.0
2022-12-05 05:00:00+00:00,2.73,2.73,2.73,2.73,2.73,0.0
2022-12-06 05:00:00+00:00,2.73,2.73,2.73,2.73,2.73,0.0
2022-12-07 05:00:00+00:00,2.73,2.73,2.73,2.73,2.73,0.0
