Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,32.48,32.64,32.48,32.59,32.59,3557.0
2020-07-28 04:00:00+00:00,32.54,32.56,32.53,32.56,32.56,1403.0
2020-07-30 04:00:00+00:00,31.7,32.15,31.7,32.14,32.14,3300.0
2020-07-31 04:00:00+00:00,32.18,32.18,31.74,31.74,31.74,4158.0
2020-08-03 04:00:00+00:00,32.28,32.31,32.27,32.31,32.31,832.0
2020-08-04 04:00:00+00:00,32.14,32.33,32.14,32.33,32.33,459.0
2020-08-05 04:00:00+00:00,32.83,32.85,32.72,32.72,32.72,721.0
2020-08-06 04:00:00+00:00,32.77,32.83,32.73,32.83,32.83,2468.0
2020-08-07 04:00:00+00:00,32.51,32.54,32.4,32.45,32.45,2208.0
2020-08-10 04:00:00+00:00,32.3,32.3,32.3,32.3,32.3,130.0
2020-08-11 04:00:00+00:00,32.39,32.4,32.39,32.4,32.4,1410.0
2020-08-12 04:00:00+00:00,33.3,33.3,33.28,33.28,33.28,3752.0
2020-08-13 04:00:00+00:00,33.21,33.21,33.08,33.08,33.08,5568.0
2020-08-14 04:00:00+00:00,32.82,32.82,32.79,32.79,32.79,1400.0
2020-08-17 04:00:00+00:00,33.07,33.08,33.07,33.08,33.08,1025.0
2020-08-18 04:00:00+00:00,33.3,33.3,33.02,33.1,33.1,23912.0
2020-08-19 04:00:00+00:00,33.09,33.09,32.84,32.84,32.84,200.0
2020-08-20 04:00:00+00:00,32.56,32.59,32.56,32.59,32.59,1300.0
2020-08-21 04:00:00+00:00,32.39,32.48,32.32,32.48,32.48,2400.0
2020-08-24 04:00:00+00:00,33.0,33.01,32.92,33.0,33.0,4720.0
2020-08-25 04:00:00+00:00,33.19,33.19,33.06,33.06,33.06,1069.0
2020-08-26 04:00:00+00:00,33.58,33.6,33.57,33.57,33.57,5200.0
2020-08-27 04:00:00+00:00,33.34,33.38,33.23,33.3,33.3,1900.0
2020-08-28 04:00:00+00:00,33.26,33.4,33.22,33.4,33.4,8513.0
2020-08-31 04:00:00+00:00,33.1,33.1,32.98,32.98,32.98,1957.0
2020-09-01 04:00:00+00:00,33.24,33.24,33.24,33.24,33.24,683.0
2020-09-02 04:00:00+00:00,33.57,33.83,33.57,33.82,33.82,1104.0
2020-09-03 04:00:00+00:00,32.63,32.71,32.58,32.58,32.58,424.0
2020-09-04 04:00:00+00:00,31.87,32.54,31.87,32.46,32.46,3608.0
2020-09-08 04:00:00+00:00,31.87,32.01,31.8,31.86,31.86,14432.0
2020-09-09 04:00:00+00:00,32.69,32.75,32.69,32.75,32.75,2129.0
2020-09-10 04:00:00+00:00,32.67,32.68,32.4,32.41,32.41,1804.0
2020-09-11 04:00:00+00:00,32.75,32.87,32.68,32.79,32.79,2105.0
2020-09-14 04:00:00+00:00,33.13,33.13,33.08,33.08,33.08,800.0
2020-09-16 04:00:00+00:00,33.28,33.28,33.02,33.02,33.02,1700.0
2020-09-17 04:00:00+00:00,32.79,33.02,32.79,32.99,32.99,2105.0
2020-09-18 04:00:00+00:00,32.87,32.87,32.76,32.81,32.81,4920.0
2020-09-21 04:00:00+00:00,31.81,32.08,31.62,32.08,32.08,9481.0
2020-09-22 04:00:00+00:00,31.92,32.2,31.92,32.2,32.2,1225.0
2020-09-23 04:00:00+00:00,31.99,31.99,31.95,31.95,31.95,1290.0
2020-09-24 04:00:00+00:00,31.84,31.84,31.75,31.75,31.75,836.0
2020-09-25 04:00:00+00:00,31.39,31.87,31.39,31.87,31.87,1403.0
2020-09-28 04:00:00+00:00,32.33,32.33,32.32,32.32,32.32,863.0
2020-09-29 04:00:00+00:00,32.46,32.47,32.46,32.47,32.47,2850.0
2020-09-30 04:00:00+00:00,32.59,32.59,32.43,32.43,32.43,2111.0
2020-10-01 04:00:00+00:00,32.78,33.01,32.78,33.01,33.01,2641.0
2020-10-02 04:00:00+00:00,32.94,32.99,32.92,32.99,32.99,451.0
2020-10-05 04:00:00+00:00,33.35,33.4,33.35,33.36,33.36,1200.0
2020-10-06 04:00:00+00:00,33.21,33.24,32.89,32.89,32.89,5075.0
2020-10-07 04:00:00+00:00,33.24,33.31,33.22,33.3,33.3,3115.0
2020-10-08 04:00:00+00:00,33.48,33.54,33.48,33.54,33.54,925.0
2020-10-09 04:00:00+00:00,34.17,34.18,34.16,34.17,34.17,3985.0
2020-10-13 04:00:00+00:00,34.31,34.31,34.31,34.31,34.31,4721.0
2020-10-14 04:00:00+00:00,34.45,34.45,34.18,34.25,34.25,15758.0
2020-10-15 04:00:00+00:00,33.44,33.57,33.44,33.57,33.57,3343.0
2020-10-16 04:00:00+00:00,33.92,33.97,33.89,33.89,33.89,1171.0
2020-10-19 04:00:00+00:00,34.03,34.03,33.69,33.75,33.75,17358.0
2020-10-20 04:00:00+00:00,33.94,33.94,33.92,33.92,33.92,1200.0
2020-10-21 04:00:00+00:00,33.83,33.98,33.67,33.67,33.67,3275.0
2020-10-22 04:00:00+00:00,33.49,33.58,33.29,33.47,33.47,7902.0
2020-10-23 04:00:00+00:00,33.52,33.56,33.36,33.55,33.55,5650.0
2020-10-26 04:00:00+00:00,32.91,32.91,32.81,32.81,32.81,674.0
2020-10-27 04:00:00+00:00,32.93,32.93,32.74,32.79,32.79,2223.0
2020-10-28 04:00:00+00:00,31.9,32.0,31.72,31.83,31.83,2110.0
2020-10-29 04:00:00+00:00,31.83,32.05,31.82,32.05,32.05,1508.0
2020-10-30 04:00:00+00:00,31.6,31.6,31.5,31.52,31.52,8602.0
2020-11-02 05:00:00+00:00,32.15,32.15,31.9,32.11,32.11,4376.0
2020-11-03 05:00:00+00:00,32.85,32.94,32.78,32.78,32.78,750.0
2020-11-04 05:00:00+00:00,32.97,33.7,32.97,33.7,33.7,6179.0
2020-11-05 05:00:00+00:00,34.3,34.4,34.2,34.37,34.37,3204.0
