Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,12.78,12.91,12.65,12.91,12.91,18255.0
2020-07-28 04:00:00+00:00,12.74,12.75,12.68,12.69,12.69,5705.0
2020-07-29 04:00:00+00:00,12.83,12.9,12.83,12.85,12.85,8270.0
2020-07-30 04:00:00+00:00,12.85,12.86,12.77,12.84,12.84,7020.0
2020-07-31 04:00:00+00:00,12.83,12.83,12.57,12.81,12.81,15470.0
2020-08-03 04:00:00+00:00,12.68,12.99,12.68,12.97,12.97,14570.0
2020-08-04 04:00:00+00:00,13.01,13.12,12.95,13.01,13.01,15995.0
2020-08-05 04:00:00+00:00,13.17,13.2,12.99,13.1,13.1,21135.0
2020-08-06 04:00:00+00:00,13.32,13.67,12.92,13.29,13.29,38750.0
2020-08-07 04:00:00+00:00,13.41,13.57,13.32,13.53,13.53,35660.0
2020-08-10 04:00:00+00:00,13.6,13.6,13.4,13.5,13.5,14930.0
2020-08-11 04:00:00+00:00,13.69,13.7,13.46,13.52,13.52,29335.0
2020-08-12 04:00:00+00:00,13.6,13.71,13.52,13.53,13.53,10980.0
2020-08-13 04:00:00+00:00,13.54,13.62,13.49,13.56,13.56,35975.0
2020-08-14 04:00:00+00:00,13.5,13.64,13.5,13.64,13.64,20085.0
2020-08-17 04:00:00+00:00,13.65,13.65,13.57,13.58,13.58,6270.0
2020-08-18 04:00:00+00:00,13.54,13.54,13.4,13.41,13.41,20845.0
2020-08-19 04:00:00+00:00,13.52,13.52,13.22,13.22,13.22,29540.0
2020-08-20 04:00:00+00:00,13.11,13.27,13.05,13.05,13.05,7110.0
2020-08-21 04:00:00+00:00,12.99,12.99,12.9,12.95,12.95,12395.0
2020-08-24 04:00:00+00:00,13.08,13.22,13.08,13.14,13.14,5815.0
2020-08-25 04:00:00+00:00,13.19,13.19,13.07,13.12,13.12,10655.0
2020-08-26 04:00:00+00:00,13.04,13.08,12.92,12.94,12.94,10630.0
2020-08-27 04:00:00+00:00,13.06,13.1,12.99,13.01,13.01,6705.0
2020-08-28 04:00:00+00:00,12.81,12.88,12.81,12.88,12.88,5030.0
2020-08-31 04:00:00+00:00,12.88,12.88,12.74,12.74,12.74,24805.0
2020-09-01 04:00:00+00:00,12.69,12.72,12.65,12.68,12.68,14330.0
2020-09-02 04:00:00+00:00,12.74,13.12,12.74,13.11,13.11,26870.0
2020-09-03 04:00:00+00:00,12.87,12.87,12.54,12.61,12.61,20315.0
2020-09-04 04:00:00+00:00,12.75,12.75,12.39,12.45,12.45,20430.0
2020-09-08 04:00:00+00:00,12.23,12.75,12.23,12.6,12.6,29245.0
2020-09-09 04:00:00+00:00,12.44,12.5,12.33,12.36,12.36,45280.0
2020-09-10 04:00:00+00:00,12.51,12.51,12.37,12.37,12.37,20490.0
2020-09-11 04:00:00+00:00,12.33,12.33,12.06,12.15,12.15,17290.0
2020-09-14 04:00:00+00:00,12.28,12.48,12.28,12.36,12.36,24455.0
2020-09-15 04:00:00+00:00,13.45,13.71,13.35,13.38,13.38,60930.0
2020-09-16 04:00:00+00:00,13.34,13.44,13.25,13.26,13.26,61530.0
2020-09-17 04:00:00+00:00,13.12,13.38,13.12,13.36,13.36,119900.0
2020-09-18 04:00:00+00:00,13.47,13.47,12.92,12.99,12.99,32360.0
2020-09-21 04:00:00+00:00,12.62,12.64,12.27,12.5,12.5,22525.0
2020-09-22 04:00:00+00:00,12.58,12.74,12.45,12.71,12.71,47490.0
2020-09-23 04:00:00+00:00,12.72,12.81,12.38,12.38,12.38,68265.0
2020-09-24 04:00:00+00:00,12.22,12.49,12.2,12.41,12.41,126265.0
2020-09-25 04:00:00+00:00,12.37,12.69,12.37,12.67,12.67,63505.0
2020-09-28 04:00:00+00:00,13.0,13.17,12.99,13.08,13.08,28075.0
2020-09-29 04:00:00+00:00,13.1,13.23,13.04,13.21,13.21,45605.0
2020-09-30 04:00:00+00:00,13.28,13.41,13.12,13.21,13.21,45115.0
2020-10-01 04:00:00+00:00,13.41,13.41,12.96,13.19,13.19,65055.0
2020-10-02 04:00:00+00:00,13.07,13.34,13.07,13.25,13.25,33305.0
2020-10-05 04:00:00+00:00,13.47,13.54,13.4,13.54,13.54,34770.0
2020-10-06 04:00:00+00:00,13.69,13.86,13.61,13.67,13.67,33525.0
2020-10-07 04:00:00+00:00,13.67,13.77,13.46,13.56,13.56,53780.0
2020-10-08 04:00:00+00:00,13.82,13.94,13.8,13.83,13.83,52285.0
2020-10-09 04:00:00+00:00,13.95,14.08,13.88,14.02,14.02,47960.0
2020-10-12 04:00:00+00:00,14.0,14.26,14.0,14.19,14.19,37570.0
2020-10-13 04:00:00+00:00,14.28,14.42,14.21,14.42,14.42,61395.0
2020-10-14 04:00:00+00:00,14.39,14.39,14.26,14.34,14.34,126800.0
2020-10-15 04:00:00+00:00,14.01,14.53,14.01,14.4,14.4,139710.0
2020-10-16 04:00:00+00:00,14.39,14.54,14.34,14.49,14.49,65910.0
