Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,4.349,4.393,4.349,4.393,4.393,280.0
2020-07-28 04:00:00+00:00,4.378,4.407,4.378,4.407,4.407,116.0
2020-07-29 04:00:00+00:00,4.407,4.466,4.364,4.407,4.407,366.0
2020-07-30 04:00:00+00:00,4.334,4.349,4.32,4.349,4.349,200.0
2020-07-31 04:00:00+00:00,4.378,4.407,4.378,4.378,4.378,400.0
2020-08-03 04:00:00+00:00,4.261,4.291,4.261,4.291,4.291,169.0
2020-08-04 04:00:00+00:00,4.349,4.349,4.32,4.32,4.32,166.0
2020-08-06 04:00:00+00:00,4.291,4.291,4.276,4.276,4.276,188.0
2020-08-07 04:00:00+00:00,4.291,4.364,4.291,4.364,4.364,41.0
2020-08-10 04:00:00+00:00,4.48,5.108,4.451,4.816,4.816,11863.0
2020-08-11 04:00:00+00:00,4.801,4.962,4.801,4.962,4.962,211.0
2020-08-12 04:00:00+00:00,4.962,4.962,4.962,4.962,4.962,75.0
2020-08-13 04:00:00+00:00,5.093,5.181,5.064,5.152,5.152,2303.0
2020-08-17 04:00:00+00:00,5.327,5.56,5.327,5.56,5.56,423.0
2020-08-18 04:00:00+00:00,5.254,5.356,5.254,5.356,5.356,116.0
2020-08-19 04:00:00+00:00,4.831,4.831,4.67,4.67,4.67,183.0
2020-08-21 04:00:00+00:00,4.685,4.743,4.67,4.67,4.67,236.0
2020-08-24 04:00:00+00:00,4.714,4.714,4.568,4.568,4.568,250.0
2020-08-25 04:00:00+00:00,4.495,4.51,4.451,4.51,4.51,139.0
2020-08-26 04:00:00+00:00,4.51,4.51,4.451,4.451,4.451,68.0
2020-08-27 04:00:00+00:00,4.466,4.48,4.349,4.451,4.451,400.0
2020-08-28 04:00:00+00:00,4.539,4.539,4.539,4.539,4.539,16.0
2020-08-31 04:00:00+00:00,4.495,4.495,4.48,4.48,4.48,66.0
2020-09-02 04:00:00+00:00,4.364,4.393,4.349,4.378,4.378,316.0
2020-09-03 04:00:00+00:00,4.203,4.261,4.203,4.261,4.261,403.0
2020-09-04 04:00:00+00:00,4.203,4.247,4.116,4.247,4.247,347.0
2020-09-09 04:00:00+00:00,4.145,4.159,4.145,4.159,4.159,133.0
2020-09-10 04:00:00+00:00,4.174,4.174,4.145,4.145,4.145,72.0
2020-09-11 04:00:00+00:00,4.232,4.261,4.159,4.159,4.159,211.0
2020-09-14 04:00:00+00:00,4.145,4.159,4.145,4.159,4.159,116.0
2020-09-15 04:00:00+00:00,4.145,4.159,4.116,4.116,4.116,333.0
2020-09-16 04:00:00+00:00,4.145,4.145,4.145,4.145,4.145,50.0
2020-09-17 04:00:00+00:00,4.159,4.159,4.159,4.159,4.159,20.0
2020-09-18 04:00:00+00:00,4.043,4.057,4.043,4.057,4.057,83.0
2020-09-21 04:00:00+00:00,3.999,3.999,3.663,3.663,3.663,216.0
2020-09-22 04:00:00+00:00,3.736,3.736,3.707,3.707,3.707,50.0
2020-09-25 04:00:00+00:00,3.663,3.663,3.59,3.59,3.59,350.0
2020-09-29 04:00:00+00:00,3.634,3.634,3.634,3.634,3.634,66.0
2020-09-30 04:00:00+00:00,3.576,3.59,3.517,3.59,3.59,216.0
2020-10-01 04:00:00+00:00,3.678,3.838,3.678,3.838,3.838,4281.0
2020-10-02 04:00:00+00:00,3.911,4.043,3.867,4.043,4.043,426.0
2020-10-05 04:00:00+00:00,4.174,4.174,4.13,4.13,4.13,138.0
2020-10-06 04:00:00+00:00,4.013,4.013,4.013,4.013,4.013,16.0
2020-10-07 04:00:00+00:00,4.043,4.116,4.043,4.116,4.116,200.0
2020-10-08 04:00:00+00:00,4.072,4.159,3.911,4.086,4.086,413.0
2020-10-09 04:00:00+00:00,4.101,4.101,4.101,4.101,4.101,16.0
2020-10-12 04:00:00+00:00,4.057,4.13,4.057,4.101,4.101,1650.0
2020-10-13 04:00:00+00:00,4.101,4.145,4.086,4.101,4.101,366.0
2020-10-14 04:00:00+00:00,4.028,4.028,3.897,3.897,3.897,300.0
2020-10-15 04:00:00+00:00,3.897,3.926,3.853,3.911,3.911,1517.0
2020-10-16 04:00:00+00:00,4.057,4.057,4.057,4.057,4.057,168.0
2020-10-19 04:00:00+00:00,4.174,4.174,4.174,4.174,4.174,216.0
2020-10-20 04:00:00+00:00,4.189,4.232,4.145,4.203,4.203,725.0
2020-10-21 04:00:00+00:00,4.159,4.159,4.13,4.13,4.13,50.0
2020-10-22 04:00:00+00:00,4.057,4.072,4.028,4.028,4.028,515.0
2020-10-23 04:00:00+00:00,4.101,4.101,4.101,4.101,4.101,67.0
2020-10-26 04:00:00+00:00,4.028,4.028,4.028,4.028,4.028,33.0
2020-10-27 04:00:00+00:00,3.999,4.043,3.97,3.999,3.999,750.0
2020-10-28 04:00:00+00:00,4.043,4.043,3.97,3.97,3.97,447.0
2020-10-29 04:00:00+00:00,4.043,4.057,3.999,3.999,3.999,1000.0
2020-10-30 04:00:00+00:00,3.911,3.97,3.882,3.882,3.882,1299.0
2020-11-02 05:00:00+00:00,3.882,3.926,3.867,3.926,3.926,226.0
2020-11-03 05:00:00+00:00,3.911,3.984,3.911,3.97,3.97,430.0
2020-11-04 05:00:00+00:00,4.086,4.086,4.028,4.072,4.072,242.0
2020-11-05 05:00:00+00:00,4.057,4.086,4.057,4.086,4.086,216.0
2020-11-06 05:00:00+00:00,4.086,4.086,4.057,4.072,4.072,216.0
2020-11-09 05:00:00+00:00,4.072,4.072,4.043,4.072,4.072,1211.0
2020-11-10 05:00:00+00:00,4.086,4.145,3.999,4.057,4.057,1215.0
2020-11-11 05:00:00+00:00,4.072,4.218,4.072,4.218,4.218,600.0
2020-11-12 05:00:00+00:00,4.261,4.524,4.203,4.451,4.451,1300.0
2020-11-13 05:00:00+00:00,4.553,4.918,4.51,4.67,4.67,1413.0
2020-11-16 05:00:00+00:00,4.86,4.86,4.656,4.685,4.685,809.0
2020-11-17 05:00:00+00:00,4.524,4.641,4.495,4.626,4.626,216.0
2020-11-18 05:00:00+00:00,4.495,4.51,4.393,4.51,4.51,267.0
2020-11-19 05:00:00+00:00,7.18,7.268,6.275,6.757,6.757,25418.0
2020-11-20 05:00:00+00:00,6.611,7.034,6.611,6.947,6.947,25386.0
2020-11-23 05:00:00+00:00,6.918,7.034,6.567,6.64,6.64,4028.0
2020-11-24 05:00:00+00:00,6.742,7.034,6.655,6.976,6.976,3758.0
2020-11-25 05:00:00+00:00,6.918,7.151,6.903,7.034,7.034,4290.0
2020-11-27 05:00:00+00:00,7.107,7.107,6.961,6.976,6.976,1472.0
2020-11-30 05:00:00+00:00,7.02,7.647,6.947,7.385,7.385,4161.0
2020-12-01 05:00:00+00:00,7.355,7.414,7.209,7.414,7.414,2483.0
2020-12-02 05:00:00+00:00,7.341,7.341,7.239,7.268,7.268,422.0
2020-12-03 05:00:00+00:00,7.064,7.355,7.049,7.209,7.209,707.0
2020-12-04 05:00:00+00:00,7.064,7.093,6.888,6.903,6.903,960.0
2020-12-07 05:00:00+00:00,6.684,6.888,6.538,6.772,6.772,6133.0
2020-12-08 05:00:00+00:00,6.597,6.83,6.597,6.772,6.772,561.0
2020-12-09 05:00:00+00:00,6.699,6.742,6.626,6.626,6.626,721.0
2020-12-10 05:00:00+00:00,6.713,7.064,6.684,7.02,7.02,1396.0
2020-12-11 05:00:00+00:00,6.932,6.932,6.772,6.888,6.888,2103.0
2020-12-14 05:00:00+00:00,6.859,6.888,6.772,6.772,6.772,976.0
2020-12-15 05:00:00+00:00,6.757,6.815,6.713,6.757,6.757,3063.0
2020-12-16 05:00:00+00:00,6.83,6.947,6.772,6.801,6.801,2172.0
2020-12-17 05:00:00+00:00,6.845,6.961,6.801,6.845,6.845,2087.0
2020-12-18 05:00:00+00:00,6.83,7.312,6.83,7.239,7.239,1894.0
2020-12-21 05:00:00+00:00,7.209,7.618,7.209,7.326,7.326,640.0
2020-12-22 05:00:00+00:00,7.531,7.589,7.122,7.239,7.239,1044.0
2020-12-23 05:00:00+00:00,7.11,8.67,7.11,7.71,7.71,26730.0
2020-12-24 05:00:00+00:00,7.74,7.74,7.29,7.5,7.5,1365.0
2020-12-28 05:00:00+00:00,7.44,7.44,7.2,7.2,7.2,1950.0
2020-12-29 05:00:00+00:00,7.32,7.32,6.78,7.2,7.2,1777.0
2020-12-30 05:00:00+00:00,7.17,7.17,6.99,7.08,7.08,598.0
2020-12-31 05:00:00+00:00,7.14,7.17,6.99,7.17,7.17,1598.0
2021-01-04 05:00:00+00:00,7.14,7.2,6.84,7.05,7.05,1345.0
2021-01-05 05:00:00+00:00,7.02,7.14,7.02,7.05,7.05,392.0
2021-01-06 05:00:00+00:00,7.2,7.26,7.11,7.11,7.11,452.0
2021-01-07 05:00:00+00:00,7.17,7.17,7.17,7.17,7.17,61.0
2021-01-08 05:00:00+00:00,7.2,7.2,7.2,7.2,7.2,518.0
2021-01-11 05:00:00+00:00,7.2,7.56,7.2,7.53,7.53,1929.0
2021-01-12 05:00:00+00:00,7.56,8.04,7.56,7.98,7.98,2299.0
2021-01-13 05:00:00+00:00,7.92,7.92,7.62,7.89,7.89,1100.0
2021-01-14 05:00:00+00:00,7.98,8.94,7.89,8.46,8.46,1300.0
2021-01-15 05:00:00+00:00,8.16,8.46,8.16,8.46,8.46,507.0
2021-01-19 05:00:00+00:00,9.12,9.48,8.76,9.36,9.36,1159.0
2021-01-20 05:00:00+00:00,9.54,9.66,9.33,9.54,9.54,1320.0
2021-01-21 05:00:00+00:00,9.48,9.54,9.03,9.54,9.54,985.0
2021-01-22 05:00:00+00:00,9.27,9.42,9.21,9.42,9.42,403.0
2021-01-25 05:00:00+00:00,9.12,9.12,8.13,8.64,8.64,1154.0
2021-01-26 05:00:00+00:00,8.7,8.76,8.64,8.73,8.73,1108.0
2021-01-27 05:00:00+00:00,8.28,8.52,8.16,8.22,8.22,3622.0
2021-01-28 05:00:00+00:00,8.1,8.46,8.01,8.28,8.28,1661.0
