Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,28.17,28.6,28.16,28.3,28.3,22462.0
2020-07-28 04:00:00+00:00,28.61,28.61,28.18,28.23,28.23,6418.0
2020-07-29 04:00:00+00:00,28.41,29.11,28.41,28.87,28.87,14266.0
2020-07-30 04:00:00+00:00,28.42,29.09,28.31,28.72,28.72,65242.0
2020-07-31 04:00:00+00:00,28.8,28.98,26.15,26.43,26.43,42440.0
2020-08-03 04:00:00+00:00,26.38,26.38,24.85,25.01,25.01,27034.0
2020-08-04 04:00:00+00:00,25.13,25.41,24.5,24.96,24.96,58984.0
2020-08-05 04:00:00+00:00,25.11,26.04,24.97,25.89,25.89,72218.0
2020-08-06 04:00:00+00:00,25.95,26.27,25.56,26.01,26.01,12652.0
2020-08-07 04:00:00+00:00,26.02,26.7,25.92,26.06,26.06,16026.0
2020-08-10 04:00:00+00:00,25.7,25.77,25.17,25.24,25.24,10282.0
2020-08-11 04:00:00+00:00,25.35,25.98,25.13,25.49,25.49,21196.0
2020-08-12 04:00:00+00:00,25.97,26.16,25.94,25.96,25.96,5072.0
2020-08-13 04:00:00+00:00,25.89,26.67,25.89,26.48,26.48,11182.0
2020-08-14 04:00:00+00:00,26.6,26.91,26.46,26.65,26.65,26242.0
2020-08-17 04:00:00+00:00,26.99,27.38,26.89,26.93,26.93,18386.0
2020-08-18 04:00:00+00:00,26.73,27.25,26.61,27.23,27.23,15244.0
2020-08-19 04:00:00+00:00,27.97,28.4,27.63,27.76,27.76,43830.0
2020-08-20 04:00:00+00:00,27.85,28.2,27.84,28.2,28.2,6622.0
2020-08-21 04:00:00+00:00,28.09,28.53,27.96,28.42,28.42,30540.0
2020-08-24 04:00:00+00:00,28.9,30.88,28.9,30.47,30.47,65320.0
2020-08-25 04:00:00+00:00,30.04,30.92,30.04,30.91,30.91,33746.0
2020-08-26 04:00:00+00:00,31.02,32.29,31.02,32.29,32.29,36880.0
2020-08-27 04:00:00+00:00,32.4,33.39,32.05,33.23,33.23,35136.0
2020-08-28 04:00:00+00:00,33.41,34.01,33.11,33.92,33.92,30618.0
2020-08-31 04:00:00+00:00,34.22,34.34,33.49,33.54,33.54,39824.0
2020-09-01 04:00:00+00:00,33.2,35.56,32.89,34.36,34.36,67824.0
2020-09-02 04:00:00+00:00,34.77,34.77,34.24,34.76,34.76,21280.0
2020-09-03 04:00:00+00:00,34.46,35.12,33.16,33.88,33.88,42004.0
2020-09-04 04:00:00+00:00,33.86,33.86,32.69,33.43,33.43,31618.0
2020-09-08 04:00:00+00:00,32.45,32.98,31.04,31.3,31.3,28214.0
2020-09-09 04:00:00+00:00,32.94,33.89,32.58,33.52,33.52,19012.0
2020-09-10 04:00:00+00:00,31.55,32.85,31.26,32.12,32.12,60204.0
2020-09-11 04:00:00+00:00,32.31,32.79,32.02,32.02,32.02,22434.0
2020-09-14 04:00:00+00:00,32.43,33.54,32.43,33.46,33.46,33878.0
2020-09-15 04:00:00+00:00,33.83,33.83,30.53,30.85,30.85,82864.0
2020-09-16 04:00:00+00:00,30.93,31.2,30.29,30.36,30.36,20520.0
2020-09-17 04:00:00+00:00,29.82,30.28,29.5,29.62,29.62,35556.0
2020-09-18 04:00:00+00:00,29.65,29.92,29.16,29.73,29.73,12222.0
2020-09-21 04:00:00+00:00,29.82,29.82,29.24,29.53,29.53,30682.0
2020-09-22 04:00:00+00:00,29.5,29.96,29.5,29.92,29.92,11682.0
2020-09-23 04:00:00+00:00,30.43,30.43,29.39,29.48,29.48,16202.0
2020-09-24 04:00:00+00:00,29.23,29.66,28.3,28.83,28.83,73676.0
2020-09-25 04:00:00+00:00,28.64,29.05,28.64,28.91,28.91,15556.0
