Date,Open,High,Low,Close,Adj Close,Volume
2024-08-07 04:00:00+00:00,0.16,0.16,0.16,0.16,0.16,200.0
2024-08-08 04:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.0
2024-08-09 04:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.0
2024-08-12 04:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.0
2024-08-13 04:00:00+00:00,0.16,0.16,0.16,0.16,0.16,0.0
2024-08-14 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,100.0
2024-08-15 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-08-16 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-08-19 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-08-20 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-08-21 04:00:00+00:00,0.2074,0.2074,0.2074,0.2074,0.2074,400.0
2024-08-22 04:00:00+00:00,0.2074,0.2074,0.2074,0.2074,0.2074,0.0
2024-08-23 04:00:00+00:00,0.2074,0.2074,0.2074,0.2074,0.2074,0.0
2024-08-26 04:00:00+00:00,0.2074,0.2074,0.2074,0.2074,0.2074,0.0
2024-08-27 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,100.0
2024-08-28 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-08-29 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-08-30 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-03 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-04 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-05 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-06 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-09 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-10 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-11 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-12 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-13 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-16 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-17 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-18 04:00:00+00:00,0.19,0.19,0.19,0.19,0.19,0.0
2024-09-19 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,492.0
2024-09-20 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-09-23 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-09-24 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-09-25 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-09-26 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-09-27 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-09-30 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-10-01 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-10-02 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-10-03 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-10-04 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-10-07 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-10-08 04:00:00+00:00,0.1954,0.1954,0.1954,0.1954,0.1954,0.0
2024-10-09 04:00:00+00:00,0.17,0.17,0.125,0.125,0.125,800.0
2024-10-10 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-11 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-14 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-15 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-16 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-17 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-18 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-21 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-22 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-23 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-24 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-25 04:00:00+00:00,0.125,0.125,0.125,0.125,0.125,0.0
2024-10-28 04:00:00+00:00,0.17,0.17,0.17,0.17,0.17,183.0
2024-10-29 04:00:00+00:00,0.17,0.17,0.17,0.17,0.17,0.0
2024-10-30 04:00:00+00:00,0.17,0.17,0.17,0.17,0.17,0.0
2024-10-31 04:00:00+00:00,0.175,0.175,0.175,0.175,0.175,300.0
2024-11-01 04:00:00+00:00,0.175,0.175,0.175,0.175,0.175,0.0
2024-11-04 05:00:00+00:00,0.175,0.175,0.175,0.175,0.175,0.0
2024-11-05 05:00:00+00:00,0.175,0.175,0.175,0.175,0.175,0.0
2024-11-06 05:00:00+00:00,0.175,0.175,0.175,0.175,0.175,0.0
2024-11-07 05:00:00+00:00,0.175,0.175,0.175,0.175,0.175,0.0
2024-11-08 05:00:00+00:00,0.175,0.175,0.175,0.175,0.175,0.0
2024-11-11 05:00:00+00:00,0.2025,0.2025,0.2025,0.2025,0.2025,4100.0
