Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,22.14,22.14,22.14,22.14,22.14,400.0
2020-07-30 04:00:00+00:00,21.72,21.72,21.72,21.72,21.72,1600.0
2020-07-31 04:00:00+00:00,21.19,21.19,21.07,21.15,21.15,3400.0
2020-08-05 04:00:00+00:00,21.87,21.87,21.87,21.87,21.87,100.0
2020-08-07 04:00:00+00:00,21.74,21.74,21.74,21.74,21.74,200.0
2020-08-13 04:00:00+00:00,22.56,22.56,22.49,22.5,22.5,600.0
2020-08-19 04:00:00+00:00,22.64,22.64,22.64,22.64,22.64,221.0
2020-08-28 04:00:00+00:00,22.55,22.55,22.55,22.55,22.55,300.0
2020-08-31 04:00:00+00:00,22.69,22.69,22.69,22.69,22.69,500.0
2020-09-01 04:00:00+00:00,22.64,22.68,22.64,22.65,22.65,540.0
2020-09-04 04:00:00+00:00,22.49,22.49,22.49,22.49,22.49,200.0
2020-09-10 04:00:00+00:00,22.63,22.63,22.63,22.63,22.63,200.0
2020-09-16 04:00:00+00:00,23.19,23.19,23.19,23.19,23.19,232.0
2020-09-17 04:00:00+00:00,23.14,23.14,23.14,23.14,23.14,900.0
2020-09-23 04:00:00+00:00,23.02,23.02,23.02,23.02,23.02,100.0
2020-09-29 04:00:00+00:00,23.3,23.3,23.28,23.28,23.28,200.0
2020-09-30 04:00:00+00:00,23.08,23.08,23.08,23.08,23.08,373.0
2020-10-01 04:00:00+00:00,23.01,23.11,23.01,23.04,23.04,4400.0
2020-10-02 04:00:00+00:00,22.84,22.84,22.84,22.84,22.84,500.0
2020-10-08 04:00:00+00:00,23.24,23.24,23.24,23.24,23.24,360.0
2020-10-14 04:00:00+00:00,23.23,23.23,23.23,23.23,23.23,100.0
2020-10-16 04:00:00+00:00,22.97,22.97,22.96,22.96,22.96,1697.0
2020-10-21 04:00:00+00:00,23.22,23.22,23.22,23.22,23.22,200.0
2020-11-02 05:00:00+00:00,22.96,22.97,22.96,22.97,22.97,200.0
2020-11-03 05:00:00+00:00,23.47,23.47,23.45,23.45,23.45,434.0
2020-11-10 05:00:00+00:00,24.61,24.61,24.61,24.61,24.61,100.0
2020-11-11 05:00:00+00:00,24.77,24.81,24.75,24.75,24.75,2360.0
2020-11-17 05:00:00+00:00,24.94,24.94,24.94,24.94,24.94,200.0
2020-11-18 05:00:00+00:00,25.04,25.05,25.01,25.01,25.01,15100.0
2020-11-20 05:00:00+00:00,25.14,25.28,25.12,25.28,25.28,5200.0
2020-11-23 05:00:00+00:00,25.32,25.32,25.32,25.32,25.32,200.0
2020-11-24 05:00:00+00:00,25.54,25.64,25.54,25.64,25.64,1174.0
2020-11-25 05:00:00+00:00,25.32,25.48,25.29,25.46,25.46,22617.0
2020-11-27 05:00:00+00:00,25.84,25.85,25.82,25.84,25.84,1387.0
2020-11-30 05:00:00+00:00,25.27,25.27,25.1,25.1,25.1,4500.0
2020-12-01 05:00:00+00:00,25.57,25.65,25.57,25.62,25.62,1888.0
2020-12-02 05:00:00+00:00,25.59,25.59,25.59,25.59,25.59,350.0
2020-12-03 05:00:00+00:00,25.67,25.7,25.65,25.65,25.65,2164.0
2020-12-04 05:00:00+00:00,25.72,25.72,25.68,25.7,25.7,1000.0
2020-12-07 05:00:00+00:00,25.44,25.44,25.39,25.39,25.39,300.0
2020-12-09 05:00:00+00:00,25.51,25.51,25.46,25.46,25.46,302.0
2020-12-10 05:00:00+00:00,25.6,25.68,25.6,25.68,25.68,1022.0
2020-12-11 05:00:00+00:00,25.65,25.67,25.65,25.67,25.67,800.0
2020-12-14 05:00:00+00:00,25.81,25.81,25.81,25.81,25.81,100.0
2020-12-15 05:00:00+00:00,25.86,25.94,25.86,25.94,25.94,500.0
2020-12-16 05:00:00+00:00,25.97,25.97,25.92,25.94,25.94,1538.0
2020-12-17 05:00:00+00:00,26.12,26.12,26.12,26.12,26.12,100.0
2020-12-18 05:00:00+00:00,26.01,26.01,26.01,26.01,26.01,100.0
2020-12-21 05:00:00+00:00,25.64,25.78,25.64,25.78,25.78,300.0
2020-12-23 05:00:00+00:00,25.84,25.85,25.84,25.85,25.85,2925.0
2020-12-29 05:00:00+00:00,26.34,26.34,26.33,26.33,26.33,251.0
2020-12-30 05:00:00+00:00,26.51,26.52,26.38,26.38,26.38,1620.0
2021-01-05 05:00:00+00:00,26.25,26.29,26.23,26.29,26.29,2363.0
2021-01-06 05:00:00+00:00,26.58,26.71,26.58,26.67,26.67,700.0
2021-01-07 05:00:00+00:00,26.54,26.62,26.54,26.62,26.62,5739.0
2021-01-08 05:00:00+00:00,26.89,27.08,26.89,27.08,27.08,3713.0
2021-01-11 05:00:00+00:00,26.91,26.91,26.91,26.91,26.91,304.0
2021-01-14 05:00:00+00:00,27.3,27.36,27.3,27.36,27.36,300.0
2021-01-15 05:00:00+00:00,26.87,26.87,26.87,26.87,26.87,100.0
2021-01-19 05:00:00+00:00,26.91,26.95,26.91,26.95,26.95,885.0
2021-01-20 05:00:00+00:00,27.08,27.08,27.08,27.08,27.08,100.0
2021-01-21 05:00:00+00:00,27.02,27.03,27.02,27.03,27.03,2700.0
2021-01-22 05:00:00+00:00,27.01,27.04,27.0,27.01,27.01,5600.0
2021-01-25 05:00:00+00:00,26.98,27.02,26.98,27.02,27.02,900.0
2021-01-27 05:00:00+00:00,26.75,26.8,26.75,26.8,26.8,400.0
2021-01-29 05:00:00+00:00,26.34,26.46,26.22,26.22,26.22,3363.0
2021-02-01 05:00:00+00:00,26.33,26.46,26.33,26.46,26.46,200.0
2021-02-02 05:00:00+00:00,26.59,26.67,26.59,26.67,26.67,405.0
2021-02-03 05:00:00+00:00,26.86,26.86,26.86,26.86,26.86,895.0
2021-02-04 05:00:00+00:00,26.83,26.88,26.83,26.88,26.88,200.0
2021-02-08 05:00:00+00:00,27.59,27.59,27.59,27.59,27.59,600.0
2021-02-09 05:00:00+00:00,27.71,27.71,27.71,27.71,27.71,200.0
2021-02-12 05:00:00+00:00,27.91,27.91,27.91,27.91,27.91,112.0
2021-02-18 05:00:00+00:00,27.54,27.6,27.54,27.6,27.6,2700.0
2021-02-19 05:00:00+00:00,27.81,27.81,27.81,27.81,27.81,207.0
2021-02-22 05:00:00+00:00,27.8,27.83,27.8,27.83,27.83,200.0
2021-02-25 05:00:00+00:00,27.48,27.48,27.0,27.08,27.08,3423.0
2021-02-26 05:00:00+00:00,26.74,26.76,26.68,26.68,26.68,1400.0
2021-03-01 05:00:00+00:00,27.12,27.12,27.02,27.03,27.03,4908.0
2021-03-04 05:00:00+00:00,26.45,26.5,26.45,26.5,26.5,362.0
2021-03-05 05:00:00+00:00,26.44,26.7,26.44,26.7,26.7,200.0
2021-03-09 05:00:00+00:00,26.61,26.61,26.56,26.56,26.56,400.0
2021-03-11 05:00:00+00:00,26.75,26.75,26.75,26.75,26.75,100.0
2021-03-12 05:00:00+00:00,26.92,26.92,26.92,26.92,26.92,200.0
2021-03-15 04:00:00+00:00,27.16,27.21,27.16,27.21,27.21,1917.0
2021-03-16 04:00:00+00:00,27.34,27.34,27.3,27.3,27.3,742.0
2021-03-17 04:00:00+00:00,27.45,27.46,27.45,27.46,27.46,1100.0
2021-03-18 04:00:00+00:00,27.57,27.66,27.57,27.66,27.66,220.0
2021-03-23 04:00:00+00:00,27.33,27.33,27.33,27.33,27.33,100.0
2021-03-24 04:00:00+00:00,26.87,26.91,26.8,26.91,26.91,3100.0
