Date,Open,High,Low,Close,Adj Close,Volume
2020-12-03 05:00:00+00:00,31.17,31.17,31.13,31.13,31.13,200.0
2020-12-07 05:00:00+00:00,31.28,31.28,31.25,31.25,31.25,200.0
2020-12-16 05:00:00+00:00,31.26,31.26,31.26,31.26,31.26,1000.0
2020-12-17 05:00:00+00:00,31.4,31.42,31.4,31.42,31.42,282.0
2020-12-18 05:00:00+00:00,31.35,31.35,31.35,31.35,31.35,400.0
2020-12-29 05:00:00+00:00,31.49,31.49,31.49,31.49,31.49,100.0
2021-01-05 05:00:00+00:00,31.33,31.36,31.33,31.36,31.36,259.0
2021-01-06 05:00:00+00:00,31.61,31.61,31.61,31.61,31.61,100.0
2021-01-07 05:00:00+00:00,31.75,31.75,31.75,31.75,31.75,100.0
2021-01-08 05:00:00+00:00,31.88,31.89,31.88,31.89,31.89,500.0
2021-01-11 05:00:00+00:00,31.86,31.86,31.86,31.86,31.86,100.0
2021-01-12 05:00:00+00:00,31.82,31.82,31.82,31.82,31.82,100.0
2021-01-15 05:00:00+00:00,31.56,31.56,31.56,31.56,31.56,200.0
2021-01-21 05:00:00+00:00,31.93,31.93,31.93,31.93,31.93,400.0
2021-01-25 05:00:00+00:00,31.89,31.89,31.62,31.62,31.62,200.0
2021-03-16 04:00:00+00:00,32.5,32.5,32.5,32.5,32.5,100.0
2021-03-18 04:00:00+00:00,32.42,32.42,32.42,32.42,32.42,200.0
2021-04-12 04:00:00+00:00,33.16,33.16,33.16,33.16,33.16,100.0
2021-05-11 04:00:00+00:00,33.22,33.22,33.22,33.22,33.22,100.0
2021-06-02 04:00:00+00:00,33.64,33.64,33.64,33.64,33.64,100.0
2021-06-03 04:00:00+00:00,33.69,33.69,33.69,33.69,33.69,100.0
2021-06-07 04:00:00+00:00,33.76,33.76,33.76,33.76,33.76,300.0
2021-06-23 04:00:00+00:00,33.83,33.83,33.83,33.83,33.83,200.0
2021-06-24 04:00:00+00:00,33.86,33.86,33.86,33.86,33.86,200.0
2021-07-08 04:00:00+00:00,33.9,33.91,33.9,33.91,33.91,400.0
2021-07-15 04:00:00+00:00,33.97,33.97,33.97,33.97,33.97,100.0
2021-07-23 04:00:00+00:00,34.05,34.05,34.05,34.05,34.05,200.0
2021-07-28 04:00:00+00:00,34.06,34.06,34.06,34.06,34.06,200.0
2021-07-29 04:00:00+00:00,34.11,34.11,34.11,34.11,34.11,200.0
2021-08-03 04:00:00+00:00,34.12,34.12,34.12,34.12,34.12,100.0
2021-08-04 04:00:00+00:00,34.11,34.11,34.11,34.11,34.11,200.0
2021-08-05 04:00:00+00:00,34.14,34.14,34.14,34.14,34.14,300.0
2021-08-06 04:00:00+00:00,34.17,34.17,34.17,34.17,34.17,568.0
2021-08-09 04:00:00+00:00,34.18,34.18,34.18,34.18,34.18,400.0
2021-08-12 04:00:00+00:00,34.24,34.24,34.24,34.24,34.24,200.0
2021-08-13 04:00:00+00:00,34.305,34.36,34.305,34.36,34.36,503.0
2021-08-17 04:00:00+00:00,34.23,34.23,34.23,34.23,34.23,200.0
2021-08-23 04:00:00+00:00,34.28,34.28,34.28,34.28,34.28,121.0
2021-08-24 04:00:00+00:00,34.28,34.28,34.28,34.28,34.28,400.0
2021-08-25 04:00:00+00:00,34.3,34.31,34.3,34.31,34.31,600.0
2021-08-30 04:00:00+00:00,34.34,34.35,34.34,34.35,34.35,1800.0
2021-09-01 04:00:00+00:00,34.36,34.36,34.36,34.36,34.36,200.0
2021-09-15 04:00:00+00:00,34.365,34.365,34.365,34.365,34.365,242.0
2021-09-22 04:00:00+00:00,34.32,34.32,34.32,34.32,34.32,200.0
2021-09-23 04:00:00+00:00,34.36,34.49,34.36,34.49,34.49,684.0
2021-09-24 04:00:00+00:00,34.49,34.49,34.49,34.49,34.49,400.0
2021-10-06 04:00:00+00:00,34.51,34.51,34.51,34.51,34.51,262.0
2021-10-12 04:00:00+00:00,34.54,34.54,34.54,34.54,34.54,400.0
2021-10-13 04:00:00+00:00,34.55,34.55,34.55,34.55,34.55,400.0
2021-10-14 04:00:00+00:00,34.49,34.49,34.49,34.49,34.49,400.0
2021-10-15 04:00:00+00:00,34.49,34.55,34.49,34.51,34.51,3075.0
2021-10-18 04:00:00+00:00,34.42,34.6,34.42,34.6,34.6,3259.0
2021-10-19 04:00:00+00:00,34.68,34.705,34.67,34.68,34.68,1365.0
2021-10-20 04:00:00+00:00,34.77,34.79,34.77,34.78,34.78,1200.0
2021-10-21 04:00:00+00:00,34.75,34.86,34.75,34.86,34.86,2040.0
2021-10-22 04:00:00+00:00,34.8,34.89,34.8,34.89,34.89,685.0
2021-10-25 04:00:00+00:00,34.83,34.97,34.83,34.95,34.95,1900.0
2021-10-26 04:00:00+00:00,34.99,35.02,34.99,35.02,35.02,1000.0
2021-10-27 04:00:00+00:00,34.98,34.98,34.98,34.98,34.98,100.0
2021-10-28 04:00:00+00:00,35.02,35.02,35.01,35.01,35.01,500.0
2021-10-29 04:00:00+00:00,34.95,35.06,34.95,35.06,35.06,1320.0
2021-11-01 04:00:00+00:00,35.13,35.13,35.015,35.08,35.08,2500.0
2021-11-02 04:00:00+00:00,35.17,35.2,35.17,35.185,35.185,2338.0
2021-11-03 04:00:00+00:00,35.22,35.3,35.22,35.3,35.3,939.0
2021-11-04 04:00:00+00:00,35.39,35.39,35.34,35.34,35.34,989.0
2021-11-05 04:00:00+00:00,35.47,35.47,35.47,35.47,35.47,482.0
2021-11-08 05:00:00+00:00,35.39,35.39,35.39,35.39,35.39,100.0
2021-11-09 05:00:00+00:00,35.32,35.32,35.32,35.32,35.32,800.0
2021-11-10 05:00:00+00:00,35.27,35.27,35.27,35.27,35.27,400.0
2021-11-11 05:00:00+00:00,35.25,35.27,35.24,35.27,35.27,1001.0
2021-11-12 05:00:00+00:00,35.36,35.36,35.36,35.36,35.36,400.0
2021-11-15 05:00:00+00:00,35.44,35.44,35.37,35.37,35.37,300.0
2021-11-16 05:00:00+00:00,35.44,35.46,35.44,35.46,35.46,597.0
2021-11-17 05:00:00+00:00,35.35,35.38,35.35,35.38,35.38,1900.0
2021-11-23 05:00:00+00:00,35.29,35.29,35.29,35.29,35.29,100.0
2021-11-24 05:00:00+00:00,35.37,35.37,35.37,35.37,35.37,100.0
2021-11-26 05:00:00+00:00,34.95,34.95,34.95,34.95,34.95,400.0
2021-11-29 05:00:00+00:00,35.24,35.24,35.24,35.24,35.24,160.0
2021-12-01 05:00:00+00:00,34.89,34.89,34.64,34.64,34.64,533.0
2021-12-06 05:00:00+00:00,34.78,34.79,34.78,34.79,34.79,525.0
2021-12-08 05:00:00+00:00,35.36,35.37,35.36,35.37,35.37,500.0
2021-12-09 05:00:00+00:00,35.32,35.32,35.26,35.26,35.26,2400.0
2021-12-10 05:00:00+00:00,35.46,35.47,35.45,35.47,35.47,9100.0
2021-12-13 05:00:00+00:00,35.27,35.27,35.27,35.27,35.27,100.0
2021-12-15 05:00:00+00:00,35.18,35.18,35.02,35.02,35.02,300.0
2021-12-16 05:00:00+00:00,35.45,35.45,35.45,35.45,35.45,100.0
2021-12-20 05:00:00+00:00,34.69,34.69,34.61,34.61,34.61,200.0
2021-12-27 05:00:00+00:00,35.63,35.68,35.63,35.68,35.68,200.0
2021-12-29 05:00:00+00:00,35.7,35.7,35.7,35.7,35.7,103.0
