Date,Open,High,Low,Close,Adj Close,Volume
2020-07-30 04:00:00+00:00,52.9,53.46,52.83,53.46,53.46,500.0
2020-08-03 04:00:00+00:00,54.57,54.57,54.49,54.53,54.53,389.0
2020-08-04 04:00:00+00:00,54.66,54.78,54.66,54.73,54.73,800.0
2020-08-05 04:00:00+00:00,55.56,55.56,55.56,55.56,55.56,416.0
2020-08-10 04:00:00+00:00,53.88,53.88,53.88,53.88,53.88,100.0
2020-08-11 04:00:00+00:00,54.11,54.11,54.01,54.01,54.01,500.0
2020-08-12 04:00:00+00:00,54.16,54.16,54.16,54.16,54.16,206.0
2020-08-13 04:00:00+00:00,54.39,54.39,54.39,54.39,54.39,200.0
2020-08-14 04:00:00+00:00,54.01,54.01,54.01,54.01,54.01,300.0
2020-08-17 04:00:00+00:00,54.82,54.82,54.82,54.82,54.82,387.0
2020-08-20 04:00:00+00:00,55.36,55.36,55.36,55.36,55.36,200.0
2020-08-21 04:00:00+00:00,55.32,55.32,55.32,55.32,55.32,100.0
2020-08-24 04:00:00+00:00,55.94,56.0,55.81,55.81,55.81,1377.0
2020-08-25 04:00:00+00:00,56.02,56.22,56.02,56.22,56.22,200.0
2020-08-26 04:00:00+00:00,56.93,56.93,56.93,56.93,56.93,184.0
2020-08-28 04:00:00+00:00,57.66,57.74,57.66,57.74,57.74,214.0
2020-08-31 04:00:00+00:00,57.57,57.57,57.57,57.57,57.57,100.0
2020-09-01 04:00:00+00:00,58.34,58.37,58.2,58.29,58.29,2276.0
2020-09-03 04:00:00+00:00,56.17,56.17,56.16,56.16,56.16,325.0
2020-09-04 04:00:00+00:00,55.01,55.49,55.01,55.49,55.49,1800.0
2020-09-08 04:00:00+00:00,53.3,53.37,53.3,53.37,53.37,300.0
2020-09-09 04:00:00+00:00,54.92,54.92,54.8,54.87,54.87,374.0
2020-09-10 04:00:00+00:00,54.28,54.28,54.28,54.28,54.28,271.0
2020-09-11 04:00:00+00:00,54.81,54.99,54.8,54.99,54.99,874.0
2020-09-14 04:00:00+00:00,55.06,55.31,55.06,55.15,55.15,2673.0
2020-09-15 04:00:00+00:00,55.82,55.82,55.79,55.79,55.79,200.0
2020-09-17 04:00:00+00:00,55.47,55.47,55.45,55.45,55.45,262.0
2020-09-18 04:00:00+00:00,55.57,55.57,55.47,55.47,55.47,473.0
2020-09-22 04:00:00+00:00,54.56,54.56,54.54,54.54,54.54,400.0
2020-09-23 04:00:00+00:00,54.93,54.94,54.93,54.94,54.94,336.0
2020-09-25 04:00:00+00:00,54.22,54.22,54.22,54.22,54.22,100.0
2020-09-28 04:00:00+00:00,54.61,54.61,54.6,54.61,54.61,408.0
2020-09-29 04:00:00+00:00,54.83,54.92,54.83,54.85,54.85,1600.0
2020-09-30 04:00:00+00:00,55.08,55.08,54.91,54.91,54.91,200.0
2020-10-01 04:00:00+00:00,55.33,55.47,55.29,55.47,55.47,698.0
2020-10-02 04:00:00+00:00,55.13,55.28,55.13,55.27,55.27,2525.0
2020-10-05 04:00:00+00:00,55.79,55.89,55.79,55.89,55.89,300.0
2020-10-06 04:00:00+00:00,56.54,56.68,56.54,56.68,56.68,302.0
2020-10-07 04:00:00+00:00,56.75,56.76,56.54,56.54,56.54,1004.0
2020-10-08 04:00:00+00:00,56.82,57.04,56.82,57.04,57.04,682.0
2020-10-09 04:00:00+00:00,57.49,57.58,57.49,57.56,57.56,1400.0
2020-10-12 04:00:00+00:00,58.32,58.38,58.32,58.38,58.38,1326.0
2020-10-13 04:00:00+00:00,58.05,58.27,58.05,58.27,58.27,5300.0
2020-10-14 04:00:00+00:00,58.19,58.19,58.19,58.19,58.19,100.0
