Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,36.9,37.55,36.66,37.53,37.53,35454.0
2020-07-28 04:00:00+00:00,37.33,37.39,36.8,36.9,36.9,12460.0
2020-07-29 04:00:00+00:00,37.34,37.84,37.21,37.49,37.49,29943.0
2020-07-30 04:00:00+00:00,36.96,37.56,36.66,37.53,37.53,24351.0
2020-07-31 04:00:00+00:00,37.43,37.55,36.92,37.55,37.55,26621.0
2020-08-03 04:00:00+00:00,37.72,38.23,37.42,38.2,38.2,35450.0
2020-08-04 04:00:00+00:00,38.26,38.54,38.07,38.37,38.37,70803.0
2020-08-05 04:00:00+00:00,38.64,38.85,37.96,38.7,38.7,40424.0
2020-08-06 04:00:00+00:00,38.61,39.34,38.41,39.34,39.34,191037.0
2020-08-07 04:00:00+00:00,39.56,39.75,37.73,39.01,39.01,135316.0
2020-08-10 04:00:00+00:00,39.02,39.86,39.02,39.43,39.43,97700.0
2020-08-11 04:00:00+00:00,39.66,39.66,39.0,39.1,39.1,39366.0
2020-08-12 04:00:00+00:00,39.41,39.72,39.34,39.57,39.57,10715.0
2020-08-13 04:00:00+00:00,39.56,39.86,39.51,39.51,39.51,11466.0
2020-08-14 04:00:00+00:00,39.23,39.61,39.23,39.38,39.38,16395.0
2020-08-17 04:00:00+00:00,39.64,39.69,39.29,39.33,39.33,20372.0
2020-08-18 04:00:00+00:00,39.34,39.47,38.89,39.38,39.38,31131.0
2020-08-19 04:00:00+00:00,39.59,39.73,39.47,39.5,39.5,4310.0
2020-08-20 04:00:00+00:00,39.27,39.27,38.88,38.96,38.96,13306.0
2020-08-21 04:00:00+00:00,38.9,39.02,38.69,38.86,38.86,14932.0
2020-08-24 04:00:00+00:00,39.08,39.58,39.08,39.47,39.47,16080.0
2020-08-25 04:00:00+00:00,39.54,39.71,39.38,39.69,39.69,20985.0
2020-08-26 04:00:00+00:00,39.53,39.61,39.35,39.38,39.38,38725.0
2020-08-27 04:00:00+00:00,39.59,39.88,39.59,39.74,39.74,26344.0
2020-08-28 04:00:00+00:00,39.93,40.24,39.78,40.24,40.24,9083.0
2020-08-31 04:00:00+00:00,39.95,39.95,39.6,39.74,39.74,6165.0
2020-09-01 04:00:00+00:00,39.36,39.45,38.99,39.07,39.07,66770.0
2020-09-02 04:00:00+00:00,39.23,39.62,38.97,39.62,39.62,53154.0
2020-09-03 04:00:00+00:00,39.36,39.36,37.54,37.79,37.79,9016.0
2020-09-04 04:00:00+00:00,37.99,38.15,36.68,36.99,36.99,38910.0
2020-09-08 04:00:00+00:00,36.26,36.84,35.92,36.2,36.2,79548.0
2020-09-09 04:00:00+00:00,36.47,36.81,36.44,36.54,36.54,34831.0
2020-09-10 04:00:00+00:00,36.98,37.23,36.26,36.35,36.35,26288.0
2020-09-11 04:00:00+00:00,36.5,36.5,35.95,36.24,36.24,17918.0
2020-09-14 04:00:00+00:00,37.02,37.22,36.81,36.81,36.81,11044.0
2020-09-15 04:00:00+00:00,37.33,37.54,37.13,37.4,37.4,12203.0
2020-09-16 04:00:00+00:00,37.82,38.06,37.51,37.51,37.51,5302.0
2020-09-17 04:00:00+00:00,37.04,37.56,36.89,37.35,37.35,10801.0
2020-09-18 04:00:00+00:00,37.6,37.85,36.49,36.58,36.58,20898.0
2020-09-21 04:00:00+00:00,35.41,35.61,35.21,35.52,35.52,17090.0
2020-09-22 04:00:00+00:00,35.88,36.89,35.83,36.72,36.72,17082.0
2020-09-23 04:00:00+00:00,36.74,36.97,35.55,35.67,35.67,31004.0
2020-09-24 04:00:00+00:00,35.55,35.9,35.28,35.56,35.56,30683.0
2020-09-25 04:00:00+00:00,35.66,36.2,35.43,36.02,36.02,32128.0
2020-09-28 04:00:00+00:00,36.85,37.15,36.77,36.79,36.79,58185.0
2020-09-29 04:00:00+00:00,36.85,36.97,36.36,36.53,36.53,15473.0
2020-09-30 04:00:00+00:00,36.78,37.16,36.61,36.8,36.8,32863.0
2020-10-01 04:00:00+00:00,37.04,37.34,36.52,36.56,36.56,66838.0
2020-10-02 04:00:00+00:00,36.2,36.83,36.2,36.42,36.42,63913.0
2020-10-05 04:00:00+00:00,36.72,36.85,36.38,36.69,36.69,73067.0
2020-10-06 04:00:00+00:00,36.84,36.99,35.89,36.02,36.02,78022.0
2020-10-07 04:00:00+00:00,36.54,36.91,36.25,36.38,36.38,116431.0
2020-10-08 04:00:00+00:00,36.75,36.84,36.54,36.72,36.72,102703.0
2020-10-09 04:00:00+00:00,37.1,37.48,36.8,37.22,37.22,48798.0
2020-10-12 04:00:00+00:00,37.52,37.99,37.17,37.86,37.86,55922.0
2020-10-13 04:00:00+00:00,37.72,37.87,36.89,37.08,37.08,44280.0
2020-10-14 04:00:00+00:00,37.29,37.32,36.7,36.78,36.78,15179.0
