Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,24.59,24.59,24.59,24.59,24.59,100.0
2020-07-31 04:00:00+00:00,24.62,24.62,24.62,24.62,24.62,100.0
2020-08-05 04:00:00+00:00,24.53,24.53,24.51,24.51,24.51,300.0
2020-08-06 04:00:00+00:00,24.97,24.97,24.88,24.97,24.97,1319.0
2020-08-12 04:00:00+00:00,25.14,25.4,25.14,25.16,25.16,1706.0
2020-08-17 04:00:00+00:00,25.54,25.54,25.54,25.54,25.54,100.0
2020-08-19 04:00:00+00:00,25.61,25.61,25.61,25.61,25.61,175.0
2020-08-20 04:00:00+00:00,25.41,25.41,25.32,25.41,25.41,301.0
2020-08-25 04:00:00+00:00,25.81,25.81,25.81,25.81,25.81,200.0
2020-08-28 04:00:00+00:00,26.55,26.55,26.55,26.55,26.55,200.0
2020-09-02 04:00:00+00:00,25.83,25.83,25.81,25.81,25.81,262.0
2020-09-04 04:00:00+00:00,25.53,25.53,25.53,25.53,25.53,131.0
2020-09-22 04:00:00+00:00,25.75,25.75,25.75,25.75,25.75,232.0
2020-09-23 04:00:00+00:00,25.63,25.63,25.32,25.37,25.37,397.0
2020-09-24 04:00:00+00:00,24.61,24.92,24.61,24.92,24.92,300.0
2020-09-25 04:00:00+00:00,25.47,25.47,25.47,25.47,25.47,300.0
2020-09-28 04:00:00+00:00,25.98,25.98,25.98,25.98,25.98,107.0
2020-09-30 04:00:00+00:00,26.29,26.3,26.29,26.3,26.3,580.0
2020-10-05 04:00:00+00:00,26.97,27.02,26.97,27.02,27.02,401.0
2020-10-06 04:00:00+00:00,27.04,27.04,26.67,26.67,26.67,600.0
2020-10-07 04:00:00+00:00,27.01,27.01,27.01,27.01,27.01,100.0
2020-10-09 04:00:00+00:00,27.59,27.59,27.59,27.59,27.59,100.0
2020-10-15 04:00:00+00:00,27.12,27.12,27.12,27.12,27.12,1200.0
2020-10-16 04:00:00+00:00,27.04,27.04,27.03,27.03,27.03,210.0
2020-10-22 04:00:00+00:00,26.92,26.92,26.92,26.92,26.92,100.0
2020-10-26 04:00:00+00:00,26.71,26.71,26.6,26.6,26.6,600.0
2020-10-27 04:00:00+00:00,26.89,26.93,26.66,26.71,26.71,4200.0
2020-11-02 05:00:00+00:00,26.01,26.01,26.01,26.01,26.01,406.0
2020-11-03 05:00:00+00:00,26.17,26.17,26.17,26.17,26.17,140.0
2020-11-05 05:00:00+00:00,27.14,27.2,27.14,27.2,27.2,201.0
2020-11-09 05:00:00+00:00,27.92,28.01,27.92,28.01,28.01,227.0
2020-11-10 05:00:00+00:00,26.62,26.62,26.62,26.62,26.62,232.0
2020-11-12 05:00:00+00:00,27.27,27.27,27.27,27.27,27.27,100.0
2020-11-13 05:00:00+00:00,27.3,27.3,27.3,27.3,27.3,200.0
2020-11-19 05:00:00+00:00,27.25,27.33,27.25,27.33,27.33,308.0
2020-11-20 05:00:00+00:00,27.76,27.76,27.76,27.76,27.76,100.0
2020-12-01 05:00:00+00:00,28.71,28.71,28.71,28.71,28.71,100.0
2020-12-03 05:00:00+00:00,29.0,29.0,29.0,29.0,29.0,100.0
2020-12-07 05:00:00+00:00,29.26,29.26,29.22,29.22,29.22,404.0
2020-12-08 05:00:00+00:00,29.16,29.16,29.02,29.02,29.02,500.0
2020-12-15 05:00:00+00:00,29.53,29.55,29.53,29.55,29.55,200.0
2020-12-17 05:00:00+00:00,29.88,29.88,29.88,29.88,29.88,121.0
2020-12-22 05:00:00+00:00,29.27,29.27,29.27,29.27,29.27,200.0
2020-12-29 05:00:00+00:00,30.41,30.57,30.41,30.57,30.57,1091.0
2021-01-06 05:00:00+00:00,31.91,31.91,31.91,31.91,31.91,100.0
2021-01-07 05:00:00+00:00,31.6,31.63,31.6,31.63,31.63,300.0
2021-01-12 05:00:00+00:00,32.81,32.81,32.81,32.81,32.81,200.0
2021-01-14 05:00:00+00:00,33.03,33.03,33.03,33.03,33.03,600.0
2021-01-27 05:00:00+00:00,31.21,31.21,31.21,31.21,31.21,200.0
2021-01-29 05:00:00+00:00,30.78,30.78,30.78,30.78,30.78,140.0
2021-02-05 05:00:00+00:00,31.85,31.93,31.85,31.93,31.93,345.0
2021-02-08 05:00:00+00:00,32.1,32.11,32.1,32.11,32.11,200.0
2021-02-24 05:00:00+00:00,31.2,31.51,31.2,31.51,31.51,300.0
2021-02-25 05:00:00+00:00,31.09,31.09,31.09,31.09,31.09,100.0
2021-03-05 05:00:00+00:00,31.01,31.3,31.01,31.3,31.3,300.0
2021-03-08 05:00:00+00:00,30.95,30.95,30.8,30.8,30.8,1000.0
2021-03-17 04:00:00+00:00,31.65,31.75,31.65,31.75,31.75,200.0
2021-03-19 04:00:00+00:00,31.38,31.38,31.38,31.38,31.38,100.0
2021-03-22 04:00:00+00:00,31.55,31.69,31.55,31.69,31.69,200.0
2021-03-23 04:00:00+00:00,31.55,31.55,31.54,31.54,31.54,500.0
2021-04-06 04:00:00+00:00,32.21,32.21,32.21,32.21,32.21,100.0
2021-04-14 04:00:00+00:00,31.6,31.6,31.6,31.6,31.6,100.0
2021-04-21 04:00:00+00:00,31.27,31.27,31.27,31.27,31.27,100.0
2021-04-28 04:00:00+00:00,32.73,32.73,32.73,32.73,32.73,100.0
2021-05-19 04:00:00+00:00,34.57,34.6,34.57,34.6,34.6,330.0
2021-06-15 04:00:00+00:00,36.17,36.17,36.17,36.17,36.17,100.0
2021-06-17 04:00:00+00:00,35.92,35.92,35.92,35.92,35.92,100.0
2021-07-16 04:00:00+00:00,37.24,37.24,37.16,37.17,37.17,501.0
2021-07-20 04:00:00+00:00,37.12,37.33,37.12,37.33,37.33,300.0
2021-07-23 04:00:00+00:00,37.81,37.81,37.81,37.81,37.81,200.0
2021-08-02 04:00:00+00:00,38.24,38.24,38.24,38.24,38.24,203.0
2021-08-06 04:00:00+00:00,38.11,38.11,38.11,38.11,38.11,104.0
2021-08-09 04:00:00+00:00,38.08,38.08,38.08,38.08,38.08,102.0
2021-08-19 04:00:00+00:00,37.82,37.82,37.82,37.82,37.82,100.0
2021-08-24 04:00:00+00:00,38.36,38.36,38.36,38.36,38.36,200.0
2021-08-27 04:00:00+00:00,39.15,39.15,39.15,39.15,39.15,236.0
2021-08-31 04:00:00+00:00,39.81,39.81,39.81,39.81,39.81,100.0
2021-09-07 04:00:00+00:00,40.7,40.7,40.7,40.7,40.7,139.0
2021-09-16 04:00:00+00:00,41.27,41.27,41.26,41.26,41.26,662.0
2021-09-20 04:00:00+00:00,39.92,39.92,39.92,39.92,39.92,232.0
2021-09-21 04:00:00+00:00,40.35,40.35,40.35,40.35,40.35,142.0
2021-09-22 04:00:00+00:00,41.01,41.01,41.01,41.01,41.01,100.0
2021-09-27 04:00:00+00:00,40.6,40.6,40.6,40.6,40.6,200.0
2021-10-05 04:00:00+00:00,40.51,40.66,40.51,40.66,40.66,415.0
2021-10-07 04:00:00+00:00,40.65,40.65,40.65,40.65,40.65,200.0
2021-10-12 04:00:00+00:00,40.34,40.34,40.34,40.34,40.34,100.0
2021-10-13 04:00:00+00:00,40.82,40.82,40.82,40.82,40.82,115.0
2021-10-18 04:00:00+00:00,41.0,41.0,41.0,41.0,41.0,1100.0
2021-10-28 04:00:00+00:00,38.86,38.86,38.86,38.86,38.86,140.0
2021-11-04 04:00:00+00:00,39.57,39.57,39.57,39.57,39.57,100.0
2021-11-08 05:00:00+00:00,40.44,40.44,40.44,40.44,40.44,139.0
2021-11-09 05:00:00+00:00,40.18,40.18,40.18,40.18,40.18,105.0
2021-11-23 05:00:00+00:00,38.88,38.88,38.88,38.88,38.88,120.0
2021-12-02 05:00:00+00:00,38.55,38.55,38.55,38.55,38.55,122.0
2021-12-16 05:00:00+00:00,38.05,38.05,38.05,38.05,38.05,100.0
2021-12-17 05:00:00+00:00,37.48,37.48,37.48,37.48,37.48,138.0
2021-12-20 05:00:00+00:00,37.1,37.1,37.1,37.1,37.1,100.0
2021-12-27 05:00:00+00:00,38.74,38.74,38.74,38.74,38.74,128.0
2021-12-29 05:00:00+00:00,39.43,39.43,39.43,39.43,39.43,119.0
2022-01-03 05:00:00+00:00,40.17,40.17,40.15,40.15,40.15,300.0
2022-01-18 05:00:00+00:00,39.48,39.48,39.48,39.48,39.48,100.0
2022-01-19 05:00:00+00:00,39.29,39.29,39.29,39.29,39.29,100.0
2022-01-21 05:00:00+00:00,38.5,38.5,38.42,38.42,38.42,300.0
2022-01-25 05:00:00+00:00,36.63,36.8,36.63,36.8,36.8,345.0
2022-01-26 05:00:00+00:00,36.61,36.61,36.58,36.58,36.58,200.0
2022-01-27 05:00:00+00:00,36.09,36.09,35.86,35.87,35.87,400.0
2022-01-28 05:00:00+00:00,36.28,36.28,36.28,36.28,36.28,100.0
2022-02-04 05:00:00+00:00,37.83,37.83,37.83,37.83,37.83,200.0
2022-02-07 05:00:00+00:00,37.58,37.58,37.58,37.58,37.58,100.0
2022-02-18 05:00:00+00:00,36.32,36.32,36.32,36.32,36.32,100.0
2022-02-24 05:00:00+00:00,33.32,33.32,33.32,33.32,33.32,100.0
2022-03-08 05:00:00+00:00,33.96,33.97,33.94,33.94,33.94,621.0
2022-03-09 05:00:00+00:00,35.77,35.77,35.77,35.77,35.77,130.0
2022-03-11 05:00:00+00:00,34.97,34.97,34.97,34.97,34.97,151.0
2022-03-15 04:00:00+00:00,35.74,35.74,35.74,35.74,35.74,194.0
2022-03-17 04:00:00+00:00,36.77,36.77,36.77,36.77,36.77,144.0
2022-03-22 04:00:00+00:00,36.87,36.87,36.87,36.87,36.87,200.0
2022-03-23 04:00:00+00:00,36.38,36.38,36.38,36.38,36.38,100.0
2022-03-29 04:00:00+00:00,37.97,37.97,37.97,37.97,37.97,200.0
2022-04-13 04:00:00+00:00,37.84,37.85,37.84,37.85,37.85,200.0
2022-04-14 04:00:00+00:00,37.57,37.57,37.57,37.57,37.57,197.0
2022-04-19 04:00:00+00:00,36.59,36.59,36.59,36.59,36.59,502.0
2022-04-25 04:00:00+00:00,35.97,35.97,35.96,35.96,35.96,230.0
2022-04-27 04:00:00+00:00,35.46,35.46,35.46,35.46,35.46,100.0
2022-05-10 04:00:00+00:00,32.45,32.45,32.45,32.45,32.45,200.0
2022-05-16 04:00:00+00:00,31.67,31.67,31.67,31.67,31.67,100.0
2022-05-19 04:00:00+00:00,31.84,31.84,31.84,31.84,31.84,100.0
2022-05-23 04:00:00+00:00,31.85,31.85,31.85,31.85,31.85,100.0
2022-05-27 04:00:00+00:00,31.26,31.26,31.26,31.26,31.26,111.0
2022-06-23 04:00:00+00:00,28.79,28.79,28.79,28.79,28.79,500.0
2022-06-30 04:00:00+00:00,28.77,28.77,28.75,28.75,28.75,300.0
2022-07-01 04:00:00+00:00,29.08,29.08,29.08,29.08,29.08,173.0
2022-07-05 04:00:00+00:00,28.69,28.69,28.69,28.69,28.69,100.0
2022-07-07 04:00:00+00:00,29.86,29.87,29.86,29.87,29.87,200.0
2022-07-08 04:00:00+00:00,29.87,29.87,29.87,29.87,29.87,0.0
2022-07-11 04:00:00+00:00,29.41,29.84,29.41,29.8,29.8,8259.0
2022-07-12 04:00:00+00:00,29.75,29.81,29.75,29.77,29.77,2495.0
2022-07-13 04:00:00+00:00,29.7,29.91,29.7,29.91,29.91,1102.0
2022-07-14 04:00:00+00:00,29.91,29.91,29.91,29.91,29.91,0.0
2022-07-15 04:00:00+00:00,29.91,29.91,29.91,29.91,29.91,0.0
2022-07-18 04:00:00+00:00,30.31,30.31,30.31,30.31,30.31,100.0
2022-07-19 04:00:00+00:00,30.31,30.31,30.31,30.31,30.31,0.0
2022-07-20 04:00:00+00:00,30.64,30.64,30.57,30.57,30.57,1024.0
2022-07-21 04:00:00+00:00,31.25,31.25,31.18,31.18,31.18,389.0
2022-07-22 04:00:00+00:00,31.18,31.18,31.18,31.18,31.18,0.0
2022-07-25 04:00:00+00:00,31.18,31.18,31.18,31.18,31.18,0.0
2022-07-26 04:00:00+00:00,31.18,31.18,31.18,31.18,31.18,0.0
2022-07-27 04:00:00+00:00,31.18,31.18,31.18,31.18,31.18,0.0
2022-07-28 04:00:00+00:00,31.18,31.18,31.18,31.18,31.18,0.0
2022-07-29 04:00:00+00:00,31.83,31.83,31.83,31.83,31.83,100.0
2022-08-01 04:00:00+00:00,32.59,32.59,32.59,32.59,32.59,144.0
2022-08-02 04:00:00+00:00,32.59,32.59,32.59,32.59,32.59,0.0
2022-08-03 04:00:00+00:00,32.59,32.59,32.59,32.59,32.59,0.0
2022-08-04 04:00:00+00:00,32.59,32.59,32.59,32.59,32.59,0.0
2022-08-05 04:00:00+00:00,32.46,32.46,32.46,32.46,32.46,100.0
2022-08-08 04:00:00+00:00,32.46,32.46,32.46,32.46,32.46,0.0
2022-08-09 04:00:00+00:00,32.46,32.46,32.46,32.46,32.46,0.0
2022-08-10 04:00:00+00:00,32.46,32.46,32.46,32.46,32.46,0.0
2022-08-11 04:00:00+00:00,32.46,32.46,32.46,32.46,32.46,0.0
2022-08-12 04:00:00+00:00,32.93,32.93,32.93,32.93,32.93,164.0
2022-08-15 04:00:00+00:00,32.93,32.93,32.93,32.93,32.93,0.0
2022-08-16 04:00:00+00:00,32.93,32.93,32.93,32.93,32.93,0.0
2022-08-17 04:00:00+00:00,33.3,33.3,33.25,33.25,33.25,300.0
2022-08-18 04:00:00+00:00,33.19,33.19,33.09,33.09,33.09,236.0
2022-08-19 04:00:00+00:00,33.09,33.09,33.09,33.09,33.09,0.0
2022-08-22 04:00:00+00:00,31.96,31.96,31.96,31.96,31.96,100.0
2022-08-23 04:00:00+00:00,31.96,31.96,31.96,31.96,31.96,0.0
2022-08-24 04:00:00+00:00,31.96,31.96,31.96,31.96,31.96,0.0
2022-08-25 04:00:00+00:00,32.14,32.17,32.13,32.13,32.13,304.0
2022-08-26 04:00:00+00:00,32.13,32.13,32.13,32.13,32.13,0.0
2022-08-29 04:00:00+00:00,32.13,32.13,32.13,32.13,32.13,0.0
2022-08-30 04:00:00+00:00,32.16,32.16,32.16,32.16,32.16,100.0
2022-08-31 04:00:00+00:00,32.16,32.16,32.16,32.16,32.16,0.0
2022-09-01 04:00:00+00:00,32.16,32.16,32.16,32.16,32.16,0.0
2022-09-02 04:00:00+00:00,32.16,32.16,32.16,32.16,32.16,0.0
2022-09-06 04:00:00+00:00,32.16,32.16,32.16,32.16,32.16,0.0
2022-09-07 04:00:00+00:00,32.16,32.16,32.16,32.16,32.16,0.0
2022-09-08 04:00:00+00:00,32.16,32.16,32.16,32.16,32.16,0.0
2022-09-09 04:00:00+00:00,32.16,32.16,32.16,32.16,32.16,0.0
2022-09-12 04:00:00+00:00,33.46,33.46,33.46,33.46,33.46,100.0
2022-09-13 04:00:00+00:00,32.81,32.81,32.81,32.81,32.81,140.0
2022-09-14 04:00:00+00:00,32.81,32.81,32.81,32.81,32.81,0.0
2022-09-15 04:00:00+00:00,32.81,32.81,32.81,32.81,32.81,0.0
2022-09-16 04:00:00+00:00,32.81,32.81,32.81,32.81,32.81,0.0
