Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,9.67,10.18,9.5,10.13,10.13,27690.0
2020-07-28 04:00:00+00:00,10.025,10.245,10.0,10.025,10.025,63048.0
2020-07-29 04:00:00+00:00,9.99,10.255,9.945,10.235,10.235,77086.0
2020-07-30 04:00:00+00:00,10.01,10.015,9.655,9.69,9.69,96203.0
2020-07-31 04:00:00+00:00,9.9,10.0,8.995,9.01,9.01,84890.0
2020-08-03 04:00:00+00:00,8.9,8.94,8.565,8.815,8.815,87787.0
2020-08-04 04:00:00+00:00,8.86,9.065,8.805,8.915,8.915,87877.0
2020-08-05 04:00:00+00:00,9.075,9.325,9.075,9.285,9.285,27270.0
2020-08-06 04:00:00+00:00,9.23,9.275,8.97,9.26,9.26,38321.0
2020-08-07 04:00:00+00:00,9.175,9.445,9.155,9.445,9.445,62194.0
2020-08-10 04:00:00+00:00,9.62,10.015,9.62,9.845,9.845,47451.0
2020-08-11 04:00:00+00:00,10.06,10.37,10.04,10.085,10.085,38402.0
2020-08-12 04:00:00+00:00,10.27,10.34,9.755,9.835,9.835,36862.0
2020-08-13 04:00:00+00:00,9.785,10.035,9.73,9.905,9.905,38541.0
2020-08-14 04:00:00+00:00,9.87,10.05,9.76,9.895,9.895,14460.0
2020-08-17 04:00:00+00:00,9.94,10.085,9.86,10.0,10.0,30676.0
2020-08-18 04:00:00+00:00,9.96,9.97,9.71,9.725,9.725,79879.0
2020-08-19 04:00:00+00:00,9.66,9.745,9.21,9.49,9.49,151695.0
2020-08-20 04:00:00+00:00,9.455,9.655,9.37,9.465,9.465,69980.0
2020-08-21 04:00:00+00:00,9.44,9.595,9.39,9.445,9.445,24901.0
2020-08-24 04:00:00+00:00,9.49,9.86,9.49,9.845,9.845,37398.0
2020-08-25 04:00:00+00:00,9.92,10.0,9.565,9.66,9.66,35171.0
2020-08-26 04:00:00+00:00,9.695,9.865,9.675,9.805,9.805,44609.0
2020-08-27 04:00:00+00:00,9.88,9.95,9.635,9.705,9.705,13000.0
2020-08-28 04:00:00+00:00,9.77,9.88,9.745,9.85,9.85,20555.0
