Date,Open,High,Low,Close,Adj Close,Volume
2020-08-04 04:00:00+00:00,6.11,6.11,6.11,6.11,6.11,100.0
2020-08-05 04:00:00+00:00,5.74,5.94,5.74,5.94,5.94,334.0
2020-08-06 04:00:00+00:00,5.95,5.95,5.95,5.95,5.95,100.0
2020-08-11 04:00:00+00:00,6.0,6.0,6.0,6.0,6.0,200.0
2020-08-17 04:00:00+00:00,5.41,5.41,5.41,5.41,5.41,200.0
2020-08-20 04:00:00+00:00,5.64,5.64,5.64,5.64,5.64,100.0
2020-08-21 04:00:00+00:00,5.66,5.66,5.66,5.66,5.66,100.0
2020-08-28 04:00:00+00:00,5.27,5.28,5.27,5.28,5.28,200.0
2020-09-04 04:00:00+00:00,4.78,4.78,4.78,4.78,4.78,100.0
2020-09-10 04:00:00+00:00,4.87,4.87,4.87,4.87,4.87,102.0
2020-09-11 04:00:00+00:00,5.0,5.04,5.0,5.04,5.04,200.0
2020-09-14 04:00:00+00:00,5.18,5.18,5.18,5.18,5.18,100.0
2020-09-18 04:00:00+00:00,5.02,5.02,5.02,5.02,5.02,100.0
2020-09-28 04:00:00+00:00,4.99,4.99,4.99,4.99,4.99,200.0
2020-10-01 04:00:00+00:00,5.28,5.28,5.28,5.28,5.28,103.0
2020-10-02 04:00:00+00:00,5.5,5.5,5.5,5.5,5.5,100.0
2020-10-08 04:00:00+00:00,5.61,5.71,5.61,5.61,5.61,647.0
2020-10-09 04:00:00+00:00,5.34,5.53,5.34,5.53,5.53,201.0
2020-10-12 04:00:00+00:00,5.33,5.46,5.32,5.46,5.46,500.0
2020-10-13 04:00:00+00:00,5.51,5.51,5.51,5.51,5.51,250.0
2020-10-14 04:00:00+00:00,5.43,5.43,5.43,5.43,5.43,100.0
2020-10-16 04:00:00+00:00,5.34,5.39,5.34,5.39,5.39,200.0
2020-10-21 04:00:00+00:00,5.18,5.18,5.18,5.18,5.18,100.0
2020-10-22 04:00:00+00:00,5.11,5.11,5.11,5.11,5.11,146.0
2020-10-26 04:00:00+00:00,5.08,5.08,5.08,5.08,5.08,200.0
2020-10-27 04:00:00+00:00,5.01,5.045,5.01,5.01,5.01,600.0
2020-10-28 04:00:00+00:00,5.05,5.15,5.04,5.15,5.15,319.0
2020-10-29 04:00:00+00:00,5.01,5.01,5.01,5.01,5.01,100.0
2020-10-30 04:00:00+00:00,4.9,4.9,4.9,4.9,4.9,302.0
2020-11-02 05:00:00+00:00,4.93,4.935,4.93,4.935,4.935,202.0
2020-11-05 05:00:00+00:00,4.89,4.89,4.89,4.89,4.89,100.0
2020-11-06 05:00:00+00:00,5.12,5.12,5.11,5.11,5.11,200.0
2020-11-09 05:00:00+00:00,4.85,4.85,4.85,4.85,4.85,196.0
2020-11-10 05:00:00+00:00,4.84,4.84,4.84,4.84,4.84,100.0
2020-11-11 05:00:00+00:00,4.7,4.7,4.7,4.7,4.7,100.0
2020-11-12 05:00:00+00:00,4.75,4.75,4.75,4.75,4.75,100.0
2020-11-16 05:00:00+00:00,4.87,4.87,4.74,4.74,4.74,1500.0
2020-11-17 05:00:00+00:00,4.77,4.77,4.63,4.77,4.77,400.0
2020-11-18 05:00:00+00:00,4.67,4.69,4.67,4.69,4.69,200.0
2020-11-19 05:00:00+00:00,4.66,4.66,4.625,4.625,4.625,300.0
2020-11-20 05:00:00+00:00,4.24,4.36,4.24,4.36,4.36,300.0
2020-11-23 05:00:00+00:00,4.38,4.4,4.22,4.22,4.22,600.0
2020-11-24 05:00:00+00:00,4.27,4.43,4.27,4.43,4.43,301.0
2020-11-27 05:00:00+00:00,4.53,4.53,4.53,4.53,4.53,100.0
2020-12-01 05:00:00+00:00,4.75,4.79,4.75,4.79,4.79,501.0
2020-12-02 05:00:00+00:00,4.29,4.3,4.18,4.18,4.18,500.0
2020-12-03 05:00:00+00:00,4.23,4.705,4.23,4.69,4.69,2881.0
2020-12-04 05:00:00+00:00,4.61,4.61,4.61,4.61,4.61,300.0
2020-12-07 05:00:00+00:00,4.72,4.72,4.72,4.72,4.72,200.0
2020-12-08 05:00:00+00:00,4.5,4.5,4.5,4.5,4.5,100.0
2020-12-09 05:00:00+00:00,4.46,4.46,4.46,4.46,4.46,100.0
2020-12-14 05:00:00+00:00,4.39,4.39,4.39,4.39,4.39,150.0
2020-12-18 05:00:00+00:00,4.26,4.26,4.26,4.26,4.26,200.0
2020-12-22 05:00:00+00:00,4.18,4.18,4.18,4.18,4.18,200.0
2020-12-23 05:00:00+00:00,4.22,4.23,4.22,4.23,4.23,360.0
2020-12-24 05:00:00+00:00,4.18,4.18,4.18,4.18,4.18,200.0
2020-12-28 05:00:00+00:00,4.12,4.12,4.12,4.12,4.12,200.0
2020-12-29 05:00:00+00:00,4.11,4.11,4.09,4.09,4.09,384.0
2020-12-31 05:00:00+00:00,4.06,4.125,4.03,4.11,4.11,609.0
2021-01-04 05:00:00+00:00,4.09,4.18,4.09,4.18,4.18,400.0
2021-01-05 05:00:00+00:00,4.63,4.65,4.52,4.65,4.65,732.0
2021-01-06 05:00:00+00:00,4.65,4.65,4.63,4.63,4.63,238.0
2021-01-07 05:00:00+00:00,4.47,4.48,4.27,4.27,4.27,400.0
2021-01-08 05:00:00+00:00,4.41,4.41,4.38,4.39,4.39,400.0
2021-01-11 05:00:00+00:00,4.4,4.4,4.4,4.4,4.4,200.0
2021-01-12 05:00:00+00:00,4.57,4.57,4.4,4.55,4.55,700.0
2021-01-13 05:00:00+00:00,4.6,4.65,4.6,4.65,4.65,300.0
2021-01-14 05:00:00+00:00,4.58,4.6,4.58,4.6,4.6,600.0
2021-01-19 05:00:00+00:00,4.53,4.53,4.38,4.38,4.38,400.0
2021-01-20 05:00:00+00:00,4.49,4.49,4.42,4.42,4.42,300.0
2021-01-22 05:00:00+00:00,4.39,4.39,4.39,4.39,4.39,200.0
