Date,Open,High,Low,Close,Adj Close,Volume
2022-07-25 04:00:00+00:00,760.5,795.0,637.5,656.25,656.25,18.0
2022-07-26 04:00:00+00:00,621.0,621.0,621.0,621.0,621.0,0.0
2022-07-27 04:00:00+00:00,615.0,615.0,610.5,610.5,610.5,3.0
2022-07-28 04:00:00+00:00,610.5,610.5,610.5,610.5,610.5,0.0
2022-07-29 04:00:00+00:00,613.5,613.5,600.0,604.5,604.5,5.0
2022-08-01 04:00:00+00:00,586.5,586.5,586.5,586.5,586.5,0.0
2022-08-02 04:00:00+00:00,586.5,586.5,586.5,586.5,586.5,0.0
2022-08-03 04:00:00+00:00,577.5,577.5,540.0,547.5,547.5,4.0
2022-08-04 04:00:00+00:00,576.0,576.0,576.0,576.0,576.0,0.0
2022-08-05 04:00:00+00:00,579.0,600.0,556.5,556.5,556.5,4.0
2022-08-08 04:00:00+00:00,547.5,556.5,544.5,556.5,556.5,3.0
2022-08-09 04:00:00+00:00,556.5,556.5,556.5,556.5,556.5,0.0
2022-08-10 04:00:00+00:00,537.0,613.5,487.5,538.5,538.5,225.0
2022-08-11 04:00:00+00:00,634.5,652.5,505.5,523.5,523.5,261.0
2022-08-12 04:00:00+00:00,495.0,507.0,466.5,507.0,507.0,88.0
2022-08-15 04:00:00+00:00,558.0,559.5,531.0,543.0,543.0,30.0
2022-08-16 04:00:00+00:00,514.5,525.0,513.0,514.5,514.5,5.0
2022-08-17 04:00:00+00:00,510.0,510.0,483.0,508.5,508.5,12.0
2022-08-18 04:00:00+00:00,508.5,508.5,508.5,508.5,508.5,0.0
2022-08-19 04:00:00+00:00,490.5,562.5,487.5,526.5,526.5,20.0
2022-08-22 04:00:00+00:00,493.5,510.0,483.0,489.0,489.0,9.0
2022-08-23 04:00:00+00:00,484.5,506.25,484.5,499.5,499.5,22.0
2022-08-24 04:00:00+00:00,499.5,499.5,499.5,499.5,499.5,0.0
2022-08-25 04:00:00+00:00,502.5,538.5,502.5,534.75,534.75,63.0
2022-08-26 04:00:00+00:00,502.5,505.5,485.25,490.5,490.5,21.0
2022-08-29 04:00:00+00:00,469.5,469.5,438.0,443.25,443.25,26.0
2022-08-30 04:00:00+00:00,459.0,459.0,448.5,448.5,448.5,5.0
2022-08-31 04:00:00+00:00,424.5,478.5,424.5,474.75,474.75,33.0
2022-09-01 04:00:00+00:00,471.0,471.0,465.0,465.0,465.0,2.0
2022-09-02 04:00:00+00:00,463.5,479.25,463.5,465.0,465.0,11.0
2022-09-06 04:00:00+00:00,486.75,486.75,457.5,457.5,457.5,26.0
2022-09-07 04:00:00+00:00,454.5,465.0,454.5,459.0,459.0,14.0
2022-09-08 04:00:00+00:00,453.75,462.0,453.0,454.5,454.5,29.0
2022-09-09 04:00:00+00:00,447.0,483.0,447.0,456.0,456.0,8.0
2022-09-12 04:00:00+00:00,456.75,462.75,454.5,457.5,457.5,5.0
2022-09-13 04:00:00+00:00,448.5,454.5,441.0,444.75,444.75,25.0
2022-09-14 04:00:00+00:00,451.5,454.5,451.5,454.5,454.5,4.0
2022-09-15 04:00:00+00:00,448.5,451.5,439.5,439.5,439.5,10.0
2022-09-16 04:00:00+00:00,427.5,427.5,390.0,409.5,409.5,47.0
2022-09-19 04:00:00+00:00,384.0,384.0,262.5,320.25,320.25,165.0
2022-09-20 04:00:00+00:00,307.5,336.0,307.5,328.5,328.5,46.0
2022-09-21 04:00:00+00:00,325.5,325.5,323.25,323.25,323.25,11.0
2022-09-22 04:00:00+00:00,312.0,312.0,288.0,302.25,302.25,21.0
2022-09-23 04:00:00+00:00,297.75,298.5,271.5,271.5,271.5,27.0
2022-09-26 04:00:00+00:00,298.5,314.25,291.0,311.25,311.25,9.0
2022-09-27 04:00:00+00:00,288.0,288.0,274.5,282.75,282.75,18.0
2022-09-28 04:00:00+00:00,272.25,276.0,271.5,271.5,271.5,10.0
2022-09-29 04:00:00+00:00,261.75,261.75,243.75,244.5,244.5,5.0
2022-09-30 04:00:00+00:00,243.75,261.75,243.75,257.25,257.25,15.0
2022-10-03 04:00:00+00:00,259.5,270.0,243.0,246.0,246.0,23.0
2022-10-04 04:00:00+00:00,255.0,255.0,243.75,246.0,246.0,5.0
2022-10-05 04:00:00+00:00,244.5,244.5,219.0,243.0,243.0,12.0
2022-10-06 04:00:00+00:00,232.5,234.75,232.5,234.0,234.0,9.0
2022-10-07 04:00:00+00:00,225.0,227.25,219.0,227.25,227.25,6.0
2022-10-10 04:00:00+00:00,204.75,204.75,193.5,193.5,193.5,6.0
2022-10-11 04:00:00+00:00,166.5,166.5,166.5,166.5,166.5,12.0
2022-10-12 04:00:00+00:00,179.25,213.75,179.25,192.0,192.0,35.0
2022-10-13 04:00:00+00:00,183.75,202.5,181.5,202.5,202.5,10.0
2022-10-14 04:00:00+00:00,213.0,213.0,202.5,202.5,202.5,5.0
2022-10-17 04:00:00+00:00,202.5,202.5,202.5,202.5,202.5,0.0
2022-10-18 04:00:00+00:00,205.5,205.5,205.5,205.5,205.5,4.0
2022-10-19 04:00:00+00:00,219.0,219.0,212.25,219.0,219.0,4.0
2022-10-20 04:00:00+00:00,217.5,217.5,214.5,214.5,214.5,1.0
2022-10-21 04:00:00+00:00,219.75,219.75,214.5,214.5,214.5,2.0
2022-10-24 04:00:00+00:00,214.5,214.5,214.5,214.5,214.5,0.0
2022-10-25 04:00:00+00:00,220.5,220.5,210.0,213.0,213.0,6.0
2022-10-26 04:00:00+00:00,211.5,213.0,211.5,213.0,213.0,1.0
2022-10-27 04:00:00+00:00,208.5,208.5,208.5,208.5,208.5,3.0
2022-10-28 04:00:00+00:00,206.25,206.25,205.5,205.5,205.5,2.0
2022-10-31 04:00:00+00:00,213.0,213.0,213.0,213.0,213.0,1.0
2022-11-01 04:00:00+00:00,214.5,214.5,214.5,214.5,214.5,1.0
2022-11-02 04:00:00+00:00,198.0,198.0,198.0,198.0,198.0,1.0
2022-11-03 04:00:00+00:00,198.75,198.75,198.75,198.75,198.75,1.0
2022-11-04 04:00:00+00:00,202.5,202.5,202.5,202.5,202.5,1.0
2022-11-07 05:00:00+00:00,202.5,202.5,202.5,202.5,202.5,0.0
2022-11-08 05:00:00+00:00,200.25,200.25,200.25,200.25,200.25,0.0
2022-11-09 05:00:00+00:00,184.5,184.5,184.5,184.5,184.5,1.0
2022-11-10 05:00:00+00:00,195.0,195.0,195.0,195.0,195.0,0.0
2022-11-11 05:00:00+00:00,207.0,214.5,207.0,214.5,214.5,3.0
2022-11-14 05:00:00+00:00,185.25,185.25,144.26,145.51,145.51,68.0
2022-11-15 05:00:00+00:00,151.5,151.5,132.79,148.91,148.91,36.0
2022-11-16 05:00:00+00:00,139.68,144.0,134.82,136.32,136.32,13.0
2022-11-17 05:00:00+00:00,136.57,139.5,133.73,139.5,139.5,57.0
2022-11-18 05:00:00+00:00,144.0,164.25,144.0,164.25,164.25,15.0
2022-11-21 05:00:00+00:00,159.0,217.5,159.0,217.5,217.5,29.0
2022-11-22 05:00:00+00:00,189.0,191.25,189.0,191.25,191.25,1.0
2022-11-23 05:00:00+00:00,189.75,192.0,189.0,189.0,189.0,3.0
