Date,Open,High,Low,Close,Adj Close,Volume
2023-03-07 05:00:00+00:00,21.61,21.68,21.59,21.62,21.62,11729.0
2023-03-08 05:00:00+00:00,21.63,21.63,21.58,21.59,21.59,13166.0
2023-03-09 05:00:00+00:00,21.67,21.67,21.49,21.49,21.49,7790.0
2023-03-10 05:00:00+00:00,20.78,20.91,19.71,20.91,20.91,45851.0
2023-03-13 04:00:00+00:00,15.57,19.44,15.57,19.36,19.36,17437.0
2023-03-14 04:00:00+00:00,20.74,20.74,19.02,19.65,19.65,8327.0
2023-03-15 04:00:00+00:00,18.74,18.74,17.98,18.44,18.44,5750.0
2023-03-16 04:00:00+00:00,17.73,18.81,17.13,18.76,18.76,13075.0
2023-03-17 04:00:00+00:00,18.56,18.56,17.37,18.19,18.19,40317.0
2023-03-20 04:00:00+00:00,18.1,18.41,18.1,18.32,18.32,13066.0
2023-03-21 04:00:00+00:00,19.57,19.57,19.02,19.43,19.43,80847.0
2023-03-22 04:00:00+00:00,19.48,19.48,19.42,19.42,19.42,5022.0
2023-03-23 04:00:00+00:00,19.38,19.45,19.22,19.33,19.33,16263.0
2023-03-24 04:00:00+00:00,19.2,19.32,19.2,19.32,19.32,460.0
2023-03-27 04:00:00+00:00,19.65,19.72,19.45,19.45,19.45,9698.0
2023-03-28 04:00:00+00:00,19.62,19.62,19.31,19.33,19.33,15806.0
2023-03-29 04:00:00+00:00,19.52,19.86,19.45,19.68,19.68,16585.0
2023-03-30 04:00:00+00:00,19.88,21.06,19.88,20.71,20.71,34426.0
2023-03-31 04:00:00+00:00,20.97,21.56,20.79,21.23,21.23,99400.0
2023-04-03 04:00:00+00:00,21.26,21.26,20.61,20.71,20.71,1617.0
2023-04-04 04:00:00+00:00,20.44,20.45,20.42,20.42,20.42,752.0
2023-04-05 04:00:00+00:00,20.28,20.36,20.14,20.29,20.29,4894.0
2023-04-06 04:00:00+00:00,20.36,20.46,20.21,20.23,20.23,8702.0
2023-04-10 04:00:00+00:00,20.29,20.29,19.98,19.98,19.98,7032.0
2023-04-11 04:00:00+00:00,20.08,20.19,20.08,20.14,20.14,1911.0
2023-04-12 04:00:00+00:00,20.14,20.15,20.05,20.05,20.05,5762.0
2023-04-13 04:00:00+00:00,20.32,20.37,20.32,20.35,20.35,1740.0
2023-04-14 04:00:00+00:00,20.06,20.58,20.05,20.58,20.58,1632.0
2023-04-17 04:00:00+00:00,20.61,20.89,20.57,20.86,20.86,3466.0
2023-04-18 04:00:00+00:00,20.86,20.98,20.86,20.98,20.98,1037.0
2023-04-19 04:00:00+00:00,21.01,21.23,21.01,21.07,21.07,3005.0
2023-04-20 04:00:00+00:00,21.11,21.11,21.11,21.11,21.11,862.0
2023-04-21 04:00:00+00:00,21.18,21.34,21.13,21.23,21.23,4852.0
2023-04-24 04:00:00+00:00,21.18,21.18,21.05,21.1,21.1,2588.0
2023-04-25 04:00:00+00:00,21.06,21.14,21.04,21.14,21.14,3144.0
2023-04-26 04:00:00+00:00,21.2,21.24,21.2,21.22,21.22,3203.0
2023-04-27 04:00:00+00:00,21.34,21.38,21.31,21.34,21.34,1221.0
2023-04-28 04:00:00+00:00,20.91,20.91,20.91,20.91,20.91,0.0
2023-05-01 04:00:00+00:00,21.52,21.52,21.3,21.3,21.3,10847.0
2023-05-02 04:00:00+00:00,21.21,21.22,20.39,20.8,20.8,6999.0
2023-05-03 04:00:00+00:00,20.92,20.92,20.7,20.7,20.7,3879.0
