Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,3.16,3.18,3.095,3.095,3.095,4834.0
2020-07-28 04:00:00+00:00,3.09,3.09,3.0,3.0,3.0,6080.0
2020-07-29 04:00:00+00:00,3.02,3.175,2.97,3.165,3.165,7877.0
2020-07-30 04:00:00+00:00,3.1,3.18,3.1,3.165,3.165,1631.0
2020-07-31 04:00:00+00:00,3.17,3.17,3.05,3.08,3.08,1635.0
2020-08-03 04:00:00+00:00,3.12,3.205,3.12,3.205,3.205,6427.0
2020-08-04 04:00:00+00:00,3.24,3.36,3.23,3.3,3.3,3400.0
2020-08-05 04:00:00+00:00,3.58,3.59,3.34,3.575,3.575,7239.0
2020-08-06 04:00:00+00:00,3.535,4.19,3.535,3.99,3.99,7688.0
2020-08-07 04:00:00+00:00,4.035,4.18,3.975,4.18,4.18,12367.0
2020-08-10 04:00:00+00:00,4.235,4.405,4.2,4.21,4.21,15586.0
2020-08-11 04:00:00+00:00,4.22,4.22,3.805,3.81,3.81,2511.0
2020-08-12 04:00:00+00:00,3.78,3.78,3.71,3.75,3.75,5185.0
2020-08-13 04:00:00+00:00,3.685,3.685,3.59,3.63,3.63,1950.0
2020-08-14 04:00:00+00:00,3.5,3.655,3.5,3.65,3.65,2232.0
2020-08-18 04:00:00+00:00,3.67,3.72,3.67,3.7,3.7,6876.0
2020-08-19 04:00:00+00:00,3.685,3.685,3.64,3.655,3.655,833.0
2020-08-20 04:00:00+00:00,3.615,3.615,3.585,3.585,3.585,501.0
2020-08-21 04:00:00+00:00,3.54,3.545,3.495,3.495,3.495,2512.0
2020-08-24 04:00:00+00:00,3.55,3.55,3.52,3.52,3.52,346.0
2020-08-25 04:00:00+00:00,3.525,3.565,3.525,3.53,3.53,2725.0
2020-08-26 04:00:00+00:00,3.5,3.505,3.48,3.48,3.48,2452.0
2020-08-27 04:00:00+00:00,3.535,3.535,3.41,3.41,3.41,13074.0
2020-08-28 04:00:00+00:00,3.44,3.44,3.4,3.4,3.4,1758.0
