Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,15.04,15.31,14.97,15.26,15.26,223027.0
2020-07-28 04:00:00+00:00,15.2,15.29,14.28,14.32,14.32,433626.0
2020-07-29 04:00:00+00:00,14.39,14.74,14.39,14.64,14.64,324092.0
2020-07-30 04:00:00+00:00,14.49,14.82,14.34,14.77,14.77,217455.0
2020-07-31 04:00:00+00:00,14.79,15.1,14.7,15.08,15.08,143909.0
2020-08-03 04:00:00+00:00,15.02,15.32,14.91,15.23,15.23,129554.0
2020-08-04 04:00:00+00:00,15.2,15.44,15.16,15.31,15.31,182413.0
2020-08-05 04:00:00+00:00,15.49,15.61,15.32,15.41,15.41,231565.0
2020-08-06 04:00:00+00:00,15.31,15.72,15.31,15.65,15.65,114158.0
2020-08-07 04:00:00+00:00,15.62,15.82,15.57,15.82,15.82,189219.0
2020-08-10 04:00:00+00:00,15.86,16.31,15.85,16.27,16.27,164560.0
2020-08-11 04:00:00+00:00,16.37,16.64,15.84,15.91,15.91,185046.0
2020-08-12 04:00:00+00:00,16.15,16.15,15.78,16.13,16.13,149320.0
2020-08-13 04:00:00+00:00,15.96,16.03,15.73,15.76,15.76,195391.0
2020-08-14 04:00:00+00:00,15.61,15.72,15.46,15.58,15.58,184560.0
2020-08-17 04:00:00+00:00,15.63,15.7,15.34,15.37,15.37,131091.0
2020-08-18 04:00:00+00:00,15.37,15.66,15.28,15.64,15.64,156268.0
2020-08-19 04:00:00+00:00,15.72,15.84,15.52,15.54,15.54,76516.0
2020-08-20 04:00:00+00:00,15.44,15.61,15.4,15.56,15.56,71870.0
2020-08-21 04:00:00+00:00,15.51,15.68,15.42,15.62,15.62,125915.0
2020-08-24 04:00:00+00:00,15.83,16.13,15.83,15.97,15.97,114455.0
2020-08-25 04:00:00+00:00,16.08,16.11,15.69,15.8,15.8,173520.0
2020-08-26 04:00:00+00:00,15.88,15.91,15.69,15.72,15.72,168229.0
2020-08-27 04:00:00+00:00,16.13,16.16,15.74,16.03,16.03,306453.0
2020-08-28 04:00:00+00:00,16.46,17.29,16.17,17.03,17.03,536456.0
2020-08-31 04:00:00+00:00,16.97,17.28,16.76,16.77,16.77,406217.0
2020-09-01 04:00:00+00:00,16.73,16.73,16.34,16.52,16.52,223314.0
2020-09-02 04:00:00+00:00,16.61,17.05,16.58,17.03,17.03,401005.0
2020-09-03 04:00:00+00:00,16.98,17.18,16.38,16.55,16.55,263853.0
2020-09-04 04:00:00+00:00,16.56,16.71,16.22,16.47,16.47,220386.0
2020-09-08 04:00:00+00:00,16.22,17.27,16.2,16.82,16.82,577711.0
2020-09-09 04:00:00+00:00,16.87,17.15,16.82,17.05,17.05,127819.0
2020-09-10 04:00:00+00:00,17.1,17.1,16.42,16.46,16.46,275646.0
2020-09-11 04:00:00+00:00,16.58,16.83,16.47,16.67,16.67,171292.0
2020-09-14 04:00:00+00:00,16.84,16.97,16.69,16.73,16.73,200823.0
2020-09-15 04:00:00+00:00,16.77,17.07,16.65,16.66,16.66,262772.0
2020-09-16 04:00:00+00:00,16.8,17.08,16.76,16.79,16.79,278166.0
2020-09-17 04:00:00+00:00,16.53,16.66,16.37,16.55,16.55,330168.0
2020-09-18 04:00:00+00:00,16.52,16.64,16.33,16.39,16.39,478904.0
2020-09-21 04:00:00+00:00,16.03,16.05,15.65,15.86,15.86,328082.0
2020-09-22 04:00:00+00:00,15.99,16.07,15.81,15.97,15.97,415962.0
2020-09-23 04:00:00+00:00,16.07,16.38,15.8,15.84,15.84,195812.0
2020-09-24 04:00:00+00:00,15.62,15.92,15.44,15.69,15.69,184063.0
2020-09-25 04:00:00+00:00,15.6,15.95,15.57,15.8,15.8,135189.0
2020-09-28 04:00:00+00:00,16.11,16.38,16.06,16.3,16.3,274648.0
2020-09-29 04:00:00+00:00,16.34,16.56,16.29,16.35,16.35,528544.0
2020-09-30 04:00:00+00:00,16.43,16.71,16.38,16.43,16.43,533807.0
2020-10-01 04:00:00+00:00,16.57,16.67,16.38,16.42,16.42,512627.0
2020-10-02 04:00:00+00:00,16.04,16.69,16.04,16.52,16.52,540349.0
2020-10-05 04:00:00+00:00,16.66,16.94,16.55,16.7,16.7,296013.0
2020-10-06 04:00:00+00:00,16.79,16.95,16.39,16.4,16.4,446653.0
2020-10-07 04:00:00+00:00,16.57,16.7,16.47,16.63,16.63,588186.0
2020-10-08 04:00:00+00:00,16.74,16.87,16.67,16.78,16.78,152735.0
2020-10-09 04:00:00+00:00,16.91,17.02,16.64,16.76,16.76,223296.0
2020-10-12 04:00:00+00:00,16.85,17.16,16.73,17.15,17.15,609392.0
2020-10-13 04:00:00+00:00,17.24,17.25,16.92,17.01,17.01,235088.0
2020-10-14 04:00:00+00:00,17.03,17.24,16.84,16.86,16.86,267297.0
2020-10-15 04:00:00+00:00,16.63,16.93,16.54,16.92,16.92,282272.0
2020-10-16 04:00:00+00:00,16.94,17.14,16.94,16.97,16.97,244023.0
2020-10-19 04:00:00+00:00,17.01,17.09,16.71,16.73,16.73,156165.0
2020-10-20 04:00:00+00:00,16.89,17.08,16.77,16.77,16.77,198771.0
2020-10-21 04:00:00+00:00,16.73,16.83,16.61,16.62,16.62,225202.0
2020-10-22 04:00:00+00:00,16.57,16.82,16.42,16.74,16.74,202543.0
2020-10-23 04:00:00+00:00,16.71,16.77,16.5,16.54,16.54,166326.0
2020-10-26 04:00:00+00:00,16.25,16.27,15.63,15.77,15.77,337077.0
2020-10-27 04:00:00+00:00,15.83,15.89,15.53,15.55,15.55,434720.0
2020-10-28 04:00:00+00:00,15.0,15.29,14.98,15.0,15.0,346784.0
2020-10-29 04:00:00+00:00,14.95,15.48,14.92,15.38,15.38,285219.0
2020-10-30 04:00:00+00:00,15.26,15.53,15.16,15.53,15.53,177262.0
2020-11-02 05:00:00+00:00,15.7,15.99,15.59,15.92,15.92,230265.0
2020-11-03 05:00:00+00:00,16.15,16.24,16.06,16.12,16.12,143573.0
2020-11-04 05:00:00+00:00,16.11,16.13,15.79,15.82,15.82,280976.0
2020-11-05 05:00:00+00:00,16.1,16.6,16.1,16.54,16.54,238392.0
2020-11-06 05:00:00+00:00,16.47,16.72,16.41,16.64,16.64,290556.0
2020-11-09 05:00:00+00:00,17.36,17.81,16.99,17.05,17.05,446610.0
2020-11-10 05:00:00+00:00,17.09,17.36,17.0,17.18,17.18,807534.0
2020-11-11 05:00:00+00:00,17.19,17.24,16.61,16.76,16.76,315745.0
2020-11-12 05:00:00+00:00,16.61,16.74,16.17,16.34,16.34,477808.0
2020-11-13 05:00:00+00:00,16.47,16.99,16.47,16.97,16.97,504822.0
2020-11-16 05:00:00+00:00,17.2,17.63,17.07,17.56,17.56,364172.0
2020-11-17 05:00:00+00:00,17.41,18.07,17.17,17.72,17.72,556983.0
2020-11-18 05:00:00+00:00,17.75,18.11,17.68,17.68,17.68,550054.0
2020-11-19 05:00:00+00:00,17.59,17.79,17.41,17.75,17.75,231121.0
2020-11-20 05:00:00+00:00,17.69,17.89,17.58,17.68,17.68,320798.0
2020-11-23 05:00:00+00:00,17.92,18.39,17.8,18.33,18.33,321568.0
2020-11-24 05:00:00+00:00,18.45,18.97,18.4,18.83,18.83,445907.0
2020-11-25 05:00:00+00:00,19.76,20.18,18.91,19.24,19.24,642085.0
2020-11-27 05:00:00+00:00,19.09,19.35,19.06,19.27,19.27,137437.0
2020-11-30 05:00:00+00:00,19.1,19.27,18.86,18.96,18.96,636012.0
2020-12-01 05:00:00+00:00,19.22,19.53,19.1,19.35,19.35,583597.0
2020-12-02 05:00:00+00:00,19.33,19.87,19.25,19.7,19.7,505919.0
2020-12-03 05:00:00+00:00,19.71,20.26,19.7,20.09,20.09,432740.0
2020-12-04 05:00:00+00:00,20.14,20.65,20.14,20.56,20.56,399132.0
2020-12-07 05:00:00+00:00,20.37,20.65,20.2,20.49,20.49,338157.0
2020-12-08 05:00:00+00:00,20.4,20.71,20.4,20.51,20.51,388700.0
2020-12-09 05:00:00+00:00,20.25,20.74,20.18,20.24,20.24,376638.0
2020-12-10 05:00:00+00:00,19.97,20.43,19.97,20.2,20.2,398632.0
2020-12-11 05:00:00+00:00,20.07,20.35,20.03,20.16,20.16,265214.0
2020-12-14 05:00:00+00:00,20.29,20.5,20.22,20.25,20.25,377608.0
2020-12-15 05:00:00+00:00,20.49,20.73,20.46,20.67,20.67,306075.0
2020-12-16 05:00:00+00:00,21.12,21.19,20.79,20.91,20.91,610048.0
2020-12-17 05:00:00+00:00,21.07,21.17,20.89,21.1,21.1,438829.0
2020-12-18 05:00:00+00:00,21.02,21.39,20.98,21.35,21.35,377285.0
