Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,29.87,29.92,29.81,29.92,29.92,65516.0
2020-07-28 04:00:00+00:00,29.9,29.9,29.82,29.83,29.83,51810.0
2020-07-29 04:00:00+00:00,29.91,30.03,29.91,30.0,30.0,38805.0
2020-07-30 04:00:00+00:00,29.97,30.1,29.95,30.08,30.08,218456.0
2020-07-31 04:00:00+00:00,30.01,30.15,29.96,30.15,30.15,55601.0
2020-08-03 04:00:00+00:00,30.15,30.17,30.07,30.14,30.14,23280.0
2020-08-04 04:00:00+00:00,30.1,30.14,30.06,30.14,30.14,18147.0
2020-08-05 04:00:00+00:00,30.18,30.2,30.15,30.19,30.19,36050.0
2020-08-06 04:00:00+00:00,30.19,30.26,30.18,30.25,30.25,37023.0
2020-08-07 04:00:00+00:00,30.22,30.24,30.14,30.19,30.19,50330.0
2020-08-10 04:00:00+00:00,30.22,30.22,30.12,30.19,30.19,54431.0
2020-08-11 04:00:00+00:00,30.16,30.22,29.94,29.94,29.94,160152.0
2020-08-12 04:00:00+00:00,30.09,30.12,29.98,29.98,29.98,74091.0
2020-08-13 04:00:00+00:00,29.94,30.07,29.85,29.87,29.87,51127.0
2020-08-14 04:00:00+00:00,29.85,29.87,29.74,29.79,29.79,29418.0
2020-08-17 04:00:00+00:00,29.84,29.99,29.84,29.99,29.99,20475.0
2020-08-18 04:00:00+00:00,30.0,30.02,29.92,29.97,29.97,47125.0
2020-08-19 04:00:00+00:00,29.95,30.0,29.87,29.9,29.9,62335.0
2020-08-20 04:00:00+00:00,29.89,29.98,29.85,29.98,29.98,40392.0
2020-08-21 04:00:00+00:00,30.0,30.0,29.94,29.97,29.97,66675.0
2020-08-24 04:00:00+00:00,30.05,30.16,30.03,30.16,30.16,23510.0
2020-08-25 04:00:00+00:00,30.14,30.21,30.1,30.2,30.2,70147.0
2020-08-26 04:00:00+00:00,30.19,30.23,30.18,30.19,30.19,37043.0
2020-08-27 04:00:00+00:00,30.2,30.22,30.1,30.17,30.17,35852.0
2020-08-28 04:00:00+00:00,30.18,30.22,30.17,30.18,30.18,61407.0
2020-08-31 04:00:00+00:00,30.12,30.19,30.11,30.16,30.16,68131.0
2020-09-01 04:00:00+00:00,30.12,30.31,30.1,30.28,30.28,39336.0
2020-09-02 04:00:00+00:00,30.28,30.37,30.21,30.33,30.33,105985.0
2020-09-03 04:00:00+00:00,30.23,30.24,30.04,30.17,30.17,43660.0
2020-09-04 04:00:00+00:00,30.18,30.23,29.88,30.08,30.08,80028.0
2020-09-08 04:00:00+00:00,29.9,30.01,29.86,29.89,29.89,41630.0
2020-09-09 04:00:00+00:00,30.01,30.15,29.99,30.1,30.1,71858.0
2020-09-10 04:00:00+00:00,30.15,30.17,30.0,30.01,30.01,79351.0
2020-09-11 04:00:00+00:00,30.02,30.07,29.92,30.06,30.06,162383.0
2020-09-14 04:00:00+00:00,30.1,30.15,30.01,30.04,30.04,172653.0
2020-09-15 04:00:00+00:00,30.08,30.14,30.06,30.1,30.1,73611.0
2020-09-16 04:00:00+00:00,30.11,30.23,30.09,30.09,30.09,107352.0
2020-09-17 04:00:00+00:00,30.0,30.11,30.0,30.09,30.09,25598.0
2020-09-18 04:00:00+00:00,30.1,30.14,30.0,30.01,30.01,39636.0
2020-09-21 04:00:00+00:00,29.8,29.81,29.68,29.75,29.75,243766.0
2020-09-22 04:00:00+00:00,29.79,29.86,29.71,29.86,29.86,31082.0
2020-09-23 04:00:00+00:00,29.85,29.86,29.55,29.58,29.58,61461.0
2020-09-24 04:00:00+00:00,29.46,29.64,29.42,29.57,29.57,31890.0
2020-09-25 04:00:00+00:00,29.49,29.6,29.47,29.53,29.53,44661.0
2020-09-28 04:00:00+00:00,29.67,29.76,29.64,29.73,29.73,54915.0
2020-09-29 04:00:00+00:00,29.72,29.77,29.65,29.75,29.75,57891.0
2020-09-30 04:00:00+00:00,29.75,29.92,29.75,29.88,29.88,72603.0
2020-10-01 04:00:00+00:00,29.96,30.01,29.93,29.98,29.98,377633.0
2020-10-02 04:00:00+00:00,29.83,29.97,29.83,29.95,29.95,60333.0
2020-10-05 04:00:00+00:00,30.04,30.16,30.04,30.15,30.15,92658.0
2020-10-06 04:00:00+00:00,30.17,30.29,30.07,30.08,30.08,56983.0
2020-10-07 04:00:00+00:00,30.2,30.21,30.17,30.2,30.2,52206.0
2020-10-08 04:00:00+00:00,30.25,30.3,30.24,30.29,30.29,52100.0
2020-10-09 04:00:00+00:00,30.33,30.36,30.27,30.34,30.34,68625.0
2020-10-12 04:00:00+00:00,30.44,30.53,30.43,30.5,30.5,50021.0
2020-10-13 04:00:00+00:00,30.45,30.46,30.34,30.38,30.38,63175.0
2020-10-14 04:00:00+00:00,30.34,30.36,30.25,30.3,30.3,59783.0
2020-10-15 04:00:00+00:00,30.16,30.3,30.13,30.28,30.28,16096.0
2020-10-16 04:00:00+00:00,30.3,30.36,30.21,30.23,30.23,45212.0
2020-10-19 04:00:00+00:00,30.31,30.31,30.15,30.15,30.15,37273.0
2020-10-20 04:00:00+00:00,30.26,30.31,30.23,30.26,30.26,28165.0
2020-10-21 04:00:00+00:00,30.28,30.32,30.23,30.26,30.26,30443.0
2020-10-22 04:00:00+00:00,30.27,30.32,30.2,30.31,30.31,36957.0
2020-10-23 04:00:00+00:00,30.32,30.34,30.29,30.34,30.34,17570.0
2020-10-26 04:00:00+00:00,30.24,30.25,30.09,30.1,30.1,29686.0
2020-10-27 04:00:00+00:00,30.12,30.16,30.11,30.11,30.11,10057.0
2020-10-28 04:00:00+00:00,29.88,29.94,29.8,29.86,29.86,55478.0
2020-10-29 04:00:00+00:00,29.82,29.95,29.8,29.93,29.93,69800.0
2020-10-30 04:00:00+00:00,29.93,30.0,29.83,29.98,29.98,33286.0
2020-11-02 05:00:00+00:00,30.09,30.11,30.0,30.08,30.08,75295.0
2020-11-03 05:00:00+00:00,30.16,30.33,30.15,30.32,30.32,146010.0
2020-11-04 05:00:00+00:00,30.4,30.67,30.4,30.62,30.62,195756.0
2020-11-05 05:00:00+00:00,30.76,30.83,30.69,30.74,30.74,180605.0
2020-11-06 05:00:00+00:00,30.73,30.73,30.59,30.64,30.64,53958.0
2020-11-09 05:00:00+00:00,31.18,31.19,30.84,30.84,30.84,143791.0
2020-11-10 05:00:00+00:00,30.83,30.89,30.8,30.83,30.83,47495.0
2020-11-11 05:00:00+00:00,30.81,30.84,30.77,30.79,30.79,13151.0
2020-11-12 05:00:00+00:00,30.73,30.73,30.6,30.62,30.62,27768.0
2020-11-13 05:00:00+00:00,30.65,30.72,30.65,30.7,30.7,83248.0
2020-11-16 05:00:00+00:00,30.82,30.88,30.79,30.87,30.87,19266.0
2020-11-17 05:00:00+00:00,30.82,30.93,30.81,30.9,30.9,22023.0
2020-11-18 05:00:00+00:00,30.92,30.94,30.83,30.83,30.83,30455.0
2020-11-19 05:00:00+00:00,30.84,30.95,30.81,30.94,30.94,35045.0
2020-11-20 05:00:00+00:00,30.89,30.91,30.85,30.86,30.86,34680.0
2020-11-23 05:00:00+00:00,30.95,30.96,30.9,30.96,30.96,48670.0
2020-11-24 05:00:00+00:00,31.03,31.09,30.99,31.01,31.01,32196.0
2020-11-25 05:00:00+00:00,30.99,31.05,30.99,31.01,31.01,27002.0
2020-11-27 05:00:00+00:00,31.07,31.08,31.05,31.06,31.06,19301.0
2020-11-30 05:00:00+00:00,31.05,31.05,30.96,31.03,31.03,34826.0
2020-12-01 05:00:00+00:00,31.11,31.19,31.1,31.16,31.16,125371.0
2020-12-02 05:00:00+00:00,31.13,31.24,31.1,31.22,31.22,59897.0
2020-12-03 05:00:00+00:00,31.24,31.3,31.24,31.24,31.24,35427.0
2020-12-04 05:00:00+00:00,31.28,31.37,31.28,31.36,31.36,27893.0
2020-12-07 05:00:00+00:00,31.34,31.34,31.29,31.32,31.32,58493.0
