Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,5.29,5.293,5.29,5.293,5.293,600.0
2020-07-28 04:00:00+00:00,5.284,5.284,5.252,5.252,5.252,276.0
2020-07-29 04:00:00+00:00,5.277,5.277,5.277,5.277,5.277,853.0
2020-07-31 04:00:00+00:00,5.29,5.29,5.29,5.29,5.29,200.0
2020-08-03 04:00:00+00:00,5.351,5.406,5.351,5.38,5.38,800.0
2020-08-04 04:00:00+00:00,5.371,5.387,5.371,5.384,5.384,1200.0
2020-08-05 04:00:00+00:00,5.422,5.422,5.397,5.409,5.409,800.0
2020-08-06 04:00:00+00:00,5.416,5.416,5.416,5.416,5.416,100.0
2020-08-07 04:00:00+00:00,5.377,5.4,5.377,5.397,5.397,800.0
2020-08-13 04:00:00+00:00,5.509,5.509,5.509,5.509,5.509,200.0
2020-08-17 04:00:00+00:00,5.445,5.445,5.445,5.445,5.445,100.0
2020-08-20 04:00:00+00:00,5.455,5.455,5.455,5.455,5.455,101.0
2020-08-24 04:00:00+00:00,5.467,5.48,5.467,5.48,5.48,300.0
2020-08-26 04:00:00+00:00,5.438,5.438,5.438,5.438,5.438,100.0
2020-08-28 04:00:00+00:00,5.422,5.432,5.422,5.432,5.432,3100.0
2020-09-01 04:00:00+00:00,5.4,5.4,5.4,5.4,5.4,179.0
2020-09-02 04:00:00+00:00,5.406,5.419,5.406,5.419,5.419,411.0
2020-09-10 04:00:00+00:00,5.335,5.335,5.316,5.316,5.316,200.0
2020-09-14 04:00:00+00:00,5.387,5.387,5.387,5.387,5.387,300.0
2020-09-15 04:00:00+00:00,5.413,5.413,5.413,5.413,5.413,100.0
2020-09-16 04:00:00+00:00,5.422,5.422,5.422,5.422,5.422,300.0
2020-09-18 04:00:00+00:00,5.319,5.319,5.297,5.313,5.313,400.0
2020-09-23 04:00:00+00:00,5.303,5.303,5.297,5.297,5.297,600.0
2020-09-24 04:00:00+00:00,5.229,5.252,5.226,5.226,5.226,400.0
2020-09-25 04:00:00+00:00,5.258,5.316,5.258,5.316,5.316,993.0
2020-09-28 04:00:00+00:00,5.387,5.393,5.387,5.387,5.387,650.0
2020-09-29 04:00:00+00:00,5.393,5.393,5.351,5.377,5.377,3200.0
2020-09-30 04:00:00+00:00,5.361,5.416,5.361,5.397,5.397,1851.0
2020-10-01 04:00:00+00:00,5.431,5.431,5.391,5.391,5.391,3400.0
2020-10-02 04:00:00+00:00,5.345,5.358,5.332,5.358,5.358,501.0
2020-10-05 04:00:00+00:00,5.391,5.418,5.381,5.418,5.418,1077.0
2020-10-06 04:00:00+00:00,5.431,5.444,5.385,5.385,5.385,1603.0
2020-10-07 04:00:00+00:00,5.418,5.457,5.411,5.438,5.438,2723.0
2020-10-08 04:00:00+00:00,5.471,5.471,5.451,5.451,5.451,738.0
2020-10-09 04:00:00+00:00,5.487,5.504,5.487,5.49,5.49,1297.0
2020-10-12 04:00:00+00:00,5.497,5.51,5.477,5.484,5.484,1867.0
2020-10-13 04:00:00+00:00,5.517,5.517,5.438,5.438,5.438,4584.0
2020-10-14 04:00:00+00:00,5.398,5.464,5.398,5.418,5.418,1026.0
2020-10-15 04:00:00+00:00,5.378,5.395,5.378,5.395,5.395,2277.0
2020-10-16 04:00:00+00:00,5.391,5.424,5.391,5.424,5.424,3248.0
2020-10-19 04:00:00+00:00,5.438,5.438,5.378,5.378,5.378,1289.0
2020-10-20 04:00:00+00:00,5.444,5.451,5.431,5.444,5.444,2079.0
2020-10-21 04:00:00+00:00,5.431,5.431,5.431,5.431,5.431,602.0
2020-10-22 04:00:00+00:00,5.431,5.444,5.431,5.438,5.438,1500.0
2020-10-23 04:00:00+00:00,5.444,5.457,5.444,5.457,5.457,234.0
2020-10-26 04:00:00+00:00,5.391,5.391,5.319,5.339,5.339,1251.0
2020-10-27 04:00:00+00:00,5.332,5.345,5.319,5.339,5.339,1300.0
2020-10-28 04:00:00+00:00,5.263,5.279,5.16,5.16,5.16,2900.0
2020-10-29 04:00:00+00:00,5.23,5.23,5.23,5.23,5.23,300.0
2020-10-30 04:00:00+00:00,5.174,5.174,5.174,5.174,5.174,200.0
2020-11-02 05:00:00+00:00,5.273,5.273,5.25,5.25,5.25,1139.0
2020-11-06 05:00:00+00:00,5.51,5.51,5.51,5.51,5.51,120.0
2020-11-09 05:00:00+00:00,5.589,5.589,5.589,5.589,5.589,260.0
2020-11-10 05:00:00+00:00,5.537,5.563,5.537,5.563,5.563,490.0
2020-11-11 05:00:00+00:00,5.589,5.589,5.589,5.589,5.589,110.0
2020-11-16 05:00:00+00:00,5.639,5.639,5.639,5.639,5.639,300.0
2020-11-17 05:00:00+00:00,5.632,5.632,5.632,5.632,5.632,100.0
2020-11-18 05:00:00+00:00,5.639,5.639,5.639,5.639,5.639,100.0
2020-11-20 05:00:00+00:00,5.642,5.642,5.642,5.642,5.642,100.0
2020-11-23 05:00:00+00:00,5.662,5.675,5.662,5.675,5.675,400.0
2020-11-24 05:00:00+00:00,5.688,5.735,5.682,5.735,5.735,2200.0
2020-11-25 05:00:00+00:00,5.682,5.682,5.649,5.649,5.649,1300.0
2020-11-27 05:00:00+00:00,5.636,5.662,5.636,5.662,5.662,2300.0
2020-11-30 05:00:00+00:00,5.649,5.662,5.649,5.662,5.662,600.0
2020-12-01 05:00:00+00:00,5.669,5.702,5.669,5.702,5.702,1001.0
2020-12-02 05:00:00+00:00,5.675,5.705,5.669,5.685,5.685,2747.0
2020-12-03 05:00:00+00:00,5.649,5.728,5.649,5.728,5.728,930.0
2020-12-04 05:00:00+00:00,5.688,5.708,5.655,5.655,5.655,3949.0
2020-12-07 05:00:00+00:00,5.649,5.672,5.636,5.642,5.642,9200.0
2020-12-08 05:00:00+00:00,5.672,5.675,5.622,5.662,5.662,3587.0
2020-12-09 05:00:00+00:00,5.711,5.781,5.711,5.761,5.761,3257.0
2020-12-10 05:00:00+00:00,5.728,5.728,5.721,5.721,5.721,200.0
2020-12-11 05:00:00+00:00,5.761,5.771,5.754,5.768,5.768,1300.0
2020-12-14 05:00:00+00:00,5.814,5.814,5.814,5.814,5.814,186.0
2020-12-15 05:00:00+00:00,5.801,5.83,5.801,5.83,5.83,305.0
2020-12-16 05:00:00+00:00,5.834,5.834,5.82,5.82,5.82,400.0
2020-12-17 05:00:00+00:00,5.886,5.886,5.873,5.873,5.873,1050.0
2020-12-18 05:00:00+00:00,5.867,5.867,5.867,5.867,5.867,898.0
2020-12-21 05:00:00+00:00,5.847,5.847,5.797,5.797,5.797,300.0
