Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,23.97,23.97,23.97,23.97,23.97,100.0
2020-07-29 04:00:00+00:00,24.2,24.2,24.2,24.2,24.2,400.0
2020-08-04 04:00:00+00:00,23.92,23.92,23.92,23.92,23.92,100.0
2020-08-11 04:00:00+00:00,23.84,23.84,23.81,23.81,23.81,260.0
2020-08-20 04:00:00+00:00,24.39,24.39,24.39,24.39,24.39,100.0
2020-09-01 04:00:00+00:00,24.51,24.54,24.48,24.54,24.54,1000.0
2020-09-02 04:00:00+00:00,24.74,24.74,24.74,24.74,24.74,100.0
2020-09-04 04:00:00+00:00,23.57,23.66,23.57,23.63,23.63,1300.0
2020-09-21 04:00:00+00:00,24.23,24.23,24.22,24.22,24.22,306.0
2020-09-22 04:00:00+00:00,24.34,24.34,24.29,24.3,24.3,700.0
2020-09-23 04:00:00+00:00,24.49,24.49,24.49,24.49,24.49,400.0
2020-09-24 04:00:00+00:00,24.09,24.09,24.09,24.09,24.09,200.0
2020-09-28 04:00:00+00:00,24.57,24.57,24.57,24.57,24.57,600.0
2020-10-01 04:00:00+00:00,25.06,25.06,25.06,25.06,25.06,200.0
2020-10-05 04:00:00+00:00,25.34,25.42,25.34,25.42,25.42,305.0
2020-10-08 04:00:00+00:00,25.53,25.53,25.53,25.53,25.53,108.0
2020-10-09 04:00:00+00:00,25.95,25.95,25.95,25.95,25.95,356.0
2020-10-12 04:00:00+00:00,26.26,26.26,26.26,26.26,26.26,101.0
2020-10-13 04:00:00+00:00,26.07,26.07,26.07,26.07,26.07,167.0
2020-10-15 04:00:00+00:00,25.74,25.74,25.74,25.74,25.74,301.0
2020-10-19 04:00:00+00:00,25.84,25.84,25.84,25.84,25.84,629.0
2020-10-30 04:00:00+00:00,24.35,24.35,24.35,24.35,24.35,219.0
2020-11-02 05:00:00+00:00,24.13,24.13,24.13,24.13,24.13,300.0
2020-11-04 05:00:00+00:00,25.18,25.46,25.18,25.46,25.46,508.0
2020-11-05 05:00:00+00:00,26.34,26.34,26.27,26.27,26.27,3232.0
2020-11-06 05:00:00+00:00,26.29,26.29,26.29,26.29,26.29,609.0
2020-11-09 05:00:00+00:00,26.61,26.61,26.53,26.54,26.54,574.0
