Date,Open,High,Low,Close,Adj Close,Volume
2020-08-06 04:00:00+00:00,44.88,44.88,44.88,44.88,44.88,183.0
2020-08-31 04:00:00+00:00,44.83,44.83,44.83,44.83,44.83,100.0
2020-09-21 04:00:00+00:00,44.67,44.67,44.67,44.67,44.67,160.0
2020-09-28 04:00:00+00:00,44.6,44.61,44.6,44.61,44.61,667.0
2020-09-29 04:00:00+00:00,44.68,44.68,44.68,44.68,44.68,100.0
2020-10-22 04:00:00+00:00,44.64,44.64,44.55,44.55,44.55,1200.0
2020-11-18 05:00:00+00:00,44.86,44.86,44.86,44.86,44.86,300.0
2020-11-30 05:00:00+00:00,44.86,44.86,44.86,44.86,44.86,175.0
2020-12-16 05:00:00+00:00,44.97,44.98,44.97,44.97,44.97,511.0
2020-12-22 05:00:00+00:00,45.03,45.03,45.03,45.03,45.03,100.0
2020-12-28 05:00:00+00:00,45.0,45.0,45.0,45.0,45.0,172.0
2021-01-11 05:00:00+00:00,44.87,44.87,44.87,44.87,44.87,100.0
2021-01-12 05:00:00+00:00,44.77,44.77,44.77,44.77,44.77,117.0
2021-01-20 05:00:00+00:00,45.0,45.0,45.0,45.0,45.0,336.0
2021-01-26 05:00:00+00:00,45.05,45.05,45.05,45.05,45.05,300.0
2021-01-27 05:00:00+00:00,45.06,45.06,45.06,45.06,45.06,112.0
2021-02-05 05:00:00+00:00,45.04,45.04,45.04,45.04,45.04,100.0
2021-02-08 05:00:00+00:00,45.06,45.06,45.06,45.06,45.06,136.0
2021-02-09 05:00:00+00:00,44.92,44.99,44.92,44.99,44.99,576.0
2021-02-11 05:00:00+00:00,44.99,44.99,44.99,44.99,44.99,100.0
2021-02-12 05:00:00+00:00,44.95,44.95,44.95,44.95,44.95,200.0
2021-02-16 05:00:00+00:00,44.86,44.86,44.86,44.86,44.86,199.0
2021-02-17 05:00:00+00:00,44.84,44.84,44.84,44.84,44.84,100.0
2021-02-22 05:00:00+00:00,44.76,44.76,44.76,44.76,44.76,100.0
2021-02-23 05:00:00+00:00,44.7,44.7,44.7,44.7,44.7,100.0
2021-02-25 05:00:00+00:00,44.63,44.63,44.63,44.63,44.63,196.0
2021-02-26 05:00:00+00:00,44.38,44.38,44.38,44.38,44.38,100.0
2021-03-01 05:00:00+00:00,44.46,44.46,44.46,44.46,44.46,200.0
2021-03-02 05:00:00+00:00,44.6,44.6,44.6,44.6,44.6,175.0
2021-03-05 05:00:00+00:00,44.22,44.23,44.22,44.23,44.23,300.0
2021-03-17 04:00:00+00:00,44.15,44.15,44.14,44.14,44.14,200.0
2021-03-30 04:00:00+00:00,44.11,44.11,44.1,44.1,44.1,1600.0
2021-04-05 04:00:00+00:00,44.13,44.13,44.1,44.1,44.1,611.0
2021-04-12 04:00:00+00:00,44.29,44.29,44.29,44.29,44.29,100.0
2021-04-14 04:00:00+00:00,44.28,44.28,44.28,44.28,44.28,100.0
