Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,11.29,11.37,11.14,11.27,11.27,7185.0
2020-07-28 04:00:00+00:00,11.2,11.42,11.2,11.41,11.41,3211.0
2020-07-29 04:00:00+00:00,11.51,11.83,11.48,11.78,11.78,7260.0
2020-07-30 04:00:00+00:00,11.41,11.49,11.23,11.43,11.43,6104.0
2020-07-31 04:00:00+00:00,11.23,11.39,11.09,11.39,11.39,20027.0
2020-08-03 04:00:00+00:00,11.3,11.44,11.2,11.24,11.24,1844.0
2020-08-04 04:00:00+00:00,11.42,11.75,11.41,11.55,11.55,5667.0
2020-08-05 04:00:00+00:00,11.59,11.69,11.39,11.48,11.48,4002.0
2020-08-06 04:00:00+00:00,11.47,11.61,11.36,11.36,11.36,4984.0
2020-08-07 04:00:00+00:00,12.1,12.1,11.23,11.48,11.48,31912.0
2020-08-10 04:00:00+00:00,11.44,11.56,11.26,11.46,11.46,5499.0
2020-08-11 04:00:00+00:00,11.86,12.32,11.77,11.82,11.82,6640.0
2020-08-12 04:00:00+00:00,12.14,12.29,12.14,12.22,12.22,2818.0
2020-08-13 04:00:00+00:00,12.17,12.33,12.17,12.25,12.25,3369.0
2020-08-14 04:00:00+00:00,12.27,12.64,12.16,12.55,12.55,1849.0
2020-08-17 04:00:00+00:00,12.47,12.47,12.25,12.28,12.28,2496.0
2020-08-18 04:00:00+00:00,12.39,12.39,12.08,12.13,12.13,2145.0
2020-08-19 04:00:00+00:00,11.94,11.94,11.46,11.77,11.77,6494.0
2020-08-20 04:00:00+00:00,11.78,12.0,11.77,11.9,11.9,2694.0
2020-08-21 04:00:00+00:00,11.72,11.84,11.56,11.79,11.79,7104.0
2020-08-24 04:00:00+00:00,11.6,11.75,11.57,11.68,11.68,5191.0
2020-08-25 04:00:00+00:00,11.87,12.1,11.87,12.03,12.03,5102.0
2020-08-26 04:00:00+00:00,11.83,11.83,11.48,11.52,11.52,6076.0
2020-08-27 04:00:00+00:00,11.24,11.24,10.81,10.87,10.87,6303.0
2020-08-28 04:00:00+00:00,11.16,11.16,10.96,11.16,11.16,4238.0
2020-08-31 04:00:00+00:00,10.96,11.37,10.96,11.22,11.22,10802.0
2020-09-01 04:00:00+00:00,10.88,10.93,10.62,10.64,10.64,4820.0
2020-09-02 04:00:00+00:00,10.56,10.7,10.46,10.68,10.68,12301.0
2020-09-03 04:00:00+00:00,10.57,10.57,10.34,10.36,10.36,1758.0
2020-09-04 04:00:00+00:00,10.27,10.41,10.01,10.41,10.41,1976.0
2020-09-08 04:00:00+00:00,10.2,10.66,10.2,10.66,10.66,1908.0
2020-09-09 04:00:00+00:00,10.69,10.69,10.5,10.5,10.5,2959.0
2020-09-10 04:00:00+00:00,10.41,11.12,10.41,10.99,10.99,11213.0
2020-09-11 04:00:00+00:00,11.12,11.71,11.12,11.19,11.19,4535.0
2020-09-14 04:00:00+00:00,11.45,11.65,11.45,11.6,11.6,2212.0
2020-09-15 04:00:00+00:00,11.8,11.8,11.09,11.2,11.2,7320.0
2020-09-16 04:00:00+00:00,11.21,11.52,11.21,11.38,11.38,5918.0
2020-09-17 04:00:00+00:00,11.45,11.49,11.11,11.17,11.17,2995.0
2020-09-18 04:00:00+00:00,11.11,11.15,10.9,10.9,10.9,1169.0
2020-09-21 04:00:00+00:00,10.79,10.79,10.14,10.15,10.15,5331.0
2020-09-22 04:00:00+00:00,10.18,10.18,9.668,9.778,9.778,7725.0
2020-09-23 04:00:00+00:00,9.529,9.761,9.41,9.529,9.529,10388.0
2020-09-24 04:00:00+00:00,9.363,9.476,9.254,9.403,9.403,6932.0
2020-09-25 04:00:00+00:00,9.516,9.648,9.429,9.569,9.569,4133.0
2020-09-28 04:00:00+00:00,9.618,9.622,9.33,9.539,9.539,8721.0
2020-09-29 04:00:00+00:00,9.635,9.804,9.38,9.592,9.592,9873.0
2020-09-30 04:00:00+00:00,9.774,10.0,9.655,9.688,9.688,4973.0
2020-10-01 04:00:00+00:00,9.834,9.874,9.536,9.87,9.87,5388.0
2020-10-02 04:00:00+00:00,9.681,10.0,9.642,9.993,9.993,3982.0
2020-10-05 04:00:00+00:00,10.09,10.54,10.09,10.5,10.5,7966.0
2020-10-06 04:00:00+00:00,10.61,10.61,10.11,10.15,10.15,15504.0
2020-10-07 04:00:00+00:00,10.16,10.21,10.08,10.14,10.14,14304.0
2020-10-08 04:00:00+00:00,10.13,10.54,10.04,10.54,10.54,10395.0
2020-10-09 04:00:00+00:00,10.65,10.85,10.42,10.44,10.44,7271.0
