Date,Open,High,Low,Close,Adj Close,Volume
2020-08-12 04:00:00+00:00,6.27,6.27,6.27,6.27,6.27,200.0
2020-08-19 04:00:00+00:00,6.37,6.37,6.37,6.37,6.37,100.0
2020-08-24 04:00:00+00:00,6.26,6.26,6.26,6.26,6.26,200.0
2020-09-08 04:00:00+00:00,4.745,4.745,4.455,4.455,4.455,800.0
2020-09-14 04:00:00+00:00,4.26,4.26,4.26,4.26,4.26,219.0
2020-09-15 04:00:00+00:00,4.15,4.15,4.15,4.15,4.15,100.0
2020-09-18 04:00:00+00:00,3.91,3.91,3.91,3.91,3.91,3290.0
2020-09-21 04:00:00+00:00,3.97,3.97,3.97,3.97,3.97,200.0
2020-09-22 04:00:00+00:00,3.99,3.99,3.99,3.99,3.99,100.0
2020-09-24 04:00:00+00:00,3.71,3.71,3.71,3.71,3.71,100.0
2020-10-09 04:00:00+00:00,4.09,4.09,4.09,4.09,4.09,200.0
2020-10-26 04:00:00+00:00,4.12,4.12,4.12,4.12,4.12,100.0
2020-10-27 04:00:00+00:00,4.135,4.17,4.135,4.17,4.17,400.0
2020-10-28 04:00:00+00:00,3.98,3.98,3.98,3.98,3.98,400.0
2020-11-12 05:00:00+00:00,4.68,4.68,4.68,4.68,4.68,100.0
2020-11-13 05:00:00+00:00,4.76,4.76,4.76,4.76,4.76,200.0
2020-11-25 05:00:00+00:00,5.17,5.17,5.17,5.17,5.17,130.0
2020-12-09 05:00:00+00:00,5.41,5.43,5.41,5.43,5.43,300.0
2020-12-11 05:00:00+00:00,4.365,4.365,4.365,4.365,4.365,500.0
2020-12-29 05:00:00+00:00,4.08,4.08,4.07,4.07,4.07,400.0
2020-12-31 05:00:00+00:00,4.14,4.14,4.14,4.14,4.14,100.0
2021-01-05 05:00:00+00:00,4.38,4.38,4.38,4.38,4.38,100.0
2021-01-06 05:00:00+00:00,4.64,4.64,4.64,4.64,4.64,136.0
2021-01-07 05:00:00+00:00,4.82,4.82,4.8,4.81,4.81,500.0
2021-01-12 05:00:00+00:00,4.82,4.82,4.82,4.82,4.82,100.0
2021-01-15 05:00:00+00:00,4.44,4.44,4.44,4.44,4.44,300.0
2021-01-27 05:00:00+00:00,4.33,4.33,4.33,4.33,4.33,200.0
2021-02-01 05:00:00+00:00,4.29,4.29,4.29,4.29,4.29,100.0
