Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,4.438,4.438,4.438,4.438,4.438,227.0
2020-07-28 04:00:00+00:00,4.403,4.403,4.403,4.403,4.403,200.0
2020-07-29 04:00:00+00:00,4.438,4.464,4.395,4.395,4.395,1910.0
2020-07-30 04:00:00+00:00,4.412,4.433,4.412,4.425,4.425,1100.0
2020-07-31 04:00:00+00:00,4.386,4.386,4.386,4.386,4.386,155.0
2020-08-03 04:00:00+00:00,4.399,4.601,4.399,4.545,4.545,7977.0
2020-08-04 04:00:00+00:00,4.52,4.58,4.515,4.58,4.58,800.0
2020-08-05 04:00:00+00:00,4.869,4.869,4.869,4.869,4.869,260.0
2020-08-06 04:00:00+00:00,5.041,5.041,4.929,4.929,4.929,2608.0
2020-08-07 04:00:00+00:00,5.963,6.196,5.524,5.929,5.929,2999.0
2020-08-10 04:00:00+00:00,5.661,6.127,5.661,5.972,5.972,527.0
2020-08-11 04:00:00+00:00,6.23,6.23,5.907,5.907,5.907,300.0
2020-08-12 04:00:00+00:00,5.386,5.386,5.386,5.386,5.386,100.0
2020-08-13 04:00:00+00:00,5.489,5.489,5.489,5.489,5.489,197.0
2020-08-17 04:00:00+00:00,5.868,5.963,5.739,5.739,5.739,500.0
2020-08-18 04:00:00+00:00,5.713,5.713,5.713,5.713,5.713,149.0
2020-08-19 04:00:00+00:00,5.98,6.118,5.98,6.01,6.01,300.0
2020-08-20 04:00:00+00:00,5.885,5.885,5.799,5.799,5.799,362.0
2020-08-21 04:00:00+00:00,5.696,5.704,5.696,5.704,5.704,200.0
2020-08-24 04:00:00+00:00,5.644,5.644,5.644,5.644,5.644,111.0
2020-08-25 04:00:00+00:00,5.73,5.989,5.73,5.989,5.989,775.0
2020-08-26 04:00:00+00:00,6.523,6.523,6.316,6.411,6.411,300.0
2020-08-27 04:00:00+00:00,6.084,6.17,6.084,6.17,6.17,200.0
2020-09-02 04:00:00+00:00,6.187,6.23,6.109,6.23,6.23,1030.0
2020-09-03 04:00:00+00:00,6.135,6.135,6.084,6.084,6.084,300.0
2020-09-04 04:00:00+00:00,6.041,6.101,5.86,6.101,6.101,600.0
2020-09-08 04:00:00+00:00,6.48,6.618,6.48,6.618,6.618,1674.0
2020-09-09 04:00:00+00:00,6.713,6.782,6.713,6.782,6.782,395.0
2020-09-10 04:00:00+00:00,6.868,6.868,6.807,6.807,6.807,1377.0
2020-09-11 04:00:00+00:00,6.937,6.937,6.894,6.894,6.894,14087.0
2020-09-14 04:00:00+00:00,6.992,7.309,6.992,7.207,7.207,758.0
2020-09-15 04:00:00+00:00,6.88,6.964,6.88,6.945,6.945,400.0
2020-09-16 04:00:00+00:00,6.563,6.805,6.563,6.703,6.703,1105.0
2020-09-17 04:00:00+00:00,6.703,6.703,6.703,6.703,6.703,100.0
2020-09-18 04:00:00+00:00,6.609,6.609,6.609,6.609,6.609,100.0
2020-09-21 04:00:00+00:00,5.928,5.928,5.928,5.928,5.928,100.0
2020-09-22 04:00:00+00:00,6.04,6.432,6.04,6.432,6.432,859.0
2020-09-23 04:00:00+00:00,6.217,6.217,6.217,6.217,6.217,151.0
2020-09-25 04:00:00+00:00,6.553,6.553,6.367,6.367,6.367,300.0
2020-09-29 04:00:00+00:00,6.675,6.675,6.581,6.581,6.581,400.0
2020-10-01 04:00:00+00:00,6.572,6.964,6.507,6.507,6.507,600.0
2020-10-02 04:00:00+00:00,6.647,6.647,6.647,6.647,6.647,100.0
2020-10-07 04:00:00+00:00,6.395,6.395,6.114,6.114,6.114,200.0
2020-10-08 04:00:00+00:00,6.143,6.143,6.143,6.143,6.143,101.0
2020-10-09 04:00:00+00:00,6.292,6.292,6.292,6.292,6.292,299.0
2020-10-13 04:00:00+00:00,6.035,6.035,6.035,6.035,6.035,100.0
2020-10-20 04:00:00+00:00,5.741,5.741,5.741,5.741,5.741,100.0
2020-10-21 04:00:00+00:00,5.764,5.769,5.741,5.741,5.741,500.0
2020-10-22 04:00:00+00:00,5.732,5.732,5.699,5.699,5.699,200.0
2020-10-23 04:00:00+00:00,5.76,5.76,5.76,5.76,5.76,100.0
2020-10-26 04:00:00+00:00,5.671,5.671,5.62,5.62,5.62,400.0
2020-10-27 04:00:00+00:00,5.718,5.718,5.718,5.718,5.718,200.0
2020-10-30 04:00:00+00:00,5.722,5.722,5.722,5.722,5.722,178.0
2020-11-02 05:00:00+00:00,5.9,5.9,5.9,5.9,5.9,100.0
2020-11-03 05:00:00+00:00,5.638,5.662,5.638,5.662,5.662,200.0
2020-11-04 05:00:00+00:00,5.638,5.638,5.638,5.638,5.638,200.0
2020-11-06 05:00:00+00:00,5.839,5.839,5.839,5.839,5.839,200.0
2020-11-09 05:00:00+00:00,5.676,5.713,5.676,5.676,5.676,602.0
2020-11-10 05:00:00+00:00,5.76,5.76,5.699,5.699,5.699,200.0
2020-11-12 05:00:00+00:00,5.746,5.746,5.746,5.746,5.746,405.0
2020-11-16 05:00:00+00:00,5.769,5.797,5.713,5.797,5.797,1076.0
2020-11-17 05:00:00+00:00,5.676,5.676,5.676,5.676,5.676,228.0
2020-11-19 05:00:00+00:00,5.694,6.315,5.694,6.161,6.161,1057.0
2020-11-20 05:00:00+00:00,6.418,6.446,6.367,6.376,6.376,500.0
2020-11-25 05:00:00+00:00,6.245,6.245,6.245,6.245,6.245,254.0
2020-12-03 05:00:00+00:00,6.217,6.927,6.217,6.88,6.88,1106.0
2020-12-04 05:00:00+00:00,6.964,6.964,6.824,6.88,6.88,500.0
2020-12-07 05:00:00+00:00,6.899,6.899,6.899,6.899,6.899,192.0
2020-12-08 05:00:00+00:00,6.74,6.74,6.74,6.74,6.74,302.0
2020-12-09 05:00:00+00:00,6.787,7.048,6.787,6.796,6.796,637.0
2020-12-10 05:00:00+00:00,6.432,6.581,6.096,6.535,6.535,1400.0
2020-12-11 05:00:00+00:00,6.74,7.272,6.74,7.169,7.169,1936.0
2020-12-14 05:00:00+00:00,7.384,7.403,7.375,7.403,7.403,446.0
2020-12-15 05:00:00+00:00,7.188,7.617,7.179,7.356,7.356,2015.0
2020-12-16 05:00:00+00:00,7.636,7.636,7.188,7.216,7.216,2245.0
2020-12-17 05:00:00+00:00,7.272,7.319,7.235,7.263,7.263,6330.0
2020-12-18 05:00:00+00:00,7.12,7.14,6.94,7.04,7.04,1604.0
2020-12-21 05:00:00+00:00,6.99,6.99,6.99,6.99,6.99,147.0
2020-12-22 05:00:00+00:00,6.66,6.69,6.66,6.69,6.69,746.0
2020-12-28 05:00:00+00:00,6.485,6.54,6.485,6.54,6.54,547.0
2020-12-30 05:00:00+00:00,6.49,6.49,6.49,6.49,6.49,620.0
2020-12-31 05:00:00+00:00,6.7,6.7,6.7,6.7,6.7,234.0
2021-01-05 05:00:00+00:00,6.58,6.58,6.44,6.44,6.44,200.0
2021-01-06 05:00:00+00:00,6.47,6.47,6.47,6.47,6.47,807.0
2021-01-07 05:00:00+00:00,6.16,6.22,6.14,6.14,6.14,631.0
2021-01-08 05:00:00+00:00,6.05,6.07,6.05,6.07,6.07,236.0
2021-01-11 05:00:00+00:00,5.99,5.99,5.99,5.99,5.99,133.0
2021-01-12 05:00:00+00:00,6.03,6.1,6.03,6.1,6.1,300.0
2021-01-13 05:00:00+00:00,6.0,6.0,6.0,6.0,6.0,300.0
2021-01-14 05:00:00+00:00,6.04,6.385,6.04,6.385,6.385,300.0
2021-01-26 05:00:00+00:00,6.19,6.19,6.19,6.19,6.19,100.0
2021-01-27 05:00:00+00:00,6.12,6.12,6.12,6.12,6.12,612.0
2021-01-28 05:00:00+00:00,6.19,6.19,6.19,6.19,6.19,100.0
2021-02-01 05:00:00+00:00,6.02,6.2,6.02,6.13,6.13,800.0
2021-02-02 05:00:00+00:00,6.27,6.27,6.27,6.27,6.27,200.0
2021-02-03 05:00:00+00:00,6.47,6.475,6.47,6.475,6.475,400.0
2021-02-04 05:00:00+00:00,6.615,6.625,6.615,6.625,6.625,200.0
2021-02-05 05:00:00+00:00,6.98,6.98,6.98,6.98,6.98,200.0
2021-02-08 05:00:00+00:00,6.98,6.99,6.97,6.99,6.99,507.0
2021-02-09 05:00:00+00:00,7.185,7.235,7.185,7.195,7.195,894.0
2021-02-10 05:00:00+00:00,7.3,7.33,7.14,7.14,7.14,617.0
2021-02-11 05:00:00+00:00,6.54,6.54,6.36,6.48,6.48,552.0
2021-02-16 05:00:00+00:00,6.68,6.805,6.68,6.805,6.805,700.0
2021-02-17 05:00:00+00:00,6.68,6.755,6.68,6.755,6.755,1264.0
2021-02-18 05:00:00+00:00,6.68,6.68,6.68,6.68,6.68,100.0
2021-02-19 05:00:00+00:00,6.9,6.9,6.9,6.9,6.9,100.0
2021-02-22 05:00:00+00:00,6.94,6.94,6.94,6.94,6.94,100.0
2021-02-23 05:00:00+00:00,6.51,6.51,6.33,6.33,6.33,891.0
2021-02-24 05:00:00+00:00,6.91,6.91,6.91,6.91,6.91,100.0
2021-02-25 05:00:00+00:00,6.67,6.67,6.5,6.5,6.5,400.0
2021-02-26 05:00:00+00:00,6.33,6.33,6.33,6.33,6.33,277.0
2021-03-02 05:00:00+00:00,6.3,6.32,6.25,6.32,6.32,600.0
2021-03-03 05:00:00+00:00,6.16,6.16,6.16,6.16,6.16,100.0
2021-03-04 05:00:00+00:00,6.08,6.08,6.07,6.07,6.07,200.0
2021-03-05 05:00:00+00:00,6.24,6.24,6.14,6.14,6.14,249.0
2021-03-08 05:00:00+00:00,6.12,6.18,5.91,6.18,6.18,501.0
2021-03-09 05:00:00+00:00,5.96,6.15,5.96,6.1,6.1,400.0
2021-03-10 05:00:00+00:00,6.06,6.185,6.0,6.185,6.185,800.0
2021-03-15 04:00:00+00:00,6.02,6.02,6.02,6.02,6.02,548.0
2021-03-16 04:00:00+00:00,6.1,6.1,6.1,6.1,6.1,100.0
2021-03-17 04:00:00+00:00,6.08,6.08,6.03,6.04,6.04,518.0
2021-03-18 04:00:00+00:00,6.46,6.79,6.46,6.6,6.6,684.0
2021-03-19 04:00:00+00:00,6.43,6.43,6.43,6.43,6.43,104.0
2021-03-22 04:00:00+00:00,6.35,6.35,6.35,6.35,6.35,154.0
2021-03-23 04:00:00+00:00,6.13,6.13,6.1,6.1,6.1,201.0
2021-03-24 04:00:00+00:00,6.15,6.15,6.15,6.15,6.15,100.0
2021-03-26 04:00:00+00:00,6.06,6.06,6.05,6.05,6.05,925.0
2021-03-29 04:00:00+00:00,6.08,6.08,6.08,6.08,6.08,100.0
2021-03-30 04:00:00+00:00,6.39,6.39,6.39,6.39,6.39,100.0
2021-03-31 04:00:00+00:00,6.3,6.57,6.27,6.35,6.35,1100.0
2021-04-05 04:00:00+00:00,6.62,6.62,6.1,6.27,6.27,1300.0
2021-04-08 04:00:00+00:00,6.34,6.35,6.34,6.35,6.35,252.0
2021-04-13 04:00:00+00:00,6.23,6.23,6.23,6.23,6.23,100.0
2021-04-14 04:00:00+00:00,6.16,6.16,6.12,6.12,6.12,200.0
2021-04-15 04:00:00+00:00,6.09,6.09,6.08,6.09,6.09,300.0
2021-04-19 04:00:00+00:00,6.17,6.36,6.17,6.36,6.36,300.0
2021-04-20 04:00:00+00:00,6.24,6.265,6.24,6.265,6.265,200.0
2021-04-22 04:00:00+00:00,6.25,6.25,6.25,6.25,6.25,100.0
2021-04-23 04:00:00+00:00,6.3,6.3,6.3,6.3,6.3,106.0
2021-04-27 04:00:00+00:00,6.22,6.31,6.22,6.24,6.24,1000.0
2021-04-30 04:00:00+00:00,5.99,6.2,5.99,6.2,6.2,793.0
2021-05-10 04:00:00+00:00,6.05,6.16,6.04,6.16,6.16,502.0
2021-05-11 04:00:00+00:00,5.8,5.8,5.73,5.73,5.73,405.0
2021-05-12 04:00:00+00:00,5.595,5.62,5.595,5.62,5.62,400.0
2021-05-13 04:00:00+00:00,6.0,6.0,6.0,6.0,6.0,516.0
2021-05-14 04:00:00+00:00,6.13,6.13,6.13,6.13,6.13,100.0
2021-05-19 04:00:00+00:00,5.97,5.97,5.97,5.97,5.97,113.0
2021-05-25 04:00:00+00:00,5.57,5.64,5.53,5.56,5.56,500.0
2021-05-28 04:00:00+00:00,5.59,5.59,5.59,5.59,5.59,100.0
2021-06-09 04:00:00+00:00,6.165,6.165,6.165,6.165,6.165,200.0
2021-06-10 04:00:00+00:00,6.07,6.14,6.07,6.14,6.14,407.0
2021-06-11 04:00:00+00:00,6.18,6.18,6.18,6.18,6.18,100.0
2021-06-14 04:00:00+00:00,6.14,6.14,6.14,6.14,6.14,196.0
2021-06-15 04:00:00+00:00,6.035,6.035,6.035,6.035,6.035,100.0
2021-06-16 04:00:00+00:00,5.865,5.895,5.865,5.895,5.895,305.0
2021-06-17 04:00:00+00:00,5.915,5.915,5.915,5.915,5.915,415.0
2021-06-23 04:00:00+00:00,6.07,6.18,6.07,6.18,6.18,300.0
2021-06-25 04:00:00+00:00,6.53,6.67,6.53,6.67,6.67,1310.0
2021-06-28 04:00:00+00:00,6.34,6.34,6.34,6.34,6.34,100.0
2021-07-01 04:00:00+00:00,6.29,6.3,6.29,6.3,6.3,327.0
2021-07-02 04:00:00+00:00,6.35,6.59,6.35,6.59,6.59,1025.0
2021-07-06 04:00:00+00:00,6.68,6.68,6.58,6.58,6.58,200.0
2021-07-07 04:00:00+00:00,6.63,6.63,6.525,6.535,6.535,300.0
2021-07-08 04:00:00+00:00,6.55,6.55,6.49,6.49,6.49,300.0
2021-07-13 04:00:00+00:00,6.78,6.82,6.78,6.79,6.79,400.0
2021-07-14 04:00:00+00:00,6.74,6.74,6.74,6.74,6.74,105.0
2021-07-16 04:00:00+00:00,6.59,6.59,6.59,6.59,6.59,100.0
2021-07-19 04:00:00+00:00,6.35,6.48,6.35,6.48,6.48,320.0
2021-07-20 04:00:00+00:00,6.53,6.55,6.53,6.55,6.55,287.0
2021-07-23 04:00:00+00:00,7.11,7.11,7.11,7.11,7.11,100.0
2021-07-26 04:00:00+00:00,7.135,7.185,7.135,7.185,7.185,200.0
2021-07-27 04:00:00+00:00,7.055,7.055,6.97,6.97,6.97,500.0
2021-07-28 04:00:00+00:00,7.24,7.27,7.24,7.27,7.27,200.0
2021-08-06 04:00:00+00:00,6.84,6.84,6.84,6.84,6.84,157.0
