Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,81.0,81.94,81.0,81.93,81.93,600.0
2020-07-28 04:00:00+00:00,81.5,81.86,81.01,81.01,81.01,4720.0
2020-07-29 04:00:00+00:00,81.66,82.66,81.66,82.66,82.66,1672.0
2020-07-30 04:00:00+00:00,82.08,83.2,81.83,82.99,82.99,3200.0
2020-07-31 04:00:00+00:00,83.22,83.22,82.48,82.56,82.56,600.0
2020-08-03 04:00:00+00:00,83.97,84.67,83.97,84.53,84.53,1710.0
2020-08-04 04:00:00+00:00,84.43,84.57,84.17,84.57,84.57,2400.0
2020-08-05 04:00:00+00:00,84.78,85.01,84.78,84.93,84.93,3008.0
2020-08-06 04:00:00+00:00,84.31,84.48,84.31,84.48,84.48,800.0
2020-08-07 04:00:00+00:00,84.12,84.12,82.86,82.86,82.86,496.0
2020-08-11 04:00:00+00:00,82.34,83.11,81.89,81.89,81.89,11586.0
2020-08-12 04:00:00+00:00,82.47,83.08,82.47,82.82,82.82,2800.0
2020-08-13 04:00:00+00:00,83.36,83.77,83.36,83.67,83.67,1446.0
2020-08-14 04:00:00+00:00,83.72,83.72,83.36,83.36,83.36,1412.0
2020-08-17 04:00:00+00:00,84.11,84.33,84.11,84.33,84.33,2600.0
2020-08-18 04:00:00+00:00,84.45,84.61,84.27,84.38,84.38,2900.0
2020-08-19 04:00:00+00:00,83.77,84.11,83.74,83.79,83.79,7202.0
2020-08-20 04:00:00+00:00,83.85,84.1,83.85,84.1,84.1,824.0
2020-08-21 04:00:00+00:00,83.96,83.98,83.95,83.96,83.96,1400.0
2020-08-24 04:00:00+00:00,84.34,84.34,83.49,83.77,83.77,6476.0
2020-08-25 04:00:00+00:00,84.16,84.16,84.16,84.16,84.16,504.0
2020-08-26 04:00:00+00:00,84.48,85.26,84.48,85.26,85.26,2996.0
2020-08-27 04:00:00+00:00,84.97,85.32,84.52,85.23,85.23,1440.0
2020-08-28 04:00:00+00:00,85.38,85.44,85.38,85.44,85.44,802.0
2020-08-31 04:00:00+00:00,85.35,85.93,85.35,85.66,85.66,10940.0
2020-09-01 04:00:00+00:00,86.67,87.02,86.38,87.02,87.02,46560.0
2020-09-02 04:00:00+00:00,86.89,88.09,86.78,88.08,88.08,5572.0
2020-09-03 04:00:00+00:00,86.4,86.4,83.41,83.53,83.53,11598.0
2020-09-04 04:00:00+00:00,82.91,82.91,81.05,82.22,82.22,8016.0
2020-09-08 04:00:00+00:00,80.29,81.66,80.29,80.37,80.37,10246.0
2020-09-09 04:00:00+00:00,81.28,82.25,80.89,82.08,82.08,4960.0
2020-09-10 04:00:00+00:00,82.83,82.85,80.64,80.78,80.78,2574.0
2020-09-11 04:00:00+00:00,81.32,81.32,79.6,80.28,80.28,19908.0
2020-09-14 04:00:00+00:00,82.01,82.14,81.79,82.07,82.07,6572.0
2020-09-15 04:00:00+00:00,83.01,83.01,82.74,82.88,82.88,1462.0
2020-09-16 04:00:00+00:00,83.25,83.25,82.86,82.86,82.86,1252.0
2020-09-17 04:00:00+00:00,81.1,81.83,81.0,81.77,81.77,14194.0
2020-09-18 04:00:00+00:00,82.22,82.24,81.03,81.57,81.57,4066.0
2020-09-21 04:00:00+00:00,80.57,81.51,80.3,81.5,81.5,25288.0
2020-09-22 04:00:00+00:00,82.35,82.55,82.29,82.55,82.55,4516.0
2020-09-23 04:00:00+00:00,82.64,82.97,81.01,81.15,81.15,9304.0
2020-09-24 04:00:00+00:00,80.34,81.7,80.34,80.93,80.93,25074.0
2020-09-25 04:00:00+00:00,80.91,82.68,80.7,82.68,82.68,8208.0
2020-09-28 04:00:00+00:00,83.63,84.19,83.6,84.04,84.04,7102.0
2020-09-29 04:00:00+00:00,84.47,84.47,84.05,84.11,84.11,3000.0
2020-09-30 04:00:00+00:00,84.48,84.97,84.48,84.61,84.61,10820.0
2020-10-01 04:00:00+00:00,85.48,85.83,85.31,85.62,85.62,17378.0
2020-10-02 04:00:00+00:00,85.39,85.39,84.58,85.07,85.07,8432.0
2020-10-05 04:00:00+00:00,85.77,86.42,85.77,86.42,86.42,3338.0
2020-10-06 04:00:00+00:00,87.18,87.26,86.11,86.15,86.15,11358.0
2020-10-07 04:00:00+00:00,87.18,87.96,87.18,87.95,87.95,5164.0
2020-10-08 04:00:00+00:00,88.29,88.29,88.13,88.26,88.26,8170.0
2020-10-09 04:00:00+00:00,89.21,89.68,89.21,89.47,89.47,3826.0
2020-10-12 04:00:00+00:00,89.95,90.55,89.93,90.42,90.42,6204.0
2020-10-13 04:00:00+00:00,90.82,91.33,90.71,91.16,91.16,4672.0
2020-10-14 04:00:00+00:00,90.43,90.77,90.43,90.43,90.43,2000.0
2020-10-15 04:00:00+00:00,89.16,90.68,89.12,90.5,90.5,12984.0
2020-10-16 04:00:00+00:00,90.94,91.05,90.73,90.81,90.81,5104.0
2020-10-19 04:00:00+00:00,91.14,91.14,89.37,89.41,89.41,6968.0
2020-10-20 04:00:00+00:00,89.89,90.03,89.5,89.53,89.53,3200.0
2020-10-21 04:00:00+00:00,89.59,89.79,88.5,88.5,88.5,14854.0
2020-10-22 04:00:00+00:00,89.17,89.17,88.37,88.77,88.77,2704.0
2020-10-23 04:00:00+00:00,89.2,89.66,88.8,89.66,89.66,6142.0
2020-10-26 04:00:00+00:00,89.37,89.37,87.56,87.99,87.99,5386.0
2020-10-27 04:00:00+00:00,88.64,88.68,88.54,88.54,88.54,1438.0
2020-10-28 04:00:00+00:00,86.85,86.85,86.05,86.15,86.15,2726.0
2020-10-29 04:00:00+00:00,86.0,86.14,85.95,86.14,86.14,1510.0
2020-10-30 04:00:00+00:00,85.87,85.94,83.92,84.17,84.17,8272.0
2020-11-02 05:00:00+00:00,85.82,85.96,84.36,85.14,85.14,3666.0
2020-11-03 05:00:00+00:00,86.58,87.3,86.58,87.19,87.19,3700.0
2020-11-04 05:00:00+00:00,89.12,91.0,89.12,90.47,90.47,2830.0
2020-11-05 05:00:00+00:00,91.84,92.25,91.84,92.18,92.18,1764.0
2020-11-06 05:00:00+00:00,92.7,92.99,92.52,92.92,92.92,12254.0
2020-11-09 05:00:00+00:00,93.4,93.73,90.62,90.62,90.62,50208.0
2020-11-10 05:00:00+00:00,90.15,90.15,88.64,89.42,89.42,17814.0
2020-11-11 05:00:00+00:00,90.35,91.33,90.35,91.28,91.28,10026.0
2020-11-12 05:00:00+00:00,91.52,91.54,90.35,90.68,90.68,14040.0
2020-11-13 05:00:00+00:00,91.28,91.75,91.13,91.39,91.39,5864.0
2020-11-16 05:00:00+00:00,91.69,92.01,91.37,91.88,91.88,19746.0
2020-11-17 05:00:00+00:00,92.16,92.17,92.07,92.07,92.07,3882.0
2020-11-18 05:00:00+00:00,92.08,92.25,91.32,91.35,91.35,52298.0
2020-11-19 05:00:00+00:00,91.12,92.58,91.12,92.52,92.52,9544.0
2020-11-20 05:00:00+00:00,92.81,93.37,92.8,92.89,92.89,5522.0
2020-11-23 05:00:00+00:00,93.29,93.29,93.29,93.29,93.29,302.0
2020-11-24 05:00:00+00:00,93.26,93.45,93.05,93.11,93.11,4676.0
2020-11-25 05:00:00+00:00,93.45,93.67,93.21,93.67,93.67,3162.0
2020-11-27 05:00:00+00:00,94.45,95.02,94.45,94.97,94.97,2400.0
2020-11-30 05:00:00+00:00,95.49,95.72,94.25,95.72,95.72,9138.0
2020-12-01 05:00:00+00:00,96.17,96.18,95.96,96.01,96.01,3236.0
2020-12-02 05:00:00+00:00,95.02,95.67,94.83,95.52,95.52,18600.0
2020-12-03 05:00:00+00:00,96.71,96.76,96.02,96.04,96.04,12162.0
2020-12-04 05:00:00+00:00,96.89,97.29,96.89,97.2,97.2,3192.0
2020-12-07 05:00:00+00:00,97.53,97.53,97.2,97.28,97.28,6885.0
2020-12-08 05:00:00+00:00,97.64,98.24,97.58,98.11,98.11,14279.0
2020-12-09 05:00:00+00:00,98.18,98.2,96.06,96.61,96.61,1310.0
2020-12-10 05:00:00+00:00,96.05,97.48,95.85,97.48,97.48,1040.0
2020-12-11 05:00:00+00:00,97.09,97.97,97.09,97.73,97.73,1392.0
2020-12-14 05:00:00+00:00,98.85,99.04,98.03,98.03,98.03,2415.0
2020-12-15 05:00:00+00:00,99.12,99.21,98.7,98.94,98.94,12481.0
2020-12-16 05:00:00+00:00,99.3,99.47,98.99,99.46,99.46,4245.0
2020-12-17 05:00:00+00:00,100.36,100.94,100.36,100.85,100.85,2321.0
2020-12-18 05:00:00+00:00,101.37,101.62,101.1,101.1,101.1,10815.0
2020-12-21 05:00:00+00:00,100.57,101.62,99.77,101.43,101.43,6523.0
2020-12-22 05:00:00+00:00,101.87,102.56,101.74,102.56,102.56,3479.0
2020-12-23 05:00:00+00:00,102.71,102.92,102.11,102.11,102.11,27686.0
2020-12-24 05:00:00+00:00,102.39,102.39,102.38,102.38,102.38,320.0
2020-12-28 05:00:00+00:00,101.85,101.85,100.75,100.76,100.76,2097.0
2020-12-29 05:00:00+00:00,101.18,101.18,99.75,100.06,100.06,12949.0
2020-12-30 05:00:00+00:00,100.59,100.99,100.47,100.53,100.53,9976.0
2020-12-31 05:00:00+00:00,100.52,100.52,99.82,100.46,100.46,3589.0
2021-01-04 05:00:00+00:00,100.71,100.71,98.02,98.63,98.63,5659.0
2021-01-05 05:00:00+00:00,99.01,99.85,99.01,99.8,99.8,7916.0
2021-01-06 05:00:00+00:00,99.0,100.62,99.0,99.86,99.86,3230.0
2021-01-07 05:00:00+00:00,101.0,102.53,101.0,102.53,102.53,3762.0
2021-01-08 05:00:00+00:00,103.24,104.13,103.11,103.58,103.58,1794.0
2021-01-11 05:00:00+00:00,102.97,103.86,102.66,103.25,103.25,2844.0
2021-01-12 05:00:00+00:00,103.68,104.19,103.49,104.18,104.18,3888.0
2021-01-13 05:00:00+00:00,103.72,104.2,103.6,103.6,103.6,2598.0
2021-01-14 05:00:00+00:00,104.41,104.54,103.31,103.44,103.44,5961.0
2021-01-15 05:00:00+00:00,103.18,103.46,102.33,102.62,102.62,4365.0
2021-01-19 05:00:00+00:00,103.56,103.71,103.08,103.71,103.71,4904.0
2021-01-20 05:00:00+00:00,104.3,104.84,104.3,104.81,104.81,1217.0
2021-01-21 05:00:00+00:00,105.07,105.07,104.5,104.5,104.5,2180.0
2021-01-22 05:00:00+00:00,104.31,104.67,104.21,104.54,104.54,12313.0
2021-01-25 05:00:00+00:00,105.53,105.53,103.81,104.24,104.24,4037.0
2021-01-26 05:00:00+00:00,104.44,104.44,102.91,102.91,102.91,2115.0
2021-01-27 05:00:00+00:00,100.63,101.61,99.87,99.87,99.87,5153.0
2021-01-28 05:00:00+00:00,100.36,102.29,100.36,101.5,101.5,8151.0
2021-01-29 05:00:00+00:00,101.14,101.14,99.22,100.07,100.07,6495.0
2021-02-01 05:00:00+00:00,101.32,102.09,100.27,102.09,102.09,3708.0
2021-02-02 05:00:00+00:00,103.06,104.37,103.05,104.2,104.2,10131.0
2021-02-03 05:00:00+00:00,104.22,104.22,103.43,103.59,103.59,4315.0
2021-02-04 05:00:00+00:00,104.73,105.08,104.73,105.04,105.04,2884.0
2021-02-05 05:00:00+00:00,105.92,106.23,105.73,106.23,106.23,2700.0
2021-02-08 05:00:00+00:00,107.07,107.56,106.87,107.13,107.13,8343.0
2021-02-09 05:00:00+00:00,107.38,108.02,107.3,107.75,107.75,17636.0
2021-02-10 05:00:00+00:00,108.33,108.81,106.86,107.87,107.87,6532.0
2021-02-11 05:00:00+00:00,108.09,108.74,108.09,108.54,108.54,21550.0
2021-02-12 05:00:00+00:00,108.44,109.32,108.44,109.25,109.25,3444.0
2021-02-16 05:00:00+00:00,110.03,110.16,108.51,108.65,108.65,4710.0
2021-02-17 05:00:00+00:00,107.2,107.91,106.43,107.91,107.91,1774.0
2021-02-18 05:00:00+00:00,106.89,107.43,106.74,107.43,107.43,1020.0
2021-02-19 05:00:00+00:00,108.6,108.64,108.21,108.43,108.43,714.0
2021-02-22 05:00:00+00:00,105.45,106.03,104.63,104.63,104.63,495.0
2021-02-23 05:00:00+00:00,102.38,104.2,100.75,104.2,104.2,5865.0
2021-02-24 05:00:00+00:00,103.85,103.86,102.6,103.16,103.16,1717.0
2021-02-25 05:00:00+00:00,104.13,104.63,100.49,100.99,100.99,12952.0
2021-02-26 05:00:00+00:00,101.78,102.63,100.36,101.81,101.81,41548.0
2021-03-01 05:00:00+00:00,103.3,104.72,103.3,104.71,104.71,2591.0
2021-03-02 05:00:00+00:00,104.52,104.52,102.94,102.98,102.98,3027.0
2021-03-03 05:00:00+00:00,102.56,102.56,99.14,99.14,99.14,7578.0
2021-03-04 05:00:00+00:00,97.56,98.52,95.16,96.08,96.08,7215.0
2021-03-05 05:00:00+00:00,96.77,97.03,92.65,97.03,97.03,8644.0
2021-03-08 05:00:00+00:00,97.5,97.95,95.05,95.06,95.06,4976.0
2021-03-09 05:00:00+00:00,97.56,98.69,97.44,98.11,98.11,7670.0
2021-03-10 05:00:00+00:00,99.59,99.59,98.04,98.1,98.1,2083.0
2021-03-11 05:00:00+00:00,99.76,100.82,99.71,100.77,100.77,1764.0
2021-03-12 05:00:00+00:00,99.26,99.95,98.78,99.86,99.86,3272.0
2021-03-15 04:00:00+00:00,100.33,100.97,100.33,100.97,100.97,1208.0
2021-03-16 04:00:00+00:00,102.65,102.65,100.46,101.22,101.22,4278.0
2021-03-17 04:00:00+00:00,99.64,101.34,99.55,101.08,101.08,7135.0
2021-03-18 04:00:00+00:00,99.98,99.98,98.05,98.32,98.32,12249.0
2021-03-19 04:00:00+00:00,98.51,99.56,98.03,99.21,99.21,4513.0
2021-03-22 04:00:00+00:00,99.82,100.63,99.75,100.55,100.55,4840.0
2021-03-23 04:00:00+00:00,100.16,100.45,99.08,99.08,99.08,1460.0
2021-03-24 04:00:00+00:00,98.9,98.93,97.32,97.32,97.32,3679.0
2021-03-25 04:00:00+00:00,96.04,97.65,95.72,97.51,97.51,9023.0
2021-03-26 04:00:00+00:00,97.62,99.26,97.33,99.24,99.24,22537.0
2021-03-29 04:00:00+00:00,98.93,99.44,97.65,98.36,98.36,5391.0
2021-03-30 04:00:00+00:00,97.25,98.01,97.17,98.01,98.01,1468.0
2021-03-31 04:00:00+00:00,99.48,100.47,99.48,100.02,100.02,7610.0
2021-04-01 04:00:00+00:00,101.1,102.05,101.1,101.57,101.57,8212.0
2021-04-05 04:00:00+00:00,102.66,102.66,101.73,102.41,102.41,5944.0
2021-04-06 04:00:00+00:00,102.43,103.64,102.27,103.5,103.5,4162.0
2021-04-07 04:00:00+00:00,102.96,102.96,102.09,102.25,102.25,2894.0
2021-04-08 04:00:00+00:00,103.17,103.71,103.09,103.71,103.71,2808.0
2021-04-09 04:00:00+00:00,103.58,103.65,103.08,103.6,103.6,2717.0
2021-04-12 04:00:00+00:00,103.94,104.16,103.4,104.16,104.16,3124.0
2021-04-13 04:00:00+00:00,104.74,105.56,104.7,105.56,105.56,2327.0
2021-04-14 04:00:00+00:00,105.6,106.29,104.74,104.77,104.77,9467.0
2021-04-15 04:00:00+00:00,105.86,106.71,105.86,106.51,106.51,4632.0
2021-04-16 04:00:00+00:00,106.31,106.41,106.01,106.2,106.2,7281.0
2021-04-19 04:00:00+00:00,105.95,106.18,104.57,104.77,104.77,4386.0
2021-04-20 04:00:00+00:00,105.35,105.35,103.8,104.2,104.2,5811.0
2021-04-21 04:00:00+00:00,104.07,105.54,104.07,105.54,105.54,5741.0
2021-04-22 04:00:00+00:00,105.76,106.94,105.38,105.82,105.82,3784.0
2021-04-23 04:00:00+00:00,106.13,107.35,106.09,107.35,107.35,6579.0
2021-04-26 04:00:00+00:00,107.51,108.39,107.32,108.39,108.39,9160.0
2021-04-27 04:00:00+00:00,108.07,108.25,107.58,107.96,107.96,9070.0
2021-04-28 04:00:00+00:00,107.63,107.63,107.02,107.25,107.25,1337.0
2021-04-29 04:00:00+00:00,107.71,107.71,105.87,106.73,106.73,7280.0
2021-04-30 04:00:00+00:00,106.3,106.58,105.33,105.49,105.49,9949.0
2021-05-03 04:00:00+00:00,105.21,105.58,104.76,104.82,104.82,31986.0
2021-05-04 04:00:00+00:00,103.42,103.42,101.8,102.89,102.89,10693.0
2021-05-05 04:00:00+00:00,102.39,103.07,102.09,102.23,102.23,6654.0
2021-05-06 04:00:00+00:00,101.28,101.33,100.06,100.99,100.99,5593.0
2021-05-07 04:00:00+00:00,101.89,103.1,101.89,102.46,102.46,2796.0
2021-05-10 04:00:00+00:00,101.36,101.66,100.79,100.79,100.79,1768.0
2021-05-11 04:00:00+00:00,98.41,100.89,98.41,100.6,100.6,8092.0
2021-05-12 04:00:00+00:00,99.42,99.7,98.0,98.0,98.0,7877.0
2021-05-13 04:00:00+00:00,98.84,99.08,97.32,98.07,98.07,8478.0
2021-05-14 04:00:00+00:00,99.44,100.47,99.44,100.47,100.47,2656.0
2021-05-17 04:00:00+00:00,99.81,100.07,99.02,99.55,99.55,4206.0
2021-05-18 04:00:00+00:00,99.86,100.7,99.79,99.94,99.94,3260.0
2021-05-19 04:00:00+00:00,98.09,99.28,97.97,99.28,99.28,5182.0
2021-05-20 04:00:00+00:00,100.39,101.9,100.39,101.81,101.81,3447.0
2021-05-21 04:00:00+00:00,102.23,102.51,101.64,101.64,101.64,2605.0
2021-05-24 04:00:00+00:00,102.32,102.92,102.32,102.72,102.72,3109.0
2021-05-25 04:00:00+00:00,103.03,103.31,102.77,102.81,102.81,2358.0
2021-05-26 04:00:00+00:00,103.07,103.35,103.03,103.23,103.23,3513.0
2021-05-27 04:00:00+00:00,102.62,103.47,102.62,103.35,103.35,2300.0
2021-05-28 04:00:00+00:00,104.28,104.44,103.8,103.8,103.8,4909.0
2021-06-01 04:00:00+00:00,104.06,104.13,102.88,103.37,103.37,2694.0
2021-06-02 04:00:00+00:00,103.22,103.5,103.2,103.26,103.26,4018.0
2021-06-03 04:00:00+00:00,102.6,102.73,101.73,102.4,102.4,10146.0
2021-06-04 04:00:00+00:00,103.08,103.46,103.08,103.36,103.36,4230.0
2021-06-07 04:00:00+00:00,103.56,104.16,103.49,104.15,104.15,3957.0
2021-06-08 04:00:00+00:00,104.68,104.86,104.08,104.08,104.08,1604.0
2021-06-09 04:00:00+00:00,105.0,105.0,104.38,104.38,104.38,1437.0
2021-06-10 04:00:00+00:00,104.49,105.73,104.49,105.64,105.64,3005.0
2021-06-11 04:00:00+00:00,105.66,106.36,105.66,106.36,106.36,2751.0
2021-06-14 04:00:00+00:00,106.46,106.83,106.38,106.66,106.66,1700.0
2021-06-15 04:00:00+00:00,106.57,106.58,105.85,106.02,106.02,13031.0
2021-06-16 04:00:00+00:00,106.12,106.12,104.83,105.02,105.02,5160.0
2021-06-17 04:00:00+00:00,106.12,107.35,106.08,107.27,107.27,2958.0
2021-06-18 04:00:00+00:00,106.97,107.14,106.73,106.92,106.92,2138.0
2021-06-21 04:00:00+00:00,106.31,107.98,106.3,107.85,107.85,12640.0
2021-06-22 04:00:00+00:00,107.88,109.2,107.86,109.11,109.11,10216.0
2021-06-23 04:00:00+00:00,109.42,109.42,109.18,109.26,109.26,2760.0
2021-06-24 04:00:00+00:00,109.77,110.25,109.77,109.99,109.99,5936.0
2021-06-25 04:00:00+00:00,110.46,110.49,110.18,110.35,110.35,1211.0
2021-06-28 04:00:00+00:00,110.64,111.16,110.64,111.11,111.11,3449.0
2021-06-29 04:00:00+00:00,111.51,111.51,111.09,111.4,111.4,2018.0
2021-06-30 04:00:00+00:00,110.81,111.13,110.81,110.9,110.9,4406.0
2021-07-01 04:00:00+00:00,110.87,111.04,110.3,110.85,110.85,7489.0
2021-07-02 04:00:00+00:00,111.36,111.48,111.03,111.4,111.4,1872.0
