Date,Open,High,Low,Close,Adj Close,Volume
2020-07-31 04:00:00+00:00,56.41,56.41,56.41,56.41,56.41,800.0
2020-08-03 04:00:00+00:00,57.04,57.16,57.04,57.09,57.09,12004.0
2020-08-04 04:00:00+00:00,57.56,57.56,57.56,57.56,57.56,800.0
2020-08-11 04:00:00+00:00,59.75,59.75,59.75,59.75,59.75,400.0
2020-08-13 04:00:00+00:00,59.72,59.72,59.72,59.72,59.72,1024.0
2020-08-19 04:00:00+00:00,60.51,60.51,59.99,60.01,60.01,4800.0
2020-08-20 04:00:00+00:00,59.85,59.85,59.84,59.84,59.84,2000.0
2020-08-21 04:00:00+00:00,59.96,59.96,59.96,59.96,59.96,576.0
2020-09-01 04:00:00+00:00,61.91,62.54,61.91,62.49,62.49,6532.0
2020-09-14 04:00:00+00:00,60.72,60.72,60.72,60.72,60.72,400.0
2020-09-15 04:00:00+00:00,61.47,61.59,61.47,61.58,61.58,2480.0
2020-09-28 04:00:00+00:00,60.35,60.35,60.35,60.35,60.35,400.0
2020-10-01 04:00:00+00:00,61.41,61.45,61.41,61.45,61.45,800.0
2020-10-05 04:00:00+00:00,62.0,62.0,62.0,62.0,62.0,536.0
2020-10-06 04:00:00+00:00,62.14,62.14,62.14,62.14,62.14,400.0
2020-10-29 04:00:00+00:00,59.24,59.24,59.24,59.24,59.24,400.0
2020-10-30 04:00:00+00:00,58.8,59.17,58.65,59.12,59.12,7600.0
2020-11-02 05:00:00+00:00,58.94,58.94,58.94,58.94,58.94,400.0
2020-11-04 05:00:00+00:00,62.44,62.44,62.44,62.44,62.44,800.0
2020-11-05 05:00:00+00:00,63.24,63.24,63.24,63.24,63.24,400.0
2020-11-06 05:00:00+00:00,63.18,63.18,63.18,63.18,63.18,400.0
2020-11-09 05:00:00+00:00,64.82,64.82,64.8,64.8,64.8,960.0
2020-11-10 05:00:00+00:00,63.88,63.88,63.88,63.88,63.88,400.0
2020-11-11 05:00:00+00:00,64.04,64.21,64.04,64.21,64.21,1600.0
2020-11-12 05:00:00+00:00,63.55,63.55,63.55,63.55,63.55,400.0
2020-11-13 05:00:00+00:00,64.24,64.38,64.23,64.38,64.38,6836.0
2020-11-16 05:00:00+00:00,65.49,65.49,65.49,65.49,65.49,576.0
2020-11-17 05:00:00+00:00,65.38,65.55,65.38,65.51,65.51,3600.0
2020-11-18 05:00:00+00:00,65.5,65.7,65.5,65.7,65.7,2928.0
2020-11-24 05:00:00+00:00,66.26,66.82,66.26,66.82,66.82,2400.0
2020-11-27 05:00:00+00:00,66.93,66.93,66.93,66.93,66.93,400.0
2020-11-30 05:00:00+00:00,66.35,66.47,66.35,66.42,66.42,4792.0
2020-12-01 05:00:00+00:00,67.32,67.32,67.16,67.16,67.16,5028.0
2020-12-09 05:00:00+00:00,67.68,67.68,67.68,67.68,67.68,600.0
2020-12-10 05:00:00+00:00,67.14,67.34,67.14,67.33,67.33,1757.0
2020-12-11 05:00:00+00:00,67.29,67.3,67.27,67.3,67.3,305.0
2020-12-14 05:00:00+00:00,67.8,67.8,67.35,67.35,67.35,390.0
2020-12-15 05:00:00+00:00,67.46,67.5,67.37,67.37,67.37,1356.0
2020-12-16 05:00:00+00:00,68.03,68.15,68.03,68.15,68.15,707.0
2020-12-18 05:00:00+00:00,68.18,68.18,68.06,68.06,68.06,700.0
2020-12-21 05:00:00+00:00,67.84,67.84,67.84,67.84,67.84,701.0
2020-12-24 05:00:00+00:00,67.85,67.85,67.79,67.79,67.79,972.0
2020-12-29 05:00:00+00:00,68.39,68.39,68.39,68.39,68.39,100.0
2020-12-30 05:00:00+00:00,68.73,68.76,68.63,68.63,68.63,1540.0
2020-12-31 05:00:00+00:00,68.56,68.56,68.56,68.56,68.56,100.0
2021-01-04 05:00:00+00:00,67.5,67.5,67.12,67.47,67.47,517.0
2021-01-05 05:00:00+00:00,67.98,68.09,67.98,68.09,68.09,400.0
2021-01-06 05:00:00+00:00,68.6,68.6,68.58,68.58,68.58,803.0
2021-01-07 05:00:00+00:00,69.2,69.2,69.2,69.2,69.2,113.0
2021-01-11 05:00:00+00:00,69.4,69.55,69.4,69.42,69.42,1070.0
2021-01-12 05:00:00+00:00,69.64,69.68,69.6,69.66,69.66,1200.0
2021-01-13 05:00:00+00:00,69.8,69.8,69.8,69.8,69.8,134.0
2021-01-14 05:00:00+00:00,69.63,69.63,69.63,69.63,69.63,101.0
2021-01-15 05:00:00+00:00,69.07,69.07,68.67,68.67,68.67,748.0
2021-01-21 05:00:00+00:00,70.3,70.3,70.3,70.3,70.3,101.0
2021-01-27 05:00:00+00:00,68.78,68.78,67.41,67.41,67.41,258.0
2021-01-29 05:00:00+00:00,67.2,67.34,67.2,67.34,67.34,300.0
2021-02-03 05:00:00+00:00,69.49,69.49,69.49,69.49,69.49,200.0
2021-02-04 05:00:00+00:00,70.19,70.37,70.19,70.37,70.37,1300.0
