Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,70.68,73.22,70.68,73.22,73.22,21102.0
2020-07-28 04:00:00+00:00,73.37,73.73,71.0,71.12,71.12,26511.0
2020-07-29 04:00:00+00:00,72.26,74.43,72.26,74.34,74.34,14744.0
2020-07-30 04:00:00+00:00,73.1,74.31,73.04,73.49,73.49,24707.0
2020-07-31 04:00:00+00:00,72.68,73.1,71.44,73.05,73.05,22008.0
2020-08-03 04:00:00+00:00,73.6,73.66,71.82,73.08,73.08,11255.0
2020-08-04 04:00:00+00:00,73.57,76.06,73.57,75.46,75.46,29076.0
2020-08-05 04:00:00+00:00,76.42,76.42,73.28,74.01,74.01,52402.0
2020-08-06 04:00:00+00:00,76.28,78.15,72.56,73.41,73.41,48212.0
2020-08-07 04:00:00+00:00,74.8,75.69,72.58,72.93,72.93,23407.0
2020-08-10 04:00:00+00:00,73.57,73.7,69.39,70.29,70.29,63927.0
2020-08-11 04:00:00+00:00,71.17,72.18,69.09,70.49,70.49,52858.0
2020-08-12 04:00:00+00:00,70.77,71.75,69.59,70.04,70.04,48237.0
2020-08-13 04:00:00+00:00,70.2,71.29,70.2,70.68,70.68,21728.0
2020-08-14 04:00:00+00:00,70.26,71.97,70.1,71.76,71.76,59152.0
2020-08-17 04:00:00+00:00,71.92,73.13,70.7,72.32,72.32,15713.0
2020-08-18 04:00:00+00:00,72.31,73.13,71.49,72.68,72.68,17335.0
2020-08-19 04:00:00+00:00,73.21,73.74,72.12,72.26,72.26,13597.0
2020-08-20 04:00:00+00:00,72.26,73.21,72.02,72.13,72.13,26213.0
2020-08-21 04:00:00+00:00,72.89,74.72,72.2,74.35,74.35,23505.0
2020-08-24 04:00:00+00:00,73.96,74.97,73.1,74.49,74.49,18257.0
2020-08-25 04:00:00+00:00,75.31,75.63,73.56,74.95,74.95,38735.0
2020-08-26 04:00:00+00:00,75.11,76.04,74.4,75.04,75.04,15418.0
2020-08-27 04:00:00+00:00,75.92,76.7,75.52,75.54,75.54,17089.0
2020-08-28 04:00:00+00:00,75.58,76.31,75.09,75.85,75.85,25305.0
2020-08-31 04:00:00+00:00,75.26,75.5,73.63,73.79,73.79,28347.0
2020-09-01 04:00:00+00:00,73.09,76.66,73.09,76.44,76.44,24965.0
2020-09-02 04:00:00+00:00,76.67,78.24,76.01,77.28,77.28,30340.0
2020-09-03 04:00:00+00:00,77.05,77.27,74.37,74.76,74.76,16014.0
2020-09-04 04:00:00+00:00,76.17,76.19,73.06,74.54,74.54,15461.0
2020-09-08 04:00:00+00:00,73.42,75.19,72.56,72.56,72.56,21321.0
2020-09-09 04:00:00+00:00,73.06,75.23,73.06,75.11,75.11,15135.0
2020-09-10 04:00:00+00:00,76.22,78.91,75.88,76.15,76.15,50740.0
2020-09-11 04:00:00+00:00,75.93,75.93,72.16,73.79,73.79,31653.0
2020-09-14 04:00:00+00:00,74.28,76.38,74.28,76.15,76.15,9751.0
2020-09-15 04:00:00+00:00,76.3,76.99,75.46,75.53,75.53,12205.0
2020-09-16 04:00:00+00:00,75.33,75.58,72.94,73.01,73.01,17777.0
2020-09-17 04:00:00+00:00,71.95,73.75,71.95,73.69,73.69,15889.0
2020-09-18 04:00:00+00:00,73.76,75.04,71.24,72.04,72.04,30156.0
2020-09-21 04:00:00+00:00,70.4,73.66,69.73,73.53,73.53,25908.0
2020-09-22 04:00:00+00:00,74.26,74.68,72.28,74.43,74.43,39238.0
2020-09-23 04:00:00+00:00,74.43,74.84,72.3,72.42,72.42,22427.0
2020-09-24 04:00:00+00:00,71.63,74.02,71.57,71.77,71.77,12269.0
2020-09-25 04:00:00+00:00,71.78,72.18,70.7,71.74,71.74,36129.0
2020-09-28 04:00:00+00:00,73.0,73.06,71.16,72.17,72.17,48082.0
2020-09-29 04:00:00+00:00,71.76,71.76,70.02,70.15,70.15,50198.0
2020-09-30 04:00:00+00:00,70.86,71.48,70.29,70.99,70.99,18685.0
2020-10-01 04:00:00+00:00,71.67,72.61,71.24,72.2,72.2,28506.0
2020-10-02 04:00:00+00:00,70.67,75.51,70.67,74.73,74.73,54415.0
2020-10-05 04:00:00+00:00,75.23,76.05,74.49,75.47,75.47,42362.0
2020-10-06 04:00:00+00:00,75.44,76.4,72.43,72.85,72.85,22824.0
2020-10-07 04:00:00+00:00,74.22,74.85,73.19,73.72,73.72,23540.0
2020-10-08 04:00:00+00:00,74.34,74.34,72.99,74.3,74.3,27305.0
2020-10-09 04:00:00+00:00,75.05,75.43,74.36,75.34,75.34,19432.0
2020-10-12 04:00:00+00:00,75.09,76.01,74.41,75.91,75.91,27138.0
2020-10-13 04:00:00+00:00,75.45,77.04,75.25,75.68,75.68,25312.0
2020-10-14 04:00:00+00:00,75.47,76.66,75.33,75.75,75.75,40520.0
2020-10-15 04:00:00+00:00,75.04,76.77,74.9,76.75,76.75,42828.0
2020-10-16 04:00:00+00:00,76.74,78.82,76.53,78.15,78.15,42249.0
2020-10-19 04:00:00+00:00,78.97,78.97,76.6,76.66,76.66,30239.0
2020-10-20 04:00:00+00:00,77.59,78.75,76.92,77.38,77.38,33887.0
2020-10-21 04:00:00+00:00,77.06,77.44,75.7,76.99,76.99,24812.0
2020-10-22 04:00:00+00:00,77.07,79.19,76.99,78.52,78.52,16913.0
2020-10-23 04:00:00+00:00,79.2,79.2,77.02,78.41,78.41,42983.0
2020-10-26 04:00:00+00:00,78.43,78.87,76.06,76.92,76.92,38213.0
2020-10-27 04:00:00+00:00,76.87,77.57,74.38,75.76,75.76,34791.0
2020-10-28 04:00:00+00:00,73.75,74.8,73.11,73.18,73.18,34161.0
2020-10-29 04:00:00+00:00,72.89,73.9,71.91,72.76,72.76,22854.0
2020-10-30 04:00:00+00:00,72.81,73.39,70.56,71.62,71.62,45090.0
2020-11-02 05:00:00+00:00,71.72,72.79,70.88,72.06,72.06,20039.0
2020-11-03 05:00:00+00:00,72.4,74.3,71.96,73.52,73.52,20680.0
2020-11-04 05:00:00+00:00,74.19,75.77,72.95,73.68,73.68,22827.0
2020-11-05 05:00:00+00:00,74.45,75.38,71.68,72.04,72.04,40394.0
2020-11-06 05:00:00+00:00,72.12,75.85,71.6,75.42,75.42,42469.0
2020-11-09 05:00:00+00:00,78.24,81.84,73.07,73.12,73.12,52285.0
2020-11-10 05:00:00+00:00,73.04,75.36,70.4,74.98,74.98,48136.0
2020-11-11 05:00:00+00:00,74.09,76.06,73.37,75.92,75.92,53155.0
2020-11-12 05:00:00+00:00,75.61,75.84,73.21,73.99,73.99,37837.0
2020-11-13 05:00:00+00:00,74.33,76.48,73.95,74.79,74.79,51884.0
2020-11-16 05:00:00+00:00,75.59,78.37,75.5,78.3,78.3,44342.0
2020-11-17 05:00:00+00:00,78.56,78.78,76.78,77.86,77.86,32173.0
2020-11-18 05:00:00+00:00,78.15,79.84,76.91,77.32,77.32,54878.0
2020-11-19 05:00:00+00:00,82.49,84.44,78.73,81.2,81.2,123191.0
2020-11-20 05:00:00+00:00,81.55,81.94,78.8,81.6,81.6,33231.0
2020-11-23 05:00:00+00:00,82.55,83.56,80.97,81.11,81.11,30835.0
2020-11-24 05:00:00+00:00,82.16,83.64,82.16,82.54,82.54,17100.0
2020-11-25 05:00:00+00:00,82.09,82.09,80.29,81.47,81.47,11378.0
2020-11-27 05:00:00+00:00,81.9,82.09,80.83,81.83,81.83,8477.0
2020-11-30 05:00:00+00:00,81.05,82.71,79.83,82.26,82.26,20707.0
2020-12-01 05:00:00+00:00,83.33,85.14,82.42,84.42,84.42,33897.0
2020-12-02 05:00:00+00:00,83.64,84.65,83.22,83.47,83.47,16524.0
2020-12-03 05:00:00+00:00,83.38,83.81,83.09,83.21,83.21,18923.0
2020-12-04 05:00:00+00:00,82.99,83.39,81.83,83.19,83.19,19646.0
2020-12-07 05:00:00+00:00,83.24,83.24,80.38,80.86,80.86,30925.0
2020-12-08 05:00:00+00:00,80.44,81.0,79.38,80.25,80.25,30494.0
2020-12-09 05:00:00+00:00,80.42,82.33,80.42,81.04,81.04,22426.0
