Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,60.07,60.26,55.9,55.99,55.99,282.0
2020-07-28 04:00:00+00:00,56.9,59.08,55.99,59.08,59.08,347.0
2020-07-29 04:00:00+00:00,59.35,63.61,59.35,63.61,63.61,556.0
2020-07-30 04:00:00+00:00,64.79,64.79,59.8,60.53,60.53,205.0
2020-07-31 04:00:00+00:00,60.44,67.15,60.44,65.06,65.06,852.0
2020-08-03 04:00:00+00:00,63.16,63.34,56.53,56.53,56.53,1424.0
2020-08-04 04:00:00+00:00,56.81,58.53,56.81,57.62,57.62,361.0
2020-08-05 04:00:00+00:00,54.81,56.63,54.36,55.72,55.72,215.0
2020-08-06 04:00:00+00:00,55.17,57.08,54.27,56.9,56.9,234.0
2020-08-07 04:00:00+00:00,57.17,57.44,54.36,56.26,56.26,581.0
2020-08-10 04:00:00+00:00,55.54,57.35,55.54,56.53,56.53,222.0
2020-08-11 04:00:00+00:00,56.81,63.61,56.81,63.25,63.25,774.0
2020-08-12 04:00:00+00:00,62.98,64.34,62.07,62.89,62.89,230.0
2020-08-13 04:00:00+00:00,60.98,60.98,59.89,59.89,59.89,100.0
2020-08-14 04:00:00+00:00,60.26,62.34,60.26,62.34,62.34,545.0
2020-08-17 04:00:00+00:00,61.71,61.71,55.08,55.26,55.26,2444.0
2020-08-18 04:00:00+00:00,55.08,57.99,55.08,56.53,56.53,221.0
2020-08-19 04:00:00+00:00,55.9,57.26,55.26,56.9,56.9,135.0
2020-08-20 04:00:00+00:00,57.71,58.08,57.35,57.71,57.71,245.0
2020-08-21 04:00:00+00:00,57.9,59.71,57.71,59.17,59.17,180.0
2020-08-24 04:00:00+00:00,60.26,63.79,60.26,63.43,63.43,232.0
2020-08-25 04:00:00+00:00,63.16,63.16,60.71,60.89,60.89,238.0
2020-08-26 04:00:00+00:00,62.43,62.43,62.43,62.43,62.43,26.0
2020-08-27 04:00:00+00:00,62.98,65.79,62.98,64.07,64.07,680.0
2020-08-28 04:00:00+00:00,62.62,63.77,62.62,62.87,62.87,1172.0
2020-08-31 04:00:00+00:00,59.73,59.73,57.06,57.52,57.52,1429.0
2020-09-01 04:00:00+00:00,58.45,61.57,58.45,61.49,61.49,955.0
2020-09-02 04:00:00+00:00,61.92,63.01,59.45,59.46,59.46,1690.0
2020-09-03 04:00:00+00:00,62.12,66.69,62.12,66.14,66.14,3029.0
2020-09-04 04:00:00+00:00,68.97,76.96,67.96,68.32,68.32,4966.0
2020-09-08 04:00:00+00:00,73.69,73.69,67.75,71.15,71.15,2700.0
2020-09-09 04:00:00+00:00,68.43,68.43,65.45,66.3,66.3,3993.0
2020-09-10 04:00:00+00:00,64.84,69.65,63.88,69.23,69.23,4570.0
2020-09-11 04:00:00+00:00,67.42,71.56,66.19,69.45,69.45,3622.0
2020-09-14 04:00:00+00:00,59.28,60.18,55.06,55.06,55.06,7525.0
2020-09-15 04:00:00+00:00,53.54,53.94,52.36,53.47,53.47,2754.0
2020-09-16 04:00:00+00:00,51.54,51.54,48.6,49.75,49.75,1128.0
2020-09-17 04:00:00+00:00,51.88,51.88,49.44,50.23,50.23,1690.0
2020-09-18 04:00:00+00:00,49.45,52.11,48.95,48.95,48.95,605.0
2020-09-21 04:00:00+00:00,52.54,54.32,51.94,53.78,53.78,1985.0
2020-09-22 04:00:00+00:00,55.66,55.82,52.95,52.95,52.95,1145.0
2020-09-23 04:00:00+00:00,53.61,56.79,53.61,56.79,56.79,544.0
2020-09-24 04:00:00+00:00,60.8,62.41,57.76,59.54,59.54,2485.0
2020-09-25 04:00:00+00:00,55.9,55.9,55.9,55.9,55.9,258.0
2020-09-28 04:00:00+00:00,54.25,55.85,54.25,54.8,54.8,1050.0
2020-09-29 04:00:00+00:00,55.1,55.1,53.37,53.37,53.37,227.0
2020-09-30 04:00:00+00:00,52.68,54.45,52.54,54.15,54.15,600.0
2020-10-01 04:00:00+00:00,52.4,52.4,52.34,52.34,52.34,398.0
2020-10-02 04:00:00+00:00,51.72,55.45,51.72,54.8,54.8,2968.0
2020-10-05 04:00:00+00:00,51.37,51.37,46.87,46.92,46.92,12729.0
2020-10-06 04:00:00+00:00,46.6,48.28,45.2,47.28,47.28,6688.0
2020-10-07 04:00:00+00:00,46.05,46.72,43.03,43.43,43.43,6358.0
2020-10-08 04:00:00+00:00,42.81,43.65,42.26,43.59,43.59,2673.0
2020-10-09 04:00:00+00:00,42.59,42.59,41.45,41.45,41.45,1240.0
2020-10-12 04:00:00+00:00,40.72,42.0,40.72,41.23,41.23,1966.0
2020-10-13 04:00:00+00:00,41.33,41.33,39.2,39.27,39.27,2862.0
2020-10-14 04:00:00+00:00,39.74,41.89,39.56,41.65,41.65,2934.0
2020-10-15 04:00:00+00:00,44.1,44.1,41.72,41.72,41.72,1763.0
2020-10-16 04:00:00+00:00,40.27,40.42,39.37,40.24,40.24,4220.0
2020-10-19 04:00:00+00:00,41.23,43.77,40.46,43.77,43.77,3310.0
2020-10-20 04:00:00+00:00,43.37,45.65,43.37,45.3,45.3,15373.0
2020-10-21 04:00:00+00:00,45.85,48.38,45.76,48.31,48.31,5922.0
2020-10-22 04:00:00+00:00,46.6,47.19,44.41,44.76,44.76,3840.0
2020-10-23 04:00:00+00:00,45.27,45.27,44.76,44.95,44.95,1100.0
2020-10-26 04:00:00+00:00,44.79,46.95,43.61,45.71,45.71,2369.0
2020-10-27 04:00:00+00:00,44.8,45.13,43.54,43.54,43.54,2197.0
2020-10-28 04:00:00+00:00,46.28,48.18,46.1,46.64,46.64,9249.0
2020-10-29 04:00:00+00:00,48.79,48.79,46.2,46.2,46.2,700.0
2020-10-30 04:00:00+00:00,47.55,50.55,46.85,49.9,49.9,2860.0
2020-11-02 05:00:00+00:00,48.98,50.77,48.0,50.55,50.55,601.0
2020-11-03 05:00:00+00:00,47.17,48.21,44.11,44.11,44.11,1625.0
2020-11-04 05:00:00+00:00,41.89,41.89,35.62,37.02,37.02,32890.0
2020-11-05 05:00:00+00:00,37.49,37.7,36.53,36.53,36.53,866.0
2020-11-06 05:00:00+00:00,38.66,40.21,38.5,39.55,39.55,4809.0
2020-11-09 05:00:00+00:00,38.16,39.01,37.2,38.98,38.98,700.0
2020-11-10 05:00:00+00:00,39.83,40.47,37.15,37.6,37.6,2822.0
2020-11-11 05:00:00+00:00,36.67,36.67,36.22,36.57,36.57,345.0
2020-11-12 05:00:00+00:00,35.45,36.71,35.25,35.75,35.75,935.0
2020-11-13 05:00:00+00:00,34.51,35.03,34.51,34.53,34.53,712.0
2020-11-16 05:00:00+00:00,33.64,35.24,33.64,34.18,34.18,6689.0
2020-11-17 05:00:00+00:00,35.33,35.33,33.55,33.89,33.89,501.0
2020-11-18 05:00:00+00:00,33.72,35.41,33.67,35.33,35.33,8946.0
2020-11-19 05:00:00+00:00,34.52,35.24,34.35,34.93,34.93,2042.0
2020-11-20 05:00:00+00:00,34.48,34.48,33.56,33.56,33.56,631.0
2020-11-23 05:00:00+00:00,33.27,33.47,33.1,33.47,33.47,850.0
2020-11-24 05:00:00+00:00,33.51,33.51,32.6,32.6,32.6,400.0
2020-11-25 05:00:00+00:00,33.07,33.32,33.07,33.32,33.32,200.0
2020-11-27 05:00:00+00:00,30.45,30.62,29.56,29.56,29.56,9072.0
2020-11-30 05:00:00+00:00,29.08,29.54,29.08,29.54,29.54,400.0
2020-12-01 05:00:00+00:00,27.68,28.64,26.85,28.54,28.54,4601.0
2020-12-02 05:00:00+00:00,29.56,29.76,28.51,28.51,28.51,12467.0
2020-12-03 05:00:00+00:00,28.48,28.48,27.66,28.04,28.04,12608.0
2020-12-04 05:00:00+00:00,27.84,27.84,26.39,26.39,26.39,500.0
2020-12-07 05:00:00+00:00,24.53,25.94,24.53,25.88,25.88,6456.0
2020-12-08 05:00:00+00:00,25.87,25.87,24.17,24.17,24.17,10737.0
2020-12-09 05:00:00+00:00,23.51,26.68,23.51,25.86,25.86,2889.0
2020-12-10 05:00:00+00:00,25.42,25.86,22.83,22.83,22.83,4730.0
2020-12-11 05:00:00+00:00,22.96,23.59,22.5,22.97,22.97,9121.0
2020-12-14 05:00:00+00:00,21.26,21.26,19.33,20.87,20.87,15025.0
2020-12-15 05:00:00+00:00,21.28,21.62,21.27,21.28,21.28,950.0
2020-12-16 05:00:00+00:00,20.9,21.7,20.9,21.7,21.7,1100.0
2020-12-17 05:00:00+00:00,21.42,21.69,20.93,20.93,20.93,900.0
2020-12-18 05:00:00+00:00,20.89,20.89,19.96,19.98,19.98,2859.0
2020-12-21 05:00:00+00:00,20.56,20.76,19.16,19.48,19.48,3110.0
2020-12-22 05:00:00+00:00,18.89,19.22,18.25,18.77,18.77,5764.0
2020-12-23 05:00:00+00:00,19.06,19.72,18.74,18.74,18.74,1000.0
2020-12-24 05:00:00+00:00,18.44,19.31,18.44,19.31,19.31,1205.0
2020-12-28 05:00:00+00:00,19.07,20.54,19.04,20.51,20.51,7050.0
2020-12-29 05:00:00+00:00,21.78,22.93,21.58,22.47,22.47,23957.0
2020-12-30 05:00:00+00:00,21.64,21.87,20.81,21.42,21.42,5606.0
2020-12-31 05:00:00+00:00,21.4,23.14,21.4,23.14,23.14,10089.0
2021-01-04 05:00:00+00:00,23.45,23.45,22.6,23.0,23.0,1214.0
2021-01-05 05:00:00+00:00,22.97,23.06,22.8,23.06,23.06,740.0
2021-01-06 05:00:00+00:00,22.98,23.29,20.87,21.89,21.89,3412.0
2021-01-07 05:00:00+00:00,21.03,21.03,19.27,19.27,19.27,1188.0
2021-01-08 05:00:00+00:00,18.7,19.96,18.11,18.78,18.78,7140.0
2021-01-11 05:00:00+00:00,20.19,20.19,19.22,19.6,19.6,739.0
2021-01-12 05:00:00+00:00,19.55,19.55,18.94,18.94,18.94,560.0
2021-01-13 05:00:00+00:00,18.94,19.31,18.63,19.23,19.23,4354.0
2021-01-14 05:00:00+00:00,18.67,18.67,17.31,17.4,17.4,1957.0
2021-01-15 05:00:00+00:00,17.52,17.91,16.9,17.9,17.9,13668.0
2021-01-19 05:00:00+00:00,17.28,17.28,16.82,16.99,16.99,308.0
2021-01-20 05:00:00+00:00,16.71,16.78,16.59,16.59,16.59,450.0
2021-01-21 05:00:00+00:00,17.68,17.97,17.68,17.97,17.97,506.0
