Date,Open,High,Low,Close,Adj Close,Volume
2020-09-18 04:00:00+00:00,9.93,9.93,9.88,9.88,9.88,4323.0
2020-09-21 04:00:00+00:00,9.93,9.93,9.9,9.91,9.91,14504.0
2020-09-22 04:00:00+00:00,9.89,9.89,9.86,9.88,9.88,4142.0
2020-09-23 04:00:00+00:00,9.9,9.9,9.8,9.82,9.82,9026.0
2020-09-24 04:00:00+00:00,9.8,9.8,9.75,9.75,9.75,7032.0
2020-09-25 04:00:00+00:00,9.85,9.85,9.81,9.81,9.81,4700.0
2020-09-29 04:00:00+00:00,9.83,9.83,9.77,9.775,9.775,1181.0
2020-09-30 04:00:00+00:00,9.8,9.8,9.8,9.8,9.8,586.0
2020-10-01 04:00:00+00:00,9.82,9.82,9.75,9.75,9.75,420.0
2020-10-02 04:00:00+00:00,9.745,9.745,9.745,9.745,9.745,622.0
2020-10-05 04:00:00+00:00,9.72,9.72,9.71,9.71,9.71,200.0
2020-10-06 04:00:00+00:00,9.72,9.73,9.72,9.73,9.73,988.0
2020-10-07 04:00:00+00:00,9.735,9.735,9.71,9.71,9.71,17100.0
2020-10-08 04:00:00+00:00,9.73,9.73,9.72,9.72,9.72,200.0
2020-10-09 04:00:00+00:00,9.74,9.76,9.735,9.755,9.755,19396.0
2020-10-12 04:00:00+00:00,9.78,9.78,9.76,9.76,9.76,476.0
2020-10-13 04:00:00+00:00,9.71,9.72,9.7,9.7,9.7,5301.0
2020-10-14 04:00:00+00:00,9.7,9.705,9.68,9.685,9.685,23600.0
2020-10-15 04:00:00+00:00,9.68,9.68,9.68,9.68,9.68,336.0
2020-10-16 04:00:00+00:00,9.695,9.705,9.685,9.69,9.69,845.0
2020-10-19 04:00:00+00:00,9.68,9.69,9.68,9.68,9.68,10307.0
2020-10-20 04:00:00+00:00,9.7,9.7,9.67,9.67,9.67,3585.0
2020-10-21 04:00:00+00:00,9.665,9.67,9.65,9.65,9.65,2746.0
2020-10-22 04:00:00+00:00,9.65,9.65,9.645,9.645,9.645,5088.0
2020-10-23 04:00:00+00:00,9.65,9.655,9.64,9.64,9.64,32928.0
2020-10-26 04:00:00+00:00,9.645,9.65,9.645,9.65,9.65,95440.0
2020-10-27 04:00:00+00:00,9.66,9.66,9.66,9.66,9.66,1200.0
2020-10-28 04:00:00+00:00,9.64,9.645,9.64,9.64,9.64,7940.0
2020-10-29 04:00:00+00:00,9.63,9.64,9.63,9.64,9.64,2500.0
