Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17 04:00:00+00:00,25.47,25.47,25.47,25.47,25.47,195.0
2020-08-21 04:00:00+00:00,25.45,25.45,25.44,25.44,25.44,200.0
2020-09-01 04:00:00+00:00,25.99,25.99,25.99,25.99,25.99,100.0
2020-09-04 04:00:00+00:00,25.6,25.6,25.6,25.6,25.6,300.0
2020-09-10 04:00:00+00:00,25.2,25.2,25.2,25.2,25.2,300.0
2020-09-16 04:00:00+00:00,25.59,25.59,25.57,25.57,25.57,300.0
2020-09-23 04:00:00+00:00,25.08,25.08,25.05,25.05,25.05,200.0
2020-10-07 04:00:00+00:00,25.57,25.57,25.56,25.56,25.56,300.0
2020-10-16 04:00:00+00:00,25.97,25.97,25.97,25.97,25.97,200.0
2020-10-21 04:00:00+00:00,25.78,25.78,25.78,25.78,25.78,250.0
2020-10-28 04:00:00+00:00,25.25,25.25,25.25,25.25,25.25,100.0
2020-10-29 04:00:00+00:00,25.26,25.26,25.26,25.26,25.26,560.0
2020-10-30 04:00:00+00:00,24.98,24.98,24.98,24.98,24.98,100.0
2020-11-02 05:00:00+00:00,25.06,25.06,25.06,25.06,25.06,379.0
2020-11-06 05:00:00+00:00,26.11,26.11,26.11,26.11,26.11,100.0
2020-11-13 05:00:00+00:00,26.11,26.11,26.11,26.11,26.11,100.0
2020-11-17 05:00:00+00:00,26.17,26.23,26.17,26.23,26.23,700.0
2020-11-23 05:00:00+00:00,26.06,26.06,26.06,26.06,26.06,247.0
2020-12-04 05:00:00+00:00,26.6,26.61,26.6,26.61,26.61,300.0
2020-12-17 05:00:00+00:00,26.9,26.9,26.9,26.9,26.9,200.0
2020-12-21 05:00:00+00:00,26.67,26.67,26.66,26.66,26.66,400.0
2020-12-31 05:00:00+00:00,26.99,26.99,26.99,26.99,26.99,110.0
2021-01-07 05:00:00+00:00,27.46,27.46,27.44,27.44,27.44,550.0
2021-01-08 05:00:00+00:00,27.38,27.38,27.38,27.38,27.38,100.0
2021-01-13 05:00:00+00:00,27.37,27.37,27.37,27.37,27.37,300.0
2021-01-22 05:00:00+00:00,27.71,27.71,27.71,27.71,27.71,200.0
2021-01-25 05:00:00+00:00,27.7,27.7,27.7,27.7,27.7,100.0
2021-01-29 05:00:00+00:00,27.31,27.31,27.31,27.31,27.31,300.0
2021-02-01 05:00:00+00:00,27.47,27.47,27.47,27.47,27.47,290.0
2021-02-02 05:00:00+00:00,27.62,27.64,27.62,27.64,27.64,200.0
2021-02-08 05:00:00+00:00,27.97,28.02,27.97,28.02,28.02,355.0
2021-02-09 05:00:00+00:00,28.01,28.06,28.01,28.06,28.06,200.0
2021-02-25 05:00:00+00:00,27.66,27.66,27.66,27.66,27.66,200.0
2021-02-26 05:00:00+00:00,27.6,27.6,27.6,27.6,27.6,243.0
2021-03-08 05:00:00+00:00,27.35,27.35,27.35,27.35,27.35,198.0
2021-03-09 05:00:00+00:00,27.7,27.7,27.7,27.7,27.7,142.0
2021-03-15 04:00:00+00:00,27.98,28.03,27.98,28.03,28.03,300.0
2021-03-17 04:00:00+00:00,27.92,27.92,27.92,27.92,27.92,100.0
2021-03-18 04:00:00+00:00,28.07,28.13,28.07,28.13,28.13,200.0
2021-03-22 04:00:00+00:00,27.98,27.98,27.98,27.98,27.98,200.0
2021-03-24 04:00:00+00:00,27.72,27.72,27.62,27.62,27.62,600.0
2021-03-26 04:00:00+00:00,27.73,27.73,27.73,27.73,27.73,300.0
2021-04-13 04:00:00+00:00,28.49,28.49,28.49,28.49,28.49,258.0
2021-04-19 04:00:00+00:00,28.52,28.53,28.08,28.52,28.52,1300.0
2021-04-30 04:00:00+00:00,28.69,28.75,28.69,28.75,28.75,400.0
2021-05-03 04:00:00+00:00,28.79,28.79,28.79,28.79,28.79,300.0
2021-05-04 04:00:00+00:00,28.6,28.6,28.53,28.58,28.58,300.0
2021-05-21 04:00:00+00:00,28.72,28.72,28.72,28.72,28.72,200.0
