Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27 04:00:00+00:00,21.07,21.07,20.76,20.82,20.82,1766.0
2020-07-28 04:00:00+00:00,20.71,20.98,20.71,20.88,20.88,1337.0
2020-07-29 04:00:00+00:00,20.98,21.27,20.98,21.14,21.14,3175.0
2020-07-30 04:00:00+00:00,20.92,21.16,20.91,21.16,21.16,547.0
2020-07-31 04:00:00+00:00,21.14,21.18,20.66,21.18,21.18,2677.0
2020-08-03 04:00:00+00:00,21.09,21.1,20.93,20.99,20.99,5157.0
2020-08-04 04:00:00+00:00,20.86,21.39,20.86,21.39,21.39,1148.0
2020-08-05 04:00:00+00:00,21.79,22.01,21.53,21.73,21.73,5411.0
2020-08-06 04:00:00+00:00,21.87,21.87,21.67,21.67,21.67,835.0
2020-08-07 04:00:00+00:00,21.83,22.37,21.58,22.37,22.37,11297.0
2020-08-10 04:00:00+00:00,22.78,23.17,22.78,23.07,23.07,1063.0
2020-08-11 04:00:00+00:00,23.18,23.18,22.71,22.71,22.71,4025.0
2020-08-12 04:00:00+00:00,23.08,23.08,22.71,22.87,22.87,4015.0
2020-08-13 04:00:00+00:00,23.07,23.09,22.9,22.94,22.94,921.0
2020-08-14 04:00:00+00:00,22.96,22.97,22.85,22.87,22.87,3003.0
2020-08-17 04:00:00+00:00,23.09,23.11,22.83,23.02,23.02,3629.0
2020-08-18 04:00:00+00:00,22.74,22.8,22.34,22.37,22.37,14226.0
2020-08-19 04:00:00+00:00,22.26,22.39,22.26,22.28,22.28,1983.0
2020-08-20 04:00:00+00:00,21.69,21.72,21.62,21.72,21.72,502.0
2020-08-21 04:00:00+00:00,21.69,21.69,21.42,21.49,21.49,1162.0
2020-08-24 04:00:00+00:00,21.77,21.88,21.77,21.87,21.87,1240.0
2020-08-25 04:00:00+00:00,21.77,21.77,21.66,21.73,21.73,1566.0
2020-08-26 04:00:00+00:00,21.64,21.64,21.2,21.2,21.2,1745.0
2020-08-27 04:00:00+00:00,21.32,21.43,21.22,21.42,21.42,2521.0
2020-08-28 04:00:00+00:00,21.57,21.62,21.47,21.56,21.56,1365.0
2020-08-31 04:00:00+00:00,21.31,21.35,21.21,21.34,21.34,829.0
2020-09-01 04:00:00+00:00,21.3,21.33,21.14,21.33,21.33,6224.0
2020-09-02 04:00:00+00:00,21.04,21.6,21.04,21.59,21.59,1886.0
2020-09-03 04:00:00+00:00,21.35,21.35,21.04,21.04,21.04,1618.0
2020-09-04 04:00:00+00:00,21.05,21.05,20.45,21.01,21.01,865.0
2020-09-08 04:00:00+00:00,20.81,21.21,20.81,21.02,21.02,3457.0
2020-09-09 04:00:00+00:00,21.2,21.46,21.2,21.39,21.39,2214.0
2020-09-10 04:00:00+00:00,21.47,21.47,21.02,21.02,21.02,1933.0
2020-09-11 04:00:00+00:00,21.18,21.33,21.14,21.31,21.31,842.0
2020-09-14 04:00:00+00:00,21.48,21.61,21.44,21.55,21.55,2974.0
2020-09-15 04:00:00+00:00,21.76,21.76,21.56,21.6,21.6,1357.0
2020-09-16 04:00:00+00:00,21.82,22.02,21.36,21.42,21.42,7942.0
2020-09-17 04:00:00+00:00,21.21,21.52,21.21,21.42,21.42,1100.0
2020-09-18 04:00:00+00:00,21.54,21.54,21.31,21.45,21.45,4417.0
2020-09-21 04:00:00+00:00,21.22,21.22,20.88,20.9,20.9,7332.0
2020-09-22 04:00:00+00:00,21.16,21.16,21.12,21.12,21.12,332.0
2020-09-23 04:00:00+00:00,21.12,21.2,20.53,20.58,20.58,2586.0
2020-09-24 04:00:00+00:00,20.32,20.77,20.25,20.42,20.42,3008.0
2020-09-25 04:00:00+00:00,20.69,21.06,20.66,21.02,21.02,2295.0
2020-09-28 04:00:00+00:00,21.31,21.68,21.31,21.51,21.51,2620.0
2020-09-29 04:00:00+00:00,21.36,21.41,20.92,21.03,21.03,2485.0
2020-09-30 04:00:00+00:00,21.25,21.36,20.9,20.94,20.94,5562.0
2020-10-01 04:00:00+00:00,21.07,21.73,21.07,21.67,21.67,14613.0
2020-10-02 04:00:00+00:00,21.14,21.83,21.14,21.82,21.82,6439.0
2020-10-05 04:00:00+00:00,21.85,21.88,21.54,21.55,21.55,9039.0
2020-10-06 04:00:00+00:00,21.64,21.73,21.23,21.28,21.28,4958.0
2020-10-07 04:00:00+00:00,21.46,21.62,21.23,21.44,21.44,5309.0
2020-10-08 04:00:00+00:00,21.56,21.72,21.51,21.67,21.67,3575.0
2020-10-09 04:00:00+00:00,21.85,22.05,21.74,21.76,21.76,11568.0
2020-10-12 04:00:00+00:00,21.75,21.75,21.29,21.44,21.44,9713.0
2020-10-13 04:00:00+00:00,21.48,21.48,21.27,21.38,21.38,3060.0
2020-10-14 04:00:00+00:00,21.54,21.72,21.51,21.51,21.51,3247.0
2020-10-15 04:00:00+00:00,21.37,21.52,21.12,21.12,21.12,12578.0
2020-10-16 04:00:00+00:00,21.38,21.57,21.22,21.24,21.24,10692.0
2020-10-19 04:00:00+00:00,21.35,21.35,20.65,20.66,20.66,10584.0
2020-10-20 04:00:00+00:00,20.89,21.19,20.68,21.11,21.11,5170.0
2020-10-21 04:00:00+00:00,20.91,20.92,20.83,20.84,20.84,3593.0
2020-10-22 04:00:00+00:00,20.9,20.99,20.72,20.99,20.99,4057.0
2020-10-23 04:00:00+00:00,21.11,21.36,21.08,21.28,21.28,5318.0
2020-10-26 04:00:00+00:00,21.21,21.21,20.88,21.1,21.1,6178.0
2020-10-27 04:00:00+00:00,21.16,21.31,20.96,21.11,21.11,8044.0
2020-10-28 04:00:00+00:00,20.81,20.81,20.05,20.1,20.1,18538.0
2020-10-29 04:00:00+00:00,20.01,20.04,19.7,19.74,19.74,9216.0
2020-10-30 04:00:00+00:00,19.64,19.76,19.07,19.51,19.51,11253.0
2020-11-02 05:00:00+00:00,20.01,20.14,19.86,20.06,20.06,7172.0
2020-11-03 05:00:00+00:00,20.27,20.54,20.19,20.46,20.46,5465.0
2020-11-04 05:00:00+00:00,20.43,20.82,20.26,20.51,20.51,11422.0
2020-11-05 05:00:00+00:00,20.71,21.05,20.66,20.92,20.92,4503.0
2020-11-06 05:00:00+00:00,20.7,20.81,20.52,20.53,20.53,12563.0
2020-11-09 05:00:00+00:00,21.48,22.0,21.31,21.31,21.31,27208.0
2020-11-10 05:00:00+00:00,21.43,22.33,21.39,22.27,22.27,9581.0
2020-11-11 05:00:00+00:00,22.28,22.31,21.92,22.08,22.08,8067.0
2020-11-12 05:00:00+00:00,21.77,22.19,21.75,21.88,21.88,4047.0
2020-11-13 05:00:00+00:00,21.92,22.2,21.92,22.07,22.07,14115.0
2020-11-16 05:00:00+00:00,22.51,22.99,22.44,22.49,22.49,11033.0
2020-11-17 05:00:00+00:00,22.38,22.51,22.38,22.43,22.43,4315.0
2020-11-18 05:00:00+00:00,22.65,22.71,22.27,22.27,22.27,3593.0
2020-11-19 05:00:00+00:00,22.2,22.51,22.15,22.33,22.33,4355.0
2020-11-20 05:00:00+00:00,22.39,22.4,22.15,22.25,22.25,6294.0
2020-11-23 05:00:00+00:00,22.45,22.8,22.18,22.73,22.73,15503.0
2020-11-24 05:00:00+00:00,22.91,23.17,22.81,23.09,23.09,12313.0
2020-11-25 05:00:00+00:00,23.01,23.38,22.96,23.37,23.37,10762.0
2020-11-27 05:00:00+00:00,23.16,23.27,23.14,23.27,23.27,4314.0
2020-11-30 05:00:00+00:00,23.15,23.24,22.35,22.36,22.36,19528.0
2020-12-01 05:00:00+00:00,22.5,22.99,22.36,22.76,22.76,12472.0
2020-12-02 05:00:00+00:00,22.8,23.1,22.68,22.95,22.95,15595.0
2020-12-03 05:00:00+00:00,23.07,23.54,22.96,23.4,23.4,9954.0
2020-12-04 05:00:00+00:00,23.49,23.6,23.16,23.3,23.3,5311.0
2020-12-07 05:00:00+00:00,23.01,23.01,22.67,22.82,22.82,16443.0
2020-12-08 05:00:00+00:00,22.72,22.9,22.65,22.73,22.73,8540.0
2020-12-09 05:00:00+00:00,22.88,22.88,22.48,22.58,22.58,10396.0
2020-12-10 05:00:00+00:00,22.5,22.6,22.23,22.58,22.58,7090.0
2020-12-11 05:00:00+00:00,22.45,22.64,22.45,22.52,22.52,4785.0
2020-12-14 05:00:00+00:00,22.7,22.73,22.57,22.63,22.63,7382.0
2020-12-15 05:00:00+00:00,22.73,22.91,22.58,22.91,22.91,7268.0
2020-12-16 05:00:00+00:00,22.93,23.09,22.91,22.99,22.99,7337.0
2020-12-17 05:00:00+00:00,22.88,22.98,22.62,22.67,22.67,5335.0
2020-12-18 05:00:00+00:00,22.57,22.6,22.21,22.38,22.38,9701.0
2020-12-21 05:00:00+00:00,22.18,22.81,22.16,22.43,22.43,12855.0
2020-12-22 05:00:00+00:00,22.4,22.82,22.33,22.39,22.39,34096.0
2020-12-23 05:00:00+00:00,22.5,22.65,22.35,22.37,22.37,5299.0
2020-12-24 05:00:00+00:00,22.43,22.43,22.14,22.31,22.31,5023.0
