Date,Open,High,Low,Close,Adj Close,Volume
2021-04-09 04:00:00+00:00,0.8,0.8,0.8,0.8,0.8,100.0
2021-04-26 04:00:00+00:00,0.55,0.55,0.55,0.55,0.55,100.0
2021-04-29 04:00:00+00:00,0.62,0.62,0.62,0.62,0.62,200.0
2021-04-30 04:00:00+00:00,0.61,0.61,0.58,0.61,0.61,2400.0
2021-05-03 04:00:00+00:00,0.605,0.605,0.5511,0.5655,0.5655,6500.0
2021-05-05 04:00:00+00:00,0.6395,0.6395,0.6395,0.6395,0.6395,433.0
2021-05-11 04:00:00+00:00,0.6499,0.6499,0.6499,0.6499,0.6499,112.0
2021-05-21 04:00:00+00:00,0.59,0.59,0.59,0.59,0.59,100.0
2021-06-11 04:00:00+00:00,0.6341,0.6341,0.6241,0.6241,0.6241,500.0
2021-06-28 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,200.0
2021-07-22 04:00:00+00:00,0.9199,0.9199,0.9199,0.9199,0.9199,600.0
2021-08-05 04:00:00+00:00,0.82,0.82,0.82,0.82,0.82,600.0
2021-08-18 04:00:00+00:00,0.7926,0.8299,0.7926,0.8299,0.8299,600.0
2021-08-27 04:00:00+00:00,0.5751,0.5751,0.5751,0.5751,0.5751,100.0
2021-09-02 04:00:00+00:00,0.5852,0.5852,0.5704,0.5704,0.5704,600.0
2021-09-13 04:00:00+00:00,0.5199,0.5199,0.5199,0.5199,0.5199,200.0
2021-09-14 04:00:00+00:00,0.545,0.55,0.54,0.54,0.54,1701.0
2021-10-04 04:00:00+00:00,0.6198,0.6198,0.6198,0.6198,0.6198,100.0
2021-10-11 04:00:00+00:00,0.6401,0.745,0.6401,0.72,0.72,1300.0
2021-10-12 04:00:00+00:00,0.75,0.78,0.705,0.75,0.75,2852.0
2021-10-14 04:00:00+00:00,0.6452,0.6452,0.6451,0.6452,0.6452,600.0
2021-10-20 04:00:00+00:00,0.66,0.66,0.66,0.66,0.66,100.0
2021-10-22 04:00:00+00:00,0.6425,0.6425,0.6425,0.6425,0.6425,100.0
2021-11-08 05:00:00+00:00,0.65,0.65,0.64,0.64,0.64,400.0
2021-11-10 05:00:00+00:00,1.19,1.24,0.91,0.9449,0.9449,58208.0
2021-11-11 05:00:00+00:00,1.0,1.0,0.97,0.97,0.97,1201.0
2021-11-12 05:00:00+00:00,0.98,0.995,0.98,0.995,0.995,800.0
