Date,Open,High,Low,Close,Adj Close,Volume
2020-08-05 04:00:00+00:00,23.18,23.18,23.18,23.18,23.18,6.0
2020-08-06 04:00:00+00:00,21.93,21.93,21.93,21.93,21.93,6.0
2020-08-24 04:00:00+00:00,19.45,19.45,19.45,19.45,19.45,18.0
2020-08-26 04:00:00+00:00,20.28,20.28,20.28,20.28,20.28,12.0
2020-09-02 04:00:00+00:00,19.73,19.73,19.73,19.73,19.73,7.0
2020-09-03 04:00:00+00:00,17.93,17.93,17.93,17.93,17.93,6.0
2020-09-16 04:00:00+00:00,18.28,18.28,18.28,18.28,18.28,6.0
2020-09-29 04:00:00+00:00,15.73,15.73,15.73,15.73,15.73,6.0
2020-09-30 04:00:00+00:00,16.97,16.97,16.97,16.97,16.97,6.0
2020-10-14 04:00:00+00:00,28.14,83.6,28.0,39.45,39.45,27665.0
2020-10-15 04:00:00+00:00,31.87,43.32,31.87,39.31,39.31,617.0
2020-10-16 04:00:00+00:00,35.59,35.87,33.11,33.18,33.18,150.0
2020-10-19 04:00:00+00:00,32.97,32.97,30.35,30.35,30.35,25.0
2020-10-20 04:00:00+00:00,29.11,31.45,29.11,30.49,30.49,62.0
2020-10-21 04:00:00+00:00,29.8,40.69,29.8,40.69,40.69,145.0
2020-10-22 04:00:00+00:00,41.52,41.52,35.18,38.63,38.63,115.0
2020-10-23 04:00:00+00:00,35.66,35.66,35.66,35.66,35.66,6.0
2020-10-29 04:00:00+00:00,30.9,31.73,30.9,30.9,30.9,37.0
2020-10-30 04:00:00+00:00,26.69,26.69,26.69,26.69,26.69,6.0
2020-11-02 05:00:00+00:00,25.93,25.93,25.93,25.93,25.93,43.0
2020-11-04 05:00:00+00:00,23.24,23.24,23.24,23.24,23.24,13.0
2020-11-09 05:00:00+00:00,39.45,45.8,39.45,42.21,42.21,53.0
2020-11-13 05:00:00+00:00,27.45,29.59,27.45,29.59,29.59,77.0
2020-11-16 05:00:00+00:00,29.31,29.31,29.31,29.31,29.31,7.0
2020-11-18 05:00:00+00:00,31.04,31.04,31.04,31.04,31.04,18.0
2020-11-24 05:00:00+00:00,32.97,32.97,32.97,32.97,32.97,6.0
2020-12-01 05:00:00+00:00,30.76,30.76,30.76,30.76,30.76,6.0
2020-12-04 05:00:00+00:00,39.59,41.04,36.97,36.97,36.97,38.0
2020-12-07 05:00:00+00:00,33.38,34.56,32.28,34.35,34.35,100.0
2020-12-08 05:00:00+00:00,34.49,34.49,34.49,34.49,34.49,12.0
2020-12-09 05:00:00+00:00,35.31,35.31,34.35,34.35,34.35,27.0
2020-12-10 05:00:00+00:00,32.97,33.25,32.97,33.25,33.25,18.0
2020-12-11 05:00:00+00:00,32.83,32.83,32.69,32.69,32.69,20.0
2020-12-15 05:00:00+00:00,30.49,30.49,30.49,30.49,30.49,6.0
2020-12-16 05:00:00+00:00,30.35,30.35,30.35,30.35,30.35,11.0
2020-12-18 05:00:00+00:00,32.42,32.42,32.42,32.42,32.42,12.0
2020-12-24 05:00:00+00:00,31.59,31.87,31.59,31.87,31.87,18.0
2020-12-28 05:00:00+00:00,32.42,32.42,31.31,31.31,31.31,25.0
2020-12-30 05:00:00+00:00,30.35,30.35,30.35,30.35,30.35,6.0
2020-12-31 05:00:00+00:00,29.11,29.11,29.11,29.11,29.11,6.0
2021-01-05 05:00:00+00:00,30.35,32.28,30.35,32.28,32.28,56.0
2021-01-06 05:00:00+00:00,33.11,33.11,32.56,32.56,32.56,27.0
2021-01-08 05:00:00+00:00,32.14,32.14,31.73,31.73,31.73,26.0
2021-01-12 05:00:00+00:00,32.14,32.56,32.14,32.56,32.56,12.0
2021-01-14 05:00:00+00:00,32.83,32.97,32.69,32.69,32.69,96.0
2021-01-15 05:00:00+00:00,32.97,32.97,32.97,32.97,32.97,6.0
2021-01-19 05:00:00+00:00,33.25,33.25,32.83,32.83,32.83,62.0
2021-01-20 05:00:00+00:00,34.76,34.76,33.11,33.11,33.11,75.0
2021-01-21 05:00:00+00:00,32.83,34.49,32.83,33.8,33.8,376.0
2021-01-22 05:00:00+00:00,34.35,34.9,34.35,34.62,34.62,90.0
2021-01-25 05:00:00+00:00,35.18,35.18,33.66,34.49,34.49,258.0
2021-01-26 05:00:00+00:00,34.62,36.83,34.62,34.9,34.9,157.0
2021-01-27 05:00:00+00:00,33.66,33.8,32.62,32.97,32.97,105.0
2021-01-28 05:00:00+00:00,32.69,32.69,32.56,32.56,32.56,12.0
2021-01-29 05:00:00+00:00,32.69,34.62,32.07,32.14,32.14,153.0
2021-02-03 05:00:00+00:00,32.42,33.38,32.42,33.38,33.38,71.0
2021-02-04 05:00:00+00:00,33.93,34.21,33.25,33.25,33.25,75.0
2021-02-05 05:00:00+00:00,33.66,36.9,33.66,36.0,36.0,293.0
2021-02-08 05:00:00+00:00,37.66,38.07,37.52,37.94,37.94,103.0
2021-02-09 05:00:00+00:00,37.25,45.25,37.25,44.28,44.28,987.0
2021-02-10 05:00:00+00:00,41.8,43.32,38.35,38.63,38.63,869.0
2021-02-11 05:00:00+00:00,38.49,39.18,35.04,36.0,36.0,146.0
2021-02-12 05:00:00+00:00,35.45,36.0,34.21,34.76,34.76,130.0
2021-02-16 05:00:00+00:00,34.9,36.97,34.9,36.97,36.97,855.0
2021-02-17 05:00:00+00:00,36.28,36.69,36.14,36.56,36.56,41.0
2021-02-18 05:00:00+00:00,36.69,39.73,36.69,37.38,37.38,347.0
2021-02-19 05:00:00+00:00,35.45,36.0,35.45,36.0,36.0,108.0
2021-02-22 05:00:00+00:00,35.45,38.0,35.45,36.0,36.0,979.0
2021-02-23 05:00:00+00:00,32.97,32.97,30.62,31.18,31.18,107.0
2021-02-24 05:00:00+00:00,32.14,33.25,32.14,32.56,32.56,18.0
2021-02-25 05:00:00+00:00,30.9,31.31,30.21,30.21,30.21,23.0
2021-02-26 05:00:00+00:00,29.18,29.18,27.31,27.31,27.31,58.0
2021-03-01 05:00:00+00:00,28.55,29.24,28.55,29.24,29.24,43.0
2021-03-02 05:00:00+00:00,30.21,30.21,29.73,29.73,29.73,21.0
2021-03-03 05:00:00+00:00,29.11,29.11,28.97,28.97,28.97,12.0
2021-03-04 05:00:00+00:00,25.93,25.93,25.93,25.93,25.93,6.0
2021-03-09 05:00:00+00:00,26.9,27.59,26.9,27.59,27.59,18.0
2021-03-10 05:00:00+00:00,28.14,28.14,26.9,27.59,27.59,50.0
2021-03-11 05:00:00+00:00,28.28,38.21,28.28,36.14,36.14,243.0
2021-03-12 05:00:00+00:00,33.66,33.8,31.11,32.07,32.07,516.0
2021-03-15 04:00:00+00:00,31.73,32.42,31.04,31.59,31.59,154.0
2021-03-16 04:00:00+00:00,31.31,31.45,30.9,30.9,30.9,49.0
2021-03-17 04:00:00+00:00,30.07,32.62,30.07,32.07,32.07,280.0
2021-03-18 04:00:00+00:00,31.87,33.11,30.97,30.97,30.97,320.0
2021-03-19 04:00:00+00:00,30.97,30.97,30.76,30.76,30.76,12.0
2021-03-23 04:00:00+00:00,30.07,30.07,29.45,29.52,29.52,63.0
2021-03-24 04:00:00+00:00,28.69,28.69,27.11,27.11,27.11,49.0
2021-03-25 04:00:00+00:00,26.62,26.62,26.62,26.62,26.62,7.0
2021-03-26 04:00:00+00:00,28.83,29.24,28.35,29.24,29.24,66.0
2021-03-29 04:00:00+00:00,29.24,29.24,29.24,29.24,29.24,9.0
2021-04-01 04:00:00+00:00,29.24,29.66,29.24,29.66,29.66,37.0
2021-04-05 04:00:00+00:00,29.66,29.66,28.83,28.83,28.83,95.0
2021-04-06 04:00:00+00:00,27.45,27.59,27.45,27.59,27.59,103.0
2021-04-07 04:00:00+00:00,26.97,26.97,26.07,26.07,26.07,923.0
2021-04-08 04:00:00+00:00,25.8,25.8,23.52,24.21,24.21,456.0
2021-04-09 04:00:00+00:00,20.0,20.97,19.66,19.66,19.66,2261.0
2021-04-12 04:00:00+00:00,19.17,19.17,18.9,19.11,19.11,118.0
2021-04-13 04:00:00+00:00,18.97,18.97,18.97,18.97,18.97,6.0
2021-04-14 04:00:00+00:00,18.48,18.97,18.07,18.14,18.14,1006.0
2021-04-15 04:00:00+00:00,18.48,18.48,17.73,17.73,17.73,342.0
2021-04-16 04:00:00+00:00,17.93,18.62,17.38,18.07,18.07,462.0
2021-04-19 04:00:00+00:00,17.8,18.28,17.8,18.28,18.28,152.0
2021-04-21 04:00:00+00:00,18.42,18.42,18.42,18.42,18.42,12.0
2021-04-22 04:00:00+00:00,19.24,19.38,18.07,19.11,19.11,134.0
2021-04-23 04:00:00+00:00,18.48,18.9,18.48,18.62,18.62,109.0
2021-04-27 04:00:00+00:00,19.04,19.04,18.83,18.83,18.83,25.0
2021-04-28 04:00:00+00:00,19.31,19.73,18.83,19.38,19.38,80.0
2021-04-29 04:00:00+00:00,19.04,19.04,18.83,18.83,18.83,132.0
2021-04-30 04:00:00+00:00,18.69,19.31,18.35,19.17,19.17,168.0
2021-05-03 04:00:00+00:00,19.66,19.86,18.35,18.62,18.62,332.0
2021-05-04 04:00:00+00:00,18.07,18.48,17.24,18.48,18.48,50.0
2021-05-05 04:00:00+00:00,19.31,20.69,18.55,18.76,18.76,526.0
2021-05-06 04:00:00+00:00,18.76,19.45,17.66,17.66,17.66,159.0
2021-05-07 04:00:00+00:00,17.66,21.38,17.66,18.9,18.9,1236.0
2021-05-10 04:00:00+00:00,18.21,23.73,17.93,21.93,21.93,1745.0
2021-05-11 04:00:00+00:00,18.76,24.0,18.35,20.69,20.69,7413.0
2021-05-12 04:00:00+00:00,20.42,22.35,18.0,18.0,18.0,2957.0
2021-05-13 04:00:00+00:00,19.17,20.14,17.59,17.86,17.86,843.0
2021-05-14 04:00:00+00:00,17.93,18.55,17.66,18.14,18.14,682.0
2021-05-17 04:00:00+00:00,18.21,19.38,18.14,18.83,18.83,532.0
2021-05-18 04:00:00+00:00,18.62,19.73,18.62,19.04,19.04,504.0
2021-05-19 04:00:00+00:00,18.62,20.62,18.62,20.14,20.14,785.0
2021-05-20 04:00:00+00:00,20.42,20.42,19.73,19.86,19.86,96.0
2021-05-21 04:00:00+00:00,20.28,20.42,19.66,19.66,19.66,106.0
2021-05-24 04:00:00+00:00,19.86,19.86,18.48,18.48,18.48,18.0
