Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29 04:00:00+00:00,6.8,6.8,6.55,6.55,6.55,200.0
2020-07-30 04:00:00+00:00,7.11,7.11,7.11,7.11,7.11,100.0
2020-08-03 04:00:00+00:00,6.69,6.69,6.57,6.57,6.57,208.0
2020-08-04 04:00:00+00:00,6.31,6.31,6.31,6.31,6.31,170.0
2020-08-05 04:00:00+00:00,6.65,6.65,6.65,6.65,6.65,200.0
2020-08-11 04:00:00+00:00,6.92,7.01,6.92,7.01,7.01,200.0
2020-08-12 04:00:00+00:00,6.74,7.08,6.74,7.08,7.08,605.0
2020-08-18 04:00:00+00:00,7.47,7.48,7.47,7.48,7.48,200.0
2020-08-21 04:00:00+00:00,7.59,7.59,7.59,7.59,7.59,100.0
2020-08-24 04:00:00+00:00,7.81,7.81,7.69,7.72,7.72,300.0
2020-08-28 04:00:00+00:00,7.94,7.94,7.94,7.94,7.94,150.0
2020-09-01 04:00:00+00:00,7.88,8.1,7.88,8.1,8.1,430.0
2020-09-03 04:00:00+00:00,7.35,7.35,6.91,6.96,6.96,445.0
2020-09-08 04:00:00+00:00,7.15,7.15,7.15,7.15,7.15,100.0
2020-09-09 04:00:00+00:00,7.26,7.26,7.26,7.26,7.26,200.0
2020-09-18 04:00:00+00:00,7.26,7.26,7.26,7.26,7.26,211.0
2020-09-22 04:00:00+00:00,7.6,7.89,7.55,7.89,7.89,1500.0
2020-09-24 04:00:00+00:00,7.44,7.44,7.42,7.42,7.42,300.0
2020-09-25 04:00:00+00:00,7.71,7.71,7.71,7.71,7.71,100.0
2020-09-29 04:00:00+00:00,7.97,7.98,7.54,7.54,7.54,320.0
2020-10-02 04:00:00+00:00,7.67,7.67,7.67,7.67,7.67,100.0
2020-10-08 04:00:00+00:00,7.68,7.68,7.68,7.68,7.68,100.0
2020-10-14 04:00:00+00:00,8.28,8.28,7.93,7.93,7.93,200.0
2020-10-19 04:00:00+00:00,7.9,7.9,7.9,7.9,7.9,100.0
2020-10-30 04:00:00+00:00,7.78,7.78,7.74,7.74,7.74,200.0
2020-11-09 05:00:00+00:00,7.9,7.9,7.9,7.9,7.9,159.0
2020-11-10 05:00:00+00:00,7.9,7.95,7.9,7.95,7.95,260.0
2020-11-11 05:00:00+00:00,8.76,9.76,8.63,9.51,9.51,3082.0
2020-11-12 05:00:00+00:00,9.45,10.49,9.45,10.47,10.47,2100.0
2020-11-13 05:00:00+00:00,10.49,10.675,10.43,10.47,10.47,1002.0
2020-11-16 05:00:00+00:00,10.39,10.39,10.39,10.39,10.39,100.0
2020-11-18 05:00:00+00:00,10.35,10.35,10.35,10.35,10.35,300.0
2020-11-19 05:00:00+00:00,10.01,10.01,10.01,10.01,10.01,158.0
2020-11-20 05:00:00+00:00,10.3,10.59,10.3,10.55,10.55,600.0
2020-11-23 05:00:00+00:00,10.28,10.33,10.28,10.33,10.33,702.0
2020-11-24 05:00:00+00:00,10.02,10.31,10.02,10.31,10.31,283.0
2020-11-25 05:00:00+00:00,10.0,10.0,10.0,10.0,10.0,109.0
2020-11-27 05:00:00+00:00,10.0,10.0,10.0,10.0,10.0,100.0
2020-12-08 05:00:00+00:00,9.87,10.16,9.87,10.0,10.0,400.0
2020-12-09 05:00:00+00:00,9.94,9.98,9.94,9.98,9.98,281.0
2020-12-10 05:00:00+00:00,10.13,10.16,10.11,10.16,10.16,400.0
2020-12-11 05:00:00+00:00,10.15,10.15,9.87,9.87,9.87,300.0
2020-12-17 05:00:00+00:00,9.97,9.97,9.97,9.97,9.97,104.0
2020-12-18 05:00:00+00:00,9.8,10.11,9.8,9.88,9.88,420.0
2020-12-21 05:00:00+00:00,9.52,10.98,9.39,10.98,10.98,1130.0
2020-12-22 05:00:00+00:00,11.0,11.0,10.71,10.71,10.71,460.0
2020-12-28 05:00:00+00:00,10.86,10.86,10.86,10.86,10.86,163.0
2020-12-30 05:00:00+00:00,10.93,10.96,10.34,10.34,10.34,1120.0
2020-12-31 05:00:00+00:00,10.4,10.61,10.4,10.58,10.58,642.0
2021-01-04 05:00:00+00:00,10.54,10.54,10.54,10.54,10.54,100.0
2021-01-06 05:00:00+00:00,11.97,12.76,11.97,12.76,12.76,884.0
2021-01-07 05:00:00+00:00,12.31,12.31,12.31,12.31,12.31,400.0
2021-01-08 05:00:00+00:00,13.26,13.26,12.77,12.77,12.77,546.0
2021-01-11 05:00:00+00:00,12.79,12.79,11.69,11.69,11.69,1022.0
2021-01-14 05:00:00+00:00,12.86,12.91,12.86,12.91,12.91,252.0
2021-01-15 05:00:00+00:00,12.61,12.61,12.61,12.61,12.61,100.0
2021-01-20 05:00:00+00:00,13.17,13.6,13.17,13.22,13.22,828.0
2021-01-22 05:00:00+00:00,12.82,12.82,12.81,12.81,12.81,300.0
2021-01-25 05:00:00+00:00,12.71,12.71,12.71,12.71,12.71,160.0
2021-01-26 05:00:00+00:00,13.67,14.89,13.67,14.89,14.89,786.0
2021-01-27 05:00:00+00:00,14.99,14.99,14.42,14.42,14.42,423.0
2021-01-28 05:00:00+00:00,14.31,14.67,14.31,14.66,14.66,1180.0
2021-01-29 05:00:00+00:00,14.11,14.25,14.11,14.11,14.11,529.0
2021-02-01 05:00:00+00:00,14.98,15.64,14.3,14.4,14.4,700.0
2021-02-02 05:00:00+00:00,13.56,13.71,13.56,13.71,13.71,300.0
2021-02-03 05:00:00+00:00,13.58,14.35,13.58,14.35,14.35,700.0
2021-02-04 05:00:00+00:00,14.45,14.56,14.34,14.56,14.56,802.0
2021-02-05 05:00:00+00:00,14.48,15.04,14.48,15.04,15.04,498.0
2021-02-08 05:00:00+00:00,15.29,15.29,15.17,15.17,15.17,302.0
2021-02-09 05:00:00+00:00,15.67,15.85,15.53,15.85,15.85,811.0
2021-02-10 05:00:00+00:00,17.55,17.98,16.6,17.64,17.64,12117.0
2021-02-11 05:00:00+00:00,17.75,18.38,17.56,17.57,17.57,10619.0
2021-02-12 05:00:00+00:00,17.86,17.86,17.11,17.26,17.26,2400.0
2021-02-16 05:00:00+00:00,17.17,17.17,17.17,17.17,17.17,214.0
2021-02-17 05:00:00+00:00,17.05,17.05,16.61,16.86,16.86,1002.0
2021-02-18 05:00:00+00:00,16.64,16.64,16.1,16.1,16.1,796.0
2021-02-19 05:00:00+00:00,16.16,16.33,16.16,16.33,16.33,275.0
2021-02-23 05:00:00+00:00,14.8,16.08,14.8,16.08,16.08,2012.0
2021-02-24 05:00:00+00:00,16.19,16.19,16.19,16.19,16.19,113.0
2021-02-25 05:00:00+00:00,16.8,16.8,16.69,16.69,16.69,246.0
2021-02-26 05:00:00+00:00,16.28,16.28,15.9,15.9,15.9,1228.0
2021-03-01 05:00:00+00:00,16.37,16.37,16.01,16.01,16.01,809.0
2021-03-02 05:00:00+00:00,15.935,15.935,15.17,15.17,15.17,1286.0
2021-03-03 05:00:00+00:00,14.94,15.17,14.88,14.96,14.96,612.0
2021-03-04 05:00:00+00:00,14.36,14.73,14.36,14.51,14.51,502.0
2021-03-05 05:00:00+00:00,14.25,14.34,14.25,14.34,14.34,330.0
2021-03-08 05:00:00+00:00,15.04,15.04,15.04,15.04,15.04,100.0
2021-03-09 05:00:00+00:00,16.04,16.045,16.0,16.0,16.0,301.0
2021-03-11 05:00:00+00:00,16.18,16.21,16.16,16.16,16.16,300.0
2021-03-12 05:00:00+00:00,16.64,16.64,16.64,16.64,16.64,1181.0
