Date,Open,High,Low,Close,Adj Close,Volume
2021-05-26 04:00:00+00:00,13.72,13.73,13.72,13.72,13.72,48784.0
2021-05-27 04:00:00+00:00,13.72,13.73,13.72,13.72,13.72,2900.0
2021-05-28 04:00:00+00:00,13.72,13.73,13.72,13.72,13.72,1483.0
2021-06-01 04:00:00+00:00,13.76,13.8,13.75,13.79,13.79,12600.0
2021-06-02 04:00:00+00:00,13.89,13.89,13.84,13.84,13.84,1489.0
2021-06-03 04:00:00+00:00,13.74,13.8,13.74,13.8,13.8,800.0
2021-06-04 04:00:00+00:00,13.79,13.79,13.78,13.78,13.78,1200.0
2021-06-07 04:00:00+00:00,13.72,13.72,13.72,13.72,13.72,800.0
2021-06-09 04:00:00+00:00,13.76,13.76,13.73,13.73,13.73,200.0
2021-06-10 04:00:00+00:00,13.75,13.75,13.75,13.75,13.75,100.0
2021-06-11 04:00:00+00:00,13.74,13.74,13.74,13.74,13.74,291.0
2021-06-14 04:00:00+00:00,13.82,13.82,13.79,13.79,13.79,2302.0
2021-06-15 04:00:00+00:00,13.8,13.86,13.8,13.86,13.86,989.0
2021-06-17 04:00:00+00:00,14.05,14.22,13.97,13.97,13.97,1600.0
2021-06-18 04:00:00+00:00,13.86,13.86,13.79,13.8,13.8,1533.0
2021-06-22 04:00:00+00:00,13.91,13.91,13.91,13.91,13.91,100.0
2021-06-23 04:00:00+00:00,13.77,13.78,13.73,13.73,13.73,833.0
2021-06-25 04:00:00+00:00,13.76,13.76,13.76,13.76,13.76,1100.0
2021-06-28 04:00:00+00:00,13.76,13.76,13.76,13.76,13.76,100.0
2021-06-30 04:00:00+00:00,13.73,13.73,13.72,13.72,13.72,400.0
2021-07-06 04:00:00+00:00,13.78,13.78,13.78,13.78,13.78,100.0
2021-07-09 04:00:00+00:00,13.71,13.78,13.71,13.78,13.78,1165.0
2021-07-12 04:00:00+00:00,13.74,13.81,13.74,13.81,13.81,467.0
2021-07-13 04:00:00+00:00,13.83,13.84,13.83,13.84,13.84,400.0
2021-07-14 04:00:00+00:00,13.83,13.83,13.38,13.47,13.47,2532.0
2021-07-15 04:00:00+00:00,13.62,13.73,13.62,13.73,13.73,3315.0
2021-07-16 04:00:00+00:00,13.77,13.78,13.72,13.77,13.77,2832.0
2021-07-19 04:00:00+00:00,13.66,13.69,13.65,13.69,13.69,1800.0
2021-07-22 04:00:00+00:00,13.81,13.83,13.81,13.83,13.83,200.0
2021-07-23 04:00:00+00:00,13.81,13.86,13.8,13.86,13.86,678.0
2021-07-26 04:00:00+00:00,13.82,13.83,13.76,13.83,13.83,800.0
2021-07-27 04:00:00+00:00,13.83,13.83,13.63,13.63,13.63,750.0
2021-07-28 04:00:00+00:00,13.69,13.77,13.69,13.71,13.71,600.0
2021-07-29 04:00:00+00:00,13.82,13.82,13.79,13.79,13.79,600.0
2021-08-02 04:00:00+00:00,13.83,13.83,13.83,13.83,13.83,400.0
2021-08-03 04:00:00+00:00,13.86,13.93,13.86,13.93,13.93,2368.0
2021-08-04 04:00:00+00:00,13.97,13.97,13.91,13.91,13.91,200.0
2021-08-05 04:00:00+00:00,13.94,13.94,13.94,13.94,13.94,584.0
2021-08-06 04:00:00+00:00,13.95,13.95,13.91,13.91,13.91,600.0
2021-08-10 04:00:00+00:00,13.96,13.96,13.96,13.96,13.96,200.0
2021-08-12 04:00:00+00:00,13.81,13.81,13.76,13.76,13.76,700.0
2021-08-13 04:00:00+00:00,13.87,13.87,13.87,13.87,13.87,400.0
2021-08-16 04:00:00+00:00,13.85,13.89,13.85,13.89,13.89,450.0
2021-08-17 04:00:00+00:00,13.69,13.69,13.69,13.69,13.69,653.0
2021-08-18 04:00:00+00:00,13.7,13.7,13.7,13.7,13.7,101.0
2021-08-20 04:00:00+00:00,13.71,13.79,13.71,13.79,13.79,200.0
2021-08-25 04:00:00+00:00,13.87,13.87,13.87,13.87,13.87,100.0
2021-08-26 04:00:00+00:00,13.89,13.89,13.89,13.89,13.89,100.0
2021-08-27 04:00:00+00:00,13.88,13.88,13.88,13.88,13.88,100.0
2021-08-30 04:00:00+00:00,13.92,13.92,13.92,13.92,13.92,100.0
2021-09-01 04:00:00+00:00,13.96,13.99,13.96,13.99,13.99,1300.0
2021-09-07 04:00:00+00:00,13.95,13.95,13.95,13.95,13.95,100.0
2021-09-09 04:00:00+00:00,13.78,13.78,13.78,13.78,13.78,100.0
2021-09-10 04:00:00+00:00,13.84,13.84,13.8,13.81,13.81,817.0
2021-09-13 04:00:00+00:00,13.67,13.67,13.58,13.58,13.58,900.0
2021-09-14 04:00:00+00:00,13.6,13.6,13.5,13.5,13.5,1100.0
2021-09-16 04:00:00+00:00,13.37,13.37,13.37,13.37,13.37,198.0
2021-09-17 04:00:00+00:00,13.35,13.35,13.32,13.33,13.33,799.0
2021-09-20 04:00:00+00:00,13.14,13.14,12.77,12.8,12.8,3370.0
2021-09-21 04:00:00+00:00,12.97,12.97,12.89,12.91,12.91,1400.0
2021-09-22 04:00:00+00:00,13.0,13.0,12.99,12.99,12.99,400.0
2021-09-23 04:00:00+00:00,13.12,13.22,13.12,13.22,13.22,416.0
2021-09-24 04:00:00+00:00,13.14,13.16,13.02,13.07,13.07,2400.0
2021-09-27 04:00:00+00:00,12.98,13.0,12.92,12.98,12.98,9000.0
2021-09-28 04:00:00+00:00,12.77,12.8,12.71,12.8,12.8,1842.0
2021-09-29 04:00:00+00:00,13.02,13.1,12.98,13.09,13.09,3700.0
2021-09-30 04:00:00+00:00,13.3,13.3,13.24,13.26,13.26,300.0
2021-10-01 04:00:00+00:00,13.3,13.52,13.3,13.52,13.52,1400.0
2021-10-04 04:00:00+00:00,13.36,13.45,13.2,13.29,13.29,1400.0
2021-10-05 04:00:00+00:00,13.28,13.3,13.05,13.05,13.05,1080.0
2021-10-06 04:00:00+00:00,13.0,13.0,12.91,12.99,12.99,1700.0
2021-10-07 04:00:00+00:00,13.14,13.16,13.13,13.15,13.15,3450.0
2021-10-08 04:00:00+00:00,13.03,13.05,12.92,12.92,12.92,1800.0
2021-10-11 04:00:00+00:00,12.91,12.91,12.78,12.78,12.78,1300.0
2021-10-12 04:00:00+00:00,12.7,12.77,12.7,12.76,12.76,1800.0
2021-10-13 04:00:00+00:00,12.78,12.84,12.78,12.84,12.84,1074.0
2021-10-14 04:00:00+00:00,12.93,13.03,12.88,12.93,12.93,2808.0
2021-10-15 04:00:00+00:00,13.01,13.01,12.96,12.96,12.96,817.0
2021-10-18 04:00:00+00:00,12.98,13.01,12.9,12.9,12.9,2080.0
2021-10-19 04:00:00+00:00,13.01,13.08,12.98,13.04,13.04,910.0
2021-10-20 04:00:00+00:00,13.01,13.25,13.01,13.25,13.25,3500.0
2021-10-21 04:00:00+00:00,13.26,13.26,13.11,13.14,13.14,3200.0
2021-10-22 04:00:00+00:00,13.09,13.09,13.09,13.09,13.09,400.0
2021-10-26 04:00:00+00:00,13.0,13.05,12.93,12.94,12.94,9483.0
2021-10-27 04:00:00+00:00,12.98,13.03,12.84,12.91,12.91,10781.0
2021-10-28 04:00:00+00:00,12.98,13.12,12.98,13.05,13.05,8379.0
2021-10-29 04:00:00+00:00,13.23,13.3,13.23,13.3,13.3,800.0
2021-11-01 04:00:00+00:00,13.34,13.65,13.34,13.65,13.65,1100.0
2021-11-02 04:00:00+00:00,13.71,13.73,13.63,13.66,13.66,1350.0
2021-11-03 04:00:00+00:00,13.81,13.81,13.67,13.71,13.71,1800.0
2021-11-04 04:00:00+00:00,13.76,13.85,13.73,13.75,13.75,1500.0
