Date,Open,High,Low,Close,Adj Close,Volume
2024-12-18 05:00:00+00:00,3.905,3.905,2.27,2.735,2.735,9397.0
2024-12-19 05:00:00+00:00,2.94,2.94,2.69,2.8,2.8,726.0
2024-12-20 05:00:00+00:00,2.49,2.51,2.33,2.51,2.51,450.0
2024-12-23 05:00:00+00:00,2.47,2.47,2.47,2.47,2.47,100.0
2024-12-24 05:00:00+00:00,2.19,2.19,2.19,2.19,2.19,200.0
2024-12-26 05:00:00+00:00,2.14,2.14,2.14,2.14,2.14,200.0
2024-12-27 05:00:00+00:00,1.87,1.87,1.87,1.87,1.87,100.0
2024-12-30 05:00:00+00:00,2.03,2.61,2.03,2.36,2.36,495.0
2024-12-31 05:00:00+00:00,2.49,2.74,2.49,2.52,2.52,300.0
2025-01-02 05:00:00+00:00,2.5,2.5,2.5,2.5,2.5,256.0
2025-01-03 05:00:00+00:00,2.37,2.37,2.37,2.37,2.37,165.0
2025-01-06 05:00:00+00:00,2.17,2.17,2.17,2.17,2.17,117.0
2025-01-07 05:00:00+00:00,2.17,2.17,2.17,2.17,2.17,0.0
2025-01-08 05:00:00+00:00,2.17,2.17,2.17,2.17,2.17,0.0
2025-01-10 05:00:00+00:00,2.17,2.17,2.17,2.17,2.17,0.0
2025-01-13 05:00:00+00:00,2.23,2.23,2.23,2.23,2.23,100.0
2025-01-14 05:00:00+00:00,2.1,2.18,2.1,2.18,2.18,345.0
2025-01-15 05:00:00+00:00,2.18,2.18,2.18,2.18,2.18,0.0
2025-01-16 05:00:00+00:00,1.88,1.88,1.78,1.78,1.78,1000.0
2025-01-17 05:00:00+00:00,1.635,1.675,1.635,1.675,1.675,1300.0
2025-01-21 05:00:00+00:00,1.79,1.79,1.79,1.79,1.79,700.0
2025-01-22 05:00:00+00:00,1.695,1.695,1.695,1.695,1.695,501.0
2025-01-23 05:00:00+00:00,1.705,2.01,1.705,2.01,2.01,3927.0
2025-01-24 05:00:00+00:00,2.01,2.01,2.01,2.01,2.01,0.0
2025-01-27 05:00:00+00:00,1.97,1.99,1.875,1.99,1.99,408.0
2025-01-28 05:00:00+00:00,2.25,2.25,2.05,2.05,2.05,300.0
2025-01-29 05:00:00+00:00,2.01,2.01,1.92,1.92,1.92,1094.0
2025-01-30 05:00:00+00:00,1.93,1.93,1.93,1.93,1.93,320.0
2025-01-31 05:00:00+00:00,1.95,1.95,1.85,1.85,1.85,438.0
2025-02-03 05:00:00+00:00,1.83,1.83,1.83,1.83,1.83,134.0
2025-02-04 05:00:00+00:00,1.83,1.83,1.83,1.83,1.83,0.0
2025-02-05 05:00:00+00:00,1.94,1.94,1.94,1.94,1.94,100.0
2025-02-06 05:00:00+00:00,1.94,1.94,1.94,1.94,1.94,0.0
2025-02-07 05:00:00+00:00,1.72,1.76,1.64,1.66,1.66,1337.0
2025-02-10 05:00:00+00:00,1.465,1.465,1.18,1.38,1.38,5625.0
2025-02-11 05:00:00+00:00,1.42,1.42,1.42,1.42,1.42,131.0
2025-02-12 05:00:00+00:00,1.37,1.37,1.37,1.37,1.37,131.0
2025-02-13 05:00:00+00:00,1.27,1.29,1.24,1.24,1.24,375.0
2025-02-14 05:00:00+00:00,1.35,1.35,1.35,1.35,1.35,273.0
2025-02-18 05:00:00+00:00,1.23,1.28,1.23,1.28,1.28,204.0
2025-02-19 05:00:00+00:00,1.37,1.37,1.37,1.37,1.37,100.0
2025-02-20 05:00:00+00:00,1.4,1.4,1.4,1.4,1.4,193.0
2025-02-21 05:00:00+00:00,1.29,1.29,1.29,1.29,1.29,100.0
2025-02-24 05:00:00+00:00,1.27,1.29,1.2,1.2,1.2,300.0
2025-02-25 05:00:00+00:00,1.06,1.09,1.0,1.0,1.0,600.0
2025-02-26 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,0.0
2025-02-27 05:00:00+00:00,0.97,0.97,0.97,0.97,0.97,212.0
2025-02-28 05:00:00+00:00,0.9499,1.02,0.9499,1.02,1.02,793.0
2025-03-03 05:00:00+00:00,1.1,1.16,1.055,1.08,1.08,2559.0
2025-03-04 05:00:00+00:00,1.08,1.08,1.08,1.08,1.08,0.0
2025-03-05 05:00:00+00:00,0.98,1.015,0.95,0.963,0.963,2263.0
2025-03-06 05:00:00+00:00,0.963,0.963,0.963,0.963,0.963,0.0
2025-03-07 05:00:00+00:00,0.963,0.963,0.963,0.963,0.963,0.0
2025-03-10 04:00:00+00:00,1.15,1.15,1.055,1.055,1.055,200.0
2025-03-11 04:00:00+00:00,1.04,1.08,1.04,1.08,1.08,200.0
2025-03-12 04:00:00+00:00,1.1,1.24,1.1,1.23,1.23,431.0
2025-03-13 04:00:00+00:00,1.33,1.54,1.33,1.52,1.52,4046.0
2025-03-14 04:00:00+00:00,1.69,1.71,1.39,1.5,1.5,4111.0
2025-03-17 04:00:00+00:00,1.46,1.46,1.4,1.41,1.41,810.0
2025-03-18 04:00:00+00:00,1.51,1.51,1.51,1.51,1.51,183.0
2025-03-19 04:00:00+00:00,1.47,1.7,1.47,1.63,1.63,882.0
2025-03-20 04:00:00+00:00,1.67,1.98,1.67,1.82,1.82,1724.0
2025-03-21 04:00:00+00:00,1.78,1.78,1.68,1.68,1.68,393.0
2025-03-24 04:00:00+00:00,1.68,1.68,1.68,1.68,1.68,0.0
2025-03-25 04:00:00+00:00,1.68,1.68,1.68,1.68,1.68,0.0
2025-03-26 04:00:00+00:00,1.73,1.74,1.66,1.74,1.74,1500.0
2025-03-27 04:00:00+00:00,1.69,1.69,1.66,1.69,1.69,500.0
2025-03-28 04:00:00+00:00,1.61,1.64,1.6,1.64,1.64,400.0
2025-03-31 04:00:00+00:00,1.68,1.69,1.59,1.6,1.6,636.0
2025-04-01 04:00:00+00:00,1.59,1.6,1.59,1.6,1.6,234.0
2025-04-02 04:00:00+00:00,1.67,1.77,1.67,1.77,1.77,500.0
2025-04-03 04:00:00+00:00,1.77,1.77,1.77,1.77,1.77,0.0
2025-04-04 04:00:00+00:00,1.59,1.59,1.55,1.55,1.55,202.0
