Date,Open,High,Low,Close,Adj Close,Volume
2021-06-10 04:00:00+00:00,23.29,23.29,22.91,22.95,22.95,3935.0
2021-06-11 04:00:00+00:00,22.99,23.0,22.9,22.99,22.99,4674.0
2021-06-14 04:00:00+00:00,23.25,23.25,22.35,22.52,22.52,6773.0
2021-06-15 04:00:00+00:00,22.72,22.8,22.34,22.48,22.48,13675.0
2021-06-16 04:00:00+00:00,22.39,22.83,22.39,22.6,22.6,2966.0
2021-06-17 04:00:00+00:00,22.44,22.51,20.48,22.02,22.02,19851.0
2021-06-18 04:00:00+00:00,21.74,22.0,21.65,21.86,21.86,12246.0
2021-06-21 04:00:00+00:00,22.76,22.76,22.3,22.69,22.69,3505.0
2021-06-22 04:00:00+00:00,22.44,22.83,22.44,22.83,22.83,1423.0
2021-06-23 04:00:00+00:00,22.88,23.01,22.66,22.72,22.72,13345.0
2021-06-24 04:00:00+00:00,22.87,22.97,22.87,22.89,22.89,2629.0
2021-06-25 04:00:00+00:00,23.03,23.16,22.99,23.0,23.0,11313.0
2021-06-28 04:00:00+00:00,23.19,23.19,22.9,22.99,22.99,6983.0
2021-06-29 04:00:00+00:00,23.04,23.19,23.04,23.08,23.08,8238.0
2021-06-30 04:00:00+00:00,22.99,22.99,22.89,22.99,22.99,1242.0
2021-07-01 04:00:00+00:00,22.99,23.6,22.99,23.33,23.33,2497.0
2021-07-02 04:00:00+00:00,23.45,23.47,23.22,23.27,23.27,14649.0
2021-07-06 04:00:00+00:00,23.33,23.33,22.44,22.61,22.61,16023.0
2021-07-07 04:00:00+00:00,22.53,22.64,22.27,22.3,22.3,7399.0
2021-07-08 04:00:00+00:00,21.54,22.38,21.54,21.97,21.97,23401.0
2021-07-09 04:00:00+00:00,22.06,22.07,22.06,22.07,22.07,517.0
2021-07-12 04:00:00+00:00,22.14,22.58,21.98,22.16,22.16,8138.0
2021-07-13 04:00:00+00:00,22.26,22.26,21.58,21.7,21.7,17390.0
2021-07-14 04:00:00+00:00,22.34,22.34,21.14,21.14,21.14,18900.0
2021-07-15 04:00:00+00:00,21.06,21.12,19.78,20.42,20.42,44416.0
2021-07-16 04:00:00+00:00,20.22,20.49,19.94,20.03,20.03,21135.0
2021-07-19 04:00:00+00:00,19.48,19.54,18.96,19.29,19.29,38249.0
2021-07-20 04:00:00+00:00,19.17,19.5,19.17,19.4,19.4,4871.0
2021-07-21 04:00:00+00:00,19.67,20.23,19.67,20.22,20.22,3129.0
2021-07-22 04:00:00+00:00,20.16,20.38,20.13,20.22,20.22,12088.0
2021-07-23 04:00:00+00:00,20.1,20.15,20.06,20.07,20.07,2987.0
2021-07-26 04:00:00+00:00,20.04,20.48,20.04,20.48,20.48,31213.0
2021-07-27 04:00:00+00:00,20.23,20.46,20.23,20.45,20.45,14504.0
2021-07-28 04:00:00+00:00,20.86,20.97,20.32,20.55,20.55,9650.0
2021-07-29 04:00:00+00:00,20.6,20.62,20.58,20.6,20.6,644.0
2021-07-30 04:00:00+00:00,20.0,20.24,19.99,20.23,20.23,1400.0
2021-08-02 04:00:00+00:00,20.67,20.67,20.5,20.55,20.55,2708.0
2021-08-03 04:00:00+00:00,20.28,20.39,20.22,20.24,20.24,4135.0
2021-08-04 04:00:00+00:00,20.37,20.37,20.16,20.16,20.16,386.0
2021-08-05 04:00:00+00:00,19.76,19.8,18.94,18.94,18.94,4352.0
2021-08-06 04:00:00+00:00,19.15,19.15,19.15,19.15,19.15,1457.0
2021-08-09 04:00:00+00:00,19.21,19.21,18.84,19.09,19.09,6452.0
2021-08-10 04:00:00+00:00,19.08,19.52,19.08,19.49,19.49,6509.0
2021-08-11 04:00:00+00:00,19.87,19.87,19.77,19.77,19.77,392.0
2021-08-12 04:00:00+00:00,19.82,20.25,19.82,20.16,20.16,1121.0
2021-08-13 04:00:00+00:00,19.65,20.02,19.57,19.59,19.59,2056.0
2021-08-16 04:00:00+00:00,19.4,19.4,19.22,19.3,19.3,1559.0
2021-08-17 04:00:00+00:00,19.53,20.27,19.43,20.22,20.22,20676.0
2021-08-18 04:00:00+00:00,20.55,21.08,20.55,21.02,21.02,1447.0
2021-08-19 04:00:00+00:00,20.9,21.0,20.1,20.1,20.1,8114.0
2021-08-20 04:00:00+00:00,20.14,20.54,19.89,19.91,19.91,3036.0
2021-08-23 04:00:00+00:00,19.55,20.43,19.55,20.17,20.17,6310.0
2021-08-24 04:00:00+00:00,20.2,20.55,20.2,20.34,20.34,54816.0
2021-08-25 04:00:00+00:00,20.91,20.91,20.25,20.27,20.27,18749.0
2021-08-26 04:00:00+00:00,21.61,21.61,20.93,21.24,21.24,54986.0
2021-08-27 04:00:00+00:00,21.18,21.52,21.05,21.52,21.52,24369.0
2021-08-30 04:00:00+00:00,21.16,21.91,21.16,21.51,21.51,11532.0
2021-08-31 04:00:00+00:00,21.74,22.45,21.7,22.39,22.39,21283.0
2021-09-01 04:00:00+00:00,22.86,22.98,22.39,22.98,22.98,14288.0
2021-09-02 04:00:00+00:00,22.99,23.81,22.96,23.59,23.59,44734.0
2021-09-03 04:00:00+00:00,23.31,23.54,22.98,22.98,22.98,12345.0
2021-09-07 04:00:00+00:00,23.41,26.15,23.41,24.93,24.93,92537.0
2021-09-08 04:00:00+00:00,24.91,25.65,24.64,25.38,25.38,49700.0
2021-09-09 04:00:00+00:00,25.37,26.66,24.76,24.76,24.76,106636.0
2021-09-10 04:00:00+00:00,25.09,25.82,24.94,25.71,25.71,57469.0
2021-09-13 04:00:00+00:00,26.07,26.15,25.48,25.71,25.71,40582.0
2021-09-14 04:00:00+00:00,25.83,25.93,25.5,25.63,25.63,41058.0
2021-09-15 04:00:00+00:00,25.89,26.44,25.41,26.22,26.22,61804.0
2021-09-16 04:00:00+00:00,26.34,26.64,25.31,25.49,25.49,33487.0
2021-09-17 04:00:00+00:00,25.68,25.84,24.63,24.68,24.68,61971.0
2021-09-20 04:00:00+00:00,24.1,24.51,22.99,24.4,24.4,21162.0
2021-09-21 04:00:00+00:00,24.4,24.47,23.82,24.22,24.22,6377.0
2021-09-22 04:00:00+00:00,24.37,24.57,23.98,23.98,23.98,11892.0
2021-09-23 04:00:00+00:00,24.15,24.2,23.82,24.0,24.0,6274.0
2021-09-24 04:00:00+00:00,23.78,23.94,23.71,23.81,23.81,6574.0
2021-09-27 04:00:00+00:00,24.34,25.63,24.1,25.6,25.6,44563.0
2021-09-28 04:00:00+00:00,25.97,26.58,25.47,25.62,25.62,47836.0
2021-09-29 04:00:00+00:00,25.12,25.56,24.78,24.98,24.98,7103.0
2021-09-30 04:00:00+00:00,24.8,24.99,24.6,24.83,24.83,6024.0
2021-10-01 04:00:00+00:00,25.12,25.92,25.03,25.52,25.52,27306.0
2021-10-04 04:00:00+00:00,26.01,26.28,25.39,25.75,25.75,21680.0
2021-10-05 04:00:00+00:00,25.92,25.92,25.4,25.71,25.71,12662.0
2021-10-06 04:00:00+00:00,25.66,25.7,24.73,24.94,24.94,13104.0
2021-10-07 04:00:00+00:00,25.15,25.43,25.09,25.43,25.43,26358.0
2021-10-08 04:00:00+00:00,25.34,25.34,24.21,24.43,24.43,9769.0
2021-10-11 04:00:00+00:00,24.57,25.02,24.38,24.89,24.89,3867.0
2021-10-12 04:00:00+00:00,24.52,24.52,24.18,24.38,24.38,3753.0
2021-10-13 04:00:00+00:00,24.17,24.74,24.04,24.67,24.67,5780.0
2021-10-14 04:00:00+00:00,24.61,25.26,24.61,24.89,24.89,6784.0
2021-10-15 04:00:00+00:00,25.19,25.19,24.56,24.56,24.56,10457.0
2021-10-18 04:00:00+00:00,24.78,24.78,24.28,24.5,24.5,1895.0
2021-10-19 04:00:00+00:00,24.47,24.72,24.47,24.63,24.63,2155.0
2021-10-20 04:00:00+00:00,24.51,25.52,24.51,25.52,25.52,3827.0
2021-10-21 04:00:00+00:00,25.09,25.09,23.99,24.12,24.12,7030.0
2021-10-22 04:00:00+00:00,24.27,24.5,24.27,24.4,24.4,1267.0
2021-10-26 04:00:00+00:00,25.77,25.77,25.41,25.48,25.48,17999.0
2021-10-27 04:00:00+00:00,25.23,25.44,24.46,24.5,24.5,8902.0
2021-10-28 04:00:00+00:00,24.64,24.7,23.42,23.83,23.83,10071.0
2021-10-29 04:00:00+00:00,23.75,23.78,23.15,23.18,23.18,14891.0
2021-11-01 04:00:00+00:00,23.46,24.31,23.42,24.08,24.08,7511.0
2021-11-02 04:00:00+00:00,24.64,24.94,24.62,24.79,24.79,24168.0
2021-11-03 04:00:00+00:00,24.8,24.91,24.23,24.62,24.62,4563.0
2021-11-04 04:00:00+00:00,24.47,24.91,24.47,24.91,24.91,4863.0
2021-11-05 04:00:00+00:00,25.37,26.14,25.37,25.67,25.67,34858.0
2021-11-08 05:00:00+00:00,26.0,26.64,25.97,26.51,26.51,53558.0
2021-11-09 05:00:00+00:00,26.34,26.34,25.73,26.27,26.27,12436.0
2021-11-10 05:00:00+00:00,25.31,25.38,23.34,24.19,24.19,64551.0
2021-11-11 05:00:00+00:00,23.92,24.06,23.55,23.65,23.65,24722.0
2021-11-12 05:00:00+00:00,23.65,24.72,23.63,24.6,24.6,23683.0
2021-11-15 05:00:00+00:00,24.17,24.38,23.57,24.05,24.05,19128.0
2021-11-16 05:00:00+00:00,23.9,24.87,23.9,24.36,24.36,13227.0
2021-11-17 05:00:00+00:00,24.11,24.49,23.92,24.11,24.11,32054.0
2021-11-18 05:00:00+00:00,24.03,24.28,23.57,23.82,23.82,15710.0
2021-11-19 05:00:00+00:00,23.48,23.54,23.2,23.49,23.49,34148.0
